Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.0,9.59623,-2.19813,4.79688,-0.24305,-0.00926616,-0.233845,-9.03961,-0.688539,12.1275,0.183771,0.0332458,-0.0112114,4.69881,-2.87734,8.38847,0.00484373,0.0109341,-0.0172372,8.0092,-7.34405,-9.95911,0.0780015,1.2183,-1.07262,3.20751,-13.2819,-5.05199,0.884862,3.34207,-0.13715,-0.183263,9.69969,-2.88879,0.0955427,0.0284058,-0.383596,-0.31669,9.33468,-3.18009,-0.102149,0.0427931,-0.106449
0.001,9.54021,-2.21316,4.83228,-0.232039,-0.0354168,-0.236154,-7.23517,-0.280627,12.0001,0.143742,0.0754609,0.0381981,4.6663,-2.86153,8.40768,0.00457051,0.00782209,-0.0154981,7.61271,-6.7045,-8.85255,-0.0302221,1.2671,-1.17256,2.30526,-12.366,-4.93401,0.845058,3.36776,-0.175653,-0.272922,9.66124,-2.8933,0.095986,0.0204731,-0.390359,-0.359712,9.34054,-3.14562,-0.102093,0.0552213,-0.100369
0.002,9.48418,-2.22818,4.86769,-0.221029,-0.0615675,-0.238463,-5.43074,0.127284,11.8727,0.103714,0.117676,0.0876075,4.6338,-2.84572,8.4269,0.0042973,0.00471007,-0.0137591,7.21623,-6.06495,-7.746,-0.138446,1.3159,-1.2725,1.40302,-11.45,-4.81603,0.805254,3.39345,-0.214155,-0.36258,9.62279,-2.89782,0.0964293,0.0125404,-0.397121,-0.402735,9.3464,-3.11114,-0.102037,0.0676496,-0.094289
0.003,9.42816,-2.2432,4.90309,-0.210019,-0.0877182,-0.240773,-3.62631,0.535196,11.7453,0.0636851,0.159891,0.137017,4.60129,-2.82991,8.44611,0.00402409,0.00159805,-0.01202,6.81974,-5.4254,-6.63945,-0.246669,1.3647,-1.37244,0.500769,-10.534,-4.69805,0.76545,3.41913,-0.252657,-0.452239,9.58434,-2.90233,0.0968726,0.00460768,-0.403884,-0.445757,9.35227,-3.07667,-0.101981,0.0800778,-0.088209
0.004,9.37213,-2.25823,4.93849,-0.199008,-0.113869,-0.243082,-1.82187,0.943108,11.6178,0.0236566,0.202106,0.186426,4.56879,-2.8141,8.46533,0.00375087,-0.00151397,-0.010281,6.42326,-4.78585,-5.5329,-0.354893,1.4135,-1.47238,-0.401478,-9.61809,-4.58007,0.725645,3.44482,-0.29116,-0.541897,9.54589,-2.90684,0.0973159,-0.00332501,-0.410647,-0.48878,9.35813,-3.04219,-0.101926,0.092506,-0.082129
0.005,9.3416,-2.26735,4.96789,-0.187372,-0.140151,-0.244831,-0.108626,1.56906,11.3363,-0.020178,0.226143,0.225589,4.53933,-2.81638,8.47411,0.00344201,-0.0043018,-0.00779927,5.72711,-4.13625,-4.50411,-0.430171,1.37553,-1.51763,-1.28403,-9.0086,-4.46387,0.626822,3.40059,-0.312548,-0.598594,9.51515,-2.91328,0.100849,-0.0132202,-0.416481,-0.510314,9.36629,-3.01374,-0.101252,0.104769,-0.0754941
0.006,9.33145,-2.27176,4.99249,-0.175235,-0.166538,-0.246132,1.53167,2.36944,10.9314,-0.0670574,0.235636,0.256553,4.51232,-2.83313,8.47455,0.00310464,-0.00683028,-0.00472348,4.79124,-3.47861,-3.53753,-0.479092,1.26813,-1.51914,-2.15083,-8.64428,-4.34908,0.480784,3.30042,-0.320244,-0.628921,9.49059,-2.92125,0.106855,-0.0246853,-0.42157,-0.514659,9.37629,-2.99012,-0.100083,0.1169,-0.0684152
0.007,9.32131,-2.27617,5.01709,-0.163097,-0.192925,-0.247432,3.17197,3.16983,10.5266,-0.113937,0.24513,0.287517,4.48531,-2.84988,8.47498,0.00276726,-0.00935876,-0.00164768,3.85536,-2.82097,-2.57096,-0.528013,1.16074,-1.52065,-3.01763,-8.27997,-4.23429,0.334746,3.20025,-0.327941,-0.659249,9.46602,-2.92923,0.112861,-0.0361505,-0.42666,-0.519003,9.3863,-2.9665,-0.0989151,0.129031,-0.0613364
0.008,9.31117,-2.28057,5.04169,-0.15096,-0.219312,-0.248733,4.81227,3.97021,10.1217,-0.160816,0.254623,0.318481,4.45829,-2.86663,8.47542,0.00242989,-0.0118872,0.00142812,2.91948,-2.16332,-1.60438,-0.576934,1.05334,-1.52216,-3.88442,-7.91565,-4.11949,0.188707,3.10008,-0.335637,-0.689576,9.44145,-2.9372,0.118867,-0.0476156,-0.43175,-0.523347,9.3963,-2.94287,-0.0977468,0.141162,-0.0542575
0.009,9.30386,-2.28555,5.06375,-0.138564,-0.244917,-0.249865,6.34243,4.74863,9.72159,-0.200931,0.261046,0.344135,4.43444,-2.88443,8.47696,0.00229055,-0.014582,0.00430678,1.9503,-1.56019,-0.682368,-0.618454,0.946226,-1.51673,-4.75176,-7.56331,-3.98033,0.0355319,2.9877,-0.339789,-0.718057,9.41946,-2.94095,0.125017,-0.0588829,-0.436756,-0.5235,9.40714,-2.91991,-0.0967055,0.152842,-0.047107
