Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.109276,0.117948,0.0417645,0.0957321,-0.053851,0.0920608,0.0686423,0.0431601,-0.0487845,0.0967703,0.0242755,0.0725497,0.0538947,0.0441232,0.0700647,-0.552806
0.021,-0.025307,0.111234,0.0673993,0.0783371,-0.00837982,0.0554398,0.105569,0.062081,-0.0136893,0.0848685,0.0770709,0.0676669,0.0355841,0.036799,0.0783044,-0.473461
0.022,0.0775372,0.0846838,0.0435956,0.0826096,0.00230133,0.0664261,0.132424,0.0947348,0.0043161,0.0809012,0.151534,0.0777377,0.0377203,0.034968,0.0816614,-0.418834
0.023,0.17855,0.0859045,0.0469525,0.10153,-0.0245541,0.0734451,0.150429,0.104806,0.0119455,0.0921927,0.0395343,0.0664462,0.0471808,0.021235,0.086239,-0.370311
0.024,0.217003,0.0648474,0.0393231,0.0978683,-0.0675839,0.0584915,0.139138,0.12922,0.0116403,0.0906668,0.000776978,0.0633945,0.0484015,0.0242868,0.0773889,-0.30653
0.025,0.376304,0.0495886,0.0496991,0.112517,0.00291168,0.0670364,0.147378,0.167672,0.0122507,0.075408,0.0142047,0.0887241,0.0459601,0.0178781,0.0880701,-0.287609
0.026,0.328697,0.0526404,0.0597699,0.149138,0.0209171,0.0658157,0.109841,0.176827,0.0250681,0.0549612,0.0203082,0.115885,0.0413824,0.0126901,0.0865442,-0.244884
0.027,0.29879,0.0627112,0.0439008,0.125639,0.0209171,0.0584915,0.0579611,0.213143,0.01103,0.0247488,-0.025163,0.102762,0.0477911,0.00750214,0.101498,-0.222301
0.028,0.164207,0.0386023,0.046037,0.134184,0.0282413,0.059407,0.0756613,0.242745,0.00797821,-0.0231638,-0.0575116,0.0997104,0.047486,0.0306955,0.0920373,-0.258922
0.029,0.075401,0.0257849,0.0463422,0.129607,0.0306827,0.0844315,0.054299,0.269906,0.00889374,-0.0512399,0.0227496,0.10734,0.0578619,0.00841766,0.0883752,-0.180797
0.03,0.0345074,0.0193762,0.0399335,0.14395,0.0349551,0.0783279,0.0735251,0.283639,0.0101144,-0.109834,0.10118,0.111307,0.0755621,0.000177918,0.0944788,-0.0974841
0.031,-0.0402606,0.0331091,0.0371869,0.122588,0.0410587,0.0462845,0.075051,0.324227,-0.00148224,-0.134248,0.125899,0.0838412,0.0590826,0.00658661,0.0956995,0.0233655
0.032,0.0229108,0.0480627,0.0426801,0.105193,0.013898,0.0792435,0.100075,0.317513,0.040632,-0.185517,0.157943,0.0875034,0.0352789,0.0224558,0.0902063,0.141774
0.033,0.0625836,0.0413489,0.0347455,0.0871872,0.00748932,0.0752762,0.0893942,0.346505,0.0693185,-0.209931,0.0932452,0.0734653,0.0484015,0.0111642,0.0972253,0.237294
0.034,0.0625836,0.0505042,0.0350507,0.029509,0.019086,0.0676468,0.0671164,0.362374,0.0757272,-0.21573,0.00504944,0.0682773,0.0523688,-0.0178275,0.106686,0.307789
0.035,0.0839459,0.029447,0.0454266,-0.0141312,0.0306827,0.045369,0.0445334,0.403268,0.0616891,-0.224275,-0.0623944,0.0676669,0.0459601,0.000483093,0.108822,0.378895
0.036,0.119957,0.0337195,0.0454266,-0.06418,0.0212222,0.0331619,0.0417868,0.418221,0.0549753,-0.245942,0.00108215,0.0527133,0.0398566,0.0218454,0.106686,0.406666
0.037,0.152916,0.0587439,0.0609906,-0.0754715,0.0337344,0.0407913,0.0512473,0.423104,0.0842722,-0.257539,0.111556,0.0514926,0.0459601,0.0111642,0.0990564,0.452748
0.038,0.1697,0.0291418,0.0524457,-0.0171829,0.0410587,0.0487259,0.0530783,0.446602,0.0992258,-0.266694,0.113997,0.0450839,0.0792242,0.00597626,0.124691,0.489064
0.039,0.1166,0.0633215,0.0762494,0.0807785,0.0456363,0.0691727,0.0607077,0.483529,0.0989206,-0.28592,0.0682208,0.0633945,0.0523688,0.00780731,0.0871545,0.616017
0.04,0.0586163,0.0370764,0.0515302,0.160429,0.0453311,0.0548294,0.0582663,0.487496,0.0940378,-0.301484,0.0612018,0.0588168,0.0703741,0.0154367,0.100887,0.686818
0.041,0.0433575,0.0218176,0.056413,0.191252,0.0544864,0.0621536,0.0573508,0.510079,0.0919015,-0.330476,0.0444171,0.0557651,0.0563361,0.0224558,0.0847131,0.721913
