Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.0,4.46784,0.263773,8.4058,0.0622997,0.0640651,-0.0129964,0.377808,9.68199,0.155134,0.000228614,0.0435145,0.119121,0.751089,-9.94428,-0.013675,-0.0405308,0.113015,0.0436346,11.2565,-0.132804,3.03458,9.14e-05,-0.108019,0.028538,5.43267,-0.0435284,8.17467,-0.0664089,0.0338875,0.0328225,1.41239,-9.55375,-2.35831,0.0586164,-0.13298,0.210157,0.824278,9.33362,-2.75846,0.164008,0.225784,-0.382068
0.001,4.45662,0.31324,8.40872,0.0638757,0.0606939,-0.00982078,0.357545,9.67672,0.196364,0.000343292,0.0331487,0.113486,0.717324,-9.96787,-0.0466554,-0.0402815,0.120535,0.0469403,11.2554,-0.136927,3.03194,0.00903438,-0.104186,0.0287929,5.42612,-0.0436243,8.17586,-0.0696047,0.0336973,0.0325832,1.40752,-9.55262,-2.33823,0.0566827,-0.113886,0.218616,0.782288,9.33527,-2.69032,0.158708,0.238659,-0.380146
0.002,4.4454,0.362708,8.41164,0.0654516,0.0573226,-0.00664519,0.337283,9.67146,0.237594,0.00045797,0.022783,0.10785,0.683559,-9.99145,-0.0796358,-0.0400321,0.128055,0.0502461,11.2543,-0.141049,3.02931,0.0179773,-0.100353,0.0290477,5.41956,-0.0437203,8.17704,-0.0728004,0.0335072,0.0323439,1.40264,-9.55149,-2.31814,0.054749,-0.0947925,0.227076,0.740297,9.33693,-2.62217,0.153408,0.251534,-0.378224
0.003,4.43418,0.412176,8.41456,0.0670276,0.0539514,-0.0034696,0.31702,9.6662,0.278824,0.000572647,0.0124173,0.102215,0.649794,-10.015,-0.112616,-0.0397828,0.135575,0.0535518,11.2531,-0.145171,3.02667,0.0269203,-0.0965196,0.0293026,5.413,-0.0438162,8.17823,-0.0759962,0.0333171,0.0321046,1.39776,-9.55037,-2.29805,0.0528154,-0.0756985,0.235536,0.698307,9.33858,-2.55403,0.148108,0.264408,-0.376302
0.004,4.42297,0.461643,8.41748,0.0686036,0.0505802,-0.00029401,0.296758,9.66093,0.320055,0.000687325,0.00205159,0.0965799,0.616029,-10.0386,-0.145597,-0.0395335,0.143096,0.0568575,11.252,-0.149293,3.02404,0.0358633,-0.0926865,0.0295574,5.40644,-0.0439121,8.17942,-0.0791919,0.0331269,0.0318653,1.39289,-9.54924,-2.27797,0.0508817,-0.0566046,0.243996,0.656316,9.34023,-2.48588,0.142808,0.277283,-0.37438
0.005,4.42266,0.486088,8.41764,0.0681225,0.0501473,0.00385628,0.284445,9.66275,0.345632,0.000386713,-0.00780288,0.0911161,0.581651,-10.0362,-0.182018,-0.0431302,0.151407,0.0584903,11.2236,-0.156696,3.02577,0.0434655,-0.0914414,0.028925,5.39588,-0.0356047,8.17721,-0.0804677,0.0341302,0.03273,1.38874,-9.54716,-2.24823,0.0487434,-0.0358813,0.251432,0.610998,9.33279,-2.40627,0.13779,0.288826,-0.372509
0.006,4.43107,0.490516,8.4156,0.0659956,0.0520649,0.00878632,0.278493,9.67023,0.358688,-0.000246131,-0.0172483,0.0857894,0.546783,-10.013,-0.221193,-0.0498037,0.16035,0.0587846,11.1732,-0.166723,3.031,0.0499952,-0.0922669,0.0275826,5.38212,-0.0205748,8.1723,-0.0802076,0.0360881,0.0344778,1.38517,-9.54431,-2.21076,0.0464413,-0.0138545,0.258049,0.563018,9.31807,-2.3175,0.132996,0.299304,-0.370678
0.007,4.43949,0.494944,8.41355,0.0638688,0.0539826,0.0137164,0.27254,9.67772,0.371744,-0.000878975,-0.0266938,0.0804628,0.511915,-9.98983,-0.260369,-0.0564772,0.169294,0.0590789,11.1229,-0.17675,3.03622,0.0565249,-0.0930924,0.0262403,5.36836,-0.00554479,8.16739,-0.0799475,0.0380461,0.0362257,1.38161,-9.54147,-2.17329,0.0441392,0.00817226,0.264667,0.515038,9.30335,-2.22872,0.128203,0.309781,-0.368848
0.008,4.4479,0.499371,8.4115,0.061742,0.0559003,0.0186464,0.266588,9.6852,0.3848,-0.00151182,-0.0361392,0.0751361,0.477046,-9.96663,-0.299544,-0.0631507,0.178237,0.0593733,11.0726,-0.186776,3.04145,0.0630546,-0.0939179,0.0248979,5.3546,0.00948518,8.16247,-0.0796873,0.040004,0.0379736,1.37804,-9.53863,-2.13583,0.041837,0.030199,0.271285,0.467058,9.28864,-2.13995,0.123409,0.320259,-0.367018
0.009,4.45739,0.505884,8.40842,0.060006,0.0572249,0.0236971,0.262815,9.68844,0.398932,-0.0022625,-0.0454907,0.0699768,0.447747,-9.94684,-0.337776,-0.069115,0.186835,0.0598229,11.0235,-0.197048,3.04805,0.0691931,-0.094896,0.0234086,5.34244,0.0302069,8.15994,-0.079857,0.0415659,0.0395947,1.3757,-9.53526,-2.10029,0.0393843,0.0527009,0.277621,0.415535,9.27256,-2.05468,0.118793,0.330422,-0.365072
