Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.0,4.78684,-1.64644,8.27445,-0.0154753,0.00310904,0.00554208,0.488417,9.61033,-1.05225,-0.0213,0.020235,0.0125137,-0.633285,9.58904,-0.0214003,0.0183098,0.0173349,0.00990442,4.7979,1.0909,8.76457,-0.0101592,-0.00832552,0.0150026,-2.09388,-9.40786,-2.18472,-0.0112394,0.0104432,-0.0104225,8.89941,-1.84058,3.79604,-0.0391467,-0.0132679,0.00195146,0.68065,-9.91274,-0.643091,-0.0508102,0.0217608,0.015975
0.001,4.79068,-1.64738,8.27472,-0.0149908,0.00383867,0.00537557,0.484108,9.59804,-1.04517,-0.0208129,0.0198137,0.0105751,-0.639876,9.58388,-0.0141809,0.017634,0.0173854,0.00818293,4.7595,1.10072,8.78768,-0.00642731,-0.00806356,0.0129243,-2.08251,-9.42463,-2.18228,-0.0115431,0.0124944,-0.0119348,8.90896,-1.84814,3.7787,-0.0414256,-0.0112511,0.00189538,0.685625,-9.93064,-0.667383,-0.0504984,0.021799,0.0156581
0.002,4.79452,-1.64831,8.275,-0.0145063,0.00456831,0.00520906,0.479798,9.58575,-1.03809,-0.0203257,0.0193924,0.0086364,-0.646468,9.57872,-0.00696156,0.0169581,0.0174359,0.00646143,4.72111,1.11053,8.8108,-0.00269547,-0.00780161,0.010846,-2.07115,-9.44139,-2.17983,-0.0118469,0.0145456,-0.0134471,8.91852,-1.85571,3.76136,-0.0437045,-0.00923437,0.00183929,0.6906,-9.94853,-0.691675,-0.0501866,0.0218372,0.0153412
0.003,4.79836,-1.64925,8.27527,-0.0140218,0.00529794,0.00504255,0.475488,9.57346,-1.031,-0.0198386,0.0189711,0.00669773,-0.65306,9.57357,0.000257803,0.0162823,0.0174865,0.00473993,4.68271,1.12035,8.83391,0.00103637,-0.00753965,0.00876771,-2.05978,-9.45815,-2.17739,-0.0121507,0.0165968,-0.0149593,8.92807,-1.86327,3.74402,-0.0459834,-0.00721762,0.00178321,0.695575,-9.96642,-0.715967,-0.0498749,0.0218754,0.0150244
0.004,4.8022,-1.65019,8.27554,-0.0135374,0.00602757,0.00487604,0.471179,9.56117,-1.02392,-0.0193515,0.0185497,0.00475905,-0.659651,9.56841,0.00747717,0.0156065,0.017537,0.00301843,4.64431,1.13016,8.85702,0.00476821,-0.00727769,0.00668941,-2.04841,-9.47491,-2.17495,-0.0124544,0.0186479,-0.0164716,8.93763,-1.87083,3.72667,-0.0482623,-0.00520088,0.00172713,0.70055,-9.98431,-0.740259,-0.0495631,0.0219135,0.0147075
0.005,4.78851,-1.66285,8.27536,-0.0132543,0.00662287,0.00473428,0.469722,9.55342,-1.02452,-0.0193123,0.0180242,0.00323727,-0.667305,9.56249,0.010653,0.0154406,0.0179448,0.00224968,4.65007,1.13804,8.85658,0.00754338,-0.00791978,0.00625852,-2.04643,-9.47761,-2.16807,-0.0122619,0.0202712,-0.0175494,8.93643,-1.87487,3.71116,-0.0488246,-0.0030853,0.00194018,0.706809,-9.99442,-0.751758,-0.0502894,0.0211258,0.0148855
0.006,4.76081,-1.68487,8.2748,-0.0131323,0.0071107,0.00461232,0.470548,9.54929,-1.03126,-0.0196316,0.0174153,0.00204899,-0.675807,9.55596,0.0105939,0.0156827,0.0186384,0.00224311,4.69113,1.14436,8.83729,0.00955321,-0.00928511,0.00714556,-2.05195,-9.46904,-2.15766,-0.0116723,0.0215522,-0.0182795,8.92663,-1.87609,3.6971,-0.0480136,-0.000890649,0.00236852,0.714094,-9.99829,-0.753022,-0.0518463,0.0196774,0.0154594
0.007,4.73311,-1.7069,8.27424,-0.0130104,0.00759854,0.00449037,0.471374,9.54517,-1.03799,-0.0199508,0.0168064,0.000860721,-0.68431,9.54943,0.0105349,0.0159248,0.019332,0.00223654,4.7322,1.15069,8.818,0.011563,-0.0106504,0.0080326,-2.05747,-9.46048,-2.14725,-0.0110827,0.0228331,-0.0190096,8.91682,-1.87732,3.68304,-0.0472025,0.001304,0.00279686,0.721379,-10.0022,-0.754287,-0.0534031,0.018229,0.0160333
0.008,4.70541,-1.72893,8.27369,-0.0128884,0.00808637,0.00436841,0.4722,9.54105,-1.04473,-0.02027,0.0161975,-0.000327552,-0.692813,9.5429,0.0104758,0.016167,0.0200256,0.00222998,4.77327,1.15702,8.79872,0.0135729,-0.0120158,0.00891964,-2.06299,-9.45192,-2.13684,-0.0104932,0.0241141,-0.0197397,8.90702,-1.87854,3.66899,-0.0463915,0.00349865,0.0032252,0.728664,-10.006,-0.755551,-0.05496,0.0167806,0.0166072
0.009,4.6839,-1.74994,8.27442,-0.0128209,0.00831569,0.00426,0.471478,9.53936,-1.04862,-0.0205931,0.0158026,-0.00140245,-0.701353,9.53749,0.00808553,0.0163986,0.0206377,0.00216282,4.81042,1.16031,8.78211,0.0152144,-0.0131559,0.00975548,-2.06753,-9.44215,-2.12773,-0.00988929,0.0253543,-0.0202812,8.89789,-1.87948,3.65576,-0.0455804,0.00543962,0.00370889,0.735684,-10.009,-0.754787,-0.0563483,0.0156392,0.0172979
0.01,4.71191,-1.76285,8.28543,-0.0131886,0.00647694,0.00426,0.458375,9.55714,-1.02969,-0.0209466,0.0171197,-0.00157035,-0.71019,9.54112,-0.0129547,0.0165466,0.0205975,0.00161097,4.8163,1.13931,8.78698,0.0139099,-0.0124942,0.0101817,-2.06424,-9.42276,-2.12909,-0.00917097,0.0262687,-0.0193144,8.89406,-1.87809,3.64917,-0.0447694,0.00535124,0.0046353,0.740583,-10.0048,-0.737796,-0.0563882,0.0169541,0.0189236
0.011,4.73993,-1.77576,8.29644,-0.0135564,0.00463819,0.00426,0.445273,9.57491,-1.01076,-0.0213001,0.0184368,-0.00173824,-0.719026,9.54474,-0.033995,0.0166946,0.0205573,0.00105912,4.82218,1.11832,8.79185,0.0126054,-0.0118326,0.0106079,-2.06095,-9.40337,-2.13045,-0.00845266,0.0271831,-0.0183476,8.89023,-1.8767,3.64258,-0.0439584,0.00526286,0.00556172,0.745481,-10.0005,-0.720804,-0.0564281,0.018269,0.0205493
0.012,4.76795,-1.78868,8.30745,-0.0139241,0.00279943,0.00426,0.432171,9.59269,-0.991823,-0.0216537,0.019754,-0.00190614,-0.727862,9.54836,-0.0550353,0.0168427,0.0205171,0.000507272,4.82805,1.09732,8.79672,0.0113009,-0.011171,0.0110341,-2.05766,-9.38397,-2.13181,-0.00773435,0.0280975,-0.0173808,8.8864,-1.87531,3.63599,-0.0431474,0.00517448,0.00648813,0.750379,-9.99631,-0.703812,-0.056468,0.0195839,0.022175
0.013,4.79597,-1.80159,8.31846,-0.0142919,0.00096068,0.00426,0.419069,9.61047,-0.972891,-0.0220072,0.0210711,-0.00207403,-0.736698,9.55199,-0.0760756,0.0169907,0.0204769,-4.46e-05,4.83393,1.07633,8.80159,0.00999634,-0.0105094,0.0114604,-2.05437,-9.36458,-2.13317,-0.00701603,0.0290119,-0.016414,8.88257,-1.87392,3.62939,-0.0423364,0.0050861,0.00741455,0.755278,-9.99208,-0.686821,-0.0565079,0.0208988,0.0238007
0.014,4.80053,-1.79661,8.31927,-0.0141158,0.000722059,0.00463298,0.407051,9.62205,-0.967433,-0.0214106,0.0199221,-0.00225507,-0.736587,9.56307,-0.0918394,0.0166536,0.0201407,-0.000227684,4.84137,1.05618,8.7932,0.00844677,-0.0119885,0.0126002,-2.04565,-9.36083,-2.13249,-0.00689033,0.028233,-0.0164467,8.89918,-1.87992,3.63,-0.041125,0.00567552,0.00845816,0.769131,-9.98126,-0.678887,-0.0555137,0.0227539,0.0241527
0.015,4.79336,-1.78268,8.31498,-0.0136678,0.0012835,0.00519245,0.395575,9.63052,-0.968713,-0.020339,0.0175401,-0.00244267,-0.732001,9.57789,-0.104965,0.0160741,0.0196565,-0.000226417,4.84958,1.03644,8.77817,0.00677469,-0.014538,0.0140968,-2.03421,-9.3649,-2.13079,-0.00706092,0.0266074,-0.0169791,8.92601,-1.88961,3.63419,-0.0397134,0.00660383,0.00956037,0.787461,-9.96716,-0.675482,-0.0540024,0.0248791,0.023868
