Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.001,-2.97963,9.13412,-0.531265,-0.00114157,0.0278073,-0.00108294,-1.42629,9.81368,0.365381,-0.0117013,0.0218486,0.00394023,-0.632367,-9.90256,0.43401,-0.0232624,0.0179757,0.0153786,3.76654,0.923341,9.28026,-0.0149653,-0.000944692,0.0084859,-0.094083,-9.80543,-0.138289,-0.0634693,0.0301984,0.00377171,4.09157,-1.5538,8.63225,-0.024684,0.00758663,0.000773012,4.09157,-1.5538,8.63225,-0.024684,0.00758663,0.000773012
0.002,-2.98792,9.13105,-0.522557,-0.000787737,0.0277203,-0.000896699,-1.42235,9.81441,0.349836,-0.0117053,0.0213852,0.00250241,-0.600405,-9.91622,0.427562,-0.0242022,0.0167983,0.0137257,3.76219,0.924938,9.28551,-0.0155607,-0.00190026,0.00790517,-0.0865469,-9.82304,-0.130476,-0.0644818,0.0303877,0.00361431,4.08948,-1.54757,8.62991,-0.0249348,0.00734268,0.000856601,4.08948,-1.54757,8.62991,-0.0249348,0.00734268,0.000856601
0.003,-2.99621,9.12798,-0.513848,-0.000433901,0.0276334,-0.000710456,-1.41842,9.81514,0.334292,-0.0117093,0.0209219,0.00106459,-0.568442,-9.92989,0.421115,-0.0251421,0.0156209,0.0120728,3.75784,0.926535,9.29075,-0.0161561,-0.00285583,0.00732443,-0.0790107,-9.84066,-0.122662,-0.0654943,0.030577,0.00345691,4.08739,-1.54134,8.62756,-0.0251856,0.00709873,0.00094019,4.08739,-1.54134,8.62756,-0.0251856,0.00709873,0.00094019
0.004,-3.0045,9.12491,-0.50514,-8.00652e-005,0.0275465,-0.000524213,-1.41449,9.81586,0.318748,-0.0117132,0.0204585,-0.000373238,-0.53648,-9.94355,0.414668,-0.0260819,0.0144435,0.01042,3.75349,0.928133,9.296,-0.0167515,-0.0038114,0.0067437,-0.0714746,-9.85827,-0.114849,-0.0665068,0.0307663,0.00329951,4.08529,-1.53511,8.62521,-0.0254363,0.00685478,0.00102378,4.08529,-1.53511,8.62521,-0.0254363,0.00685478,0.00102378
0.005,-3.00365,9.13232,-0.502534,0.000466921,0.0276638,-0.000575943,-1.4193,9.80362,0.324932,-0.0110495,0.0201173,-8.70826e-005,-0.525012,-9.94221,0.411708,-0.025205,0.014697,0.0107294,3.75193,0.933584,9.28922,-0.0166072,-0.00375754,0.00679709,-0.0709206,-9.86235,-0.110635,-0.0658005,0.0307244,0.00283405,4.08163,-1.53531,8.6318,-0.0247046,0.00678894,0.000795188,4.08163,-1.53531,8.6318,-0.0247046,0.00678894,0.000795188
0.006,-2.99549,9.1481,-0.504812,0.00116843,0.0279444,-0.00081805,-1.43111,9.78101,0.348499,-0.00985152,0.0198738,0.00157826,-0.52994,-9.92885,0.411539,-0.0228747,0.0160952,0.0126087,3.7526,0.942118,9.27282,-0.0158712,-0.00289612,0.00735777,-0.0759524,-9.85559,-0.1093,-0.0637192,0.0304974,0.00212214,4.07671,-1.54064,8.64553,-0.0231868,0.00686558,0.000316854,4.07671,-1.54064,8.64553,-0.0231868,0.00686558,0.000316854
0.007,-2.98733,9.16389,-0.507089,0.00186993,0.028225,-0.00106016,-1.44292,9.75839,0.372067,-0.00865356,0.0196303,0.00324359,-0.534868,-9.9155,0.411369,-0.0205445,0.0174933,0.014488,3.75328,0.950653,9.25643,-0.0151353,-0.0020347,0.00791846,-0.0809842,-9.84883,-0.107965,-0.0616379,0.0302705,0.00141023,4.07179,-1.54598,8.65926,-0.021669,0.00694223,-0.00016148,4.07179,-1.54598,8.65926,-0.021669,0.00694223,-0.00016148
0.008,-2.97917,9.17967,-0.509366,0.00257144,0.0285056,-0.00130226,-1.45474,9.73578,0.395634,-0.00745561,0.0193868,0.00490893,-0.539796,-9.90215,0.411199,-0.0182142,0.0188915,0.0163674,3.75396,0.959187,9.24003,-0.0143993,-0.00117328,0.00847915,-0.086016,-9.84208,-0.10663,-0.0595566,0.0300436,0.000698326,4.06687,-1.55131,8.67299,-0.0201512,0.00701887,-0.000639814,4.06687,-1.55131,8.67299,-0.0201512,0.00701887,-0.000639814
0.009,-2.97409,9.19453,-0.511137,0.00321817,0.0286971,-0.00162548,-1.46191,9.7163,0.414543,-0.00657532,0.0192484,0.00620536,-0.539179,-9.88839,0.410573,-0.0162649,0.0200528,0.0179959,3.75491,0.966204,9.22512,-0.0137371,-0.000386921,0.00902506,-0.0925186,-9.83771,-0.104016,-0.0580184,0.0299469,3.74844e-005,4.06363,-1.55527,8.68187,-0.0187846,0.00717398,-0.00105551,4.06363,-1.55527,8.68187,-0.0187846,0.00717398,-0.00105551
0.01,-2.99368,9.20197,-0.508861,0.00342675,0.0281756,-0.0025976,-1.43196,9.72195,0.396184,-0.00823631,0.019951,0.00455044,-0.494201,-9.87143,0.406294,-0.0173639,0.0193198,0.0176177,3.75812,0.96108,9.2221,-0.0136654,-0.00020107,0.00945269,-0.110788,-9.85251,-0.0911764,-0.060825,0.0308923,-0.000214829,4.07384,-1.54816,8.652,-0.0186277,0.00795678,-0.000970088,4.07384,-1.54816,8.652,-0.0186277,0.00795678,-0.000970088
0.011,-3.01327,9.20941,-0.506584,0.00363533,0.0276542,-0.00356972,-1.402,9.7276,0.377824,-0.0098973,0.0206536,0.00289553,-0.449223,-9.85446,0.402016,-0.0184628,0.0185867,0.0172395,3.76133,0.955956,9.21908,-0.0135938,-1.52195e-005,0.00988032,-0.129057,-9.86731,-0.0783364,-0.0636317,0.0318376,-0.000467143,4.08405,-1.54105,8.62212,-0.0184709,0.00873958,-0.000884668,4.08405,-1.54105,8.62212,-0.0184709,0.00873958,-0.000884668
0.012,-3.03287,9.21684,-0.504307,0.0038439,0.0271327,-0.00454185,-1.37205,9.73325,0.359465,-0.0115583,0.0213562,0.00124062,-0.404245,-9.83749,0.397738,-0.0195618,0.0178536,0.0168614,3.76454,0.950833,9.21606,-0.0135221,0.000170631,0.010308,-0.147326,-9.88211,-0.0654964,-0.0664383,0.032783,-0.000719457,4.09426,-1.53394,8.59225,-0.0183141,0.00952238,-0.000799247,4.09426,-1.53394,8.59225,-0.0183141,0.00952238,-0.000799247
0.013,-3.05246,9.22428,-0.50203,0.00405248,0.0266113,-0.00551397,-1.34209,9.7389,0.341106,-0.0132193,0.0220587,-0.000414289,-0.359267,-9.82053,0.393459,-0.0206607,0.0171206,0.0164832,3.76775,0.945709,9.21304,-0.0134505,0.000356482,0.0107356,-0.165595,-9.89691,-0.0526563,-0.069245,0.0337284,-0.000971771,4.10447,-1.52683,8.56238,-0.0181573,0.0103052,-0.000713826,4.10447,-1.52683,8.56238,-0.0181573,0.0103052,-0.000713826
0.014,-3.06278,9.21463,-0.502246,0.00394655,0.0264135,-0.00648863,-1.34834,9.76117,0.331594,-0.0125138,0.0210419,0.000765721,-0.343982,-9.82579,0.403975,-0.0202692,0.0164556,0.0174634,3.77263,0.944262,9.21739,-0.0133865,0.000458519,0.010798,-0.17319,-9.89113,-0.0619494,-0.0685989,0.0334127,-0.00233794,4.09559,-1.51766,8.55618,-0.0186919,0.0115796,-0.00058255,4.09559,-1.51766,8.55618,-0.0186919,0.0115796,-0.00058255
0.015,-3.06845,9.19644,-0.503707,0.00368338,0.0263774,-0.00746455,-1.3727,9.79176,0.326506,-0.0106251,0.0191652,0.00336319,-0.343544,-9.84217,0.421887,-0.0191325,0.0158246,0.0191229,3.77835,0.944654,9.22544,-0.0133263,0.000518649,0.0106777,-0.175447,-9.87506,-0.0823091,-0.0662265,0.0324664,-0.00426103,4.07716,-1.50746,8.56183,-0.0195723,0.0130997,-0.000428346,4.07716,-1.50746,8.56183,-0.0195723,0.0130997,-0.000428346
0.016,-3.07412,9.17824,-0.505167,0.00342021,0.0263413,-0.00844048,-1.39705,9.82234,0.321418,-0.00873641,0.0172886,0.00596066,-0.343106,-9.85854,0.439799,-0.0179958,0.0151936,0.0207823,3.78408,0.945046,9.23348,-0.0132662,0.00057878,0.0105574,-0.177704,-9.859,-0.102669,-0.063854,0.0315202,-0.00618412,4.05874,-1.49726,8.56747,-0.0204528,0.0146199,-0.000274141,4.05874,-1.49726,8.56747,-0.0204528,0.0146199,-0.000274141
0.017,-3.07979,9.16005,-0.506628,0.00315703,0.0263052,-0.00941641,-1.4214,9.85292,0.31633,-0.0068477,0.015412,0.00855813,-0.342668,-9.87492,0.457712,-0.0168591,0.0145626,0.0224418,3.7898,0.945438,9.24153,-0.0132061,0.00063891,0.0104372,-0.179962,-9.84293,-0.123028,-0.0614816,0.0305739,-0.00810721,4.04031,-1.48706,8.57311,-0.0213332,0.0161401,-0.000119937,4.04031,-1.48706,8.57311,-0.0213332,0.0161401,-0.000119937
0.018,-3.08351,9.14338,-0.511998,0.00270761,0.0264301,-0.0100974,-1.43754,9.87155,0.315596,-0.0055465,0.0142666,0.0103663,-0.346868,-9.89368,0.47307,-0.0159653,0.0141816,0.0238965,3.79565,0.946137,9.24897,-0.0130274,0.000608745,0.0101694,-0.178175,-9.8281,-0.138867,-0.0595866,0.0300992,-0.00985608,4.02804,-1.4774,8.5795,-0.022113,0.0169931,6.04406e-005,4.02804,-1.4774,8.5795,-0.022113,0.0169931,6.04406e-005
0.019,-3.08038,9.13206,-0.531046,0.00160633,0.0271179,-0.00974603,-1.42491,9.84835,0.330101,-0.00630153,0.0156801,0.00941184,-0.3673,-9.9208,0.47949,-0.0159218,0.0146755,0.0246348,3.80196,0.947916,9.25431,-0.012434,0.000262547,0.0093852,-0.162233,-9.81759,-0.138884,-0.0593625,0.031275,-0.0109951,4.0373,-1.46965,8.58848,-0.0225409,0.0155114,0.000332423,4.0373,-1.46965,8.58848,-0.0225409,0.0155114,0.000332423
0.02,-3.07724,9.12073,-0.550094,0.000505045,0.0278058,-0.00939467,-1.41228,9.82516,0.344606,-0.00705656,0.0170937,0.00845739,-0.387733,-9.94793,0.485909,-0.0158784,0.0151694,0.025373,3.80828,0.949694,9.25964,-0.0118406,-8.36516e-005,0.00860102,-0.146292,-9.80708,-0.1389,-0.0591383,0.0324507,-0.0121342,4.04657,-1.4619,8.59747,-0.0229688,0.0140296,0.000604406,4.04657,-1.4619,8.59747,-0.0229688,0.0140296,0.000604406
0.021,-3.07411,9.10941,-0.569142,-0.000596238,0.0284937,-0.00904331,-1.39965,9.80196,0.35911,-0.0078116,0.0185073,0.00750294,-0.408165,-9.97505,0.492329,-0.0158349,0.0156632,0.0261112,3.81459,0.951473,9.26498,-0.0112471,-0.00042985,0.00781684,-0.13035,-9.79658,-0.138917,-0.0589142,0.0336265,-0.0132732,4.05584,-1.45415,8.60646,-0.0233967,0.0125479,0.000876389,4.05584,-1.45415,8.60646,-0.0233967,0.0125479,0.000876389
0.022,-3.07098,9.09808,-0.58819,-0.00169752,0.0291816,-0.00869195,-1.38702,9.77877,0.373615,-0.00856663,0.0199209,0.0065485,-0.428597,-10.0022,0.498749,-0.0157914,0.0161571,0.0268495,3.8209,0.953251,9.27032,-0.0106537,-0.000776049,0.00703267,-0.114409,-9.78607,-0.138933,-0.05869,0.0348022,-0.0144123,4.06511,-1.4464,8.61545,-0.0238247,0.0110661,0.00114837,4.06511,-1.4464,8.61545,-0.0238247,0.0110661,0.00114837
0.023,-3.07426,9.09452,-0.579203,-0.00269547,0.0280164,-0.00858488,-1.3859,9.77694,0.366333,-0.0101379,0.0202537,0.00602925,-0.429492,-10.0059,0.495419,-0.0157928,0.0150347,0.0257243,3.8161,0.953283,9.26578,-0.0104646,-0.00136952,0.00720318,-0.119049,-9.79535,-0.139876,-0.059354,0.0341713,-0.0119075,4.07225,-1.44358,8.62076,-0.022602,0.0102463,0.00155639,4.07225,-1.44358,8.62076,-0.022602,0.0102463,0.00155639
0.024,-3.07936,9.09318,-0.562206,-0.0036639,0.0263217,-0.0085476,-1.38808,9.78121,0.352827,-0.0119424,0.0202778,0.00563435,-0.424804,-10.003,0.489303,-0.0158071,0.0134505,0.0240668,3.80813,0.952816,9.25842,-0.0103909,-0.00203364,0.00764645,-0.12957,-9.8103,-0.141084,-0.0602717,0.0330241,-0.00836164,4.07879,-1.44217,8.62503,-0.0209077,0.00961575,0.00200329,4.07879,-1.44217,8.62503,-0.0209077,0.00961575,0.00200329
0.025,-3.08447,9.09184,-0.545208,-0.00463233,0.0246271,-0.00851032,-1.39025,9.78548,0.339321,-0.0137469,0.0203019,0.00523946,-0.420117,-10,0.483187,-0.0158214,0.0118663,0.0224092,3.80015,0.95235,9.25107,-0.0103173,-0.00269776,0.00808973,-0.140091,-9.82524,-0.142292,-0.0611894,0.031877,-0.00481577,4.08534,-1.44077,8.6293,-0.0192134,0.00898515,0.00245018,4.08534,-1.44077,8.6293,-0.0192134,0.00898515,0.00245018
0.026,-3.08958,9.09049,-0.528211,-0.00560076,0.0229324,-0.00847304,-1.39243,9.78976,0.325814,-0.0155514,0.020326,0.00484456,-0.41543,-9.99706,0.477071,-0.0158358,0.0102821,0.0207517,3.79218,0.951883,9.24371,-0.0102437,-0.00336189,0.00853301,-0.150612,-9.84018,-0.143499,-0.0621071,0.0307299,-0.00126989,4.09188,-1.43936,8.63357,-0.0175191,0.00835455,0.00289707,4.09188,-1.43936,8.63357,-0.0175191,0.00835455,0.00289707
0.027,-3.09234,9.09669,-0.513396,-0.00656918,0.0213201,-0.00830502,-1.38464,9.7933,0.308524,-0.0161368,0.0205469,0.005256,-0.415686,-9.98427,0.470905,-0.0169179,0.00965228,0.019385,3.78,0.956887,9.23924,-0.0104623,-0.00397889,0.00901184,-0.156648,-9.85116,-0.145798,-0.0624081,0.0303473,0.00118111,4.09543,-1.44259,8.6372,-0.0165982,0.00816955,0.00316303,4.09543,-1.44259,8.6372,-0.0165982,0.00816955,0.00316303
0.028,-3.09041,9.11797,-0.502944,-0.00753761,0.0198722,-0.00787551,-1.35694,9.79538,0.283665,-0.0142841,0.0211614,0.00728013,-0.425831,-9.9518,0.464639,-0.0201358,0.0109312,0.0186001,3.7594,0.972832,9.24052,-0.0112652,-0.00450165,0.00956177,-0.153715,-9.85422,-0.150278,-0.0614757,0.031494,0.00144238,4.093,-1.45509,8.63956,-0.017224,0.00887575,0.00306713,4.093,-1.45509,8.63956,-0.017224,0.00887575,0.00306713
0.029,-3.08848,9.13924,-0.492492,-0.00850604,0.0184244,-0.007446,-1.32923,9.79747,0.258806,-0.0124313,0.0217759,0.00930426,-0.435976,-9.91934,0.458373,-0.0233537,0.0122101,0.0178152,3.7388,0.988777,9.24179,-0.0120682,-0.00502441,0.0101117,-0.150782,-9.85728,-0.154758,-0.0605434,0.0326407,0.00170364,4.09057,-1.46759,8.64192,-0.0178499,0.00958195,0.00297123,4.09057,-1.46759,8.64192,-0.0178499,0.00958195,0.00297123
0.03,-3.08655,9.16052,-0.48204,-0.00947447,0.0169766,-0.00701649,-1.30152,9.79955,0.233947,-0.0105786,0.0223904,0.0113284,-0.446121,-9.88687,0.452107,-0.0265716,0.013489,0.0170303,3.7182,1.00472,9.24307,-0.0128712,-0.00554717,0.0106616,-0.147849,-9.86034,-0.159238,-0.059611,0.0337874,0.00196491,4.08814,-1.48009,8.64428,-0.0184757,0.0102882,0.00287533,4.08814,-1.48009,8.64428,-0.0184757,0.0102882,0.00287533
