Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0,4.61342,-3.36789,7.88486,-0.0541631,-0.00188662,0.0620738,2.35553,-8.34741,-2.32627,0.422209,-1.37948,-0.0223471,-0.348591,9.21061,-3.157,0.00556346,-0.0234842,0.107351,8.9303,0.530541,3.26354,0.0825759,0.111748,0.0790261,-0.792486,-9.40637,-2.87088,-0.159776,-0.360024,0.0665613,0.95892,10.1694,-2.52242,0.197729,0.203883,-0.107633,4.75763,3.83719,7.86052,-0.0602492,0.0707458,0.0985892
0.001,4.61209,-3.35056,7.89778,-0.0504997,0.000308468,0.0594639,2.3057,-8.30169,-2.47429,0.407481,-1.3626,-0.0104663,-0.316754,9.22037,-3.15066,0.00299369,-0.024071,0.105023,8.89219,0.54357,3.27822,0.0761626,0.108098,0.0787494,-0.780187,-9.40799,-2.90476,-0.158643,-0.340848,0.0699698,0.927573,10.22,-2.48805,0.186079,0.217066,-0.0986949,4.76738,3.79666,7.89002,-0.0576095,0.0672648,0.0954787
0.002,4.61075,-3.33324,7.9107,-0.0468362,0.00250355,0.0568539,2.25588,-8.25598,-2.62231,0.392753,-1.34573,0.00141455,-0.284916,9.23013,-3.14432,0.000423924,-0.0246578,0.102695,8.85408,0.556599,3.29291,0.0697493,0.104448,0.0784728,-0.767888,-9.40962,-2.93865,-0.157511,-0.321672,0.0733782,0.896227,10.2706,-2.45368,0.174428,0.230249,-0.0897563,4.77713,3.75613,7.91953,-0.0549698,0.0637838,0.0923682
0.003,4.60941,-3.31592,7.92362,-0.0431728,0.00469864,0.0542439,2.20605,-8.21027,-2.77033,0.378025,-1.32885,0.0132954,-0.253079,9.23989,-3.13798,-0.00214584,-0.0252447,0.100366,8.81598,0.569628,3.30759,0.063336,0.100798,0.0781962,-0.755589,-9.41124,-2.97253,-0.156378,-0.302496,0.0767866,0.864881,10.3213,-2.41931,0.162777,0.243432,-0.0808178,4.78687,3.7156,7.94903,-0.0523301,0.0603028,0.0892576
0.004,4.60808,-3.29859,7.93654,-0.0395094,0.00689372,0.0516339,2.15623,-8.16456,-2.91836,0.363297,-1.31197,0.0251762,-0.221242,9.24965,-3.13164,-0.00471561,-0.0258315,0.0980383,8.77787,0.582657,3.32227,0.0569227,0.0971486,0.0779196,-0.743289,-9.41287,-3.00641,-0.155246,-0.28332,0.080195,0.833534,10.3719,-2.38494,0.151126,0.256615,-0.0718792,4.79662,3.67507,7.97853,-0.0496904,0.0568218,0.0861471
0.005,4.61068,-3.31981,7.93064,-0.0361111,0.00790005,0.0496273,2.12703,-8.12597,-3.06411,0.349275,-1.28857,0.0362114,-0.1917,9.2581,-3.1401,-0.00642681,-0.0254444,0.0960173,8.76237,0.611373,3.33036,0.0517611,0.0928779,0.0795478,-0.733157,-9.40971,-3.02814,-0.152327,-0.263484,0.0830963,0.791801,10.4158,-2.34,0.138659,0.269279,-0.0644849,4.79938,3.65163,7.99506,-0.0477332,0.0539121,0.0832214
0.006,4.61643,-3.37185,7.90968,-0.032925,0.00795537,0.0481032,2.11434,-8.09308,-3.20804,0.335819,-1.25996,0.0465701,-0.163994,9.2655,-3.1604,-0.00745116,-0.0242783,0.0942421,8.76496,0.652638,3.33318,0.0476007,0.0881105,0.0827,-0.724759,-9.40273,-3.04015,-0.14798,-0.243121,0.0855919,0.741759,10.4543,-2.2866,0.125541,0.281529,-0.0583259,4.79656,3.64187,8.00121,-0.046322,0.0514594,0.0804435
0.007,4.62218,-3.4239,7.88873,-0.0297389,0.0080107,0.0465791,2.10165,-8.06019,-3.35198,0.322362,-1.23134,0.0569288,-0.136289,9.2729,-3.1807,-0.00847551,-0.0231122,0.092467,8.76755,0.693904,3.336,0.0434403,0.083343,0.0858522,-0.71636,-9.39575,-3.05216,-0.143633,-0.222758,0.0880875,0.691716,10.4928,-2.2332,0.112422,0.293778,-0.052167,4.79373,3.6321,8.00736,-0.0449108,0.0490067,0.0776657
0.008,4.62793,-3.47594,7.86777,-0.0265528,0.00806602,0.045055,2.08897,-8.02729,-3.49591,0.308906,-1.20273,0.0672875,-0.108583,9.28029,-3.201,-0.00949986,-0.021946,0.0906918,8.77014,0.735169,3.33881,0.0392799,0.0785756,0.0890044,-0.707961,-9.38877,-3.06417,-0.139286,-0.202394,0.090583,0.641673,10.5313,-2.1798,0.0993032,0.306027,-0.046008,4.79091,3.62233,8.01351,-0.0434996,0.046554,0.0748878
0.009,4.63148,-3.52294,7.84908,-0.023703,0.00818435,0.0435657,2.07474,-7.99472,-3.63719,0.294798,-1.17271,0.0778789,-0.0830304,9.28629,-3.22292,-0.0105708,-0.020882,0.0889521,8.77092,0.773166,3.34291,0.0353163,0.0742407,0.0917269,-0.700135,-9.38554,-3.0768,-0.134845,-0.181742,0.0929162,0.592404,10.5643,-2.12344,0.0863125,0.317645,-0.0394688,4.79019,3.61649,8.01906,-0.0421818,0.044456,0.0723293
0.01,4.61744,-3.52961,7.84846,-0.0235438,0.00880674,0.0423545,2.04822,-7.96469,-3.75715,0.275476,-1.13154,0.0903312,-0.0746988,9.28106,-3.25776,-0.0120145,-0.0206343,0.0874964,8.75714,0.785017,3.35729,0.0329268,0.0733662,0.0910118,-0.696886,-9.41232,-3.09432,-0.129654,-0.158771,0.0939498,0.54933,10.5536,-2.04335,0.0743452,0.324216,-0.029887,4.80632,3.64206,8.01984,-0.041611,0.0451955,0.071525
0.011,4.6034,-3.53628,7.84785,-0.0233846,0.00942913,0.0411433,2.02171,-7.93466,-3.87712,0.256154,-1.09037,0.102784,-0.0663671,9.27584,-3.2926,-0.0134582,-0.0203867,0.0860407,8.74336,0.796868,3.37166,0.0305373,0.0724917,0.0902968,-0.693637,-9.4391,-3.11184,-0.124462,-0.135801,0.0949834,0.506255,10.5428,-1.96326,0.0623779,0.330786,-0.0203053,4.82245,3.66763,8.02063,-0.0410402,0.045935,0.0707208
0.012,4.58936,-3.54296,7.84724,-0.0232254,0.0100515,0.039932,1.99519,-7.90463,-3.99709,0.236832,-1.04919,0.115236,-0.0580355,9.27061,-3.32745,-0.0149019,-0.0201391,0.084585,8.72958,0.808719,3.38604,0.0281477,0.0716173,0.0895818,-0.690388,-9.46588,-3.12937,-0.119271,-0.11283,0.096017,0.46318,10.5321,-1.88316,0.0504106,0.337357,-0.0107236,4.83858,3.6932,8.02142,-0.0404694,0.0466745,0.0699165
0.013,4.57532,-3.54963,7.84663,-0.0230663,0.0106739,0.0387208,1.96867,-7.87461,-4.11706,0.21751,-1.00802,0.127688,-0.0497038,9.26539,-3.36229,-0.0163456,-0.0198915,0.0831293,8.7158,0.82057,3.40041,0.0257582,0.0707428,0.0888667,-0.68714,-9.49266,-3.14689,-0.114079,-0.0898596,0.0970506,0.420105,10.5214,-1.80307,0.0384433,0.343928,-0.0011419,4.85471,3.71877,8.0222,-0.0398985,0.047414,0.0691122
0.014,4.56342,-3.5418,7.83101,-0.0213826,0.00996452,0.0393329,1.95554,-7.87107,-4.22153,0.195011,-0.961909,0.137171,-0.0419829,9.26206,-3.37002,-0.0178239,-0.0186096,0.0805422,8.72938,0.831503,3.41799,0.0252876,0.0682569,0.0890204,-0.690095,-9.51245,-3.13417,-0.109235,-0.0691468,0.098307,0.379295,10.4903,-1.74271,0.0256537,0.34797,0.00472534,4.85494,3.74136,8.02312,-0.0392823,0.0475783,0.066976
0.015,4.5526,-3.52673,7.80789,-0.0189368,0.00858922,0.0408566,1.94909,-7.88077,-4.31824,0.170924,-0.913328,0.14517,-0.0345673,9.25968,-3.36418,-0.0193195,-0.0168106,0.0773893,8.75663,0.841976,3.43717,0.0257764,0.0649653,0.0896084,-0.696151,-9.52875,-3.10633,-0.104563,-0.0495628,0.099675,0.339616,10.4491,-1.69221,0.012453,0.350749,0.00873533,4.84722,3.76245,8.02411,-0.0386434,0.047455,0.0641737
0.016,4.54178,-3.51166,7.78477,-0.0164909,0.00721393,0.0423804,1.94265,-7.89047,-4.41495,0.146838,-0.864747,0.153168,-0.0271518,9.2573,-3.35835,-0.0208152,-0.0150116,0.0742365,8.78387,0.852449,3.45635,0.0262651,0.0616736,0.0901964,-0.702208,-9.54506,-3.07849,-0.0998911,-0.0299788,0.101043,0.299938,10.4078,-1.64171,-0.00074774,0.353528,0.0127453,4.8395,3.78355,8.02509,-0.0380045,0.0473317,0.0613715
0.017,4.53096,-3.49658,7.76166,-0.014045,0.00583864,0.0439041,1.93621,-7.90018,-4.51166,0.122751,-0.816167,0.161166,-0.0197363,9.25492,-3.35252,-0.0223108,-0.0132126,0.0710836,8.81112,0.862923,3.47553,0.0267539,0.058382,0.0907845,-0.708265,-9.56136,-3.05065,-0.0952193,-0.0103948,0.102411,0.260259,10.3666,-1.59122,-0.0139485,0.356307,0.0167553,4.83178,3.80464,8.02608,-0.0373656,0.0472084,0.0585693
0.018,4.5303,-3.49073,7.74896,-0.0115309,0.00473426,0.0447379,1.92843,-7.91512,-4.60276,0.097974,-0.765596,0.168176,-0.0111117,9.24751,-3.34834,-0.0234471,-0.0115093,0.0680709,8.83393,0.873952,3.4884,0.0271048,0.0550761,0.0915117,-0.708281,-9.5832,-3.02497,-0.0907217,0.00882364,0.102935,0.228271,10.3207,-1.53394,-0.0264916,0.357885,0.0204991,4.82532,3.82453,8.02391,-0.0368732,0.0468595,0.0562011
0.019,4.5652,-3.51712,7.77277,-0.00877759,0.0045781,0.0431565,1.91597,-7.94841,-4.67421,0.0707808,-0.70806,0.171724,0.00174461,9.22251,-3.34999,-0.0233254,-0.0101413,0.0655487,8.84122,0.886927,3.4792,0.0269732,0.0517204,0.0927261,-0.687155,-9.62443,-3.00686,-0.0868333,0.0267626,0.100505,0.223198,10.2581,-1.45292,-0.0367331,0.355259,0.0233113,4.82329,3.84022,8.01071,-0.0368934,0.0457212,0.0553522
0.02,4.60011,-3.5435,7.79657,-0.00602433,0.00442194,0.0415751,1.90351,-7.98169,-4.74567,0.0435875,-0.650524,0.175273,0.0146009,9.19751,-3.35164,-0.0232037,-0.00877334,0.0630265,8.84851,0.899901,3.47001,0.0268416,0.0483647,0.0939405,-0.666028,-9.66565,-2.98875,-0.082945,0.0447016,0.0980759,0.218125,10.1956,-1.3719,-0.0469747,0.352634,0.0261234,4.82126,3.85591,7.9975,-0.0369135,0.0445828,0.0545032
0.021,4.63501,-3.56989,7.82037,-0.00327106,0.00426578,0.0399937,1.89106,-8.01498,-4.81712,0.0163942,-0.592987,0.178822,0.0274572,9.17251,-3.35329,-0.023082,-0.00740534,0.0605044,8.85579,0.912876,3.46081,0.02671,0.045009,0.095155,-0.644902,-9.70688,-2.97064,-0.0790567,0.0626405,0.0956464,0.213052,10.1331,-1.29088,-0.0572162,0.350008,0.0289356,4.81923,3.8716,7.9843,-0.0369337,0.0434445,0.0536543
0.022,4.66991,-3.59628,7.84417,-0.000517792,0.00410962,0.0384123,1.8786,-8.04827,-4.88857,-0.010799,-0.535451,0.182371,0.0403135,9.14751,-3.35494,-0.0229604,-0.00603734,0.0579822,8.86308,0.925851,3.45162,0.0265784,0.0416533,0.0963694,-0.623775,-9.74811,-2.95253,-0.0751684,0.0805795,0.0932169,0.207979,10.0706,-1.20986,-0.0674577,0.347382,0.0317478,4.8172,3.88728,7.9711,-0.0369539,0.0423062,0.0528053
0.023,4.68715,-3.58731,7.85146,-0.000173764,0.00582358,0.0371129,1.88889,-8.11954,-4.88602,-0.0386388,-0.476311,0.181769,0.0588673,9.12588,-3.35356,-0.0226475,-0.00438077,0.0532211,8.89065,0.943018,3.4599,0.0247167,0.0390588,0.0968129,-0.626354,-9.75038,-2.95722,-0.0719013,0.0973847,0.0926362,0.178703,10.0052,-1.16572,-0.0741749,0.342707,0.0331846,4.80411,3.8969,7.96393,-0.0376799,0.0403107,0.0509956
0.024,4.69933,-3.56824,7.85403,-0.000518089,0.00807187,0.035894,1.90569,-8.20166,-4.86233,-0.0666634,-0.416712,0.179982,0.0790489,9.10521,-3.35131,-0.02228,-0.00264176,0.0478203,8.92401,0.961382,3.47317,0.0223607,0.0366816,0.0970362,-0.635706,-9.74153,-2.96844,-0.0688116,0.113866,0.0925838,0.142513,9.93908,-1.13212,-0.0798852,0.337447,0.0342284,4.78787,3.90479,7.95848,-0.0386075,0.0380704,0.0489114
0.025,4.71152,-3.54916,7.8566,-0.000862414,0.0103202,0.0346751,1.92248,-8.28378,-4.83864,-0.0946879,-0.357114,0.178195,0.0992306,9.08454,-3.34906,-0.0219125,-0.000902755,0.0424195,8.95737,0.979746,3.48644,0.0200047,0.0343045,0.0972594,-0.645058,-9.73268,-2.97965,-0.0657219,0.130347,0.0925313,0.106322,9.87293,-1.09852,-0.0855955,0.332187,0.0352723,4.77163,3.91267,7.95304,-0.0395352,0.03583,0.0468272
0.026,4.72371,-3.53008,7.85917,-0.00120674,0.0125684,0.0334563,1.93927,-8.3659,-4.81494,-0.122712,-0.297515,0.176407,0.119412,9.06387,-3.34681,-0.021545,0.000836254,0.0370187,8.99073,0.99811,3.49972,0.0176487,0.0319274,0.0974827,-0.65441,-9.72382,-2.99086,-0.0626323,0.146829,0.0924789,0.0701316,9.80678,-1.06492,-0.0913057,0.326926,0.0363161,4.75539,3.92056,7.94759,-0.0404629,0.0335896,0.044743
0.027,4.72847,-3.50751,7.85913,-0.000810894,0.0136684,0.0323207,1.96853,-8.45344,-4.77052,-0.150108,-0.240884,0.173738,0.141515,9.04696,-3.34078,-0.0213,0.00358959,0.0319743,9.01541,1.01518,3.50734,0.0155817,0.0298004,0.0980249,-0.671602,-9.71782,-2.99722,-0.0602811,0.162224,0.0917997,0.040191,9.73817,-1.03633,-0.093841,0.322417,0.0364219,4.74446,3.9338,7.94501,-0.0414275,0.0318455,0.0430574
0.028,4.71838,-3.47792,7.85386,0.00106529,0.0124719,0.0313517,2.02271,-8.55181,-4.68462,-0.176245,-0.190191,0.169303,0.167461,9.03759,-3.32722,-0.0213,0.00837156,0.0276425,9.02274,1.02966,3.50367,0.0140928,0.0281734,0.099205,-0.704472,-9.7175,-2.99386,-0.0594071,0.175449,0.0898668,0.0227501,9.66463,-1.01778,-0.0900261,0.319409,0.0346517,4.74413,3.95774,7.94814,-0.0424661,0.0310938,0.042169
0.029,4.70829,-3.44834,7.84859,0.00294148,0.0112753,0.0303827,2.0769,-8.65019,-4.59873,-0.202382,-0.139497,0.164869,0.193407,9.02822,-3.31365,-0.0213,0.0131535,0.0233107,9.03007,1.04414,3.49999,0.0126038,0.0265465,0.100385,-0.737342,-9.71718,-2.99051,-0.058533,0.188674,0.087934,0.00530923,9.59109,-0.999221,-0.0862112,0.316402,0.0328816,4.74381,3.98169,7.95127,-0.0435046,0.030342,0.0412806
0.03,4.69821,-3.41876,7.84332,0.00481766,0.0100787,0.0294137,2.13108,-8.74856,-4.51283,-0.228519,-0.0888036,0.160434,0.219353,9.01884,-3.30009,-0.0213,0.0179355,0.0189789,9.0374,1.05863,3.49632,0.0111149,0.0249196,0.101565,-0.770213,-9.71687,-2.98715,-0.057659,0.201898,0.0860011,-0.0121316,9.51755,-0.980667,-0.0823964,0.313394,0.0311114,4.74348,4.00563,7.9544,-0.0445431,0.0295903,0.0403921
0.031,4.68812,-3.38917,7.83805,0.00669385,0.0088821,0.0284447,2.18527,-8.84693,-4.42694,-0.254656,-0.0381099,0.156,0.245299,9.00947,-3.28652,-0.0213,0.0227175,0.0146471,9.04473,1.07311,3.49265,0.00962595,0.0232927,0.102745,-0.803083,-9.71655,-2.9838,-0.0567849,0.215123,0.0840683,-0.0295725,9.44401,-0.962112,-0.0785815,0.310387,0.0293412,4.74316,4.02957,7.95754,-0.0455817,0.0288385,0.0395037
0.032,4.65234,-3.39841,7.8425,0.00667692,0.0086733,0.0289396,2.20448,-8.93536,-4.31434,-0.276176,0.00243808,0.149824,0.247135,9.0065,-3.27132,-0.0233496,0.0269784,0.0101833,9.03119,1.11013,3.4804,0.0112667,0.0235054,0.102632,-0.837956,-9.71151,-2.9717,-0.0556377,0.227415,0.0841054,-0.0410216,9.39108,-0.946112,-0.0718524,0.310423,0.0266627,4.75184,4.02566,7.94831,-0.0479766,0.0274954,0.0386177
