Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0,-1.57962,-10.2293,0.883184,-0.110345,-1.51208,-0.504339,7.66799,-0.214397,5.31787,1.51558,0.329303,0.733265,-0.17128,9.42239,-2.2784,-0.113407,1.18997,-0.23215,0.375484,-10.0737,-1.29178,-0.336104,-0.959942,-0.674394,4.31242,0.117242,8.60598,-0.00811654,0.061684,0.0229405,-0.792563,9.26358,-2.73661,-0.0258354,0.341994,-0.194152,5.18437,4.10167,7.77576,0.83895,0.640238,0.434798
0.001,-1.54476,-10.2471,0.885473,-0.110706,-1.52325,-0.510175,7.66872,-0.188175,5.32749,1.52516,0.331834,0.74111,-0.189707,9.45579,-2.27753,-0.11781,1.1994,-0.231679,0.399896,-10.0654,-1.2715,-0.337879,-0.964742,-0.673264,4.32514,0.110561,8.59787,-0.00395469,0.0642714,0.0262327,-0.793637,9.25633,-2.7219,-0.0268436,0.34605,-0.197089,5.19003,4.10225,7.79681,0.843746,0.639663,0.439794
0.002,-1.5099,-10.2649,0.887762,-0.111066,-1.53441,-0.516011,7.66944,-0.161954,5.33712,1.53473,0.334365,0.748955,-0.208134,9.48918,-2.27666,-0.122212,1.20883,-0.231208,0.424309,-10.0572,-1.25122,-0.339655,-0.969543,-0.672134,4.33786,0.103879,8.58975,0.000207148,0.0668587,0.0295248,-0.794711,9.24908,-2.7072,-0.0278519,0.350106,-0.200027,5.19568,4.10283,7.81785,0.848542,0.639089,0.444791
0.003,-1.47504,-10.2827,0.890051,-0.111427,-1.54557,-0.521847,7.67017,-0.135732,5.34674,1.5443,0.336896,0.7568,-0.226561,9.52257,-2.27579,-0.126614,1.21825,-0.230737,0.448721,-10.0489,-1.23093,-0.34143,-0.974343,-0.671003,4.35058,0.097198,8.58163,0.00436899,0.0694461,0.0328169,-0.795785,9.24183,-2.69249,-0.0288601,0.354162,-0.202965,5.20133,4.10341,7.83889,0.853338,0.638515,0.449787
0.004,-1.44019,-10.3005,0.89234,-0.111787,-1.55674,-0.527683,7.6709,-0.109511,5.35637,1.55387,0.339427,0.764645,-0.244988,9.55596,-2.27492,-0.131016,1.22768,-0.230266,0.473134,-10.0407,-1.21065,-0.343206,-0.979143,-0.669873,4.3633,0.0905166,8.57351,0.00853083,0.0720335,0.0361091,-0.796859,9.23458,-2.67778,-0.0298684,0.358218,-0.205903,5.20698,4.10399,7.85994,0.858135,0.637941,0.454784
0.005,-1.40818,-10.2994,0.883498,-0.110702,-1.56594,-0.533785,7.67095,-0.0851455,5.35256,1.56153,0.341222,0.773769,-0.266478,9.57151,-2.29188,-0.134196,1.23672,-0.230325,0.492906,-10.0245,-1.18156,-0.343995,-0.985007,-0.668445,4.36839,0.0737298,8.57147,0.0117125,0.0742532,0.0354315,-0.809949,9.23388,-2.68604,-0.0311249,0.359124,-0.207642,5.23091,4.14172,7.87221,0.860315,0.637547,0.462278
0.006,-1.37846,-10.2831,0.865752,-0.108461,-1.57358,-0.540101,7.67048,-0.0622657,5.33801,1.56766,0.342428,0.783917,-0.29042,9.57279,-2.32311,-0.136397,1.24544,-0.230807,0.508967,-10.0019,-1.14542,-0.343995,-0.991723,-0.666778,4.36737,0.0488587,8.57429,0.01411,0.0761787,0.0315782,-0.832653,9.23843,-2.71269,-0.0325801,0.357509,-0.208423,5.26946,4.20917,7.87746,0.860403,0.637295,0.47177
0.007,-1.34874,-10.2668,0.848007,-0.106219,-1.58122,-0.546416,7.67,-0.0393858,5.32346,1.57378,0.343634,0.794065,-0.314361,9.57406,-2.35434,-0.138598,1.25416,-0.231289,0.525028,-9.97935,-1.10927,-0.343995,-0.998438,-0.665111,4.36635,0.0239877,8.57711,0.0165076,0.0781042,0.027725,-0.855356,9.24298,-2.73933,-0.0340353,0.355894,-0.209204,5.30802,4.27663,7.88272,0.860492,0.637044,0.481262
0.008,-1.31902,-10.2505,0.830261,-0.103977,-1.58886,-0.552731,7.66953,-0.016506,5.30891,1.57991,0.34484,0.804213,-0.338303,9.57534,-2.38557,-0.140799,1.26287,-0.231771,0.541088,-9.9568,-1.07313,-0.343995,-1.00515,-0.663444,4.36532,-0.000883368,8.57993,0.0189051,0.0800297,0.0238717,-0.87806,9.24753,-2.76598,-0.0354905,0.354279,-0.209985,5.34657,4.34408,7.88797,0.86058,0.636793,0.490754
0.009,-1.2917,-10.2355,0.810062,-0.101975,-1.59644,-0.558816,7.67103,0.00350066,5.29489,1.58645,0.346203,0.814181,-0.364224,9.57312,-2.41314,-0.143202,1.27143,-0.232491,0.555302,-9.935,-1.04476,-0.34409,-1.01117,-0.661437,4.36559,-0.0239978,8.58234,0.0212191,0.0818386,0.020586,-0.901439,9.25124,-2.79224,-0.0367012,0.352611,-0.210756,5.38069,4.40518,7.88946,0.86022,0.63679,0.500011
