Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z
0,8.96894,0.917549,2.80869,-2.89037,-0.527139,-1.16921,3.58826,9.01319,-2.60485,-0.798195,-1.57234,0.054889,-1.05257,9.75756,-1.78278,-0.130709,-0.600855,-0.280994,2.63647,-11.8078,2.44984,0.813723,7.07316,-0.32549,13.8238,15.4308,-6.86909,-4.76173,-3.85356,-8.17144,-10.2281,-14.1856,-9.13356,-0.194685,9.05777,-1.7928,5.34765,-2.91004,7.58879,-0.386434,-0.0162814,-0.0525527
0.001,8.94329,0.961977,2.80389,-2.88659,-0.525717,-1.16164,3.58076,8.98528,-2.62744,-0.794709,-1.57019,0.0574124,-1.05674,9.76002,-1.76371,-0.133336,-0.602549,-0.283115,2.4797,-11.8323,2.32682,0.807844,7.07916,-0.303049,13.8144,15.47,-6.88302,-4.71738,-3.93714,-8.18192,-10.2566,-14.034,-9.14572,-0.193387,9.04528,-1.77076,5.38182,-2.94823,7.5746,-0.38671,-0.0184967,-0.0504141
0.002,8.91763,1.0064,2.79909,-2.88281,-0.524295,-1.15407,3.57326,8.95737,-2.65004,-0.791223,-1.56804,0.0599359,-1.06091,9.76247,-1.74463,-0.135964,-0.604244,-0.285236,2.32293,-11.8567,2.2038,0.801965,7.08516,-0.280607,13.8049,15.5091,-6.89694,-4.67303,-4.02072,-8.1924,-10.285,-13.8825,-9.15787,-0.192089,9.03278,-1.74873,5.41598,-2.98643,7.56041,-0.386986,-0.0207121,-0.0482755
0.003,8.89198,1.05083,2.79429,-2.87902,-0.522873,-1.14649,3.56576,8.92945,-2.67264,-0.787736,-1.56589,0.0624593,-1.06508,9.76493,-1.72556,-0.138591,-0.605938,-0.287357,2.16616,-11.8811,2.08078,0.796086,7.09115,-0.258166,13.7954,15.5482,-6.91087,-4.62868,-4.1043,-8.20288,-10.3135,-13.7309,-9.17003,-0.190791,9.02028,-1.72669,5.45015,-3.02462,7.54621,-0.387262,-0.0229274,-0.0461369
0.004,8.86632,1.09526,2.78949,-2.87524,-0.521452,-1.13892,3.55826,8.90154,-2.69523,-0.78425,-1.56374,0.0649827,-1.06925,9.76739,-1.70648,-0.141219,-0.607633,-0.289479,2.00939,-11.9056,1.95775,0.790207,7.09715,-0.235725,13.786,15.5873,-6.9248,-4.58433,-4.18788,-8.21336,-10.342,-13.5793,-9.18218,-0.189493,9.00779,-1.70465,5.48432,-3.06282,7.53202,-0.387537,-0.0251428,-0.0439983
0.005,8.85036,1.1366,2.7936,-2.87149,-0.521322,-1.13193,3.55608,8.87356,-2.71118,-0.779787,-1.56238,0.068022,-1.08026,9.78429,-1.70463,-0.142377,-0.609725,-0.289788,1.84329,-11.9575,1.87916,0.786867,7.09542,-0.212736,13.8245,15.5644,-6.94643,-4.5281,-4.26251,-8.22418,-10.37,-13.4405,-9.1938,-0.187342,8.99645,-1.68535,5.47732,-3.07915,7.53686,-0.390869,-0.0269597,-0.04081
0.006,8.84215,1.17546,2.80486,-2.86776,-0.522226,-1.12541,3.55815,8.84554,-2.7218,-0.774541,-1.56164,0.0714738,-1.09676,9.81273,-1.71656,-0.14236,-0.612135,-0.288649,1.66972,-12.0313,1.8361,0.785558,7.08749,-0.189308,13.9013,15.4918,-6.97423,-4.46236,-4.32996,-8.23526,-10.3976,-13.3117,-9.205,-0.184508,8.98604,-1.66823,5.43738,-3.078,7.55693,-0.396644,-0.0284577,-0.0367819
0.007,8.83394,1.21432,2.81611,-2.86403,-0.523129,-1.11889,3.56022,8.81751,-2.73242,-0.769296,-1.56091,0.0749257,-1.11326,9.84118,-1.72848,-0.142342,-0.614545,-0.28751,1.49616,-12.1051,1.79305,0.784249,7.07956,-0.165881,13.9782,15.4193,-7.00203,-4.39662,-4.39742,-8.24634,-10.4253,-13.183,-9.21619,-0.181674,8.97563,-1.6511,5.39744,-3.07685,7.577,-0.40242,-0.0299558,-0.0327538
0.008,8.82573,1.25319,2.82737,-2.8603,-0.524033,-1.11236,3.56229,8.78949,-2.74304,-0.76405,-1.56017,0.0783776,-1.12976,9.86963,-1.74041,-0.142325,-0.616955,-0.286371,1.3226,-12.179,1.74999,0.78294,7.07164,-0.142454,14.055,15.3467,-7.02983,-4.33089,-4.46488,-8.25742,-10.453,-13.0543,-9.22738,-0.17884,8.96522,-1.63398,5.35751,-3.0757,7.59707,-0.408195,-0.0314539,-0.0287257
0.009,8.81718,1.29153,2.84042,-2.85665,-0.524889,-1.10599,3.56653,8.76315,-2.75272,-0.758811,-1.55909,0.0812452,-1.14474,9.89521,-1.75321,-0.142474,-0.619184,-0.285086,1.16618,-12.2348,1.69736,0.779335,7.06039,-0.120272,14.138,15.2665,-7.05028,-4.26429,-4.53084,-8.26781,-10.4754,-12.9309,-9.23134,-0.1761,8.9548,-1.6166,5.3244,-3.07653,7.61325,-0.413509,-0.0330508,-0.0251548
0.01,8.80591,1.32574,2.86786,-2.85367,-0.525358,-1.1008,3.58804,8.75031,-2.75489,-0.753622,-1.55519,0.0794382,-1.1475,9.89784,-1.77308,-0.143956,-0.619963,-0.282636,1.14686,-12.1467,1.56806,0.75736,7.02258,-0.108048,14.2698,15.1259,-7.01192,-4.19083,-4.58479,-8.27262,-10.4555,-12.8497,-9.17741,-0.174117,8.94431,-1.59717,5.34596,-3.09321,7.59826,-0.415125,-0.0354386,-0.0252422
0.011,8.79464,1.35994,2.8953,-2.85068,-0.525827,-1.09562,3.60955,8.73746,-2.75707,-0.748433,-1.55129,0.0776312,-1.15026,9.90047,-1.79295,-0.145437,-0.620742,-0.280186,1.12755,-12.0585,1.43877,0.735385,6.98476,-0.0958241,14.4017,14.9852,-6.97356,-4.11738,-4.63873,-8.27744,-10.4355,-12.7684,-9.12349,-0.172133,8.93382,-1.57774,5.36752,-3.1099,7.58328,-0.416742,-0.0378263,-0.0253295
0.012,8.78338,1.39414,2.92273,-2.84769,-0.526297,-1.09043,3.63106,8.72461,-2.75924,-0.743244,-1.54739,0.0758242,-1.15302,9.9031,-1.81281,-0.146919,-0.621521,-0.277737,1.10823,-11.9704,1.30948,0.713411,6.94695,-0.0836004,14.5335,14.8445,-6.9352,-4.04392,-4.69268,-8.28225,-10.4156,-12.6872,-9.06956,-0.17015,8.92334,-1.55831,5.38908,-3.12659,7.5683,-0.418359,-0.0402141,-0.0254168
0.013,8.77211,1.42834,2.95017,-2.8447,-0.526766,-1.08524,3.65257,8.71176,-2.76141,-0.738054,-1.54349,0.0740172,-1.15578,9.90572,-1.83268,-0.1484,-0.6223,-0.275287,1.08892,-11.8822,1.18018,0.691436,6.90913,-0.0713767,14.6654,14.7038,-6.89684,-3.97046,-4.74663,-8.28706,-10.3957,-12.606,-9.01563,-0.168166,8.91285,-1.53888,5.41064,-3.14328,7.55332,-0.419976,-0.0426018,-0.0255042
0.014,8.76909,1.44896,2.97408,-2.84094,-0.526291,-1.08005,3.64965,8.6961,-2.75618,-0.736325,-1.54156,0.0731059,-1.16226,9.89737,-1.84128,-0.150942,-0.623691,-0.272986,1.04255,-11.7328,0.98668,0.658311,6.87657,-0.065837,14.8248,14.5362,-6.82777,-3.90525,-4.79306,-8.2841,-10.3435,-12.5203,-8.9338,-0.164022,8.89986,-1.51899,5.4161,-3.16754,7.52894,-0.423216,-0.0437528,-0.0238051
0.015,8.77019,1.46279,2.99622,-2.83678,-0.525343,-1.07485,3.6345,8.67905,-2.74724,-0.736324,-1.54063,0.0726424,-1.1706,9.88353,-1.84426,-0.154015,-0.625388,-0.270759,0.982651,-11.5526,0.761071,0.619612,6.84663,-0.0636394,14.998,14.3551,-6.74335,-3.84415,-4.83573,-8.27725,-10.2751,-12.4323,-8.83801,-0.158798,8.88562,-1.49889,5.41351,-3.19559,7.49986,-0.427267,-0.0442853,-0.0212129
0.016,8.7713,1.47661,3.01837,-2.83263,-0.524395,-1.06965,3.61935,8.66199,-2.73829,-0.736324,-1.53969,0.0721789,-1.17893,9.86969,-1.84723,-0.157088,-0.627084,-0.268532,0.922755,-11.3725,0.535462,0.580913,6.81669,-0.0614417,15.1712,14.1741,-6.65893,-3.78305,-4.87841,-8.2704,-10.2068,-12.3444,-8.74223,-0.153574,8.87138,-1.47878,5.41092,-3.22363,7.47078,-0.431319,-0.0448179,-0.0186207
0.017,8.7724,1.49044,3.04051,-2.82847,-0.523447,-1.06445,3.60421,8.64493,-2.72935,-0.736324,-1.53875,0.0717155,-1.18727,9.85585,-1.8502,-0.16016,-0.628781,-0.266306,0.862859,-11.1924,0.309853,0.542214,6.78675,-0.0592441,15.3444,13.993,-6.57451,-3.72195,-4.92108,-8.26354,-10.1385,-12.2565,-8.64644,-0.14835,8.85713,-1.45867,5.40833,-3.25168,7.4417,-0.43537,-0.0453504,-0.0160284
0.018,8.77426,1.50727,3.06136,-2.82429,-0.522446,-1.05927,3.59165,8.6341,-2.71856,-0.737356,-1.53883,0.0707644,-1.19278,9.84243,-1.85217,-0.163034,-0.630261,-0.263769,0.78924,-11.0081,0.0856458,0.498983,6.75965,-0.057816,15.5196,13.816,-6.49048,-3.66773,-4.96119,-8.25382,-10.0947,-12.1702,-8.56477,-0.143875,8.8431,-1.43792,5.40415,-3.27286,7.41493,-0.438641,-0.0456069,-0.0144284
0.019,8.77877,1.53462,3.07767,-2.82004,-0.521261,-1.05419,3.58817,8.64507,-2.70127,-0.742001,-1.54248,0.0681068,-1.1884,9.83047,-1.85064,-0.165209,-0.630985,-0.260148,0.667587,-10.809,-0.133657,0.439894,6.74248,-0.0590813,15.7018,13.6533,-6.40781,-3.63756,-4.99234,-8.23406,-10.1366,-12.0894,-8.5325,-0.14202,8.82978,-1.41495,5.39445,-3.27004,7.39627,-0.439176,-0.0448974,-0.0163011
