Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.0,-0.37279,9.04767,-2.40229,0.399774,-1.0273,-0.640498,-1.12109,-8.316,-0.520369,0.206022,-0.980676,-0.589271,1.89357,8.95076,-2.17724,0.272475,-0.137955,-0.35694,-2.71246,-9.32759,-0.15957,0.0283588,-0.5672,1.18492,3.95772,-4.54493,7.50613,0.154885,0.0666775,-0.0893892,5.45472,3.49449,7.47338,0.741678,-2.37486,0.501396,7.72257,0.710221,4.02823,0.288549,0.107565,-0.325969
0.001,-0.290708,9.13553,-2.47254,0.392027,-0.994243,-0.639873,-1.07654,-8.3343,-0.550994,0.205768,-0.953191,-0.590929,1.85142,8.95415,-2.16018,0.272689,-0.133735,-0.358261,-2.73244,-9.31346,-0.20197,0.0280636,-0.564901,1.18832,3.9574,-4.47694,7.53594,0.162908,0.0726117,-0.0951701,5.46017,3.50594,7.45272,0.742925,-2.37541,0.500484,7.6099,0.72618,4.02256,0.289523,0.10746,-0.33257
0.002,-0.208627,9.22339,-2.54278,0.38428,-0.961185,-0.639249,-1.03198,-8.3526,-0.581619,0.205513,-0.925707,-0.592587,1.80926,8.95753,-2.14312,0.272902,-0.129515,-0.359583,-2.75242,-9.29934,-0.244369,0.0277683,-0.562603,1.19171,3.95709,-4.40896,7.56574,0.170932,0.0785459,-0.100951,5.46562,3.51739,7.43207,0.744173,-2.37596,0.499571,7.49723,0.742139,4.01689,0.290496,0.107354,-0.33917
0.003,-0.126545,9.31125,-2.61303,0.376533,-0.928127,-0.638624,-0.987429,-8.37089,-0.612244,0.205259,-0.898223,-0.594246,1.76711,8.96091,-2.12606,0.273116,-0.125295,-0.360904,-2.7724,-9.28521,-0.286768,0.0274731,-0.560304,1.19511,3.95677,-4.34098,7.59555,0.178955,0.0844801,-0.106732,5.47107,3.52884,7.41141,0.745421,-2.3765,0.498659,7.38456,0.758099,4.01122,0.291469,0.107249,-0.345771
0.004,-0.0444633,9.39911,-2.68327,0.368786,-0.895069,-0.638,-0.942876,-8.38919,-0.642869,0.205005,-0.870738,-0.595904,1.72495,8.96429,-2.109,0.27333,-0.121075,-0.362226,-2.79238,-9.27109,-0.329168,0.0271778,-0.558006,1.1985,3.95646,-4.273,7.62536,0.186979,0.0904143,-0.112513,5.47652,3.54028,7.39076,0.746669,-2.37705,0.497746,7.27189,0.774058,4.00555,0.292442,0.107144,-0.352371
0.005,0.0387671,9.47569,-2.74226,0.359216,-0.85785,-0.633929,-0.897974,-8.40306,-0.670182,0.207381,-0.842043,-0.597591,1.68928,8.96821,-2.07471,0.273787,-0.116846,-0.3637,-2.80163,-9.25649,-0.384627,0.0269808,-0.557294,1.20201,3.96226,-4.20951,7.64138,0.194091,0.0953918,-0.11681,5.49737,3.54961,7.3712,0.749026,-2.37737,0.497857,7.18291,0.787922,4.01361,0.292936,0.106412,-0.35939
0.006,0.122916,9.54324,-2.79223,0.348187,-0.817302,-0.627103,-0.852794,-8.41339,-0.694845,0.21186,-0.812379,-0.5993,1.6588,8.97254,-2.02663,0.274439,-0.112609,-0.365298,-2.80228,-9.24151,-0.450534,0.0268623,-0.557853,1.2056,3.97297,-4.14961,7.64638,0.200474,0.0996037,-0.119921,5.53054,3.55723,7.35252,0.752271,-2.37752,0.498786,7.11289,0.800108,4.03267,0.293046,0.105178,-0.366744
0.007,0.207065,9.6108,-2.84221,0.337159,-0.776754,-0.620276,-0.807614,-8.42373,-0.719508,0.21634,-0.782715,-0.60101,1.62832,8.97687,-1.97856,0.275091,-0.108373,-0.366895,-2.80294,-9.22652,-0.516441,0.0267438,-0.558412,1.2092,3.98368,-4.08971,7.65138,0.206857,0.103816,-0.123031,5.5637,3.56486,7.33385,0.755516,-2.37767,0.499715,7.04288,0.812295,4.05173,0.293156,0.103944,-0.374098
0.008,0.291215,9.67836,-2.89219,0.326131,-0.736205,-0.61345,-0.762434,-8.43406,-0.744172,0.220819,-0.753051,-0.602719,1.59784,8.9812,-1.93048,0.275743,-0.104137,-0.368492,-2.80359,-9.21154,-0.582348,0.0266253,-0.55897,1.2128,3.99439,-4.02981,7.65638,0.213241,0.108028,-0.126142,5.59687,3.57248,7.31517,0.758761,-2.37781,0.500645,6.97286,0.824481,4.07078,0.293266,0.10271,-0.381452
0.009,0.372345,9.7416,-2.94081,0.315036,-0.694986,-0.606061,-0.712842,-8.44421,-0.768305,0.224877,-0.72351,-0.604694,1.56916,8.98797,-1.88011,0.27634,-0.0999173,-0.369922,-2.80673,-9.19897,-0.647891,0.0261915,-0.559269,1.21643,4.00586,-3.97266,7.66329,0.219587,0.112338,-0.129444,5.62915,3.5814,7.29299,0.762201,-2.37817,0.50222,6.90419,0.838005,4.08727,0.293416,0.101469,-0.388725
0.01,0.429328,9.77027,-2.97859,0.303408,-0.648402,-0.594177,-0.627961,-8.45287,-0.788195,0.225556,-0.694951,-0.608789,1.55485,9.01424,-1.81139,0.276494,-0.095833,-0.370009,-2.82976,-9.20563,-0.710528,0.0232352,-0.557489,1.22037,4.02343,-3.93747,7.68541,0.225642,0.117439,-0.134284,5.65434,3.60068,7.24277,0.767198,-2.38017,0.508967,6.84634,0.862229,4.08317,0.29389,0.100172,-0.395351
0.011,0.486311,9.79894,-3.01636,0.291781,-0.601818,-0.582292,-0.54308,-8.46154,-0.808086,0.226234,-0.666393,-0.612885,1.54054,9.0405,-1.74267,0.276648,-0.0917486,-0.370097,-2.85279,-9.21229,-0.773165,0.0202789,-0.555708,1.22431,4.04101,-3.90229,7.70754,0.231696,0.122539,-0.139123,5.67953,3.61995,7.19255,0.772195,-2.38218,0.515713,6.78848,0.886453,4.07907,0.294364,0.0988754,-0.401978
0.012,0.543294,9.82761,-3.05414,0.280154,-0.555234,-0.570408,-0.458199,-8.4702,-0.827977,0.226913,-0.637834,-0.61698,1.52623,9.06677,-1.67396,0.276801,-0.0876642,-0.370184,-2.87582,-9.21895,-0.835802,0.0173226,-0.553928,1.22825,4.05858,-3.86711,7.72966,0.237751,0.127639,-0.143962,5.70472,3.63923,7.14233,0.777191,-2.38419,0.52246,6.73063,0.910676,4.07497,0.294837,0.0975788,-0.408604
0.013,0.600277,9.85627,-3.09191,0.268526,-0.50865,-0.558523,-0.373318,-8.47887,-0.847868,0.227592,-0.609275,-0.621076,1.51192,9.09304,-1.60524,0.276955,-0.0835798,-0.370272,-2.89885,-9.22561,-0.898438,0.0143664,-0.552147,1.23219,4.07615,-3.83192,7.75178,0.243805,0.13274,-0.148802,5.72991,3.6585,7.09211,0.782188,-2.3862,0.529207,6.67278,0.9349,4.07087,0.295311,0.0962822,-0.415231
0.014,0.629529,9.88267,-3.13428,0.260142,-0.45907,-0.548568,-0.318827,-8.46442,-0.85561,0.227979,-0.581245,-0.625625,1.48392,9.12265,-1.54218,0.278487,-0.0791069,-0.369424,-2.91977,-9.21537,-0.941292,0.0105959,-0.55026,1.23605,4.08281,-3.80218,7.77356,0.247935,0.135715,-0.15169,5.73616,3.68713,7.05778,0.785547,-2.38821,0.533864,6.6276,0.991425,4.0685,0.296037,0.0935427,-0.419124
0.015,0.644914,9.90793,-3.17893,0.253378,-0.407992,-0.539577,-0.279532,-8.43842,-0.857278,0.22822,-0.553479,-0.630402,1.44906,9.15393,-1.48194,0.280709,-0.0744398,-0.368108,-2.93965,-9.19667,-0.974253,0.00641824,-0.54832,1.23988,4.084,-3.77515,7.79517,0.251101,0.137627,-0.153602,5.73294,3.72043,7.0314,0.788088,-2.39023,0.537477,6.58876,1.0641,4.067,0.296889,0.0900817,-0.421652
