Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,-0.0662006,0.0263953,0.0170453,0.0475143,0.0480777,0.0609329,0.0448386,0.0538412,0.0738962,0.050994,0.0480792,0.0636996,0.0563361,0.0444284,0.0276453,0.0410657
0.021,-0.0713886,0.0422644,0.0298627,0.0603317,0.0529605,0.029805,0.0536887,0.0736777,0.0714548,0.0549612,0.0572345,0.0875034,0.059693,0.0322214,0.0773889,0.072804
0.022,-0.0436176,0.0248694,0.0142987,0.0536179,0.0380069,0.0365189,0.0582663,0.0422446,0.0211008,0.075408,0.0862262,0.059122,0.0523688,0.014216,0.063656,0.0535779
0.023,-0.0219501,-0.0202966,0.0606854,0.0548386,0.0428897,0.0456741,0.0564352,0.0440756,0.0577219,0.068389,0.0718829,0.0682773,0.0566412,0.0548044,0.0648767,0.0486951
0.024,0.0085675,0.0178503,0.0591595,0.0456833,0.0499088,0.0362137,0.0695578,0.0419394,0.0522287,0.0430594,0.0651691,0.0652255,0.0520636,0.0444284,0.0770837,0.062428
0.025,0.0311505,0.0752234,0.0536664,0.036528,0.0435001,0.0557449,0.075051,0.055062,0.0449045,0.014678,0.0544879,0.0682773,0.0383307,0.0483957,0.030697,0.0645642
0.026,0.0207745,0.0495886,0.0426801,0.0762009,0.0456363,0.036824,0.0549094,0.0602499,0.0644357,0.0543509,0.0523517,0.059122,0.0401617,0.0270334,0.0606042,0.0508313
0.027,-0.0213397,0.100858,0.0310834,0.0636887,0.0645572,0.0517776,0.054299,0.0452963,0.0659616,0.0604544,0.0450275,0.0530185,0.0654913,0.0334421,0.0575525,0.0209241
0.028,-0.0710834,0.106962,0.0316937,0.0545334,0.0581485,0.0591019,0.0466696,0.0648276,0.0595529,0.0308524,0.0550983,0.0325717,0.0703741,0.0163522,0.0560266,0.052052
0.029,-0.0741351,0.103605,0.0493939,0.0633835,0.0502139,0.0478104,0.0423972,0.051705,0.0571115,0.0696097,0.0660846,0.0438632,0.0541998,0.0505319,0.0606042,0.0523572
0.03,-0.0787128,0.0541663,0.0353558,0.0804733,0.0544864,0.0548294,0.0607077,0.0483481,0.0726755,0.0223074,0.0575397,0.0627841,0.0764777,0.0554147,0.0722009,0.0822644
0.031,-0.0192035,0.0410437,0.0417645,0.0609421,0.0419742,0.0548294,0.0414816,0.0486533,0.0879343,0.0412283,0.0706622,0.0499667,0.0682379,0.0569406,0.0563318,0.0432019
0.032,-0.0332416,0.00472778,0.056413,0.0652145,0.0554019,0.045369,0.0607077,0.0385825,0.0680978,0.0656424,0.0608966,0.0615634,0.0731207,0.0569406,0.0487024,0.0563245
0.033,0.0497662,0.0202917,0.0515302,0.0450729,0.0526553,0.0542191,0.0567404,0.0349203,0.0619943,0.0589285,0.0450275,0.0655307,0.0661017,0.0532785,0.0496179,0.0645642
0.034,0.119651,0.0621008,0.0927289,0.0691818,0.0566226,0.0710037,0.0668112,0.0529257,0.0690134,0.0705252,0.0590656,0.0585117,0.0584723,0.0544992,0.0477869,0.0743298
