Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,-0.780393,9.51608,-2.72592,-0.0901549,-0.305012,0.208402,2.17003,-9.58123,-2.09091,-0.226157,0.121033,-0.0909668,5.47122,3.121,7.7468,0.00163955,-0.0446284,-0.0880061,6.20573,-3.07285,6.97675,0.0256956,0.00670954,-0.033199,8.7025,-1.34934,4.44336,-0.273047,0.115271,-0.0178543,1.40548,9.54789,-1.12224,-0.164502,-0.0312742,-0.162146,0.0187144,-9.95417,-1.56286,-0.0132874,0.36423,0.155947
0.001,-0.751138,9.51806,-2.72641,-0.0937462,-0.289598,0.205942,2.18666,-9.56762,-2.12592,-0.224731,0.12286,-0.0855202,5.46475,3.12964,7.75712,0.000455555,-0.0434047,-0.0863194,6.21606,-3.0882,6.97335,0.0282121,0.00908585,-0.0343113,8.73115,-1.36752,4.42923,-0.27032,0.111899,-0.0209862,1.4057,9.53969,-1.12373,-0.16511,-0.0314262,-0.159811,-0.0245893,-9.97107,-1.52963,-0.013254,0.363483,0.1523
0.002,-0.721883,9.52004,-2.7269,-0.0973376,-0.274184,0.203482,2.20329,-9.55402,-2.16092,-0.223305,0.124687,-0.0800736,5.45829,3.13827,7.76744,-0.000728442,-0.042181,-0.0846327,6.22638,-3.10356,6.96995,0.0307287,0.0114622,-0.0354236,8.75979,-1.3857,4.41511,-0.267592,0.108528,-0.0241181,1.40592,9.5315,-1.12521,-0.165718,-0.0315783,-0.157476,-0.0678929,-9.98797,-1.49641,-0.0132207,0.362737,0.148653
0.003,-0.692627,9.52202,-2.72739,-0.100929,-0.258769,0.201022,2.21991,-9.54041,-2.19593,-0.221878,0.126515,-0.074627,5.45183,3.14691,7.77776,-0.00191244,-0.0409573,-0.082946,6.23671,-3.11891,6.96656,0.0332453,0.0138385,-0.036536,8.78844,-1.40388,4.40099,-0.264864,0.105156,-0.0272499,1.40613,9.5233,-1.1267,-0.166326,-0.0317304,-0.15514,-0.111197,-10.0049,-1.46319,-0.0131873,0.36199,0.145006
0.004,-0.663372,9.52401,-2.72788,-0.10452,-0.243355,0.198562,2.23654,-9.5268,-2.23093,-0.220452,0.128342,-0.0691804,5.44536,3.15554,7.78808,-0.00309644,-0.0397337,-0.0812592,6.24704,-3.13427,6.96316,0.0357619,0.0162148,-0.0376483,8.81709,-1.42206,4.38687,-0.262136,0.101784,-0.0303818,1.40635,9.51511,-1.12819,-0.166935,-0.0318824,-0.152805,-0.1545,-10.0218,-1.42996,-0.0131539,0.361243,0.141359
0.005,-0.644843,9.52837,-2.71073,-0.109156,-0.225739,0.195349,2.26815,-9.50387,-2.25629,-0.219075,0.131311,-0.0653479,5.45381,3.17155,7.79703,-0.00337777,-0.038759,-0.0774843,6.25017,-3.13826,6.97057,0.0373344,0.0180177,-0.0389199,8.83683,-1.43291,4.37609,-0.259345,0.09766,-0.0340814,1.41367,9.51692,-1.12892,-0.167256,-0.0321026,-0.150722,-0.183485,-10.0281,-1.40198,-0.0142098,0.359307,0.137901
0.006,-0.634894,9.53463,-2.67945,-0.114627,-0.206361,0.191535,2.31174,-9.47347,-2.27393,-0.217737,0.135194,-0.0628068,5.47418,3.19345,7.80488,-0.00293697,-0.0379836,-0.0720388,6.24753,-3.13315,6.98663,0.0381518,0.0193619,-0.0403189,8.84944,-1.43791,4.368,-0.256502,0.0929336,-0.0382352,1.42668,9.52675,-1.12903,-0.167347,-0.0323773,-0.14884,-0.201016,-10.0261,-1.37818,-0.016137,0.356419,0.134593
0.007,-0.624946,9.54089,-2.64818,-0.120098,-0.186983,0.187721,2.35534,-9.44307,-2.29157,-0.216399,0.139076,-0.0602657,5.49454,3.21536,7.81272,-0.00249617,-0.0372082,-0.0665933,6.2449,-3.12804,7.00269,0.0389692,0.0207062,-0.041718,8.86206,-1.44291,4.35991,-0.253659,0.0882071,-0.042389,1.4397,9.53657,-1.12915,-0.167439,-0.032652,-0.146958,-0.218546,-10.024,-1.35439,-0.0180642,0.353532,0.131286
0.008,-0.614998,9.54716,-2.61691,-0.125569,-0.167605,0.183907,2.39893,-9.41268,-2.30921,-0.21506,0.142959,-0.0577246,5.51491,3.23726,7.82057,-0.00205537,-0.0364328,-0.0611478,6.24227,-3.12294,7.01874,0.0397866,0.0220504,-0.043117,8.87468,-1.4479,4.35182,-0.250817,0.0834807,-0.0465428,1.45271,9.54639,-1.12926,-0.167531,-0.0329267,-0.145076,-0.236077,-10.022,-1.3306,-0.0199914,0.350644,0.127979
0.009,-0.606291,9.5513,-2.58865,-0.130894,-0.1484,0.180335,2.43742,-9.38457,-2.32507,-0.213686,0.146329,-0.0552505,5.52892,3.25771,7.82721,-0.00184623,-0.0355529,-0.0558703,6.23961,-3.11963,7.03311,0.0404048,0.0231748,-0.044457,8.88945,-1.45271,4.34333,-0.248029,0.0790608,-0.050724,1.46454,9.55445,-1.13012,-0.167545,-0.0331682,-0.143183,-0.254654,-10.0208,-1.30753,-0.0219349,0.347659,0.124715
