Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.0,4.65464,-4.89754,7.2609,-0.00634302,-0.0036163,0.0128035,-0.999476,9.34174,-2.31286,-0.0635268,0.0446336,-0.0636652,-1.30303,9.57817,-1.68717,-0.0215162,0.0741499,0.0815402,-0.445368,-9.73411,-1.43204,0.0397137,0.0183738,0.0524538,5.78692,3.31246,7.0005,-0.0215542,0.00425463,0.0101309,9.50602,0.10806,1.17777,-0.0106103,-0.094769,0.0239148,-1.06846,-9.88687,-1.43141,0.0105308,-0.0126131,-0.0819335
0.001,4.65373,-4.91595,7.25555,-0.00524736,-0.00455563,0.0123911,-1.01718,9.34907,-2.29221,-0.0642978,0.0459912,-0.0649501,-1.31343,9.58039,-1.68066,-0.0208868,0.0724054,0.0813496,-0.451889,-9.73163,-1.41512,0.0392155,0.0190322,0.0517811,5.79199,3.29623,6.99735,-0.021383,0.00511196,0.0109096,9.49155,0.116133,1.17378,-0.00852085,-0.0937826,0.0261437,-1.07478,-9.87506,-1.42802,0.00940982,-0.0109531,-0.0812609
0.002,4.65282,-4.93436,7.2502,-0.0041517,-0.00549496,0.0119786,-1.03488,9.35639,-2.27156,-0.0650688,0.0473489,-0.066235,-1.32383,9.58261,-1.67415,-0.0202573,0.0706609,0.081159,-0.45841,-9.72916,-1.3982,0.0387172,0.0196906,0.0511084,5.79707,3.28001,6.99421,-0.0212118,0.00596928,0.0116883,9.47708,0.124205,1.1698,-0.0064314,-0.0927962,0.0283726,-1.0811,-9.86325,-1.42464,0.00828885,-0.00929318,-0.0805883
0.003,4.6519,-4.95277,7.24485,-0.00305604,-0.00643429,0.0115662,-1.05258,9.36372,-2.25092,-0.0658398,0.0487065,-0.0675199,-1.33423,9.58483,-1.66765,-0.0196278,0.0689164,0.0809684,-0.464931,-9.72669,-1.38128,0.038219,0.020349,0.0504357,5.80214,3.26379,6.99106,-0.0210406,0.0068266,0.0124669,9.46262,0.132278,1.16581,-0.00434195,-0.0918098,0.0306016,-1.08742,-9.85144,-1.42125,0.00716789,-0.00763323,-0.0799157
0.004,4.65099,-4.97118,7.23949,-0.00196037,-0.00737363,0.0111538,-1.07028,9.37104,-2.23028,-0.0666108,0.0500641,-0.0688048,-1.34463,9.58705,-1.66114,-0.0189983,0.0671719,0.0807778,-0.471452,-9.72421,-1.36436,0.0377208,0.0210074,0.049763,5.80722,3.24757,6.98791,-0.0208694,0.00768393,0.0132456,9.44815,0.14035,1.16182,-0.00225251,-0.0908234,0.0328305,-1.09374,-9.83962,-1.41787,0.00604692,-0.00597327,-0.0792432
0.005,4.64279,-4.98188,7.23162,-0.00209184,-0.00756268,0.0103294,-1.06973,9.37604,-2.224,-0.0660596,0.0502635,-0.0694697,-1.35129,9.58134,-1.65638,-0.0185328,0.0648003,0.081245,-0.486402,-9.7263,-1.35926,0.0376899,0.0210496,0.0491723,5.81349,3.23833,6.99448,-0.0224002,0.00774045,0.0132117,9.45112,0.12926,1.15479,-0.00201422,-0.0889907,0.0344825,-1.09614,-9.83143,-1.41442,0.00612894,-0.00504609,-0.079335
0.006,4.62877,-4.98641,7.22172,-0.003205,-0.0071515,0.00917555,-1.05457,9.37918,-2.22922,-0.0644509,0.0495362,-0.0696386,-1.35496,9.56931,-1.65301,-0.0181985,0.061927,0.0822384,-0.508095,-9.73204,-1.36362,0.038033,0.0205989,0.0486472,5.82073,3.23467,7.00883,-0.0252926,0.00715632,0.0125278,9.46803,0.102841,1.14532,-0.00325685,-0.0864811,0.0356731,-1.09541,-9.82614,-1.41092,0.00717334,-0.00470513,-0.0800385
0.007,4.61474,-4.99094,7.21183,-0.00431816,-0.00674033,0.00802166,-1.03941,9.38231,-2.23444,-0.0628421,0.0488089,-0.0698076,-1.35863,9.55727,-1.64965,-0.0178642,0.0590537,0.0832318,-0.529787,-9.73778,-1.36797,0.0383762,0.0201482,0.0481222,5.82797,3.23102,7.02318,-0.028185,0.0065722,0.0118439,9.48493,0.0764208,1.13585,-0.00449948,-0.0839714,0.0368636,-1.09468,-9.82085,-1.40742,0.00821774,-0.00436417,-0.0807419
0.008,4.60071,-4.99547,7.20193,-0.00543133,-0.00632916,0.00686777,-1.02425,9.38545,-2.23965,-0.0612333,0.0480816,-0.0699765,-1.3623,9.54524,-1.64628,-0.0175299,0.0561803,0.0842252,-0.55148,-9.74352,-1.37233,0.0387193,0.0196975,0.0475971,5.83521,3.22737,7.03754,-0.0310774,0.00598808,0.01116,9.50185,0.050001,1.12638,-0.00574212,-0.0814618,0.0380542,-1.09395,-9.81555,-1.40392,0.00926215,-0.00402321,-0.0814454
0.009,4.58724,-4.99901,7.1929,-0.00655109,-0.00586034,0.00564901,-1.0092,9.38715,-2.24411,-0.0598258,0.0473324,-0.0701261,-1.36624,9.53318,-1.64277,-0.0170954,0.0533205,0.0852477,-0.571958,-9.74845,-1.37474,0.0390119,0.0194705,0.047252,5.84517,3.22364,7.04932,-0.0334887,0.0054595,0.0106531,9.51754,0.026716,1.1174,-0.00660978,-0.0790749,0.038944,-1.09218,-9.81056,-1.40335,0.0100178,-0.00390054,-0.0820999
0.01,4.57819,-4.99461,7.19075,-0.00772363,-0.00493032,0.00391125,-0.995068,9.37734,-2.24246,-0.0600287,0.0464074,-0.070121,-1.3723,9.52101,-1.6381,-0.0158587,0.0505689,0.0865024,-0.582714,-9.74691,-1.36157,0.0389011,0.0210331,0.0483461,5.87693,3.21931,7.04056,-0.0320507,0.00537534,0.0115625,9.52356,0.0285093,1.11237,-0.0044777,-0.0776702,0.037428,-1.08211,-9.80792,-1.42626,0.00846326,-0.00552414,-0.0823637
0.011,4.56913,-4.99021,7.1886,-0.00889617,-0.00400031,0.00217349,-0.980936,9.36753,-2.24082,-0.0602316,0.0454824,-0.0701158,-1.37836,9.50883,-1.63344,-0.014622,0.0478172,0.0877571,-0.593469,-9.74537,-1.34839,0.0387903,0.0225957,0.0494403,5.90869,3.21497,7.03181,-0.0306127,0.00529118,0.0124719,9.52957,0.0303027,1.10733,-0.00234562,-0.0762654,0.0359121,-1.07204,-9.80529,-1.44917,0.00690875,-0.00714773,-0.0826275
0.012,4.56008,-4.98581,7.18645,-0.0100687,-0.00307029,0.000435735,-0.966804,9.35772,-2.23917,-0.0604345,0.0445575,-0.0701106,-1.38443,9.49665,-1.62877,-0.0133853,0.0450656,0.0890117,-0.604225,-9.74383,-1.33521,0.0386794,0.0241582,0.0505344,5.94045,3.21064,7.02306,-0.0291747,0.00520701,0.0133813,9.53559,0.032096,1.1023,-0.00021354,-0.0748607,0.0343961,-1.06197,-9.80265,-1.47208,0.00535423,-0.00877133,-0.0828913
0.013,4.55103,-4.98141,7.1843,-0.0112412,-0.00214028,-0.00130202,-0.952671,9.34791,-2.23752,-0.0606374,0.0436325,-0.0701054,-1.39049,9.48448,-1.62411,-0.0121486,0.0423139,0.0902664,-0.614981,-9.7423,-1.32203,0.0385686,0.0257208,0.0516286,5.97221,3.20631,7.0143,-0.0277368,0.00512285,0.0142907,9.5416,0.0338894,1.09726,0.00191854,-0.073456,0.0328801,-1.0519,-9.80002,-1.49499,0.00379971,-0.0103949,-0.0831551
0.014,4.5575,-4.97244,7.18675,-0.0105528,-0.0015069,-0.00281499,-0.963325,9.34216,-2.23999,-0.0607897,0.0423417,-0.0706577,-1.40424,9.47122,-1.62919,-0.0130513,0.0400232,0.0914922,-0.616536,-9.7426,-1.32751,0.0381834,0.0270414,0.0519285,5.96768,3.18852,6.99535,-0.0276048,0.00652583,0.0142931,9.55349,0.0400639,1.09235,0.00453784,-0.0713624,0.0328209,-1.05689,-9.79445,-1.48583,0.00344443,-0.00948628,-0.0836494
0.015,4.57174,-4.96118,7.19149,-0.00893392,-0.00102185,-0.00421555,-0.986372,9.33844,-2.2445,-0.0609167,0.0408681,-0.0714888,-1.42183,9.45743,-1.63915,-0.0150236,0.0379629,0.0927035,-0.613491,-9.74382,-1.34232,0.037661,0.0282411,0.0518313,5.94501,3.16401,6.97131,-0.0281258,0.00867238,0.0138422,9.56832,0.048429,1.08749,0.00740074,-0.0689244,0.0334901,-1.06942,-9.78741,-1.46062,0.00368875,-0.00731151,-0.084259
0.016,4.58599,-4.94993,7.19624,-0.00731501,-0.000536805,-0.00561612,-1.00942,9.33473,-2.24902,-0.0610437,0.0393944,-0.0723198,-1.43943,9.44363,-1.6491,-0.0169959,0.0359025,0.0939148,-0.610446,-9.74504,-1.35713,0.0371387,0.0294407,0.0517341,5.92234,3.13949,6.94727,-0.0286469,0.0108189,0.0133912,9.58316,0.0567942,1.08263,0.0102636,-0.0664864,0.0341592,-1.08196,-9.78037,-1.43542,0.00393308,-0.00513673,-0.0848685
0.017,4.60023,-4.93868,7.20099,-0.00569611,-5.18e-05,-0.00701668,-1.03246,9.33101,-2.25354,-0.0611708,0.0379207,-0.0731509,-1.45702,9.42984,-1.65906,-0.0189682,0.0338422,0.0951261,-0.6074,-9.74626,-1.37193,0.0366163,0.0306404,0.0516369,5.89966,3.11498,6.92323,-0.0291679,0.0129655,0.0129403,9.59799,0.0651593,1.07778,0.0131266,-0.0640485,0.0348283,-1.09449,-9.77333,-1.41021,0.00417741,-0.00296196,-0.085478
0.018,4.61194,-4.93194,7.20677,-0.00417971,0.000433294,-0.00828618,-1.0551,9.3313,-2.26084,-0.061391,0.0369863,-0.0737423,-1.47608,9.42494,-1.67012,-0.0205954,0.0319452,0.0959745,-0.602905,-9.74754,-1.3803,0.0363148,0.0316272,0.0514161,5.87872,3.094,6.90547,-0.029553,0.0145837,0.0121597,9.61166,0.071913,1.07531,0.0155308,-0.0616141,0.0354052,-1.10549,-9.76727,-1.39388,0.00444099,-0.000932369,-0.0862038
0.019,4.61481,-4.941,7.21615,-0.00302206,0.00091834,-0.00909694,-1.07627,9.34561,-2.2779,-0.0619378,0.0379393,-0.0734949,-1.50027,9.45117,-1.68502,-0.0210145,0.0306195,0.0955525,-0.593334,-9.74907,-1.36612,0.0367865,0.0318691,0.0507628,5.86381,3.08543,6.90971,-0.0294621,0.0143527,0.0102256,9.62126,0.0730265,1.08118,0.0163296,-0.0591922,0.0356589,-1.11118,-9.76461,-1.40862,0.00477194,0.000589102,-0.0873366
0.02,4.61769,-4.95006,7.22552,-0.00186441,0.00140339,-0.00990771,-1.09745,9.35992,-2.29495,-0.0624845,0.0388923,-0.0732475,-1.52447,9.4774,-1.69993,-0.0214336,0.0292939,0.0951306,-0.583764,-9.75059,-1.35194,0.0372582,0.0321111,0.0501094,5.84891,3.07685,6.91395,-0.0293712,0.0141216,0.00829156,9.63087,0.07414,1.08706,0.0171284,-0.0567703,0.0359126,-1.11686,-9.76196,-1.42335,0.0051029,0.00211057,-0.0884693
0.021,4.62056,-4.95911,7.2349,-0.000706768,0.00188843,-0.0107185,-1.11862,9.37423,-2.31201,-0.0630312,0.0398453,-0.0730001,-1.54867,9.50363,-1.71484,-0.0218527,0.0279683,0.0947086,-0.574193,-9.75212,-1.33776,0.0377298,0.032353,0.049456,5.834,3.06828,6.91819,-0.0292802,0.0138906,0.00635747,9.64048,0.0752535,1.09294,0.0179272,-0.0543484,0.0361664,-1.12254,-9.7593,-1.43808,0.00543386,0.00363204,-0.0896021
0.022,4.62343,-4.96817,7.24427,0.000450878,0.00237348,-0.0115292,-1.13979,9.38855,-2.32906,-0.0635779,0.0407983,-0.0727527,-1.57286,9.52986,-1.72974,-0.0222719,0.0266427,0.0942866,-0.564622,-9.75364,-1.32358,0.0382015,0.032595,0.0488026,5.81909,3.0597,6.92243,-0.0291893,0.0136596,0.00442338,9.65008,0.076367,1.09882,0.018726,-0.0519265,0.0364201,-1.12822,-9.75664,-1.45281,0.00576481,0.00515352,-0.0907349
0.023,4.62976,-4.96587,7.24945,0.00190617,0.00172293,-0.0103826,-1.11281,9.37015,-2.33219,-0.06366,0.0423321,-0.074401,-1.5688,9.52145,-1.74058,-0.0222042,0.0262102,0.0962011,-0.555402,-9.74617,-1.32508,0.0386227,0.0344502,0.0495221,5.79259,3.05799,6.919,-0.0295531,0.013159,0.00290664,9.64183,0.0753442,1.08359,0.0190914,-0.0485671,0.0367124,-1.12898,-9.7507,-1.46271,0.00667684,0.00450091,-0.0889079
0.024,4.63709,-4.96032,7.25342,0.00344651,0.000747934,-0.0086768,-1.07208,9.34241,-2.33134,-0.0636093,0.0440318,-0.0765909,-1.55666,9.50315,-1.75025,-0.0219974,0.0260329,0.098783,-0.546281,-9.73612,-1.33107,0.0390294,0.0367664,0.0506337,5.76276,3.05824,6.91339,-0.0300469,0.0125814,0.00150915,9.62848,0.073711,1.06234,0.019333,-0.0449399,0.0370157,-1.12834,-9.74382,-1.47124,0.00775489,0.00322715,-0.0862353
0.025,4.64441,-4.95478,7.25739,0.00498685,-0.000227066,-0.00697096,-1.03134,9.31467,-2.33049,-0.0635587,0.0457315,-0.0787808,-1.54452,9.48485,-1.75992,-0.0217906,0.0258555,0.101365,-0.53716,-9.72608,-1.33705,0.0394362,0.0390826,0.0517453,5.73294,3.05849,6.90778,-0.0305406,0.0120037,0.000111647,9.61513,0.0720778,1.04108,0.0195746,-0.0413127,0.0373189,-1.12769,-9.73693,-1.47977,0.00883293,0.00195338,-0.0835628
0.026,4.65173,-4.94923,7.26136,0.00652719,-0.00120207,-0.00526512,-0.990597,9.28692,-2.32964,-0.063508,0.0474312,-0.0809708,-1.53238,9.46654,-1.76959,-0.0215838,0.0256782,0.103947,-0.52804,-9.71604,-1.34303,0.039843,0.0413988,0.052857,5.70311,3.05874,6.90216,-0.0310343,0.0114261,-0.00128585,9.60178,0.0704445,1.01983,0.0198162,-0.0376855,0.0376222,-1.12705,-9.73005,-1.4883,0.00991098,0.000679613,-0.0808902
0.027,4.65577,-4.94295,7.26525,0.00707074,-0.00186754,-0.00431367,-0.970603,9.26908,-2.3264,-0.0637675,0.0486545,-0.0823744,-1.52282,9.455,-1.77267,-0.0216444,0.02556,0.105462,-0.515174,-9.71179,-1.35584,0.0393314,0.044018,0.0538656,5.68053,3.07264,6.89961,-0.031011,0.0109456,-0.0013657,9.6026,0.0768856,1.00479,0.0197518,-0.0344491,0.0370064,-1.12769,-9.736,-1.49255,0.0110594,0.000293569,-0.0793607
0.028,4.65321,-4.9352,7.26896,0.00562071,-0.00191395,-0.00487101,-0.992097,9.27103,-2.31836,-0.064647,0.048925,-0.0822053,-1.51843,9.45696,-1.76255,-0.0222399,0.02556,0.104841,-0.494817,-9.71912,-1.3823,0.0369832,0.0472435,0.054668,5.67242,3.11384,6.90318,-0.0299535,0.0106594,0.00118974,9.63174,0.0994753,1.00218,0.0190755,-0.0319945,0.0345523,-1.13092,-9.76763,-1.48824,0.0123486,0.00168297,-0.0801173
0.029,4.65066,-4.92745,7.27267,0.00417067,-0.00196036,-0.00542835,-1.01359,9.27299,-2.31033,-0.0655265,0.0491956,-0.0820363,-1.51404,9.45892,-1.75243,-0.0228354,0.02556,0.104221,-0.474461,-9.72645,-1.40875,0.034635,0.050469,0.0554704,5.66431,3.15504,6.90675,-0.028896,0.0103732,0.00374518,9.66089,0.122065,0.999567,0.0183991,-0.0295398,0.0320982,-1.13415,-9.79926,-1.48394,0.0136378,0.00307237,-0.0808739
0.03,4.64811,-4.9197,7.27638,0.00272064,-0.00200677,-0.0059857,-1.03509,9.27494,-2.30229,-0.066406,0.0494661,-0.0818672,-1.50965,9.46088,-1.74231,-0.0234308,0.02556,0.1036,-0.454104,-9.73379,-1.4352,0.0322867,0.0536945,0.0562729,5.65619,3.19624,6.91032,-0.0278386,0.0100869,0.00630063,9.69004,0.144655,0.996957,0.0177228,-0.0270851,0.0296441,-1.13738,-9.83089,-1.47964,0.014927,0.00446177,-0.0816305
0.031,4.64556,-4.91195,7.28009,0.00127061,-0.00205319,-0.00654304,-1.05658,9.27689,-2.29426,-0.0672856,0.0497366,-0.0816982,-1.50525,9.46284,-1.73219,-0.0240263,0.02556,0.10298,-0.433747,-9.74112,-1.46166,0.0299385,0.05692,0.0570753,5.64808,3.23744,6.91388,-0.0267811,0.00980073,0.00885607,9.71919,0.167244,0.994347,0.0170465,-0.0246305,0.0271899,-1.14061,-9.86252,-1.47534,0.0162162,0.00585118,-0.0823872
0.032,4.65573,-4.92728,7.28199,0.00204082,-0.000963562,-0.00660356,-1.06194,9.30289,-2.28937,-0.067867,0.0489022,-0.0832129,-1.52317,9.46208,-1.74826,-0.023796,0.0249945,0.10108,-0.438157,-9.72884,-1.46946,0.0306847,0.0590526,0.0567957,5.65408,3.26407,6.94497,-0.0273355,0.00955361,0.00840531,9.72864,0.159713,0.995401,0.014958,-0.0234644,0.0285287,-1.15067,-9.85576,-1.45783,0.0158346,0.00706531,-0.0840438
0.033,4.66749,-4.9455,7.28367,0.00308856,0.000268068,-0.00660199,-1.06529,9.33189,-2.28489,-0.0684112,0.0479296,-0.0849381,-1.54388,9.46099,-1.76761,-0.0234624,0.0243583,0.0990205,-0.445662,-9.71411,-1.47494,0.0318176,0.0610485,0.0563808,5.66183,3.28889,6.9795,-0.0280914,0.00931139,0.00757877,9.73564,0.148416,0.996912,0.0126929,-0.0224594,0.0303416,-1.16159,-9.84419,-1.43868,0.0152441,0.00825754,-0.0858129
0.034,4.67924,-4.96372,7.28534,0.00413631,0.0014997,-0.00660041,-1.06863,9.36089,-2.2804,-0.0689554,0.046957,-0.0866634,-1.56458,9.4599,-1.78696,-0.0231288,0.023722,0.0969609,-0.453168,-9.69938,-1.48041,0.0329506,0.0630444,0.0559659,5.66959,3.3137,7.01403,-0.0288473,0.00906916,0.00675224,9.74263,0.13712,0.998424,0.0104278,-0.0214545,0.0321544,-1.1725,-9.83263,-1.41953,0.0146537,0.00944976,-0.087582
0.035,4.691,-4.98193,7.28702,0.00518405,0.00273133,-0.00659883,-1.07198,9.38989,-2.27591,-0.0694996,0.0459844,-0.0883886,-1.58529,9.45881,-1.80631,-0.0227952,0.0230858,0.0949013,-0.460673,-9.68464,-1.48588,0.0340835,0.0650403,0.0555509,5.67734,3.33851,7.04856,-0.0296033,0.00882693,0.0059257,9.74963,0.125823,0.999936,0.00816273,-0.0204495,0.0339673,-1.18342,-9.82106,-1.40037,0.0140632,0.010642,-0.0893511
