Time,EMGs.RTibialisA,EMGs.2,EMGs.3,EMGs.4,EMGs.5,EMGs.6,EMGs.7,EMGs.8,EMGs.9,EMGs.10,EMGs.11,EMGs.12,EMGs.13,EMGs.14,EMGs.15,EMGs.16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0470197,0.0138831,0.0829633,0.0557541,0.046857,0.064595,0.0445334,0.0492636,0.0558908,0.0104056,0.0975177,0.0429477,0.0468756,0.0487009,0.0520593,0.0459485
0.021,0.0641095,0.0166296,0.0997479,0.0615524,0.0599796,0.0572708,0.0555197,0.0523154,0.0598581,0.0607596,0.0822589,0.0597324,0.0343634,0.0691476,0.0459558,0.0471692
0.022,0.0500714,0.0312781,0.0966962,0.0118088,0.0529605,0.0554398,0.0622336,0.063912,0.0781686,0.0744925,0.106368,0.059122,0.0563361,0.074946,0.0789148,0.0593762
0.023,0.0653302,0.0285315,0.0823529,0.0505661,0.0676089,0.0618485,0.031716,0.0605551,0.0525339,0.0674734,0.0752399,0.0652255,0.0957037,0.049006,0.0651819,0.0688367
0.024,0.0769269,0.0251746,0.0759442,0.0441574,0.0557071,0.0649002,0.0488058,0.0474326,0.0656564,0.0772391,0.0508258,0.0554599,0.059693,0.0688425,0.0490076,0.0569348
0.025,0.0430524,0.0209021,0.0643475,0.0533127,0.057233,0.0459793,0.0454489,0.0462119,0.0653513,0.0259695,0.0651691,0.0347079,0.0664069,0.0587717,0.0660974,0.0517468
0.026,0.0723492,0.0627112,0.0496991,0.0505661,0.0547916,0.0481155,0.0558249,0.0523154,0.0601633,0.0335989,0.0410602,0.0600375,0.0453497,0.0480905,0.0529749,0.0490002
0.027,0.0625836,0.0660681,0.0509198,0.0612473,0.0395328,0.0569656,0.0555197,0.0602499,0.056196,0.0784598,-0.0141766,0.041727,0.0627448,0.0554147,0.0587732,0.0444226
0.028,0.0616681,0.062406,0.0542767,0.0606369,0.0496036,0.0752762,0.0375143,0.0565878,0.0619943,0.0747977,-0.0242474,0.0493564,0.0633551,0.06457,0.0541956,0.0526624
0.029,0.0586163,0.0810217,0.0374921,0.0527023,0.036481,0.0600174,0.0704733,0.0376669,0.0265939,0.0723563,0.00108215,0.0496616,0.0511481,0.0477853,0.0541956,0.0566296
0.03,0.0525128,0.0669836,0.0524457,0.0398849,0.0605899,0.0529984,0.0430075,0.0486533,0.0494821,0.0119315,0.0358722,0.0579013,0.0410773,0.0679269,0.0648767,0.0462537
0.031,0.0525128,0.0788855,0.0777753,0.0618576,0.0386172,0.0703934,0.0610129,0.0730673,0.0571115,0.0140677,0.0294635,0.0563754,0.0538947,0.0602975,0.0505334,0.0496106
0.032,0.0622784,0.0743079,0.0454266,0.0664352,0.0373965,0.0780228,0.0521628,0.0678793,0.0519235,0.0494681,0.0386188,0.0453891,0.0560309,0.0639597,0.0511438,0.0529675
0.033,0.0522076,0.0602698,0.0390179,0.0697922,0.0373965,0.0832108,0.0427023,0.0492636,0.0558908,0.0290213,0.0288532,0.0450839,0.0416876,0.0676218,0.0407678,0.0575452
0.034,0.0659406,0.0444006,0.0255902,0.0581955,0.0569278,0.036824,0.0549094,0.067269,0.0497873,0.0165091,0.028548,0.0456943,0.0520636,0.0654855,0.0715906,0.0636487
