Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,9.6658,1.481,2.13979,-0.0174503,-0.0390447,0.007704,-1.03984,-9.88943,-0.904026,-0.0513419,0.0325116,0.0108159,-1.82961,9.65673,-0.831528,0.010474,0.00576964,-0.0144888,5.02496,-1.20705,8.35899,-0.0214117,0.00208907,-0.0034837,-1.13738,9.85326,-1.15071,-0.0227575,0.0398552,0.0125108,4.56339,1.58595,8.93099,-0.0175123,-0.00101012,0.0121396,-2.71952,-9.79718,0.192006,-0.0324547,0.00452246,-0.0112852
0.001,9.65534,1.48086,2.13517,-0.0174265,-0.0388406,0.00773648,-1.04139,-9.88211,-0.904925,-0.0511654,0.0325069,0.0109859,-1.82681,9.64847,-0.825929,0.0101177,0.00579287,-0.0143547,5.02354,-1.20255,8.35077,-0.0210841,0.00226686,-0.00343175,-1.13563,9.84762,-1.14955,-0.0228499,0.0394364,0.0121826,4.55957,1.58603,8.92308,-0.0175293,-0.001091,0.0120875,-2.71738,-9.78811,0.193749,-0.0321613,0.00441497,-0.0113561
0.002,9.64529,1.48084,2.13072,-0.0174033,-0.0386377,0.00776666,-1.04304,-9.87524,-0.905932,-0.0509904,0.0325061,0.0111593,-1.8241,9.64059,-0.820387,0.00976523,0.0058245,-0.0142257,5.02238,-1.19817,8.34291,-0.0207553,0.00244917,-0.00337726,-1.13401,9.84228,-1.14849,-0.0229382,0.0390186,0.0118611,4.55593,1.58615,8.91552,-0.0175424,-0.00117042,0.0120372,-2.71536,-9.77942,0.195376,-0.0318685,0.00430766,-0.0114322
0.003,9.63567,1.48093,2.12646,-0.0173807,-0.0384376,0.00779339,-1.04477,-9.86878,-0.907049,-0.0508178,0.0325095,0.0113351,-1.82148,9.63307,-0.814955,0.00942085,0.00586643,-0.0141041,5.02144,-1.19398,8.33539,-0.0204277,0.00263537,-0.00332,-1.13256,9.83717,-1.14754,-0.02302,0.0386058,0.011551,4.55248,1.58629,8.90827,-0.0175498,-0.00124715,0.0119895,-2.71345,-9.77111,0.196835,-0.0315788,0.00420158,-0.0115136
0.004,9.62648,1.48113,2.12245,-0.0173587,-0.0382419,0.00781555,-1.04657,-9.86272,-0.908276,-0.0506488,0.0325176,0.0115121,-1.81896,9.62587,-0.809688,0.00908903,0.00592058,-0.0139925,5.0207,-1.19002,8.32823,-0.0201038,0.00282482,-0.00325971,-1.13131,9.8322,-1.14671,-0.0230926,0.0382016,0.0112573,4.5492,1.58642,8.90131,-0.0175501,-0.00131992,0.011945,-2.71163,-9.76315,0.198073,-0.0312948,0.00409777,-0.0116008
0.005,9.61773,1.48144,2.11871,-0.0173376,-0.0380517,0.00783236,-1.04841,-9.85702,-0.909608,-0.0504844,0.0325305,0.0116894,-1.81654,9.61898,-0.804632,0.00877385,0.00598852,-0.0138925,5.02012,-1.18633,8.32141,-0.0197861,0.00301707,-0.00319632,-1.13028,9.8273,-1.14602,-0.023154,0.0378095,0.0109842,4.54607,1.58653,8.89461,-0.0175418,-0.00138765,0.0119042,-2.70991,-9.75552,0.199053,-0.0310189,0.00399736,-0.011694
0.006,9.60937,1.48185,2.11525,-0.0173182,-0.037867,0.00784415,-1.05029,-9.85166,-0.911029,-0.0503256,0.0325479,0.0118667,-1.81422,9.6124,-0.799811,0.00847844,0.00607076,-0.0138043,5.01968,-1.18295,8.31493,-0.0194774,0.00321219,-0.00313021,-1.12949,9.82245,-1.14545,-0.023203,0.0374324,0.0107338,4.54312,1.58662,8.88818,-0.0175247,-0.00144966,0.011867,-2.70829,-9.7482,0.199784,-0.0307541,0.00390167,-0.0117922
0.007,9.60137,1.48236,2.11204,-0.0173018,-0.0376865,0.00785219,-1.05217,-9.84661,-0.91251,-0.0501732,0.0325693,0.012044,-1.81198,9.60613,-0.79523,0.008205,0.00616683,-0.0137261,5.01934,-1.17987,8.30879,-0.0191801,0.0034107,-0.00306216,-1.12893,9.81766,-1.14498,-0.0232397,0.0370728,0.0105063,4.54033,1.58669,8.88202,-0.0174995,-0.00150568,0.0118325,-2.70675,-9.74115,0.20032,-0.0305037,0.00381226,-0.0118939
0.008,9.59367,1.48295,2.10904,-0.0172897,-0.0375088,0.00785809,-1.05404,-9.84186,-0.914019,-0.0500283,0.0325937,0.0122213,-1.80978,9.6002,-0.790886,0.00795553,0.00627598,-0.0136559,5.01908,-1.17708,8.30299,-0.018897,0.00361328,-0.00299309,-1.12863,9.81293,-1.14458,-0.0232645,0.0367329,0.0103015,4.53774,1.58676,8.87615,-0.017467,-0.00155554,0.0117998,-2.7053,-9.73435,0.200725,-0.030271,0.00373071,-0.0119973
0.009,9.58623,1.48363,2.10622,-0.0172834,-0.0373323,0.00786339,-1.05586,-9.83737,-0.915525,-0.0498916,0.0326205,0.0123986,-1.80761,9.59463,-0.786777,0.00773178,0.00639752,-0.0135914,5.01886,-1.17458,8.29753,-0.0186308,0.00382057,-0.00292391,-1.12856,9.8083,-1.14422,-0.0232777,0.0364149,0.010119,4.53535,1.58684,8.87058,-0.017428,-0.00159911,0.0117679,-2.70394,-9.72778,0.201067,-0.0300592,0.00365857,-0.0121005
0.01,9.57903,1.48438,2.10357,-0.0172825,-0.0371549,0.00786904,-1.05762,-9.83312,-0.917007,-0.049764,0.0326493,0.0125751,-1.80544,9.58942,-0.782899,0.00753304,0.00653099,-0.0135312,5.01867,-1.17237,8.29241,-0.0183828,0.00403256,-0.00285539,-1.12873,9.80378,-1.1439,-0.0232802,0.0361202,0.00995699,4.53317,1.58696,8.86531,-0.0173832,-0.00163654,0.0117357,-2.70268,-9.72142,0.201405,-0.0298687,0.00359657,-0.0122028
0.011,9.57208,1.48522,2.10109,-0.0172836,-0.0369736,0.00787508,-1.05931,-9.82908,-0.918461,-0.0496457,0.0326807,0.0127479,-1.80327,9.58454,-0.779243,0.00735434,0.00667627,-0.0134742,5.01846,-1.17041,8.28762,-0.0181523,0.00424818,-0.00278811,-1.12913,9.7994,-1.14361,-0.0232735,0.035849,0.00981133,4.53121,1.5871,8.86038,-0.0173321,-0.00166853,0.0117024,-2.70154,-9.71526,0.20179,-0.0296954,0.00354402,-0.0123052
