Time,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.0,0.0750405,9.7428,0.0747008,0.0269806,0.372597,0.0210881,5.78826,0.552635,8.97085,0.656898,-0.078085,0.0172125,-0.137974,9.7022,-1.39972,-0.0214978,0.448835,0.00292266,9.99285,-0.325611,3.05646,-0.161314,-0.141793,0.149464,1.51851,-9.7492,-3.00352,-0.116752,0.543318,-0.0879605,5.01209,0.135333,8.64116,-0.305692,-0.0231294,-0.158162,0.329365,-9.86732,-2.54938,-0.122134,0.802095,-0.0770705
0.001,0.0393637,9.75266,0.0897447,0.0256029,0.391422,0.0199651,5.81976,0.424188,8.98734,0.639166,-0.0597511,0.018155,-0.107803,9.71703,-1.43996,-0.0322318,0.4616,-0.000419985,9.94569,-0.307186,3.06411,-0.155805,-0.136978,0.147573,1.58137,-9.72197,-3.02961,-0.112091,0.537353,-0.0941157,5.08389,0.200686,8.6805,-0.33072,-0.0115008,-0.163075,0.1985,-9.84052,-2.14157,-0.110609,0.793598,-0.0682735
0.002,0.00368698,9.76251,0.104789,0.0242251,0.410247,0.0188421,5.85127,0.295741,9.00384,0.621434,-0.0414172,0.0190974,-0.0776311,9.73186,-1.4802,-0.0429657,0.474364,-0.00376263,9.89854,-0.288761,3.07176,-0.150296,-0.132162,0.145681,1.64424,-9.69473,-3.05569,-0.10743,0.531389,-0.100271,5.15569,0.266039,8.71984,-0.355749,0.000127908,-0.167988,0.067636,-9.81371,-1.73375,-0.0990836,0.785102,-0.0594766
0.003,-0.0319898,9.77237,0.119833,0.0228474,0.429071,0.0177191,5.88277,0.167294,9.02033,0.603702,-0.0230833,0.0200398,-0.0474595,9.7467,-1.52044,-0.0536997,0.487129,-0.00710527,9.85138,-0.270336,3.07941,-0.144787,-0.127347,0.14379,1.7071,-9.6675,-3.08178,-0.10277,0.525424,-0.106426,5.22748,0.331391,8.75918,-0.380778,0.0117566,-0.172901,-0.0632284,-9.78691,-1.32594,-0.0875582,0.776605,-0.0506796
0.004,-0.0676665,9.78222,0.134877,0.0214696,0.447896,0.0165961,5.91427,0.0388472,9.03682,0.58597,-0.00474938,0.0209823,-0.0172879,9.76153,-1.56068,-0.0644337,0.499894,-0.0104479,9.80422,-0.25191,3.08706,-0.139277,-0.122531,0.141899,1.76997,-9.64026,-3.10787,-0.0981092,0.519459,-0.112581,5.29928,0.396744,8.79851,-0.405807,0.0233852,-0.177814,-0.194093,-9.7601,-0.918132,-0.0760328,0.768109,-0.0418826
0.005,-0.088011,9.79959,0.20141,0.0187964,0.457485,0.0181321,5.9203,0.0396202,8.99727,0.553053,0.0172556,0.0183931,0.00716478,9.75761,-1.58857,-0.0751991,0.51318,-0.0134206,9.77212,-0.238845,3.08461,-0.13625,-0.118239,0.14005,1.82704,-9.623,-3.11941,-0.0940742,0.514798,-0.120686,5.36896,0.482572,8.80168,-0.426811,0.0399348,-0.182782,-0.185846,-9.76482,-0.728991,-0.0603933,0.747089,-0.0284918
0.006,-0.0960898,9.82296,0.309134,0.0150868,0.459686,0.0217953,5.90596,0.143769,8.91288,0.507987,0.0421975,0.0129786,0.0270423,9.73867,-1.60658,-0.0859898,0.526883,-0.0160972,9.75207,-0.230068,3.07408,-0.135207,-0.114366,0.138236,1.87947,-9.61372,-3.11931,-0.0905398,0.511179,-0.130351,5.43696,0.584781,8.77591,-0.444596,0.0604209,-0.187793,-0.0663107,-9.79474,-0.714785,-0.0414624,0.716052,-0.0114261
0.007,-0.104169,9.84632,0.416859,0.0113773,0.461887,0.0254586,5.89162,0.247918,8.8285,0.462921,0.0671393,0.00756411,0.0469198,9.71973,-1.62459,-0.0967805,0.540587,-0.0187739,9.73201,-0.221291,3.06354,-0.134164,-0.110493,0.136421,1.93191,-9.60444,-3.11921,-0.0870054,0.50756,-0.140016,5.50496,0.686989,8.75014,-0.46238,0.0809071,-0.192805,0.0532248,-9.82467,-0.70058,-0.0225315,0.685014,0.0056396
0.008,-0.112247,9.86969,0.524584,0.00766772,0.464087,0.0291218,5.87728,0.352067,8.74411,0.417855,0.0920812,0.00214962,0.0667974,9.7008,-1.64259,-0.107571,0.554291,-0.0214505,9.71196,-0.212514,3.05301,-0.133121,-0.106619,0.134607,1.98434,-9.59515,-3.11912,-0.083471,0.503941,-0.149681,5.57295,0.789197,8.72437,-0.480165,0.101393,-0.197816,0.17276,-9.85459,-0.686374,-0.00360068,0.653977,0.0227053
0.009,-0.13178,9.88553,0.618783,0.00329126,0.46632,0.0317632,5.85638,0.482725,8.65305,0.376914,0.115924,-0.00258431,0.0877981,9.68454,-1.65909,-0.117849,0.567743,-0.0238361,9.68732,-0.204408,3.04227,-0.132,-0.103055,0.132709,2.0346,-9.58719,-3.11563,-0.0799801,0.5005,-0.159276,5.639,0.885333,8.69743,-0.497038,0.122048,-0.202683,0.281303,-9.86822,-0.700606,0.0139514,0.625947,0.0392859
0.01,-0.242947,9.8411,0.604781,-0.00642027,0.468803,0.0262296,5.7831,0.825457,8.5086,0.368972,0.130978,-0.00187384,0.117784,9.68977,-1.66348,-0.124025,0.579184,-0.0238934,9.62596,-0.201671,3.02992,-0.130255,-0.101962,0.130141,2.06745,-9.58973,-3.08497,-0.0768373,0.498492,-0.168317,5.68942,0.93289,8.66117,-0.506615,0.144055,-0.206391,0.301909,-9.75148,-0.942341,0.0204729,0.621981,0.0519859
0.011,-0.354113,9.79667,0.590779,-0.0161318,0.471287,0.0206961,5.70981,1.16819,8.36415,0.361031,0.146032,-0.00116337,0.14777,9.69499,-1.66788,-0.130201,0.590625,-0.0239506,9.5646,-0.198934,3.01757,-0.128511,-0.100868,0.127574,2.1003,-9.59228,-3.05431,-0.0736946,0.496484,-0.177357,5.73984,0.980448,8.6249,-0.516192,0.166062,-0.2101,0.322515,-9.63474,-1.18408,0.0269945,0.618015,0.0646858
0.012,-0.465279,9.75224,0.576777,-0.0258433,0.47377,0.0151625,5.63652,1.51092,8.2197,0.353089,0.161086,-0.000452902,0.177756,9.70022,-1.67227,-0.136377,0.602066,-0.0240079,9.50324,-0.196197,3.00521,-0.126766,-0.0997751,0.125006,2.13316,-9.59482,-3.02365,-0.0705519,0.494476,-0.186398,5.79027,1.028,8.58863,-0.525769,0.188069,-0.213808,0.34312,-9.51799,-1.42581,0.033516,0.614049,0.0773857
0.013,-0.576446,9.70781,0.562775,-0.0355549,0.476254,0.00962896,5.56323,1.85365,8.07525,0.345148,0.176139,0.000257568,0.207742,9.70545,-1.67666,-0.142554,0.613507,-0.0240651,9.44187,-0.19346,2.99286,-0.125022,-0.0986819,0.122438,2.16601,-9.59737,-2.99299,-0.0674092,0.492468,-0.195438,5.84069,1.07556,8.55237,-0.535346,0.210076,-0.217517,0.363726,-9.40125,-1.66755,0.0400376,0.610082,0.0900856
0.014,-0.635202,9.697,0.521556,-0.0400821,0.483956,0.0053122,5.43378,2.16408,8.03444,0.340663,0.182231,0.000125998,0.226829,9.69777,-1.6738,-0.146274,0.620723,-0.0246821,9.41015,-0.193053,2.97609,-0.124013,-0.0979749,0.118915,2.13224,-9.60744,-2.96987,-0.0666759,0.489466,-0.204895,5.85606,1.0324,8.52754,-0.543262,0.227561,-0.222194,0.37284,-9.36578,-1.77485,0.0454015,0.605027,0.0998469
0.015,-0.667753,9.703,0.466729,-0.0420172,0.494269,0.00160383,5.27625,2.45836,8.04544,0.337906,0.183843,-0.000426591,0.240467,9.68364,-1.66732,-0.148767,0.625826,-0.025579,9.39325,-0.19381,2.95711,-0.123372,-0.0974609,0.114913,2.06517,-9.62128,-2.95051,-0.0671474,0.485967,-0.21456,5.85391,0.943873,8.50844,-0.550349,0.242785,-0.227356,0.376209,-9.37095,-1.81493,0.0501865,0.599426,0.108139
0.016,-0.700304,9.709,0.411903,-0.0439522,0.504581,-0.00210454,5.11872,2.75264,8.05644,0.33515,0.185454,-0.00097918,0.254105,9.66952,-1.66083,-0.151259,0.63093,-0.026476,9.37634,-0.194567,2.93813,-0.122732,-0.0969469,0.110911,1.99809,-9.63511,-2.93116,-0.0676189,0.482467,-0.224225,5.85175,0.855348,8.48933,-0.557435,0.25801,-0.232518,0.379577,-9.37611,-1.85502,0.0549716,0.593826,0.116431
