Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0781476,0.0532507,0.0435956,0.0911545,0.0615054,0.0682571,0.04728,0.0437704,0.0549753,0.0543509,0.0593707,0.0624789,0.0471808,0.0679269,0.0499231,0.0245862
0.021,0.0515973,0.0474524,0.056413,0.0948166,0.0404483,0.0740555,0.04728,0.0513998,0.0452097,0.0686942,0.0694415,0.06431,0.0764777,0.0557199,0.0630457,0.0755505
0.022,0.0680768,0.0685095,0.0561078,0.0762009,0.0541812,0.0746658,0.071694,0.0431601,0.0369699,0.0604544,0.0666949,0.0621738,0.0535895,0.0544992,0.0459558,0.0508313
0.023,0.052818,0.0730872,0.0664838,0.0499557,0.0392276,0.0642899,0.0616232,0.039498,0.0360544,0.0720511,0.0703571,0.0707187,0.0499274,0.0303903,0.0374109,0.0273328
0.024,0.0604474,0.0514197,0.0646527,0.0456833,0.0291568,0.0639847,0.0546042,0.0434653,0.0607736,0.0598441,0.063338,0.0527133,0.0633551,0.052363,0.0517542,0.0319104
0.025,0.0522076,0.0508093,0.061601,0.0258469,0.0639468,0.0542191,0.0777975,0.03431,0.063215,0.0488577,0.0453326,0.0502719,0.0438239,0.0758615,0.0718957,0.052052
0.026,0.0552594,0.0526404,0.0542767,0.041716,0.0380069,0.0670364,0.0600974,0.0474326,0.0577219,0.0491629,0.0618121,0.0575961,0.0612189,0.054194,0.0517542,0.0807385
0.027,0.0540387,0.0465369,0.0890668,0.036528,0.0438052,0.0526932,0.036904,0.0376669,0.0955637,0.052825,0.0621173,0.0337924,0.0480963,0.0639597,0.0734216,0.0776868
0.028,0.0497662,0.0471472,0.0588544,0.0438522,0.0407535,0.0667313,0.0622336,0.0330893,0.0598581,0.0381766,0.0654742,0.0514926,0.0499274,0.0544992,0.063656,0.0154309
0.029,0.0699078,0.032804,0.0393231,0.0505661,0.0761539,0.0655106,0.0454489,0.0312582,0.0546701,0.0317679,0.061507,0.0429477,0.0569464,0.0648752,0.0612146,0.0578503
0.03,0.0552594,0.0303625,0.0625165,0.0554489,0.0511295,0.059407,0.071694,0.046517,0.0345285,0.0607596,0.0538776,0.0276889,0.0508429,0.052363,0.030697,0.0462537
0.031,0.0906598,0.0181555,0.0573285,0.0459885,0.0483829,0.0737503,0.0466696,0.0437704,0.063215,0.0796805,0.0645587,0.0386752,0.0661017,0.0459543,0.048092,0.0557141
0.032,0.0622784,0.0297522,0.0368817,0.053923,0.0352603,0.0581863,0.0405661,0.044686,0.0449045,0.112945,0.0572345,0.0667514,0.0578619,0.0630441,0.0496179,0.0459485
0.033,0.0515973,0.000455322,0.0554974,0.0737595,0.0569278,0.0597122,0.054299,0.0544516,0.0433786,0.102569,0.0642535,0.0612582,0.0551154,0.0587717,0.0645715,0.0480847
0.034,0.0723492,0.0187659,0.0625165,0.0804733,0.0599796,0.0703934,0.0604025,0.0385825,0.0400217,0.11386,0.0663898,0.0438632,0.0456549,0.0572458,0.0606042,0.0508313
0.035,0.0415265,0.0239539,0.0588544,0.0771164,0.0297672,0.0740555,0.0631491,0.0474326,0.0503976,0.0937186,0.0544879,0.0597324,0.0462653,0.0526682,0.0551111,0.0477795
0.036,0.0662457,0.0428748,0.0722821,0.03134,0.0431949,0.0639847,0.052468,0.0495688,0.0433786,0.0747977,0.0456378,0.0615634,0.0484015,0.0673166,0.0352747,0.0490002
0.037,0.0311505,0.057218,0.0432904,0.0270676,0.039838,0.0893143,0.043923,0.0388876,0.0677927,0.0717459,0.0612018,0.0679721,0.0599982,0.0642648,0.0548059,0.0605969
0.038,0.0592267,0.0556921,0.0451215,0.0444626,0.0459415,0.0624588,0.0521628,0.0422446,0.0635202,0.0854788,0.0761554,0.0597324,0.0480963,0.0566354,0.0578577,0.0706677
0.039,0.0708234,0.0556921,0.0426801,0.0771164,0.0630313,0.0783279,0.0582663,0.0178305,0.0595529,0.0751028,0.0520465,0.0670566,0.0538947,0.0709787,0.0676233,0.0651746
0.04,0.0525128,0.0993323,0.0710614,0.0426315,0.0499088,0.0786331,0.0640646,0.0349203,0.063215,0.0412283,0.0602863,0.048746,0.0450446,0.0578561,0.0151331,0.0374036
