Time,EMGs.RTibialisA,EMGs.2,EMGs.3,EMGs.4,EMGs.5,EMGs.6,EMGs.7,EMGs.8,EMGs.9,EMGs.10,EMGs.11,EMGs.12,EMGs.13,EMGs.14,EMGs.15,EMGs.16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0689923,0.05203,0.0533612,0.0612473,0.0633365,0.0392654,0.0539938,0.0492636,0.0497873,0.00949005,0.051131,0.0340976,0.052674,0.0392404,0.0465662,0.0767712
0.021,0.0711285,0.045011,0.0451215,0.0429367,0.0526553,0.059407,0.031716,0.0559775,0.0592477,0.0360403,0.051131,0.0691928,0.0532843,0.0502267,0.0587732,0.0508313
0.022,0.0457989,0.0407385,0.0554974,0.0557541,0.0630313,0.0661209,0.0433127,0.0831381,0.0412424,0.042449,0.063338,0.0398959,0.0554205,0.0621286,0.051449,0.114003
0.023,0.0503766,0.0288367,0.0515302,0.0533127,0.0666934,0.0655106,0.0631491,0.0440756,0.0525339,0.106536,0.0715778,0.0508823,0.0709845,0.0599924,0.0557214,0.0691418
0.024,0.0714337,0.0651526,0.0652631,0.0707077,0.0615054,0.0560501,0.0546042,0.0544516,0.056196,0.106536,0.0654742,0.0197543,0.0438239,0.0544992,0.0639612,0.0551038
0.025,0.0491559,0.0611853,0.0677045,0.0450729,0.0471622,0.0533035,0.0530783,0.0486533,0.0650461,0.111724,0.0505206,0.0389804,0.0538947,0.0340524,0.0294763,0.0474744
0.026,0.0433575,0.0282263,0.0521405,0.0749802,0.0608951,0.0374344,0.0533835,0.0416342,0.0671823,0.131255,0.045943,0.0447787,0.0633551,0.0438181,0.0889856,0.0465588
0.027,0.0207745,0.0184607,0.0570233,0.0722336,0.0770694,0.0636795,0.0588766,0.0654379,0.0598581,0.0815115,0.0724933,0.0408115,0.0587775,0.0371042,0.0715906,0.0544934
0.028,0.0586163,0.0526404,0.0567181,0.0652145,0.062421,0.0557449,0.0759665,0.0553671,0.0357492,0.0781546,0.0682208,0.0545444,0.049317,0.0502267,0.0621301,0.062428
0.029,0.0668561,0.0724768,0.0475629,0.0633835,0.0438052,0.0581863,0.0442282,0.0596396,0.043989,0.0421439,0.0618121,0.0679721,0.0508429,0.0630441,0.0541956,0.0557141
0.03,0.0503766,0.0559973,0.0603803,0.0740646,0.0477725,0.0584915,0.0182883,0.0263754,0.051008,0.0738821,0.0532672,0.071329,0.0413824,0.0578561,0.0477869,0.0517468
0.031,0.0692975,0.0401282,0.0554974,0.0481247,0.0743228,0.0597122,0.0515524,0.0391928,0.040632,0.0238333,0.0557086,0.0618686,0.044129,0.0532785,0.0654871,0.0578503
0.032,0.0500714,0.0440955,0.0518353,0.0630783,0.0523502,0.0865677,0.0405661,0.0556723,0.0546701,0.0186453,0.0621173,0.0673618,0.0508429,0.0670114,0.0578577,0.0831799
0.033,0.040611,0.0419592,0.0558026,0.0685715,0.0529605,0.0835159,0.0414816,0.0605551,0.0552805,0.00949005,0.0721881,0.0582065,0.0844122,0.0572458,0.0664026,0.0529675
0.034,0.0732648,0.0254797,0.0731976,0.0612473,0.0492984,0.0887039,0.0314108,0.0529257,0.0421579,0.0479422,0.0776813,0.0499667,0.0416876,0.0468698,0.0596887,0.0700574
