Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
0,-1.37285,9.65079,-1.99149,-0.123451,-0.977066,-0.198184,0.0508358,9.59034,-0.871489,0.226188,-0.0852034,0.0660928,1.21331,-9.75545,-1.63469,0.113054,0.0391587,0.0870022,4.09196,-0.538909,8.64987,-0.132447,-0.0153335,0.07455,3.89076,1.33025,9.21675,-0.10071,0.0325232,0.0623161,8.74028,-1.06205,5.43381,-0.436009,0.0768514,-0.0930899
0.001,-1.28605,9.67468,-2.04702,-0.116804,-0.949619,-0.200369,0.0385417,9.61925,-0.870759,0.229149,-0.0933179,0.0668107,1.22184,-9.75403,-1.62839,0.112837,0.0468966,0.0875552,4.09571,-0.532589,8.65109,-0.129453,-0.014063,0.0733747,3.88091,1.31713,9.20391,-0.0992655,0.0321098,0.0615859,8.71935,-1.05866,5.44491,-0.433862,0.0727614,-0.0904299
0.002,-1.19925,9.69857,-2.10256,-0.110158,-0.922173,-0.202554,0.0262477,9.64816,-0.870028,0.232109,-0.101432,0.0675286,1.23037,-9.75262,-1.6221,0.11262,0.0546346,0.0881082,4.09946,-0.526269,8.6523,-0.126459,-0.0127924,0.0721994,3.87106,1.30401,9.19106,-0.0978208,0.0316964,0.0608557,8.69842,-1.05528,5.456,-0.431715,0.0686714,-0.08777
0.003,-1.11245,9.72246,-2.1581,-0.103511,-0.894727,-0.204739,0.0139537,9.67707,-0.869298,0.235069,-0.109547,0.0682465,1.2389,-9.7512,-1.61581,0.112403,0.0623726,0.0886612,4.10321,-0.519949,8.65351,-0.123465,-0.0115218,0.0710241,3.86121,1.29089,9.17822,-0.096376,0.031283,0.0601256,8.6775,-1.05189,5.4671,-0.429568,0.0645814,-0.08511
0.004,-1.02565,9.74635,-2.21363,-0.0968644,-0.86728,-0.206924,0.00165971,9.70599,-0.868567,0.238029,-0.117661,0.0689643,1.24743,-9.74979,-1.60951,0.112186,0.0701105,0.0892142,4.10695,-0.513629,8.65473,-0.120471,-0.0102512,0.0698488,3.85137,1.27777,9.16538,-0.0949312,0.0308696,0.0593954,8.65657,-1.04851,5.47819,-0.427421,0.0604914,-0.0824501
0.005,-0.929123,9.78695,-2.25843,-0.092363,-0.837744,-0.208267,0.0151765,9.71458,-0.858258,0.238441,-0.124294,0.07284,1.25014,-9.74344,-1.60665,0.112015,0.0772763,0.0902084,4.11204,-0.511836,8.65061,-0.116466,-0.00968967,0.0688313,3.84186,1.26018,9.15124,-0.094741,0.0314192,0.0583338,8.63597,-1.04661,5.46718,-0.427104,0.0581584,-0.0782536
0.006,-0.824822,9.84093,-2.29465,-0.0895777,-0.806537,-0.208936,0.0493419,9.70693,-0.840287,0.236816,-0.12974,0.0792418,1.2482,-9.73314,-1.60653,0.11188,0.0839844,0.0915556,4.1182,-0.513665,8.64222,-0.111652,-0.00969545,0.0679401,3.83262,1.23902,9.13607,-0.0955543,0.0327392,0.057007,8.61563,-1.04591,5.43848,-0.42825,0.0572309,-0.0728279
0.007,-0.720522,9.89491,-2.33086,-0.0867925,-0.77533,-0.209606,0.0835074,9.69928,-0.822316,0.235191,-0.135187,0.0856436,1.24626,-9.72285,-1.60641,0.111745,0.0906924,0.0929027,4.12436,-0.515494,8.63383,-0.106838,-0.00970123,0.0670489,3.82338,1.21785,9.12089,-0.0963677,0.0340593,0.0556802,8.59529,-1.0452,5.40977,-0.429397,0.0563034,-0.0674021
0.008,-0.616221,9.94889,-2.36707,-0.0840073,-0.744123,-0.210275,0.117673,9.69163,-0.804345,0.233566,-0.140633,0.0920454,1.24433,-9.71255,-1.60629,0.111611,0.0974005,0.0942498,4.13052,-0.517323,8.62544,-0.102024,-0.00970701,0.0661577,3.81414,1.19668,9.10572,-0.0971811,0.0353793,0.0543534,8.57495,-1.0445,5.38107,-0.430543,0.055376,-0.0619764
0.009,-0.513219,9.99952,-2.3981,-0.0817052,-0.712722,-0.210523,0.150462,9.68845,-0.790035,0.232104,-0.145847,0.0976348,1.24363,-9.70307,-1.6069,0.111587,0.104052,0.0955333,4.13461,-0.517688,8.61905,-0.0971803,-0.00964393,0.0653725,3.80757,1.17678,9.0933,-0.0978261,0.0364621,0.0530737,8.55315,-1.04202,5.35623,-0.431607,0.0542795,-0.0569132
0.01,-0.420605,10.0234,-2.38765,-0.0832681,-0.679762,-0.207396,0.172244,9.72108,-0.805009,0.231953,-0.149194,0.0967245,1.25284,-9.70013,-1.61336,0.112452,0.110251,0.0963073,4.12218,-0.506342,8.62868,-0.0920995,-0.00903,0.0654344,3.82237,1.16706,9.10291,-0.0971243,0.0356467,0.0521707,8.51967,-1.02538,5.36231,-0.432011,0.0518311,-0.0547504
0.011,-0.327991,10.0473,-2.3772,-0.0848311,-0.646802,-0.204269,0.194026,9.7537,-0.819983,0.231802,-0.152542,0.0958142,1.26205,-9.69718,-1.61982,0.113317,0.11645,0.0970813,4.10974,-0.494996,8.6383,-0.0870187,-0.00841608,0.0654964,3.83717,1.15734,9.11251,-0.0964225,0.0348312,0.0512677,8.48619,-1.00874,5.36839,-0.432415,0.0493827,-0.0525875
0.012,-0.235378,10.0712,-2.36675,-0.0863941,-0.613842,-0.201142,0.215808,9.78632,-0.834957,0.231651,-0.155889,0.094904,1.27127,-9.69424,-1.62628,0.114182,0.122649,0.0978554,4.09731,-0.483651,8.64792,-0.0819379,-0.00780215,0.0655583,3.85197,1.14762,9.12212,-0.0957207,0.0340158,0.0503647,8.45271,-0.992094,5.37447,-0.432819,0.0469343,-0.0504246
0.013,-0.142764,10.0951,-2.35631,-0.087957,-0.580882,-0.198015,0.23759,9.81895,-0.849931,0.2315,-0.159237,0.0939937,1.28048,-9.69129,-1.63273,0.115047,0.128847,0.0986294,4.08487,-0.472305,8.65755,-0.0768571,-0.00718822,0.0656203,3.86678,1.1379,9.13172,-0.0950189,0.0332004,0.0494617,8.41923,-0.975451,5.38055,-0.433223,0.044486,-0.0482618
0.014,-0.0610088,10.1184,-2.34557,-0.0912823,-0.550934,-0.194492,0.260593,9.80314,-0.860868,0.232208,-0.164944,0.0964502,1.28493,-9.68404,-1.61859,0.114391,0.134087,0.0994999,4.08229,-0.480551,8.66322,-0.073185,-0.00636882,0.0643588,3.87212,1.14121,9.14671,-0.0948316,0.0339792,0.0485823,8.37996,-0.956118,5.40524,-0.435004,0.0446959,-0.0471421
