Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0314557,0.0318884,0.0481732,0.0713181,0.057233,0.0728348,0.0518576,0.0324789,0.0549753,0.040618,0.0377032,0.0527133,0.0548102,0.0563303,0.0691492,0.0599866
0.021,0.0589215,0.0587439,0.091203,0.0459885,0.0718814,0.0673416,0.0884787,0.03431,0.0568063,-0.0216379,0.0837848,0.0743808,0.0642706,0.0633493,0.075863,0.0615125
0.022,0.0454938,0.0608801,0.122331,0.0707077,0.0654727,0.0832108,0.0896994,0.0675742,0.0482614,0.0140677,0.107283,0.0459995,0.0587775,0.0798288,0.0679285,0.0596814
0.023,0.0369489,0.0758337,0.100969,0.0704025,0.0511295,0.0691727,0.104043,0.0437704,0.0543649,0.0607596,0.0935504,0.0484409,0.0438239,0.0770822,0.0682336,0.0828748
0.024,0.070213,0.0959753,0.0402386,0.0581955,0.0612003,0.0722244,0.104653,0.0718466,0.056196,0.0549612,0.0715778,0.0682773,0.0520636,0.0691476,0.0639612,0.0712781
0.025,0.0625836,0.0724768,0.025285,0.0569748,0.0532657,0.0893143,0.0811545,0.0562827,0.0775583,0.0940237,0.052962,0.0810947,0.059693,0.0648752,0.075863,0.0560193
0.026,0.0488507,0.0846838,0.0637372,0.034697,0.0663882,0.0911453,0.0671164,0.0578085,0.0696237,0.143462,0.091109,0.0496616,0.0590826,0.0425973,0.0700647,0.0770764
0.027,0.0796735,0.00900024,0.100053,0.0533127,0.0770694,0.0890091,0.0314108,0.0468222,0.0677927,0.155364,0.102401,0.0609531,0.0728156,0.0569406,0.0639612,0.0605969
0.028,0.0686871,0.0410437,0.0576337,0.0700973,0.0648624,0.0868729,-0.00215851,0.0532309,0.0638254,0.0976859,0.123458,0.0743808,0.0578619,0.0599924,0.0676233,0.0578503
0.029,0.0509869,0.0740027,0.0402386,0.0530075,0.046857,0.0838211,-0.00276886,0.039498,0.0568063,0.0345145,0.0758502,0.0890292,0.0612189,0.047175,0.056637,0.0523572
0.03,0.0686871,0.0431799,0.0469525,0.062468,0.0596744,0.0673416,0.0127951,0.041329,0.0726755,0.0189505,0.0703571,0.0661411,0.0523688,0.0551096,0.0682336,0.0575452
0.031,0.0625836,0.0221228,0.0524457,0.0716232,0.0563174,0.0533035,0.0204245,0.0477377,0.0571115,0.0561819,0.0624225,0.0630893,0.0377203,0.0505319,0.0535852,0.0792126
0.032,0.0589215,0.029447,0.0591595,0.0533127,0.0602847,0.0691727,0.0292746,0.029122,0.0534494,0.0583182,0.0624225,0.0939121,0.0664069,0.0709787,0.0526697,0.0670056
0.033,0.0491559,0.0236487,0.0588544,0.0661301,0.0718814,0.0703934,0.0451437,0.0529257,0.0622995,0.0656424,0.0413654,0.0566806,0.054505,0.0230661,0.0648767,0.059071
0.034,0.0815045,0.0263953,0.0661786,0.0554489,0.0669986,0.0685623,0.0454489,0.0526205,0.0738962,0.058013,0.0419757,0.0673618,0.014527,0.0499216,0.0587732,0.109425
0.035,0.0558698,0.0248694,0.0680096,0.0307297,0.0581485,0.0716141,0.0436179,0.0398032,0.0601633,0.0653372,0.0566241,0.102457,0.0444342,0.0511423,0.0639612,0.0584607
0.036,0.0592267,0.0376868,0.0551923,0.0325607,0.0605899,0.0694778,0.0436179,0.0513998,0.0751169,0.0574026,0.0557086,0.0838412,0.0508429,0.059382,0.0630457,0.0514417
0.037,0.0613629,0.060575,0.0799115,0.0380539,0.0569278,0.0587967,0.052468,0.0504843,0.063215,0.0598441,0.0499103,0.0752963,0.0523688,0.0664011,0.056637,0.0630383
0.038,0.0638043,0.0373816,0.101579,0.0465988,0.0425845,0.057576,0.0460593,0.0269858,0.0601633,0.0326834,0.045943,0.0505771,0.0523688,0.0438181,0.0587732,0.0493054
0.039,0.0525128,0.0614905,0.0780804,0.0148605,0.0892764,0.0569656,0.0546042,0.0510947,0.0455148,0.00277618,0.0590656,0.0649204,0.0471808,0.0169626,0.0490076,0.0660901
0.04,0.0775372,0.0596594,0.107377,-0.00253448,0.109723,0.0514725,0.075051,0.0544516,0.0653513,-0.0268259,0.0731036,0.0865878,0.044129,0.0746408,0.0734216,0.0657849
