Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0415265,0.0505042,0.0707562,0.0276779,0.0288516,0.0868729,0.0512473,0.0691,0.0607736,0.0113211,0.0218341,0.0731601,0.0517584,0.0615182,0.0227625,-0.0672717
0.021,0.065025,0.0254797,0.0728925,0.0237106,0.031293,0.0826004,0.052468,0.0581137,0.00736786,0.0226126,0.0532672,0.0600375,0.0740363,0.0667062,0.0435144,-0.0761218
0.022,0.0512921,-0.00869995,0.0890668,0.0429367,0.0291568,0.0786331,0.0536887,0.0492636,-0.0262015,0.0113211,0.0517413,0.0698032,0.0563361,0.054194,0.0523645,-0.03828
0.023,0.0412213,0.0169348,0.0689252,0.0273727,0.0126773,0.0706985,0.0164572,0.0333945,0.0253732,0.0296317,0.0224445,0.0472202,0.0548102,0.0551096,0.0529749,-0.0767322
0.024,0.0171124,-0.0169397,0.0670941,-0.00802765,-0.013873,0.0472,0.038735,0.041329,0.100141,0.0192557,0.0209186,0.0426425,0.0532843,0.0529733,0.0175745,-0.0559802
0.025,0.0494611,-0.0151086,0.0402386,-0.0187088,-0.000445251,0.0621536,0.0201193,0.0217978,0.121504,0.0158987,0.0480792,0.0350131,0.0499274,0.0432077,0.0352747,-0.0755115
0.026,0.0415265,-0.0679041,0.0768597,0.0481247,0.0431949,0.0630691,0.0585715,0.0587241,0.111738,0.0329886,0.0593707,0.052103,0.0709845,0.0313058,0.00933472,-0.060863
0.027,0.0628888,0.069425,0.0619061,0.0966476,0.0871402,0.0758865,0.0308005,0.0654379,0.00980926,0.0601492,0.0657794,0.0505771,0.0581671,0.0688425,0.0578577,-0.0452991
0.028,0.0708234,0.153959,0.13881,0.046904,0.0523502,0.0636795,0.0475851,0.0648276,0.0662668,0.0445853,0.0712726,0.0496616,0.0712897,0.0447336,0.051449,-0.0147815
0.029,0.0699078,0.137784,0.113481,0.0331711,0.0438052,0.0771072,0.0338522,0.0492636,0.0595529,0.0784598,0.0593707,0.0405063,0.0651862,0.0569406,0.0572473,-0.0166125
0.03,0.018028,0.0480627,0.125688,0.112822,0.0862247,0.0487259,0.0286642,0.0712363,0.085798,0.0320731,0.0587604,0.0548496,0.0850226,0.0358835,0.0511438,-0.0324817
0.031,0.040611,0.0810217,0.0942548,0.134489,0.0889712,0.0639847,0.0240866,0.0489584,0.0766428,0.0244437,0.0236652,0.0267734,0.0462653,0.0602975,0.0718957,-0.0248523
0.032,0.0287091,0.0773596,0.0762494,0.0838303,0.0685245,0.0517776,0.0298849,0.0535361,0.150495,0.0131522,0.0657794,0.0383701,0.0426032,0.0425973,0.0496179,-0.0404163
0.033,0.0662457,0.106351,0.0335248,0.0774216,0.0715762,0.0703934,0.0393454,0.0489584,0.00919891,0.0339041,0.0468585,0.036539,0.0154425,0.0685373,0.0508386,-0.0196643
0.034,0.0515973,0.0801062,-0.0336139,0.0560593,0.0636417,0.0667313,0.0570456,0.067269,-0.016741,0.014678,0.0703571,0.059122,0.0358893,0.0682321,0.0416833,-0.00379517
0.035,0.065025,0.0654578,0.00392273,0.0578903,0.0874454,0.0493362,0.0402609,0.0605551,0.0464304,0.0274954,0.0334308,0.0640048,0.038941,0.0786081,0.0660974,0.0258069
0.036,0.0369489,-0.00747925,0.0319989,0.0615524,0.0392276,0.0591019,0.0463644,0.039498,0.063215,0.0155936,0.0486896,0.0609531,0.0630499,0.0596872,0.0471765,0.0178723
0.037,0.0583112,-0.000460205,0.00117615,0.0215744,0.0456363,0.057576,0.0585715,0.0388876,-0.000566711,0.0122366,0.0203082,0.048746,0.0963141,0.0572458,0.01849,0.0166516
0.038,0.0326764,0.029447,-0.0107257,0.0475143,0.0245792,0.0487259,0.0405661,0.046517,0.0836618,-0.000885925,0.0300739,0.0472202,0.12378,0.0535837,0.0422937,0.0218396
0.039,0.0586163,0.0508093,0.0591595,0.0551437,0.0489932,0.0691727,0.0445334,0.0480429,0.183759,0.0516043,0.05815,0.0420322,0.0593878,0.054194,0.0310022,0.0425916
0.04,0.0509869,0.0672888,0.0811322,0.0737595,0.0389224,0.0514725,0.038735,0.0681845,0.178571,0.075408,0.051131,0.0398959,0.0850226,0.0532785,0.0511438,0.0654797
