Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.0,-0.204958,-9.84891,-0.546263,0.0309239,-0.276931,0.203874,2.29842,10.7323,-1.53233,0.601855,0.121536,0.529732,5.63738,-4.0618,8.57347,0.539871,0.737167,-0.199419,-0.116315,10.7154,-0.0977313,0.29166,-0.133361,-0.899396,10.0556,-0.407014,3.63919,0.34719,-0.465405,0.01491,0.0,0.0,0.0,0.0,0.0,0.0,4.65519,4.65323,7.4047,0.101688,-0.0657617,-0.0235373
0.001,-0.211123,-9.84769,-0.52382,0.0246245,-0.278997,0.202446,2.35226,10.9606,-1.27568,0.592744,0.133477,0.523243,5.51398,-3.79146,8.66385,0.536072,0.715277,-0.205257,0.179019,10.8604,-0.00556636,0.282862,-0.116453,-0.889384,10.0535,-0.379002,3.64924,0.339735,-0.468919,0.0134722,0.0,0.0,0.0,0.0,0.0,0.0,4.67831,4.63692,7.4374,0.107507,-0.0704241,-0.0223971
0.002,-0.217289,-9.84648,-0.501377,0.0183252,-0.281063,0.201019,2.40609,11.1888,-1.01903,0.583633,0.145418,0.516754,5.39058,-3.52111,8.75423,0.532274,0.693387,-0.211095,0.474352,11.0054,0.0865986,0.274065,-0.0995443,-0.879372,10.0513,-0.35099,3.6593,0.33228,-0.472434,0.0120345,0.0,0.0,0.0,0.0,0.0,0.0,4.70144,4.6206,7.47011,0.113326,-0.0750864,-0.0212569
0.003,-0.223455,-9.84527,-0.478934,0.0120258,-0.283129,0.199592,2.45993,11.4171,-0.762376,0.574523,0.157359,0.510265,5.26718,-3.25077,8.8446,0.528476,0.671497,-0.216932,0.769685,11.1504,0.178764,0.265267,-0.0826358,-0.869359,10.0492,-0.322978,3.66935,0.324825,-0.475948,0.0105967,0.0,0.0,0.0,0.0,0.0,0.0,4.72456,4.60429,7.50282,0.119145,-0.0797487,-0.0201167
0.004,-0.22962,-9.84406,-0.45649,0.00572643,-0.285195,0.198164,2.51376,11.6453,-0.505723,0.565412,0.1693,0.503776,5.14377,-2.98043,8.93498,0.524677,0.649607,-0.22277,1.06502,11.2954,0.270929,0.256469,-0.0657273,-0.859347,10.047,-0.294966,3.67941,0.31737,-0.479463,0.009159,0.0,0.0,0.0,0.0,0.0,0.0,4.74769,4.58798,7.53552,0.124964,-0.084411,-0.0189765
0.005,-0.209449,-9.85363,-0.453144,4.61e-05,-0.286501,0.196053,2.53066,11.8483,-0.289801,0.558095,0.178681,0.494434,5.05282,-2.79935,9.0223,0.516041,0.623746,-0.226717,1.36451,11.4291,0.343667,0.246974,-0.044855,-0.848761,10.0449,-0.266953,3.68946,0.309915,-0.482977,0.00772125,0.0,0.0,0.0,0.0,0.0,0.0,4.7612,4.57966,7.57112,0.13406,-0.09071,-0.0177918
0.006,-0.168208,-9.87183,-0.465074,-0.00513904,-0.2872,0.193394,2.51801,12.0312,-0.106464,0.552213,0.186015,0.48281,4.98783,-2.68968,9.10716,0.503533,0.594708,-0.229152,1.66733,11.5538,0.400864,0.23692,-0.0208117,-0.837717,10.0427,-0.238941,3.69952,0.30246,-0.486492,0.0062835,0.0,0.0,0.0,0.0,0.0,0.0,4.76702,4.57773,7.60904,0.145776,-0.0983184,-0.0165714
0.007,-0.126967,-9.89003,-0.477005,-0.0103242,-0.287899,0.190736,2.50536,12.214,0.0768726,0.54633,0.193349,0.471186,4.92284,-2.58001,9.19202,0.491026,0.565671,-0.231586,1.97015,11.6785,0.45806,0.226866,0.00323169,-0.826672,10.0406,-0.210929,3.70958,0.295005,-0.490006,0.00484575,0.0,0.0,0.0,0.0,0.0,0.0,4.77284,4.5758,7.64696,0.157493,-0.105927,-0.015351
0.008,-0.0857265,-9.90823,-0.488936,-0.0155093,-0.288598,0.188077,2.4927,12.3968,0.26021,0.540448,0.200683,0.459562,4.85784,-2.47035,9.27689,0.478519,0.536633,-0.234021,2.27297,11.8031,0.515257,0.216812,0.027275,-0.815628,10.0384,-0.182917,3.71963,0.28755,-0.493521,0.003408,0.0,0.0,0.0,0.0,0.0,0.0,4.77866,4.57387,7.68487,0.169209,-0.113535,-0.0141306
0.009,-0.0461091,-9.92269,-0.50662,-0.0206075,-0.288746,0.185608,2.47971,12.5734,0.43224,0.534173,0.207379,0.447973,4.79542,-2.36577,9.35691,0.465326,0.507834,-0.23514,2.57454,11.9355,0.578893,0.206171,0.0513523,-0.803957,10.0363,-0.154905,3.72969,0.280095,-0.497035,0.00197025,0.0,0.0,0.0,0.0,0.0,0.0,4.78355,4.57076,7.7158,0.180623,-0.121087,-0.0129656
