Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.0,8.26774,-1.94396,3.61992,0.319034,-0.400686,-0.065156,4.23063,2.9288,8.23868,-0.0937537,0.00491247,0.0271743,8.02421,-0.899642,4.31155,0.758116,-1.59021,-0.226217,0.408923,-9.68048,-1.99909,0.0661173,-0.266221,-0.000174665,-0.716856,-9.84805,-0.426456,0.102488,-0.302916,0.343626,1.71896,8.58463,-0.851931,-0.469611,1.67113,0.75097,-3.87455,8.22802,-1.81781,-0.0582954,0.643026,-0.852527
0.001,8.26699,-1.96288,3.60912,0.325821,-0.401705,-0.0657906,4.23301,2.93751,8.25305,-0.0868871,0.00377808,0.0247487,7.68476,-0.579129,4.63969,0.510234,-1.49483,-0.198033,0.413379,-9.6631,-1.99965,0.0645417,-0.265032,0.00213951,-0.722934,-9.84111,-0.430888,0.10154,-0.311669,0.3468,1.66382,8.39388,-0.732745,-0.478974,1.65463,0.730286,-3.85691,8.25082,-1.77441,-0.0572747,0.594399,-0.850731
0.002,8.26624,-1.98179,3.59832,0.332609,-0.402724,-0.0664253,4.2354,2.94622,8.26741,-0.0800204,0.00264369,0.022323,7.34532,-0.258616,4.96783,0.262352,-1.39946,-0.169849,0.417835,-9.64572,-2.0002,0.062966,-0.263843,0.00445368,-0.729012,-9.83417,-0.43532,0.100592,-0.320423,0.349974,1.60868,8.20312,-0.613559,-0.488337,1.63813,0.709602,-3.83928,8.27361,-1.73101,-0.0562541,0.545772,-0.848934
0.003,8.26549,-2.00071,3.58752,0.339396,-0.403743,-0.0670599,4.23778,2.95493,8.28177,-0.0731538,0.0015093,0.0198974,7.00587,0.061897,5.29597,0.0144695,-1.30408,-0.141664,0.422291,-9.62834,-2.00075,0.0613904,-0.262654,0.00676785,-0.735091,-9.82722,-0.439753,0.0996431,-0.329176,0.353148,1.55354,8.01236,-0.494373,-0.4977,1.62162,0.688919,-3.82165,8.2964,-1.68761,-0.0552334,0.497144,-0.847138
0.004,8.26474,-2.01962,3.57673,0.346184,-0.404762,-0.0676946,4.24016,2.96364,8.29613,-0.0662872,0.00037491,0.0174717,6.66643,0.38241,5.62411,-0.233413,-1.20871,-0.11348,0.426747,-9.61096,-2.00131,0.0598147,-0.261465,0.00908202,-0.741169,-9.82028,-0.444185,0.0986947,-0.33793,0.356322,1.4984,7.8216,-0.375187,-0.507063,1.60512,0.668235,-3.80402,8.31919,-1.64422,-0.0542128,0.448517,-0.845341
0.005,8.27572,-2.05126,3.56963,0.35324,-0.405516,-0.069221,4.24164,2.96072,8.29478,-0.0601206,-0.00100898,0.0151987,6.64443,0.851818,6.14315,-0.625721,-0.943872,0.0299585,0.428662,-9.59908,-2.01074,0.0573531,-0.26,0.0117356,-0.751562,-9.81264,-0.450668,0.0987461,-0.34645,0.359252,1.4159,7.67758,-0.254168,-0.509974,1.57585,0.646539,-3.81608,8.32731,-1.62809,-0.0537417,0.392624,-0.841204
0.006,8.2961,-2.09306,3.56549,0.360513,-0.406057,-0.0714609,4.24238,2.9485,8.28087,-0.054514,-0.00259246,0.0130476,6.8764,1.44034,6.81489,-1.13357,-0.543462,0.265601,0.428544,-9.59161,-2.02729,0.0541827,-0.258315,0.0146608,-0.765407,-9.80445,-0.458791,0.0995973,-0.354785,0.361987,1.31152,7.57096,-0.131683,-0.507724,1.53637,0.624033,-3.85191,8.32368,-1.63377,-0.0537103,0.330917,-0.835194
0.007,8.31648,-2.13486,3.56135,0.367786,-0.406598,-0.0737008,4.24312,2.93628,8.26696,-0.0489075,-0.00417594,0.0108965,7.10836,2.02887,7.48664,-1.64142,-0.143051,0.501243,0.428425,-9.58414,-2.04383,0.0510123,-0.256629,0.0175859,-0.779252,-9.79626,-0.466914,0.100448,-0.36312,0.364722,1.20714,7.46434,-0.00919764,-0.505474,1.49689,0.601527,-3.88773,8.32006,-1.63946,-0.0536789,0.269211,-0.829185
0.008,8.33686,-2.17666,3.55722,0.375058,-0.407139,-0.0759407,4.24386,2.92405,8.25305,-0.0433009,-0.00575942,0.00874548,7.34032,2.61739,8.15839,-2.14926,0.25736,0.736885,0.428307,-9.57666,-2.06037,0.0478419,-0.254943,0.020511,-0.793097,-9.78807,-0.475036,0.1013,-0.371454,0.367457,1.10276,7.35772,0.113288,-0.503224,1.45741,0.579021,-3.92355,8.31644,-1.64515,-0.0536474,0.207504,-0.823175
0.009,8.35549,-2.21509,3.55465,0.382154,-0.40786,-0.0780774,4.24327,2.91311,8.2406,-0.0375971,-0.00710927,0.00677363,7.72386,3.09813,8.90799,-2.6182,0.65613,0.97114,0.430432,-9.57074,-2.07764,0.0449164,-0.253098,0.0236673,-0.805775,-9.78004,-0.483146,0.102304,-0.380029,0.370325,0.993707,7.25362,0.235201,-0.499651,1.41571,0.556679,-3.94698,8.3125,-1.65634,-0.0541014,0.14488,-0.816857
0.01,8.36009,-2.2265,3.56463,0.387841,-0.410013,-0.0793889,4.23202,2.91238,8.23976,-0.0311161,-0.00659,0.00623545,9.31997,2.71659,10.2804,-2.77587,1.04178,1.1943,0.450497,-9.57725,-2.10077,0.0439506,-0.249973,0.0286727,-0.80911,-9.77331,-0.491148,0.104536,-0.390524,0.374253,0.847239,7.16969,0.352539,-0.4855,1.3563,0.53564,-3.87127,8.3061,-1.71157,-0.0584388,0.0749184,-0.808077
0.011,8.3647,-2.23791,3.5746,0.393528,-0.412166,-0.0807004,4.22078,2.91164,8.23893,-0.024635,-0.00607074,0.00569727,10.9161,2.33505,11.6528,-2.93354,1.42742,1.41747,0.470563,-9.58376,-2.1239,0.0429848,-0.246848,0.033678,-0.812446,-9.76658,-0.499151,0.106768,-0.401019,0.378181,0.700772,7.08575,0.469878,-0.47135,1.29689,0.514602,-3.79556,8.29969,-1.76681,-0.0627761,0.00495639,-0.799296
0.012,8.3693,-2.24932,3.58458,0.399215,-0.414319,-0.0820119,4.20953,2.91091,8.23809,-0.018154,-0.00555148,0.00515909,12.5122,1.95352,13.0252,-3.09121,1.81307,1.64063,0.490628,-9.59027,-2.14702,0.042019,-0.243723,0.0386833,-0.815782,-9.75985,-0.507153,0.108999,-0.411514,0.382109,0.554304,7.00182,0.587216,-0.457199,1.23748,0.493564,-3.71985,8.29328,-1.82204,-0.0671134,-0.0650056,-0.790515
