Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,-0.00760681,0.0437903,0.0472577,0.0758957,0.0660831,0.0520828,0.0274435,0.0947348,0.101057,-0.0524606,0.107283,0.0368442,0.0496222,0.0303903,0.0398523,-0.243663
0.021,-0.103737,0.0419592,0.0463422,0.0655197,0.0575381,0.0609329,0.0201193,0.084664,0.105329,-0.063447,0.0117633,0.0423373,0.0499274,0.0487009,0.0392419,-0.277233
0.022,-0.184609,0.0465369,0.061601,0.0877975,0.0514346,0.0478104,0.00089325,0.0736777,0.0964792,-0.0701608,-0.0483563,0.0450839,0.0331427,0.0520578,0.0404626,-0.298595
0.023,-0.199257,0.0465369,0.0539716,0.0389694,0.0508243,0.0682571,0.00180878,0.0840537,0.0565012,-0.098237,-0.0263837,0.0398959,0.0401617,0.0554147,0.041073,-0.294323
0.024,-0.296608,0.0395178,0.0640424,0.0725388,0.0645572,0.0710037,0.0494162,0.0669638,0.0619943,-0.0637521,0.0206134,0.0771274,0.0789191,0.0728098,0.05328,-0.297374
0.025,-0.401894,0.0303625,0.0652631,0.0627731,0.0517398,0.0630691,0.043923,0.0642172,0.0403268,-0.107087,-0.0230267,0.074686,0.0603033,0.0505319,0.0523645,-0.306224
0.026,-0.301186,0.0361609,0.0518353,0.0661301,0.0486881,0.0502518,-0.00765167,0.0675742,0.0589426,-0.105561,-0.163102,0.0795688,0.0688483,0.0667062,0.0545007,-0.341014
0.027,-0.193154,0.0334143,0.0597699,0.0978683,0.0489932,0.045369,-0.0470193,0.0333945,0.0601633,-0.126618,-0.065141,0.0566806,0.0664069,0.0746408,0.0538904,-0.363597
0.028,-0.238625,0.0337195,0.0536664,0.0975632,0.0557071,0.0569656,0.00455536,0.0303427,0.0610788,-0.143098,-0.0123456,0.0151767,0.0380255,0.0587717,0.0471765,-0.322094
0.029,-0.165688,0.039823,0.053056,0.0932907,0.0529605,0.0630691,0.00089325,0.0584189,0.0485666,-0.140962,0.191817,0.0273837,0.00689758,0.0569406,0.0621301,-0.277538
0.03,0.480674,0.0386023,0.0374921,0.128996,0.0453311,0.0520828,0.0210349,0.0581137,0.0418527,-0.129365,0.271468,0.0359287,0.0401617,0.0569406,0.0615198,-0.222606
0.031,0.86428,0.029447,0.040849,0.128386,0.0557071,0.0822952,0.0707785,0.0559775,0.0272043,-0.165376,0.0825641,0.0496616,0.0151373,0.0609079,0.0499231,-0.170116
0.032,0.782798,0.0343298,0.0493939,0.0987839,0.0679141,0.0874832,0.127846,0.0459067,-0.0283377,-0.170564,-0.014787,0.0395908,0.0490118,0.0560251,0.0383264,-0.137767
0.033,0.418724,0.0279211,0.0536664,0.0862717,0.0627261,0.0908401,0.126931,0.0364462,0.00614716,-0.170869,0.0831744,0.0493564,0.0419928,0.0639597,0.0435144,-0.104198
0.034,-0.0100482,0.0538611,0.0591595,0.0719284,0.0578433,0.0954178,0.384804,0.0410239,-0.00972199,-0.151948,0.0645587,0.048746,0.0490118,0.0599924,0.0349695,-0.0593372
0.035,0.00917786,0.0599646,0.0405438,0.0743698,0.0270206,0.0673416,0.540444,0.046517,0.00736786,-0.108308,0.0724933,0.0740756,0.0532843,0.0407663,0.0316125,-0.0318713
0.036,0.145591,0.0566077,0.0576337,0.0755905,0.0563174,0.0780228,0.510842,0.0227133,0.04582,-0.121736,0.0578448,0.0853671,0.0471808,0.0721994,0.0343591,-0.0135608
0.037,0.146812,0.083158,0.0561078,0.0926804,0.0691348,0.0719192,0.329262,0.013558,0.090986,-0.0802316,0.0889728,0.0737704,0.0352789,0.0493112,0.0346643,0.0206189
0.038,0.151695,0.0993323,0.0609906,0.121367,0.0697452,0.0407913,0.17698,0.0279013,0.14958,-0.0896921,0.193038,0.0740756,0.0471808,0.0612131,0.0483972,0.062428
0.039,0.129722,0.0678992,0.0524457,0.106108,0.0578433,0.00264435,0.0292746,0.029122,0.152326,-0.0762643,0.258345,0.0707187,0.0453497,0.0499216,0.0331384,0.0831799
0.04,0.0723492,0.0343298,0.0515302,0.109465,0.059064,0.0676468,-0.0573953,0.0282065,0.169416,-0.0545969,0.2321,0.0527133,0.0386359,0.0447336,0.0294763,0.0898938
