Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.0,3.388,4.47327,10.1641,-0.882932,-0.517339,-1.39271,-2.09406,9.19916,0.071073,0.102285,-0.645887,-0.104885,-1.60295,-9.87309,-2.17589,-0.37854,0.921508,-0.233606,9.34854,-0.965362,4.18614,-0.657488,-0.0743322,0.168881,1.29285,2.88713,8.84399,-0.00368423,-0.133214,-0.160985,-1.35326,-6.91475,-3.33818,-0.207262,3.22925,0.125892,-1.91277,10.4714,-0.633995,0.12354,0.0554118,0.121721
0.001,2.95924,4.81024,10.3138,-1.06836,-0.59672,-1.42771,-2.1422,8.8909,-0.740336,0.153238,-0.727823,-0.091252,-1.82529,-10.0943,-2.02981,-0.366307,0.868823,-0.241521,9.38564,-0.773242,4.09303,-0.641893,-0.0803855,0.151803,1.96764,2.58188,8.70932,0.00223908,-0.175023,-0.146663,-1.39023,-7.25071,-3.23455,-0.222105,3.1785,0.080373,-2.10984,10.3848,-0.612276,0.120817,0.0306471,0.12602
0.002,2.53047,5.14721,10.4635,-1.25378,-0.676101,-1.46272,-2.19034,8.58264,-1.55175,0.204192,-0.809759,-0.0776194,-2.04763,-10.3155,-1.88373,-0.354074,0.816137,-0.249435,9.42275,-0.581123,3.99991,-0.626299,-0.0864388,0.134726,2.64244,2.27663,8.57465,0.0081624,-0.216832,-0.132342,-1.42721,-7.58666,-3.13092,-0.236949,3.12774,0.0348534,-2.30691,10.2982,-0.590556,0.118094,0.00588229,0.13032
0.003,2.10171,5.48418,10.6132,-1.43921,-0.755483,-1.49772,-2.23848,8.27438,-2.36316,0.255145,-0.891695,-0.0639868,-2.26997,-10.5366,-1.73765,-0.34184,0.763452,-0.25735,9.45986,-0.389003,3.9068,-0.610704,-0.092492,0.117648,3.31724,1.97138,8.43998,0.0140857,-0.258641,-0.11802,-1.46418,-7.92262,-3.02729,-0.251793,3.07699,-0.0106661,-2.50398,10.2117,-0.568837,0.11537,-0.0188825,0.134619
0.004,1.67294,5.82115,10.7629,-1.62464,-0.834864,-1.53272,-2.28662,7.96612,-3.17456,0.306099,-0.973631,-0.0503542,-2.49231,-10.7578,-1.59157,-0.329607,0.710766,-0.265265,9.49696,-0.196883,3.81369,-0.595109,-0.0985453,0.100571,3.99203,1.66613,8.30531,0.020009,-0.30045,-0.103699,-1.50116,-8.25857,-2.92366,-0.266637,3.02624,-0.0561856,-2.70106,10.1251,-0.547117,0.112647,-0.0436473,0.138918
0.005,1.41762,5.29773,10.659,-1.75431,-0.893232,-1.56109,-2.33564,7.7085,-4.10189,0.350834,-1.04521,-0.034421,-2.65646,-10.9353,-1.41122,-0.320388,0.654658,-0.270538,9.49938,-0.0248127,3.71608,-0.575304,-0.0974823,0.0838904,4.65787,1.44283,8.15672,0.0197297,-0.30369,-0.0949434,-1.50483,-8.626,-2.88592,-0.28281,2.9577,-0.0898146,-2.8543,10.0225,-0.50077,0.111875,-0.0699875,0.143825
0.006,1.30106,4.08598,10.3522,-1.8394,-0.934788,-1.58413,-2.38537,7.49139,-5.12194,0.390594,-1.10851,-0.0166472,-2.77406,-11.0778,-1.20345,-0.313581,0.595811,-0.273699,9.47405,0.131218,3.61488,-0.55213,-0.0907263,0.0675274,5.31653,1.28509,7.99701,0.0144882,-0.276074,-0.0906404,-1.48185,-9.01861,-2.90088,-0.300046,2.87494,-0.113931,-2.97248,9.90715,-0.434719,0.112665,-0.0975882,0.149219
0.007,1.1845,2.87424,10.0453,-1.92448,-0.976345,-1.60718,-2.4351,7.27429,-6.14199,0.430354,-1.17181,0.00112657,-2.89166,-11.2202,-0.995682,-0.306773,0.536964,-0.276859,9.44872,0.287249,3.51367,-0.528957,-0.0839703,0.0511644,5.97519,1.12735,7.8373,0.00924676,-0.248459,-0.0863374,-1.45888,-9.41122,-2.91585,-0.317283,2.79218,-0.138048,-3.09065,9.79177,-0.368669,0.113454,-0.125189,0.154612
0.008,1.06793,1.6625,9.73853,-2.00956,-1.0179,-1.63023,-2.48482,7.05719,-7.16204,0.470114,-1.23511,0.0189003,-3.00925,-11.3627,-0.787913,-0.299966,0.478118,-0.280019,9.42339,0.44328,3.41247,-0.505783,-0.0772143,0.0348014,6.63385,0.969611,7.67759,0.0040053,-0.220843,-0.0820344,-1.43591,-9.80383,-2.93081,-0.334519,2.70941,-0.162165,-3.20883,9.6764,-0.302618,0.114243,-0.152789,0.160006
0.009,1.02292,0.349772,9.41501,-2.08325,-1.05221,-1.65142,-2.51592,6.87344,-8.0774,0.504778,-1.29697,0.0345085,-3.11236,-11.4863,-0.590017,-0.292746,0.42103,-0.283099,9.39729,0.592675,3.31023,-0.482351,-0.070466,0.0187995,7.24262,0.806212,7.52774,-0.00164551,-0.190687,-0.07772,-1.40975,-10.1857,-2.94906,-0.3515,2.62367,-0.183311,-3.32488,9.55947,-0.245866,0.115942,-0.180163,0.165597
