Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.0,4.5152,-4.64987,10.3211,0.662265,-0.0956629,-0.415332,2.41481,12.3437,-1.50835,-0.401471,1.19722,-1.59793,2.90059,11.7197,0.183247,-0.117474,3.16765,2.13378,4.6379,1.13485,9.03733,0.0430818,0.137112,-0.0437506,0.213512,-10.423,-2.13553,-0.323795,-0.551479,0.0954688,8.64747,-1.91175,4.76508,-0.801007,0.687923,0.407407,0.795218,-10.2583,-0.777336,-0.234217,0.0105675,-0.0044953
0.001,4.37717,-4.57875,10.3212,0.680893,-0.126431,-0.42299,2.37132,12.3023,-1.49701,-0.385,1.19077,-1.58866,2.20215,11.437,0.927461,-0.117575,3.07749,2.11899,4.63956,1.16678,9.0205,0.0436776,0.135327,-0.0446472,0.211031,-10.4677,-2.14737,-0.317553,-0.547711,0.0878827,8.57297,-1.93779,4.64789,-0.778733,0.678685,0.388435,0.763874,-10.2502,-0.82737,-0.231107,0.00407495,-0.00380937
0.002,4.23914,-4.50764,10.3214,0.699522,-0.1572,-0.430647,2.32782,12.2608,-1.48568,-0.36853,1.18432,-1.57938,1.5037,11.1542,1.67168,-0.117676,2.98732,2.1042,4.64122,1.1987,9.00367,0.0442734,0.133542,-0.0455439,0.208551,-10.5124,-2.1592,-0.311311,-0.543943,0.0802965,8.49847,-1.96382,4.53069,-0.756459,0.669448,0.369463,0.732529,-10.242,-0.877405,-0.227997,-0.00241755,-0.00312344
0.003,4.10111,-4.43653,10.3216,0.71815,-0.187969,-0.438305,2.28432,12.2194,-1.47434,-0.352059,1.17787,-1.57011,0.805259,10.8715,2.41589,-0.117776,2.89715,2.08942,4.64288,1.23063,8.98684,0.0448693,0.131757,-0.0464405,0.20607,-10.5571,-2.17103,-0.305069,-0.540175,0.0727104,8.42396,-1.98986,4.4135,-0.734185,0.66021,0.350492,0.701184,-10.2339,-0.927439,-0.224887,-0.00891006,-0.00243751
0.004,3.96308,-4.36541,10.3217,0.736778,-0.218737,-0.445962,2.24082,12.178,-1.46301,-0.335588,1.17142,-1.56083,0.106814,10.5888,3.1601,-0.117877,2.80699,2.07463,4.64454,1.26256,8.97001,0.0454651,0.129972,-0.0473371,0.203589,-10.6017,-2.18286,-0.298827,-0.536407,0.0651243,8.34946,-2.01589,4.2963,-0.711911,0.650973,0.33152,0.66984,-10.2258,-0.977474,-0.221776,-0.0154026,-0.00175158
0.005,3.8609,-4.20967,10.2847,0.748186,-0.24593,-0.447513,2.17388,12.133,-1.42097,-0.322989,1.16373,-1.54946,-0.570854,10.262,3.84787,-0.0970055,2.66875,2.03579,4.65353,1.29231,8.95328,0.0455266,0.127038,-0.0470326,0.178162,-10.6055,-2.18963,-0.292244,-0.533082,0.0580309,8.2858,-2.04946,4.16643,-0.694705,0.645144,0.312964,0.649888,-10.2221,-0.997371,-0.220652,-0.0209064,-0.00070324
0.006,3.7874,-3.98622,10.2179,0.753816,-0.270261,-0.444179,2.0882,12.0853,-1.35437,-0.313489,1.15505,-1.53642,-1.2319,9.90005,4.49049,-0.0593558,2.49207,1.9777,4.66838,1.32033,8.93663,0.0451606,0.123184,-0.0457671,0.134378,-10.5764,-2.19235,-0.28539,-0.530112,0.0513317,8.23082,-2.08906,4.02641,-0.681552,0.642041,0.294739,0.639051,-10.2221,-0.993159,-0.221116,-0.0256193,0.000635032
0.007,3.7139,-3.76278,10.1511,0.759446,-0.294592,-0.440845,2.00252,12.0375,-1.28777,-0.303988,1.14636,-1.52337,-1.89295,9.53806,5.13311,-0.0217061,2.31538,1.91961,4.68323,1.34834,8.91997,0.0447947,0.11933,-0.0445017,0.0905944,-10.5474,-2.19507,-0.278535,-0.527143,0.0446325,8.17584,-2.12865,3.88639,-0.668399,0.638939,0.276515,0.628214,-10.222,-0.988946,-0.22158,-0.0303321,0.0019733
0.008,3.6404,-3.53933,10.0842,0.765077,-0.318923,-0.437511,1.91683,11.9897,-1.22117,-0.294488,1.13768,-1.51033,-2.55399,9.17607,5.77572,0.0159437,2.13869,1.86152,4.69808,1.37635,8.90332,0.0444288,0.115476,-0.0432362,0.0468107,-10.5184,-2.19779,-0.271681,-0.524173,0.0379333,8.12086,-2.16825,3.74637,-0.655247,0.635836,0.258291,0.617376,-10.222,-0.984734,-0.222044,-0.035045,0.00331157
0.009,3.55554,-3.3121,10.0548,0.767507,-0.344556,-0.435553,1.83431,11.9426,-1.15005,-0.285301,1.12926,-1.49629,-3.22143,8.83914,6.32855,0.0566893,1.966,1.80166,4.71052,1.40199,8.89034,0.0440465,0.111788,-0.0422768,0.00416313,-10.4896,-2.20313,-0.264949,-0.52136,0.0313547,8.06644,-2.20889,3.61328,-0.643245,0.633755,0.239903,0.612928,-10.2208,-0.975906,-0.222186,-0.0398408,0.00436252
