Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0,-4.07893,8.58525,-1.61101,-0.090803,-0.194648,-0.178864,3.17942,-9.17038,-2.45923,-0.163902,0.31934,0.209171,0.538572,9.31827,-2.56774,-0.0865037,0.007455,-0.0830608,3.99583,-8.65036,-2.43044,-0.182902,0.383496,0.112708,4.98148,-1.56791,8.06406,-0.0896621,-0.0326107,0.0963864,4.10749,1.51439,9.09062,0.13369,0.158688,-0.14938,8.91018,-0.315497,3.6154,-0.261837,-0.096915,0.193719
0.001,-4.10706,8.60786,-1.61515,-0.0931367,-0.200442,-0.178138,3.17933,-9.1781,-2.49376,-0.175584,0.344887,0.214491,0.564206,9.32948,-2.58428,-0.0868138,0.00803202,-0.0815786,4.00914,-8.65765,-2.45369,-0.182743,0.388414,0.117847,4.99659,-1.57546,8.05924,-0.0874898,-0.0328364,0.0948603,4.07214,1.50686,9.08483,0.130295,0.158665,-0.142867,8.91521,-0.324793,3.61613,-0.262234,-0.0973786,0.192191
0.002,-4.13519,8.63048,-1.61929,-0.0954704,-0.206236,-0.177412,3.17924,-9.18583,-2.52829,-0.187267,0.370434,0.21981,0.589841,9.34068,-2.60082,-0.087124,0.00860905,-0.0800965,4.02245,-8.66493,-2.47693,-0.182585,0.393332,0.122986,5.0117,-1.58301,8.05441,-0.0853174,-0.033062,0.0933343,4.03679,1.49933,9.07904,0.126899,0.158642,-0.136355,8.92024,-0.33409,3.61686,-0.262632,-0.0978422,0.190662
0.003,-4.16332,8.6531,-1.62343,-0.0978041,-0.21203,-0.176685,3.17915,-9.19355,-2.56282,-0.198949,0.395982,0.225129,0.615476,9.35189,-2.61736,-0.0874341,0.00918607,-0.0786143,4.03576,-8.67222,-2.50018,-0.182427,0.398251,0.128125,5.02681,-1.59057,8.04959,-0.0831451,-0.0332877,0.0918082,4.00144,1.4918,9.07324,0.123504,0.158619,-0.129842,8.92527,-0.343386,3.6176,-0.26303,-0.0983057,0.189133
0.004,-4.19144,8.67571,-1.62757,-0.100138,-0.217823,-0.175959,3.17906,-9.20127,-2.59735,-0.210632,0.421529,0.230448,0.641111,9.36309,-2.63389,-0.0877443,0.0097631,-0.0771322,4.04907,-8.67951,-2.52343,-0.182268,0.403169,0.133265,5.04192,-1.59812,8.04477,-0.0809728,-0.0335133,0.0902821,3.96609,1.48428,9.06745,0.120108,0.158596,-0.123329,8.9303,-0.352683,3.61833,-0.263428,-0.0987693,0.187604
0.005,-4.20393,8.68462,-1.64374,-0.102462,-0.223902,-0.174985,3.19997,-9.21213,-2.60181,-0.208993,0.450092,0.230784,0.637031,9.37652,-2.63449,-0.087448,0.0125843,-0.0783841,4.03673,-8.68963,-2.56718,-0.184599,0.40341,0.138662,5.0621,-1.61458,8.05105,-0.0774595,-0.0331948,0.0894751,3.92808,1.4869,9.07411,0.117158,0.158319,-0.115292,8.93587,-0.339333,3.61886,-0.263402,-0.0988483,0.18632
0.006,-4.20391,8.68255,-1.66954,-0.104777,-0.230209,-0.173813,3.23768,-9.22549,-2.58223,-0.196698,0.481067,0.227133,0.609178,9.39173,-2.62233,-0.0866666,0.0172008,-0.0818233,4.00387,-8.70201,-2.62733,-0.188921,0.399909,0.144265,5.08633,-1.63818,8.0662,-0.0728734,-0.032441,0.0892433,3.88793,1.49765,9.09074,0.114565,0.157839,-0.106036,8.94188,-0.307868,3.61922,-0.263037,-0.0986196,0.185232
0.007,-4.20388,8.68049,-1.69534,-0.107093,-0.236515,-0.172641,3.2754,-9.23885,-2.56264,-0.184404,0.512042,0.223481,0.581326,9.40694,-2.61018,-0.0858852,0.0218173,-0.0852626,3.97102,-8.71439,-2.68748,-0.193243,0.396408,0.149868,5.11057,-1.66178,8.08136,-0.0682874,-0.0316871,0.0890116,3.84779,1.5084,9.10737,0.111971,0.15736,-0.0967798,8.94788,-0.276402,3.61958,-0.262672,-0.0983908,0.184143
0.008,-4.20386,8.67842,-1.72115,-0.109409,-0.242822,-0.17147,3.31311,-9.25221,-2.54306,-0.172109,0.543017,0.21983,0.553474,9.42215,-2.59802,-0.0851038,0.0264338,-0.0887018,3.93816,-8.72677,-2.74763,-0.197564,0.392908,0.155472,5.1348,-1.68537,8.09651,-0.0637013,-0.0309332,0.0887798,3.80764,1.51915,9.124,0.109378,0.15688,-0.0875234,8.95389,-0.244936,3.61994,-0.262307,-0.0981621,0.183054
0.009,-4.20473,8.67558,-1.74645,-0.112228,-0.249163,-0.170101,3.35286,-9.26967,-2.51015,-0.159944,0.571763,0.216102,0.52988,9.433,-2.59175,-0.0844665,0.0309046,-0.0919713,3.90753,-8.73762,-2.80977,-0.201216,0.389252,0.161066,5.15371,-1.70838,8.10967,-0.0593115,-0.0300303,0.0884692,3.76888,1.5326,9.14227,0.106978,0.156536,-0.0780491,8.95964,-0.21627,3.61984,-0.261706,-0.0979073,0.1818
