Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.001,-0.740042,8.97829,0.423898,-0.105608,1.46883,-0.29426,-0.552685,9.70701,-0.274217,0.312489,0.697564,-0.255605,7.68107,-8.46513,0.597954,-0.16222,-0.651725,-0.203015,3.43765,2.17807,9.14867,-0.440871,-0.137775,0.0137464,1.71679,-9.30826,-0.141235,0.243693,0.236196,0.631491,3.4672,-2.57351,8.34914,-0.146248,-0.019398,0.0808171,3.4672,-2.57351,8.34914,-0.146248,-0.019398,0.0808171
0.002,-0.81362,8.98486,0.454472,-0.0959553,1.46441,-0.30073,-0.57332,9.76102,-0.306446,0.31366,0.686303,-0.254771,7.66235,-8.46528,0.618321,-0.162561,-0.647884,-0.226222,3.45548,2.16984,9.17665,-0.440831,-0.140542,0.0136478,1.70924,-9.33258,-0.124453,0.244826,0.239704,0.649774,3.42218,-2.62604,8.33062,-0.142818,-0.0223632,0.0811519,3.42218,-2.62604,8.33062,-0.142818,-0.0223632,0.0811519
0.003,-0.887198,8.99144,0.485047,-0.0863029,1.45998,-0.3072,-0.593955,9.81502,-0.338676,0.314831,0.675042,-0.253936,7.64363,-8.46543,0.638687,-0.162901,-0.644044,-0.249429,3.47332,2.16161,9.20463,-0.440792,-0.14331,0.0135493,1.70169,-9.3569,-0.10767,0.245959,0.243212,0.668058,3.37717,-2.67857,8.3121,-0.139388,-0.0253285,0.0814867,3.37717,-2.67857,8.3121,-0.139388,-0.0253285,0.0814867
0.004,-0.960776,8.99801,0.515621,-0.0766505,1.45556,-0.313671,-0.614589,9.86903,-0.370906,0.316001,0.663781,-0.253102,7.62491,-8.46558,0.659054,-0.163242,-0.640203,-0.272636,3.49115,2.15338,9.23261,-0.440752,-0.146077,0.0134507,1.69414,-9.38122,-0.090888,0.247091,0.24672,0.686341,3.33215,-2.7311,8.29358,-0.135958,-0.0282937,0.0818215,3.33215,-2.7311,8.29358,-0.135958,-0.0282937,0.0818215
0.005,-1.03042,9.02146,0.520764,-0.0663429,1.45219,-0.316008,-0.617226,9.87651,-0.407705,0.314943,0.651417,-0.253402,7.59485,-8.45527,0.685592,-0.163538,-0.636898,-0.294044,3.50487,2.13293,9.2626,-0.440402,-0.149363,0.012796,1.66862,-9.38664,-0.0828904,0.247864,0.249498,0.703273,3.33554,-2.77574,8.26612,-0.130298,-0.0313589,0.0811802,3.33554,-2.77574,8.26612,-0.130298,-0.0313589,0.0811802
0.006,-1.09692,9.05842,0.50556,-0.0555112,1.44967,-0.31504,-0.605464,9.84677,-0.448161,0.312103,0.63817,-0.25461,7.55572,-8.43659,0.717068,-0.163798,-0.63402,-0.314013,3.5153,2.10269,9.29421,-0.439803,-0.153063,0.0116965,1.62874,-9.37693,-0.0819204,0.248349,0.25169,0.719124,3.37764,-2.81407,8.23151,-0.122856,-0.0345039,0.0797581,3.37764,-2.81407,8.23151,-0.122856,-0.0345039,0.0797581
0.007,-1.16342,9.09537,0.490356,-0.0446794,1.44716,-0.314072,-0.593702,9.81703,-0.488616,0.309262,0.624923,-0.255819,7.51659,-8.41791,0.748543,-0.164058,-0.631143,-0.333981,3.52573,2.07246,9.32582,-0.439205,-0.156763,0.0105969,1.58885,-9.36722,-0.0809504,0.248834,0.253883,0.734974,3.41975,-2.8524,8.19691,-0.115413,-0.0376489,0.078336,3.41975,-2.8524,8.19691,-0.115413,-0.0376489,0.078336
0.008,-1.22993,9.13233,0.475152,-0.0338477,1.44464,-0.313103,-0.581941,9.78728,-0.529071,0.306421,0.611676,-0.257027,7.47745,-8.39923,0.780019,-0.164318,-0.628266,-0.35395,3.53616,2.04223,9.35743,-0.438606,-0.160463,0.00949737,1.54896,-9.35751,-0.0799805,0.249319,0.256076,0.750825,3.46185,-2.89073,8.1623,-0.107971,-0.0407939,0.0769139,3.46185,-2.89073,8.1623,-0.107971,-0.0407939,0.0769139
0.009,-1.30204,9.16685,0.460189,-0.0236866,1.44218,-0.312095,-0.571772,9.76479,-0.565451,0.304017,0.598874,-0.258216,7.43577,-8.38049,0.812451,-0.164317,-0.625654,-0.373818,3.54722,2.00956,9.38467,-0.437888,-0.163919,0.00855997,1.50943,-9.35004,-0.0789284,0.250029,0.258499,0.766714,3.49632,-2.92579,8.13227,-0.100604,-0.0442307,0.0751441,3.49632,-2.92579,8.13227,-0.100604,-0.0442307,0.0751441
0.01,-1.41907,9.18188,0.447152,-0.0188903,1.4402,-0.310768,-0.574352,9.8003,-0.569226,0.305113,0.589638,-0.259256,7.37362,-8.36126,0.85253,-0.162228,-0.625167,-0.392885,3.56323,1.95735,9.377,-0.436215,-0.165424,0.00891974,1.47274,-9.36047,-0.0772192,0.252533,0.262766,0.782917,3.46968,-2.93472,8.13877,-0.0938421,-0.0500012,0.0705924,3.46968,-2.93472,8.13877,-0.0938421,-0.0500012,0.0705924
0.011,-1.5361,9.19692,0.434115,-0.014094,1.43821,-0.30944,-0.576931,9.8358,-0.573001,0.306209,0.580402,-0.260296,7.31148,-8.34203,0.89261,-0.160138,-0.62468,-0.411951,3.57925,1.90515,9.36932,-0.434542,-0.166928,0.0092795,1.43605,-9.37091,-0.07551,0.255036,0.267033,0.799119,3.44303,-2.94364,8.14527,-0.0870805,-0.0557718,0.0660408,3.44303,-2.94364,8.14527,-0.0870805,-0.0557718,0.0660408
0.012,-1.65313,9.21195,0.421078,-0.00929776,1.43622,-0.308113,-0.579511,9.87131,-0.576776,0.307306,0.571165,-0.261336,7.24933,-8.32279,0.93269,-0.158048,-0.624193,-0.431018,3.59526,1.85295,9.36165,-0.43287,-0.168432,0.00963926,1.39936,-9.38134,-0.0738008,0.25754,0.2713,0.815322,3.41639,-2.95256,8.15178,-0.0803188,-0.0615424,0.0614891,3.41639,-2.95256,8.15178,-0.0803188,-0.0615424,0.0614891
0.013,-1.77016,9.22699,0.408041,-0.00450148,1.43423,-0.306786,-0.58209,9.90681,-0.580551,0.308402,0.561929,-0.262377,7.18719,-8.30356,0.97277,-0.155959,-0.623706,-0.450085,3.61128,1.80074,9.35398,-0.431197,-0.169936,0.00999902,1.36267,-9.39177,-0.0720916,0.260044,0.275567,0.831525,3.38975,-2.96149,8.15828,-0.0735572,-0.067313,0.0569374,3.38975,-2.96149,8.15828,-0.0735572,-0.067313,0.0569374
0.014,-1.8674,9.247,0.375776,0.00204731,1.4309,-0.303852,-0.565165,9.92128,-0.611924,0.308496,0.553959,-0.262038,7.11426,-8.26865,1.0126,-0.152655,-0.624317,-0.466912,3.62414,1.78573,9.36778,-0.429574,-0.169326,0.0125937,1.3359,-9.42392,-0.0680555,0.260992,0.278396,0.847087,3.38858,-2.97615,8.18903,-0.0698992,-0.0694972,0.0565247,3.38858,-2.97615,8.18903,-0.0698992,-0.0694972,0.0565247
0.015,-1.95475,9.26951,0.333897,0.00947236,1.42689,-0.300114,-0.538489,9.92523,-0.657096,0.308089,0.546622,-0.261009,7.03595,-8.22589,1.05231,-0.148745,-0.625479,-0.482618,3.63543,1.78932,9.39231,-0.427974,-0.167659,0.0163059,1.31408,-9.46694,-0.0628558,0.261162,0.280506,0.862329,3.40013,-2.99368,8.23191,-0.0677932,-0.0698882,0.0581813,3.40013,-2.99368,8.23191,-0.0677932,-0.0698882,0.0581813
0.016,-2.0421,9.29201,0.292019,0.0168974,1.42289,-0.296376,-0.511812,9.92917,-0.702267,0.307682,0.539284,-0.259981,6.95763,-8.18313,1.09201,-0.144835,-0.62664,-0.498324,3.64671,1.79291,9.41685,-0.426375,-0.165991,0.0200181,1.29227,-9.50995,-0.0576561,0.261332,0.282616,0.877572,3.41169,-3.01122,8.27479,-0.0656871,-0.0702792,0.0598379,3.41169,-3.01122,8.27479,-0.0656871,-0.0702792,0.0598379
0.017,-2.12945,9.31451,0.25014,0.0243225,1.41888,-0.292639,-0.485136,9.93312,-0.747439,0.307276,0.531947,-0.258953,6.87932,-8.14037,1.13172,-0.140925,-0.627801,-0.514031,3.65799,1.7965,9.44139,-0.424776,-0.164324,0.0237303,1.27045,-9.55296,-0.0524564,0.261502,0.284726,0.892814,3.42324,-3.02875,8.31766,-0.0635811,-0.0706703,0.0614946,3.42324,-3.02875,8.31766,-0.0635811,-0.0706703,0.0614946
0.018,-2.19796,9.33305,0.228612,0.0312945,1.41289,-0.288027,-0.470257,9.9333,-0.783644,0.306506,0.523865,-0.257857,6.80384,-8.09653,1.17252,-0.13675,-0.628628,-0.528731,3.6653,1.79922,9.47332,-0.422989,-0.163569,0.0279091,1.24785,-9.58805,-0.0464441,0.261136,0.286763,0.908083,3.4445,-3.03315,8.36548,-0.0624337,-0.0697613,0.0626317,3.4445,-3.03315,8.36548,-0.0624337,-0.0697613,0.0626317
0.019,-2.20054,9.33772,0.278312,0.036681,1.39995,-0.280353,-0.496667,9.92034,-0.788465,0.304467,0.513173,-0.256528,6.7383,-8.04889,1.21717,-0.131647,-0.628289,-0.53991,3.65871,1.79889,9.53113,-0.420542,-0.166006,0.0337211,1.22251,-9.59542,-0.0375875,0.258894,0.288544,0.923444,3.49973,-2.99158,8.43058,-0.0646417,-0.0643025,0.0619505,3.49973,-2.99158,8.43058,-0.0646417,-0.0643025,0.0619505
0.02,-2.20313,9.34238,0.328013,0.0420675,1.38701,-0.27268,-0.523077,9.90737,-0.793286,0.302429,0.502482,-0.255199,6.67277,-8.00125,1.26181,-0.126544,-0.62795,-0.55109,3.65211,1.79856,9.58894,-0.418095,-0.168443,0.039533,1.19716,-9.60278,-0.028731,0.256652,0.290324,0.938805,3.55495,-2.95002,8.49568,-0.0668497,-0.0588437,0.0612693,3.55495,-2.95002,8.49568,-0.0668497,-0.0588437,0.0612693
0.021,-2.20571,9.34705,0.377713,0.0474539,1.37407,-0.265006,-0.549488,9.8944,-0.798107,0.30039,0.49179,-0.25387,6.60723,-7.95361,1.30645,-0.121441,-0.62761,-0.56227,3.64551,1.79823,9.64675,-0.415648,-0.17088,0.045345,1.17181,-9.61014,-0.0198745,0.25441,0.292105,0.954167,3.61017,-2.90845,8.56078,-0.0690577,-0.0533849,0.060588,3.61017,-2.90845,8.56078,-0.0690577,-0.0533849,0.060588
0.022,-2.2083,9.35171,0.427414,0.0528404,1.36114,-0.257333,-0.575898,9.88144,-0.802928,0.298351,0.481099,-0.252541,6.54169,-7.90597,1.35109,-0.116338,-0.627271,-0.573449,3.63892,1.7979,9.70456,-0.413201,-0.173317,0.051157,1.14647,-9.6175,-0.011018,0.252168,0.293885,0.969528,3.6654,-2.86688,8.62588,-0.0712657,-0.0479261,0.0599068,3.6654,-2.86688,8.62588,-0.0712657,-0.0479261,0.0599068
0.023,-2.21782,9.37561,0.448829,0.0592016,1.33973,-0.249545,-0.614235,9.86296,-0.800055,0.297315,0.471693,-0.253745,6.47427,-7.85976,1.39162,-0.1112,-0.624357,-0.58069,3.61357,1.80789,9.74116,-0.411363,-0.177147,0.0556295,1.14316,-9.63658,-0.00343352,0.249147,0.293847,0.984715,3.79905,-2.85163,8.62271,-0.0674586,-0.0388853,0.0603464,3.79905,-2.85163,8.62271,-0.0674586,-0.0388853,0.0603464
0.024,-2.22933,9.405,0.462161,0.0658413,1.3159,-0.241725,-0.655979,9.84292,-0.794983,0.296566,0.462655,-0.255673,6.4063,-7.81397,1.43098,-0.106051,-0.620708,-0.586805,3.58288,1.82082,9.7717,-0.409699,-0.181376,0.0597193,1.14614,-9.65901,0.00378754,0.245903,0.293288,0.999851,3.95511,-2.84389,8.60005,-0.0619328,-0.0288209,0.0611061,3.95511,-2.84389,8.60005,-0.0619328,-0.0288209,0.0611061
0.025,-2.24083,9.4344,0.475494,0.0724811,1.29208,-0.233904,-0.697723,9.82287,-0.789911,0.295816,0.453617,-0.257602,6.33834,-7.76818,1.47034,-0.100903,-0.617059,-0.59292,3.55218,1.83376,9.80225,-0.408035,-0.185604,0.0638091,1.14913,-9.68143,0.0110086,0.242658,0.29273,1.01499,4.11117,-2.83616,8.57738,-0.0564071,-0.0187566,0.0618659,4.11117,-2.83616,8.57738,-0.0564071,-0.0187566,0.0618659
