Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0519025,0.0480627,0.0854047,0.0646042,0.0315982,0.0658157,0.0628439,0.0523154,0.0760324,0.0882254,0.0810382,0.0710239,0.066712,-0.0333914,0.158566,0.109425
0.021,0.0329816,0.0508093,0.0619061,0.0527023,0.0474673,0.0908401,0.0613181,0.0407187,0.0507028,0.0656424,0.0486896,0.0630893,0.0587775,0.00384003,0.0529749,0.105153
0.022,0.0415265,0.0437903,0.0573285,0.0511765,0.0233585,0.07314,0.0591818,0.0468222,0.058027,0.00369171,0.0514362,0.0582065,0.0722052,0.0596872,0.00231567,0.0825696
0.023,0.0262677,0.0303625,0.0161298,0.0533127,0.0319034,0.0777176,0.0579611,0.0587241,0.0690134,0.00674347,0.0395343,0.0624789,0.0725104,0.0810495,-0.0376624,0.0779919
0.024,0.0595319,0.0334143,0.0524457,0.046904,0.0367862,0.0685623,0.0146262,0.079476,0.061384,0.019866,0.0526569,0.0606479,0.0749518,0.0792184,-0.0263708,0.0789075
0.025,0.0784528,0.0138831,0.0600751,0.0493454,0.0352603,0.0667313,0.0173727,0.063912,0.0491769,0.0445853,0.0727985,0.0740756,0.0706793,0.122553,-0.0343054,0.0715832
0.026,0.0708234,0.0169348,0.0664838,0.0459885,0.019086,0.0667313,0.00425018,0.0959555,0.0549753,0.0668631,0.0514362,0.0954379,0.0776984,0.119196,-0.0394934,0.0724988
0.027,0.0467145,0.0300574,0.0265057,0.0545334,0.0322086,0.0365189,0.00577606,0.0938193,0.0449045,0.063201,0.0560138,0.0655307,0.0554205,0.0462595,-0.0105017,0.0782971
0.028,0.042442,0.0617957,0.0500043,0.0176071,0.0254947,0.0487259,0.0106589,0.113045,0.0305612,0.10501,0.0657794,0.0624789,0.0825812,0.0206247,0.0239832,0.059071
0.029,0.0647198,0.0447058,0.0506146,0.0438522,0.0187808,0.0584915,0.0765768,0.111825,0.0488718,0.0641165,0.0663898,0.0575961,0.0651862,0.049006,-0.0333899,0.0554089
0.03,0.0555646,0.0523352,0.0783856,0.0548386,0.0459415,0.07314,0.0741354,0.127083,0.0626047,0.0622855,0.0612018,0.0627841,0.0645758,0.101801,0.101803,0.0499158
0.031,0.0622784,0.0575232,0.0493939,0.0618576,0.0334293,0.0826004,0.069863,0.122811,0.0607736,0.00521759,0.0621173,0.0557651,0.0499274,0.100276,0.0941736,0.0529675
0.032,0.0393903,0.0868201,0.0490887,0.0475143,0.0267154,0.102437,0.0921408,0.124642,0.0650461,-0.0207224,0.0444171,0.0609531,0.0407721,-0.000432434,0.102413,0.0285535
0.033,0.0555646,0.0373816,0.0439008,0.0554489,0.0367862,0.0761917,0.0732199,0.121895,0.051008,0.0168143,0.0431964,0.0508823,0.0343634,-0.0455985,0.056637,0.062428
0.034,0.0540387,-0.00595337,0.0606854,0.103056,0.03465,0.0502518,0.0857321,0.128914,0.0476511,0.00949005,0.0700519,0.043558,0.0236823,0.00261932,0.0465662,0.0630383
