Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0,4.97471,-3.74896,7.39697,0.0931428,0.00361278,0.0020503,18.3425,-10.8797,8.98238,-0.793397,0.707835,-0.406453,-0.870261,9.34461,-3.3529,-0.157031,0.328995,-0.197185,9.15722,0.841506,4.2062,0.351874,0.522122,0.0882016,-1.62695,-10.1918,-4.12111,-0.0689471,0.23626,0.0452122,-0.834859,9.07077,-4.30599,0.207244,-0.510225,-0.481964,4.6005,4.46575,8.06119,-0.069091,-0.0249466,0.0396614
0.001,4.96926,-3.76496,7.39364,0.0923142,0.00512975,0.00239447,17.3858,-10.7036,8.60491,-0.630807,0.465488,-0.416872,-0.88063,9.33925,-3.3518,-0.155713,0.326876,-0.192647,9.1567,0.786299,4.17845,0.348582,0.513821,0.0951064,-1.67515,-10.1899,-4.00853,-0.0670258,0.212508,0.0408298,-0.823487,9.09416,-4.3085,0.21315,-0.492982,-0.476544,4.57973,4.38788,8.07877,-0.0747322,-0.0228894,0.0429231
0.002,4.96382,-3.78095,7.39032,0.0914856,0.00664672,0.00273864,16.4291,-10.5275,8.22743,-0.468218,0.223142,-0.42729,-0.891,9.33388,-3.3507,-0.154396,0.324756,-0.188109,9.15617,0.731093,4.15071,0.345289,0.505519,0.102011,-1.72335,-10.1881,-3.89595,-0.0651046,0.188755,0.0364475,-0.812115,9.11756,-4.31101,0.219057,-0.47574,-0.471123,4.55895,4.31,8.09635,-0.0803735,-0.0208321,0.0461848
0.003,4.95838,-3.79695,7.38699,0.0906569,0.00816369,0.00308281,15.4723,-10.3513,7.84996,-0.305628,-0.0192045,-0.437708,-0.901369,9.32851,-3.34961,-0.153078,0.322637,-0.183571,9.15564,0.675886,4.12296,0.341997,0.497217,0.108916,-1.77155,-10.1862,-3.78337,-0.0631834,0.165003,0.0320651,-0.800743,9.14095,-4.31353,0.224963,-0.458497,-0.465702,4.53818,4.23212,8.11393,-0.0860148,-0.0187749,0.0494465
0.004,4.95294,-3.81294,7.38367,0.0898283,0.00968066,0.00342697,14.5156,-10.1752,7.47249,-0.143039,-0.261551,-0.448126,-0.911739,9.32315,-3.34851,-0.15176,0.320517,-0.179033,9.15512,0.62068,4.09521,0.338705,0.488915,0.115821,-1.81975,-10.1844,-3.67079,-0.0612622,0.141251,0.0276828,-0.78937,9.16435,-4.31604,0.230869,-0.441255,-0.460282,4.5174,4.15424,8.13151,-0.0916561,-0.0167176,0.0527083
0.005,4.95745,-3.83358,7.39067,0.089504,0.0104319,0.00309102,13.4046,-9.97978,6.70394,-0.0139019,-0.416007,-0.455553,-0.913491,9.29878,-3.35693,-0.151104,0.317195,-0.175107,9.13029,0.59054,4.05649,0.333879,0.481412,0.122764,-1.87361,-10.15,-3.54992,-0.0583497,0.117075,0.02106,-0.787144,9.18003,-4.31443,0.235512,-0.424977,-0.455167,4.49234,4.07011,8.14894,-0.0950213,-0.0142869,0.0565833
0.006,4.96994,-3.85794,7.40595,0.0895831,0.0105706,0.00221097,12.1701,-9.769,5.62252,0.0884725,-0.50015,-0.460588,-0.908349,9.25921,-3.37298,-0.150977,0.312911,-0.171671,9.08602,0.580455,4.009,0.327826,0.474548,0.129738,-1.93199,-10.0896,-3.42241,-0.0546442,0.0925602,0.0126448,-0.792236,9.18954,-4.30951,0.239144,-0.409471,-0.450296,4.46385,3.98098,8.16625,-0.0965656,-0.0115575,0.0609491
0.007,4.98242,-3.88229,7.42122,0.0896622,0.0107093,0.00133091,10.9357,-9.55821,4.5411,0.190847,-0.584293,-0.465623,-0.903207,9.21964,-3.38903,-0.15085,0.308626,-0.168235,9.04175,0.570369,3.96151,0.321773,0.467684,0.136713,-1.99038,-10.0291,-3.2949,-0.0509386,0.0680452,0.00422958,-0.797327,9.19906,-4.3046,0.242775,-0.393965,-0.445425,4.43536,3.89185,8.18356,-0.0981099,-0.00882812,0.0653148
0.008,4.99491,-3.90665,7.4365,0.0897413,0.010848,0.000450861,9.70127,-9.34743,3.45968,0.293221,-0.668436,-0.470657,-0.898065,9.18007,-3.40507,-0.150723,0.304342,-0.1648,8.99748,0.560284,3.91402,0.31572,0.46082,0.143687,-2.04876,-9.96873,-3.1674,-0.0472331,0.0435302,-0.00418563,-0.802418,9.20857,-4.29969,0.246407,-0.378459,-0.440555,4.40687,3.80272,8.20087,-0.0996543,-0.00609871,0.0696806
0.009,5.00357,-3.92624,7.45205,0.0898658,0.0111224,-0.000583376,8.54054,-9.12768,2.43054,0.390011,-0.747875,-0.473142,-0.892548,9.14252,-3.42137,-0.150755,0.299882,-0.161319,8.95674,0.544782,3.86679,0.309703,0.453345,0.150267,-2.10774,-9.90862,-3.04259,-0.044347,0.0189254,-0.0121043,-0.807243,9.21758,-4.29557,0.24977,-0.362901,-0.435728,4.38193,3.71243,8.21776,-0.100998,-0.00365047,0.0739114
0.01,4.98162,-3.90768,7.46983,0.0903532,0.0124823,-0.0028511,7.96947,-8.83625,1.8196,0.442122,-0.789685,-0.45523,-0.884029,9.12119,-3.43964,-0.152066,0.294015,-0.157484,8.94424,0.485947,3.82161,0.303979,0.440982,0.153694,-2.17146,-9.85104,-2.93942,-0.0480173,-0.00639724,-0.0160508,-0.809946,9.22253,-4.29772,0.250988,-0.346925,-0.431252,4.38543,3.61291,8.23133,-0.100735,-0.00345153,0.0770631
0.011,4.95967,-3.88913,7.4876,0.0908406,0.0138422,-0.00511882,7.39839,-8.54482,1.20866,0.494234,-0.831496,-0.437318,-0.875511,9.09986,-3.45791,-0.153378,0.288149,-0.153648,8.93174,0.427112,3.77643,0.298254,0.428618,0.157121,-2.23518,-9.79346,-2.83624,-0.0516875,-0.0317199,-0.0199972,-0.812648,9.22748,-4.29988,0.252206,-0.33095,-0.426776,4.38893,3.51339,8.2449,-0.100472,-0.00325259,0.0802148
0.012,4.93772,-3.87057,7.50538,0.091328,0.0152021,-0.00738655,6.82732,-8.25339,0.597715,0.546345,-0.873307,-0.419406,-0.866992,9.07852,-3.47618,-0.154689,0.282283,-0.149812,8.91924,0.368276,3.73125,0.29253,0.416255,0.160548,-2.29891,-9.73588,-2.73306,-0.0553578,-0.0570426,-0.0239437,-0.815351,9.23243,-4.30204,0.253424,-0.314974,-0.422299,4.39242,3.41386,8.25847,-0.100209,-0.00305365,0.0833665
0.013,4.91576,-3.85202,7.52316,0.0918154,0.016562,-0.00965427,6.25624,-7.96195,-0.013226,0.598457,-0.915117,-0.401494,-0.858473,9.05719,-3.49445,-0.156,0.276417,-0.145976,8.90675,0.309441,3.68607,0.286805,0.403891,0.163975,-2.36263,-9.67829,-2.62989,-0.059028,-0.0823652,-0.0278902,-0.818053,9.23738,-4.30419,0.254642,-0.298998,-0.417823,4.39592,3.31434,8.27204,-0.0999459,-0.00285471,0.0865182
