Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0,-0.0681085,-9.57827,-2.49904,-0.326742,-0.0776074,0.560516,10.0916,2.02889,5.26659,0.408931,-0.00377732,0.297106,0.643556,11.4881,-1.96295,-0.137054,-2.07527,-0.354905,1.94947,-9.18229,-1.55695,0.0888108,-0.0408564,-0.22508,6.80738,0.950777,8.51923,-0.0964423,0.123889,-0.10011,-2.338,9.07888,-2.46068,0.0307353,-0.930346,0.00456901,3.72506,3.98395,8.10195,0.0935669,-0.10034,-0.0508904
0.001,-0.0375085,-9.59566,-2.42138,-0.324148,-0.0744935,0.561138,10.0936,2.05009,5.31843,0.394005,-0.00475064,0.284415,0.656201,11.2145,-2.11114,-0.1467,-2.10312,-0.328481,1.94879,-9.19678,-1.56343,0.0888662,-0.0436388,-0.221241,6.7774,1.26697,8.54817,-0.0663019,0.149191,-0.0958799,-2.48032,9.00807,-2.41302,0.0230999,-0.910682,0.00956361,3.72304,3.97484,8.08885,0.0922499,-0.0996122,-0.0527439
0.002,-0.00690844,-9.61304,-2.34372,-0.321553,-0.0713795,0.56176,10.0955,2.07128,5.37027,0.379079,-0.00572395,0.271724,0.668845,10.9408,-2.25934,-0.156347,-2.13098,-0.302057,1.9481,-9.21127,-1.56992,0.0889217,-0.0464212,-0.217401,6.74742,1.58316,8.57711,-0.0361615,0.174494,-0.0916498,-2.62265,8.93727,-2.36535,0.0154645,-0.891018,0.0145582,3.72102,3.96572,8.07576,0.0909329,-0.0988849,-0.0545975
0.003,0.0236916,-9.63043,-2.26606,-0.318959,-0.0682655,0.562383,10.0975,2.09247,5.42211,0.364154,-0.00669727,0.259033,0.68149,10.6672,-2.40753,-0.165994,-2.15884,-0.275633,1.94741,-9.22575,-1.5764,0.0889771,-0.0492036,-0.213562,6.71744,1.89935,8.60605,-0.00602115,0.199797,-0.0874197,-2.76497,8.86646,-2.31768,0.00782911,-0.871354,0.0195528,3.71901,3.95661,8.06267,0.0896159,-0.0981575,-0.0564511
0.004,0.0542916,-9.64782,-2.18839,-0.316364,-0.0651516,0.563005,10.0995,2.11367,5.47394,0.349228,-0.00767059,0.246342,0.694134,10.3936,-2.55573,-0.17564,-2.1867,-0.249209,1.94673,-9.24024,-1.58288,0.0890326,-0.051986,-0.209723,6.68746,2.21554,8.63499,0.0241192,0.225099,-0.0831897,-2.9073,8.79566,-2.27002,0.000193723,-0.85169,0.0245474,3.71699,3.94749,8.04957,0.0882989,-0.0974301,-0.0583047
0.005,0.0783077,-9.66684,-2.10725,-0.312655,-0.0668052,0.563294,10.0949,2.12401,5.54098,0.335189,-0.0114222,0.234783,0.676382,10.1278,-2.67298,-0.175939,-2.20077,-0.223781,1.93898,-9.25182,-1.58747,0.0882635,-0.0533722,-0.206824,6.52101,2.21172,8.63476,0.0472845,0.240393,-0.0785615,-2.95233,8.73594,-2.21215,-0.00613093,-0.831119,0.0278912,3.71491,3.94768,8.04781,0.0869054,-0.0963226,-0.0584322
0.006,0.0970568,-9.68717,-2.02333,-0.308055,-0.072273,0.563318,10.0852,2.12568,5.62017,0.321859,-0.0173964,0.22413,0.634313,9.86822,-2.76547,-0.168759,-2.20382,-0.19915,1.92558,-9.26106,-1.59055,0.086835,-0.0536415,-0.204679,6.24539,1.95191,8.6112,0.0648698,0.24768,-0.0736149,-2.91953,8.68508,-2.14613,-0.011407,-0.809821,0.0299144,3.7128,3.9553,8.05511,0.0854506,-0.0949109,-0.0571788
0.007,0.115806,-9.7075,-1.93942,-0.303454,-0.0777407,0.563341,10.0754,2.12734,5.69937,0.308529,-0.0233705,0.213477,0.592244,9.60863,-2.85796,-0.161579,-2.20686,-0.174519,1.91219,-9.2703,-1.59363,0.0854064,-0.0539108,-0.202533,5.96976,1.69209,8.58764,0.082455,0.254967,-0.0686683,-2.88672,8.63423,-2.08011,-0.0166831,-0.788524,0.0319377,3.71068,3.96292,8.0624,0.0839958,-0.0934993,-0.0559254
0.008,0.134555,-9.72783,-1.8555,-0.298854,-0.0832084,0.563364,10.0656,2.12901,5.77856,0.295199,-0.0293447,0.202824,0.550175,9.34905,-2.95045,-0.154399,-2.20991,-0.149887,1.89879,-9.27954,-1.59671,0.0839778,-0.05418,-0.200387,5.69414,1.43227,8.56408,0.10004,0.262253,-0.0637217,-2.85392,8.58338,-2.01409,-0.0219591,-0.767227,0.0339609,3.70857,3.97054,8.0697,0.082541,-0.0920877,-0.054672
0.009,0.149519,-9.7493,-1.77038,-0.294105,-0.0893301,0.563238,10.0552,2.12604,5.85362,0.28252,-0.035453,0.192131,0.506062,9.0951,-3.03231,-0.146228,-2.21123,-0.12555,1.88739,-9.2864,-1.60052,0.0827482,-0.0541321,-0.198092,5.42214,1.16481,8.54211,0.114385,0.267454,-0.059065,-2.80762,8.5315,-1.95175,-0.0263581,-0.746337,0.0360124,3.70587,3.98013,8.07232,0.0809323,-0.0905173,-0.0533963
