Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z
0,8.42802,0.890097,4.68382,0.230209,0.0416309,0.0611399,-2.85032,9.57983,-1.85134,-0.0726988,0.917194,-0.309586,-0.0146444,9.54214,0.0451141,0.039097,0.0424066,0.112441,-2.32301,-9.39725,-1.07308,-0.132628,-0.242358,-0.0945375,4.72178,3.17603,8.28871,-0.2131,-0.0348557,0.0913047,-0.08763,-9.79668,-1.01475,0.0540241,-0.0614613,0.242995,5.40419,-3.93081,7.19831,0.0566696,-0.00406238,0.0253321
0.001,8.41985,0.889338,4.68299,0.22994,0.038999,0.0592107,-2.8894,9.57323,-1.83702,-0.0735892,0.913195,-0.304822,-0.00171306,9.54825,0.051593,0.0388554,0.0384664,0.112568,-2.32973,-9.38822,-1.07513,-0.131032,-0.24396,-0.0924969,4.71664,3.14504,8.29458,-0.213538,-0.0335959,0.0907253,-0.0999574,-9.79421,-1.01106,0.0516839,-0.0676057,0.244374,5.54638,-4.00583,7.21021,0.0312473,-0.0284472,0.0320966
0.002,8.41167,0.88858,4.68217,0.22967,0.0363671,0.0572815,-2.92849,9.56663,-1.8227,-0.0744796,0.909196,-0.300057,0.0112183,9.55436,0.0580719,0.0386138,0.0345262,0.112695,-2.33646,-9.3792,-1.07717,-0.129435,-0.245562,-0.0904563,4.7115,3.11405,8.30046,-0.213976,-0.0323362,0.0901459,-0.112285,-9.79174,-1.00737,0.0493438,-0.07375,0.245754,5.68857,-4.08085,7.22211,0.00582489,-0.052832,0.038861
0.003,8.40349,0.887822,4.68134,0.229401,0.0337351,0.0553523,-2.96757,9.56003,-1.80837,-0.07537,0.905197,-0.295293,0.0241496,9.56047,0.0645509,0.0383722,0.0305861,0.112822,-2.34318,-9.37018,-1.07922,-0.127839,-0.247164,-0.0884157,4.70636,3.08307,8.30634,-0.214414,-0.0310765,0.0895665,-0.124612,-9.78927,-1.00368,0.0470036,-0.0798943,0.247134,5.83076,-4.15588,7.23401,-0.0195975,-0.0772169,0.0456255
0.004,8.39532,0.887063,4.68051,0.229131,0.0311032,0.053423,-3.00665,9.55343,-1.79405,-0.0762604,0.901199,-0.290528,0.0370809,9.56658,0.0710298,0.0381306,0.0266459,0.112948,-2.3499,-9.36115,-1.08127,-0.126243,-0.248766,-0.0863752,4.70121,3.05208,8.31221,-0.214852,-0.0298168,0.0889871,-0.13694,-9.7868,-0.999985,0.0446635,-0.0860387,0.248514,5.97295,-4.2309,7.24591,-0.0450198,-0.101602,0.0523899
0.005,8.3943,0.899677,4.6775,0.227994,0.0291229,0.0528371,-3.05025,9.5398,-1.76389,-0.076612,0.89579,-0.2859,0.0387883,9.56882,0.0886295,0.0378077,0.0216941,0.112806,-2.35648,-9.36286,-1.08494,-0.124107,-0.249517,-0.0862228,4.72779,3.04854,8.31012,-0.216051,-0.0299398,0.0876937,-0.15289,-9.79527,-0.990715,0.0434752,-0.0899682,0.249006,5.93328,-4.20365,7.25611,-0.0519605,-0.0901529,0.0485755
0.006,8.399,0.922989,4.67274,0.226161,0.0276639,0.0533257,-3.09745,9.52056,-1.72106,-0.0765326,0.889253,-0.28138,0.0315165,9.56797,0.115126,0.0374197,0.015933,0.112447,-2.36294,-9.37316,-1.0899,-0.12154,-0.249587,-0.0875811,4.77975,3.06695,8.30167,-0.217859,-0.0311689,0.0858289,-0.171739,-9.81249,-0.976982,0.0432084,-0.0921258,0.248789,5.74813,-4.09457,7.26495,-0.0441159,-0.0500372,0.036298
0.007,8.4037,0.946302,4.66798,0.224329,0.0262049,0.0538143,-3.14466,9.50132,-1.67823,-0.0764531,0.882716,-0.276861,0.0242446,9.56711,0.141622,0.0370316,0.0101719,0.112088,-2.3694,-9.38345,-1.09487,-0.118974,-0.249657,-0.0889393,4.83171,3.08536,8.29321,-0.219667,-0.0323981,0.0839642,-0.190589,-9.82971,-0.96325,0.0429416,-0.0942834,0.248572,5.56297,-3.98549,7.27379,-0.0362713,-0.00992144,0.0240204
0.008,8.4084,0.969614,4.66322,0.222497,0.0247459,0.0543029,-3.19186,9.48208,-1.63541,-0.0763737,0.87618,-0.272341,0.0169728,9.56626,0.168118,0.0366436,0.00441081,0.11173,-2.37586,-9.39374,-1.09983,-0.116407,-0.249727,-0.0902975,4.88367,3.10377,8.28475,-0.221476,-0.0336273,0.0820994,-0.209438,-9.84694,-0.949517,0.0426748,-0.096441,0.248355,5.37781,-3.87641,7.28264,-0.0284267,0.0301943,0.0117429
0.009,8.4093,0.989593,4.66025,0.220994,0.0232877,0.0548321,-3.23696,9.46355,-1.59436,-0.0760686,0.869414,-0.267784,0.0118095,9.56807,0.193395,0.0362767,-0.00089027,0.111414,-2.38364,-9.4055,-1.1041,-0.113846,-0.2496,-0.091545,4.928,3.11895,8.27602,-0.222946,-0.0344787,0.0807046,-0.224458,-9.86333,-0.936854,0.0423684,-0.0985258,0.248661,5.21248,-3.75894,7.28956,-0.0198903,0.0636124,0.00181847
