Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,-0.318462,9.67468,-2.08066,-0.589229,-1.7582,0.0268236,3.52938,-11.6597,-5.90139,2.23574,4.66136,-3.79676,5.9352,11.3826,9.68128,-3.00025,4.53332,-4.86718,5.08998,0.157525,8.46737,-0.0307322,-0.171269,-0.0346665,8.62529,0.338247,4.15593,-1.58567,0.643502,-1.48804,1.02555,9.365,-1.48729,-0.478598,-0.717749,0.429536,-2.9619,-9.04004,-2.74306,-0.206125,3.77826,0.154407
0.001,-0.287641,9.66731,-2.08783,-0.582242,-1.77438,0.0354719,3.50374,-11.8603,-6.06623,2.23004,4.70199,-3.81202,6.14186,11.7139,9.62624,-3.0407,4.53741,-4.90778,5.12109,0.194877,8.49612,-0.0365519,-0.1735,-0.0299323,8.62593,0.326231,4.13022,-1.59307,0.63975,-1.48845,1.0136,9.35684,-1.49722,-0.475457,-0.722178,0.43054,-2.78722,-9.03503,-2.72776,-0.198173,3.89981,0.126792
0.002,-0.256821,9.65994,-2.095,-0.575256,-1.79055,0.0441202,3.47809,-12.0609,-6.23107,2.22435,4.74262,-3.82729,6.34852,12.0453,9.57119,-3.08115,4.54149,-4.94839,5.15221,0.232229,8.52486,-0.0423715,-0.175731,-0.0251981,8.62656,0.314215,4.10451,-1.60048,0.635997,-1.48887,1.00165,9.34869,-1.50715,-0.472316,-0.726606,0.431543,-2.61255,-9.03001,-2.71247,-0.190221,4.02137,0.0991762
0.003,-0.226001,9.65256,-2.10218,-0.568269,-1.80672,0.0527686,3.45245,-12.2615,-6.39591,2.21865,4.78325,-3.84255,6.55518,12.3767,9.51615,-3.12161,4.54558,-4.989,5.18333,0.269581,8.55361,-0.0481912,-0.177962,-0.0204639,8.6272,0.302199,4.0788,-1.60788,0.632244,-1.48929,0.989704,9.34053,-1.51708,-0.469175,-0.731035,0.432546,-2.43787,-9.02499,-2.69718,-0.182269,4.14293,0.0715609
0.004,-0.195181,9.64519,-2.10935,-0.561282,-1.8229,0.0614169,3.4268,-12.4621,-6.56075,2.21295,4.82388,-3.85781,6.76184,12.708,9.4611,-3.16206,4.54966,-5.0296,5.21445,0.306933,8.58236,-0.0540109,-0.180192,-0.0157297,8.62784,0.290182,4.05309,-1.61528,0.628491,-1.48971,0.977754,9.33238,-1.52701,-0.466034,-0.735464,0.43355,-2.2632,-9.01998,-2.68188,-0.174318,4.26449,0.0439457
0.005,-0.15632,9.62471,-2.11786,-0.555167,-1.83533,0.0697781,3.38434,-12.6347,-6.72769,2.20733,4.86821,-3.87075,6.96967,12.9555,9.34334,-3.19039,4.54757,-5.07714,5.22585,0.329511,8.58871,-0.0589274,-0.182364,-0.0118943,8.62057,0.254659,4.03693,-1.62551,0.623359,-1.49172,0.967983,9.34116,-1.54193,-0.463014,-0.737884,0.434667,-2.09312,-9.00949,-2.71001,-0.164163,4.40735,0.0100491
0.006,-0.111027,9.59375,-2.12744,-0.54975,-1.84476,0.0779096,3.32843,-12.785,-6.89632,2.20177,4.91549,-3.88183,7.17844,13.1359,9.17539,-3.20904,4.54053,-5.13022,5.22147,0.340271,8.57715,-0.0631215,-0.184487,-0.00877799,8.60699,0.200329,4.02841,-1.638,0.617122,-1.49502,0.959954,9.3635,-1.56085,-0.460091,-0.738698,0.435875,-1.92673,-8.99463,-2.77288,-0.152246,4.56724,-0.0288724
0.007,-0.0657342,9.56279,-2.13702,-0.544332,-1.85419,0.0860411,3.27251,-12.9352,-7.06496,2.19621,4.96277,-3.89291,7.38721,13.3164,9.00744,-3.22768,4.5335,-5.18331,5.2171,0.35103,8.5656,-0.0673155,-0.186611,-0.00566167,8.59341,0.146,4.01989,-1.6505,0.610885,-1.49831,0.951925,9.38583,-1.57977,-0.457168,-0.739511,0.437083,-1.76033,-8.97978,-2.83575,-0.14033,4.72714,-0.0677939
0.008,-0.0204413,9.53184,-2.1466,-0.538914,-1.86362,0.0941726,3.2166,-13.0855,-7.23359,2.19064,5.01005,-3.904,7.59597,13.4968,8.8395,-3.24632,4.52647,-5.23639,5.21272,0.36179,8.55404,-0.0715096,-0.188734,-0.00254535,8.57982,0.0916706,4.01137,-1.66299,0.604649,-1.50161,0.943896,9.40816,-1.59868,-0.454245,-0.740325,0.438291,-1.59394,-8.96492,-2.89862,-0.128413,4.88704,-0.106715
0.009,0.0279883,9.50043,-2.15714,-0.533607,-1.87235,0.102668,3.15845,-13.2339,-7.3977,2.18513,5.05763,-3.91467,7.8033,13.6522,8.67396,-3.26401,4.51781,-5.29018,5.20894,0.369806,8.54264,-0.0755784,-0.190696,0.000439987,8.56293,0.0384675,4.00056,-1.67585,0.598745,-1.50449,0.937783,9.42772,-1.61514,-0.45108,-0.740833,0.439157,-1.43434,-8.94535,-2.95357,-0.117803,5.04888,-0.145378
