Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.0,-4.43324,4.31868,7.36549,-0.0504983,0.0184186,0.0168832,5.93328,-8.00031,-1.07833,0.00159571,-0.229581,-0.700099,-3.04055,-9.24649,-0.0403973,-0.070542,0.714809,0.498226,0.426416,9.60691,-1.87033,-0.0271106,-0.0835869,0.0755286,1.44306,-5.25228,11.2723,0.276658,-0.918511,-0.236537,8.54682,0.84729,1.11206,-0.459008,0.731498,0.110588,0.00203634,9.20854,-2.98738,0.0547303,0.00446403,-0.0530764
0.001,-4.4351,4.37741,7.36792,-0.056638,0.0196806,0.0145455,5.95349,-7.99691,-1.12334,0.00494912,-0.239594,-0.731119,-3.03154,-9.23518,-0.0344353,-0.063073,0.691717,0.502196,0.449303,9.60471,-1.88426,-0.0273003,-0.0849722,0.0699636,1.63293,-5.29747,11.1269,0.25252,-0.932122,-0.237195,8.52573,0.856127,1.18006,-0.465769,0.723484,0.114081,0.0101891,9.21965,-3.00368,0.0604854,0.00257674,-0.0506326
0.002,-4.43697,4.43615,7.37035,-0.0627777,0.0209427,0.0122077,5.97369,-7.9935,-1.16834,0.00830253,-0.249608,-0.762139,-3.02252,-9.22386,-0.0284734,-0.055604,0.668625,0.506167,0.472191,9.60252,-1.89819,-0.02749,-0.0863576,0.0643986,1.8228,-5.34265,10.9816,0.228381,-0.945733,-0.237854,8.50463,0.864964,1.24806,-0.47253,0.71547,0.117573,0.0183418,9.23075,-3.01998,0.0662404,0.000689451,-0.0481889
0.003,-4.43884,4.49488,7.37279,-0.0689174,0.0222047,0.00986996,5.99389,-7.9901,-1.21335,0.0116559,-0.259622,-0.793158,-3.01351,-9.21255,-0.0225114,-0.0481351,0.645533,0.510137,0.495079,9.60032,-1.91212,-0.0276797,-0.0877429,0.0588336,2.01267,-5.38784,10.8363,0.204242,-0.959344,-0.238513,8.48354,0.873801,1.31607,-0.479291,0.707456,0.121066,0.0264946,9.24186,-3.03628,0.0719955,-0.00119784,-0.0457451
0.004,-4.44071,4.55361,7.37522,-0.0750571,0.0234668,0.0075322,6.0141,-7.9867,-1.25836,0.0150094,-0.269635,-0.824178,-3.0045,-9.20123,-0.0165494,-0.0406661,0.622441,0.514107,0.517966,9.59812,-1.92604,-0.0278694,-0.0891283,0.0532687,2.20254,-5.43302,10.6909,0.180104,-0.972955,-0.239171,8.46245,0.882637,1.38407,-0.486053,0.699442,0.124558,0.0346473,9.25296,-3.05258,0.0777506,-0.00308513,-0.0433014
0.005,-4.41695,4.59176,7.35557,-0.0822648,0.0264889,0.0051458,5.88829,-7.93679,-1.34897,0.0157591,-0.268163,-0.849068,-2.99408,-9.20212,-0.0130876,-0.0327015,0.596312,0.517143,0.528217,9.58833,-1.94056,-0.0283266,-0.0905835,0.0498342,2.27275,-5.44074,10.4077,0.172264,-0.969817,-0.234342,8.43951,0.895449,1.45015,-0.493466,0.689934,0.129688,0.0314546,9.25475,-3.07535,0.0829694,-0.00607738,-0.040716
0.006,-4.3727,4.61343,7.31824,-0.0903269,0.030919,0.00272047,5.64567,-7.84968,-1.47607,0.0144258,-0.257503,-0.869055,-2.98254,-9.21276,-0.011626,-0.0243403,0.567754,0.519432,0.52836,9.57246,-1.95554,-0.0289977,-0.0920946,0.0481043,2.24724,-5.4185,10.0141,0.177465,-0.953279,-0.225122,8.41511,0.91144,1.51469,-0.501402,0.679231,0.136128,0.0191854,9.24908,-3.1033,0.0877591,-0.00995359,-0.0380173
0.007,-4.32845,4.63511,7.28091,-0.0983891,0.0353491,0.000295139,5.40306,-7.76257,-1.60317,0.0130925,-0.246842,-0.889042,-2.97101,-9.2234,-0.0101645,-0.0159791,0.539196,0.521721,0.528502,9.5566,-1.97053,-0.0296689,-0.0936057,0.0463744,2.22173,-5.39625,9.62053,0.182665,-0.936742,-0.215902,8.3907,0.927431,1.57923,-0.509338,0.668528,0.142569,0.00691627,9.24341,-3.13125,0.0925489,-0.0138298,-0.0353186
0.008,-4.2842,4.65679,7.24358,-0.106451,0.0397792,-0.00213019,5.16044,-7.67545,-1.73026,0.0117592,-0.236182,-0.909029,-2.95947,-9.23404,-0.00870289,-0.00761794,0.510638,0.52401,0.528644,9.54073,-1.98551,-0.03034,-0.0951167,0.0446444,2.19621,-5.37401,9.22695,0.187866,-0.920204,-0.206682,8.36629,0.943422,1.64377,-0.517274,0.657825,0.149009,-0.00535288,9.23775,-3.1592,0.0973386,-0.017706,-0.03262
0.009,-4.24575,4.67656,7.20732,-0.114753,0.0439638,-0.00445812,4.90097,-7.59642,-1.8503,0.00913474,-0.224278,-0.927634,-2.94824,-9.24555,-0.00619326,0.000635202,0.482076,0.526327,0.527491,9.52368,-2.00166,-0.0309619,-0.0964157,0.0427241,2.12929,-5.34544,8.8404,0.195266,-0.902478,-0.196427,8.34598,0.959499,1.70644,-0.524517,0.646752,0.155557,-0.0144072,9.23172,-3.1858,0.101566,-0.0216776,-0.0300358
0.01,-4.25372,4.68109,7.17957,-0.124971,0.0461846,-0.00600682,4.50671,-7.58208,-1.91381,-0.0038196,-0.20243,-0.935182,-2.93951,-9.26407,0.00470085,0.00802402,0.453488,0.528871,0.515974,9.49719,-2.02713,-0.03119,-0.0960179,0.039281,1.73104,-5.26624,8.51013,0.22026,-0.875241,-0.177886,8.35845,0.976272,1.75421,-0.526217,0.632715,0.162973,0.00225724,9.22278,-3.20156,0.101295,-0.0264125,-0.0283678
0.011,-4.2617,4.68562,7.15182,-0.13519,0.0484054,-0.00755553,4.11244,-7.56774,-1.97733,-0.0167739,-0.180583,-0.942731,-2.93077,-9.28258,0.015595,0.0154128,0.424901,0.531414,0.504458,9.4707,-2.05259,-0.031418,-0.0956201,0.0358378,1.33279,-5.18705,8.17986,0.245255,-0.848003,-0.159346,8.37091,0.993044,1.80198,-0.527916,0.618678,0.170389,0.0189217,9.21385,-3.21733,0.101024,-0.0311475,-0.0266998
0.012,-4.26967,4.69015,7.12407,-0.145409,0.0506262,-0.00910423,3.71818,-7.55339,-2.04085,-0.0297283,-0.158735,-0.95028,-2.92203,-9.3011,0.0264891,0.0228017,0.396313,0.533958,0.492941,9.44421,-2.07806,-0.031646,-0.0952223,0.0323947,0.934541,-5.10785,7.84958,0.270249,-0.820766,-0.140806,8.38338,1.00982,1.84975,-0.529616,0.604641,0.177805,0.0355861,9.20492,-3.2331,0.100754,-0.0358824,-0.0250318
0.013,-4.27765,4.69469,7.09633,-0.155627,0.052847,-0.0106529,3.32392,-7.53905,-2.10436,-0.0426826,-0.136888,-0.957829,-2.91329,-9.31961,0.0373832,0.0301905,0.367725,0.536502,0.481424,9.41772,-2.10352,-0.031874,-0.0948245,0.0289515,0.536292,-5.02865,7.51931,0.295243,-0.793529,-0.122265,8.39584,1.02659,1.89751,-0.531315,0.590604,0.185221,0.0522505,9.19599,-3.24887,0.100483,-0.0406173,-0.0233638
0.014,-4.30107,4.69438,7.07895,-0.16717,0.0603583,-0.0137678,2.87683,-7.62042,-2.11874,-0.0526606,-0.115328,-0.957328,-2.87603,-9.32334,0.0712842,0.0353626,0.341923,0.53806,0.477303,9.41249,-2.12582,-0.0313257,-0.0939219,0.0255246,-0.0633087,-4.99925,7.36939,0.324807,-0.771446,-0.117469,8.41782,1.0418,1.9404,-0.532863,0.574463,0.193603,0.0783958,9.18974,-3.23173,0.0989656,-0.0435283,-0.0231732
0.015,-4.33222,4.69167,7.06675,-0.179376,0.070515,-0.0176657,2.40334,-7.74966,-2.10855,-0.0611505,-0.0939117,-0.952801,-2.82452,-9.31968,0.116689,0.0394263,0.317513,0.539125,0.476879,9.41788,-2.14652,-0.0303893,-0.0927668,0.0221058,-0.763585,-4.99474,7.30966,0.356656,-0.75194,-0.119545,8.44454,1.05622,1.98085,-0.534335,0.557271,0.202467,0.109281,9.18484,-3.19815,0.0968255,-0.0455273,-0.0237214
0.016,-4.36337,4.68895,7.05456,-0.191581,0.0806716,-0.0215636,1.92985,-7.87889,-2.09835,-0.0696403,-0.0724956,-0.948274,-2.773,-9.31602,0.162093,0.04349,0.293104,0.540191,0.476456,9.42328,-2.16723,-0.0294529,-0.0916117,0.018687,-1.46386,-4.99023,7.24992,0.388505,-0.732435,-0.12162,8.47127,1.07065,2.0213,-0.535807,0.540078,0.21133,0.140167,9.17993,-3.16456,0.0946853,-0.0475264,-0.0242696
0.017,-4.39452,4.68623,7.04237,-0.203786,0.0908283,-0.0254615,1.45636,-8.00813,-2.08816,-0.0781301,-0.0510795,-0.943747,-2.72148,-9.31235,0.207498,0.0475537,0.268694,0.541256,0.476032,9.42868,-2.18793,-0.0285165,-0.0904566,0.0152682,-2.16414,-4.98571,7.19018,0.420354,-0.712929,-0.123696,8.498,1.08508,2.06174,-0.53728,0.522886,0.220194,0.171053,9.17503,-3.13097,0.0925451,-0.0495255,-0.0248178
0.018,-4.42602,4.68024,7.03451,-0.215328,0.0986535,-0.0298094,0.993324,-8.16813,-2.0751,-0.0852387,-0.0309106,-0.938016,-2.65689,-9.31034,0.258229,0.0507257,0.24416,0.542057,0.476238,9.43077,-2.20796,-0.0280249,-0.0896685,0.0113203,-2.89078,-4.96852,7.13118,0.45353,-0.694539,-0.126469,8.51993,1.08593,2.09982,-0.538599,0.506033,0.22892,0.184001,9.17145,-3.09864,0.0902271,-0.0512577,-0.0252725
0.019,-4.45873,4.66281,7.04181,-0.224548,0.0983189,-0.0357322,0.566892,-8.4358,-2.05198,-0.0875129,-0.0151066,-0.92807,-2.54658,-9.31411,0.327606,0.0507766,0.219191,0.54193,0.478649,9.42127,-2.2256,-0.0290905,-0.0901653,0.00552021,-3.70971,-4.90692,7.07476,0.491353,-0.680053,-0.13168,8.52511,1.03926,2.12958,-0.539384,0.490372,0.237161,0.134167,9.17253,-3.0707,0.0872863,-0.0520558,-0.0254
0.02,-4.49144,4.64537,7.04911,-0.233768,0.0979842,-0.0416551,0.14046,-8.70348,-2.02887,-0.0897872,0.0006974,-0.918125,-2.43628,-9.31788,0.396982,0.0508274,0.194223,0.541804,0.481061,9.41178,-2.24324,-0.0301561,-0.090662,-0.000279829,-4.52864,-4.84532,7.01834,0.529175,-0.665567,-0.13689,8.53029,0.992596,2.15935,-0.540169,0.474711,0.245402,0.0843326,9.1736,-3.04275,0.0843455,-0.0528539,-0.0255275
0.021,-4.52416,4.62794,7.05642,-0.242987,0.0976496,-0.0475779,-0.285971,-8.97116,-2.00576,-0.0920614,0.0165014,-0.908179,-2.32597,-9.32164,0.466359,0.0508783,0.169254,0.541677,0.483472,9.40229,-2.26088,-0.0312217,-0.0911588,-0.00607987,-5.34757,-4.78373,6.96192,0.566998,-0.65108,-0.142101,8.53547,0.945929,2.18912,-0.540954,0.45905,0.253643,0.0344986,9.17467,-3.01481,0.0814047,-0.0536521,-0.025655
0.022,-4.55687,4.61051,7.06372,-0.252207,0.097315,-0.0535007,-0.712403,-9.23883,-1.98265,-0.0943356,0.0323054,-0.898234,-2.21566,-9.32541,0.535735,0.0509292,0.144285,0.541551,0.485883,9.39279,-2.27852,-0.0322873,-0.0916555,-0.0118799,-6.1665,-4.72213,6.9055,0.60482,-0.636594,-0.147312,8.54064,0.899262,2.21889,-0.541739,0.443389,0.261884,-0.0153355,9.17575,-2.98687,0.0784639,-0.0544502,-0.0257825
0.023,-4.54735,4.57946,7.07611,-0.260349,0.0962974,-0.0586466,-1.05862,-9.59964,-2.00657,-0.101302,0.0540312,-0.893857,-2.06209,-9.34704,0.587698,0.0491064,0.114554,0.542439,0.484755,9.39544,-2.25101,-0.0299599,-0.0941609,-0.0163091,-6.88839,-4.4456,6.8291,0.626344,-0.623202,-0.125946,8.56016,0.848365,2.24278,-0.544348,0.431307,0.267362,0.00337604,9.17592,-2.97955,0.0781214,-0.0537308,-0.0259138
0.024,-4.52576,4.54453,7.08996,-0.268183,0.0950848,-0.0635706,-1.38192,-9.98705,-2.04393,-0.10961,0.077449,-0.891071,-1.89615,-9.37376,0.634686,0.0467484,0.0834619,0.543618,0.482615,9.40157,-2.21059,-0.026663,-0.0972401,-0.0203466,-7.58257,-4.10766,6.74698,0.643212,-0.610122,-0.0969852,8.58377,0.796259,2.26499,-0.54748,0.420247,0.272051,0.041672,9.17583,-2.97813,0.0785212,-0.0525778,-0.0260463
0.025,-4.50417,4.5096,7.1038,-0.276017,0.0938721,-0.0684945,-1.70522,-10.3745,-2.08129,-0.117917,0.100867,-0.888285,-1.73021,-9.40049,0.681674,0.0443903,0.0523698,0.544797,0.480476,9.40769,-2.17018,-0.0233661,-0.100319,-0.0243841,-8.27675,-3.76973,6.66487,0.660079,-0.597042,-0.0680249,8.60738,0.744153,2.28719,-0.550611,0.409188,0.276739,0.079968,9.17574,-2.9767,0.078921,-0.0514247,-0.0261788
0.026,-4.48258,4.47467,7.11765,-0.283852,0.0926594,-0.0734184,-2.02852,-10.7619,-2.11865,-0.126224,0.124285,-0.885499,-1.56427,-9.42721,0.728663,0.0420322,0.0212778,0.545976,0.478336,9.41381,-2.12976,-0.0200691,-0.103399,-0.0284216,-8.97092,-3.43179,6.58276,0.676947,-0.583962,-0.0390645,8.63099,0.692047,2.3094,-0.553743,0.398128,0.281428,0.118264,9.17565,-2.97528,0.0793209,-0.0502717,-0.0263113
0.027,-4.4543,4.42832,7.13991,-0.291892,0.0930623,-0.0792411,-2.36187,-11.184,-2.15075,-0.13661,0.14825,-0.881985,-1.36742,-9.46438,0.797526,0.0395861,-0.0122949,0.548581,0.47029,9.41518,-2.08578,-0.0174397,-0.108669,-0.0313358,-9.55653,-2.98634,6.51924,0.679337,-0.571393,-0.0019536,8.66433,0.651098,2.33106,-0.555827,0.391883,0.284263,0.148812,9.17785,-2.96326,0.0794943,-0.0505523,-0.026676
0.028,-4.41261,4.35913,7.17899,-0.300346,0.0966962,-0.0868612,-2.7153,-11.6755,-2.17232,-0.15115,0.173311,-0.877016,-1.10874,-9.52244,0.910142,0.0369639,-0.0508287,0.554036,0.45043,9.40705,-2.03466,-0.0161453,-0.118321,-0.0320033,-9.92502,-2.32586,6.49292,0.652772,-0.559846,0.0514586,8.7171,0.632465,2.35163,-0.555817,0.395266,0.283391,0.163863,9.18462,-2.93005,0.0792147,-0.0537003,-0.0275051
