Time,EMGs.RTibialisA,EMGs.2,EMGs.3,EMGs.4,EMGs.5,EMGs.6,EMGs.7,EMGs.8,EMGs.9,EMGs.10,EMGs.11,EMGs.12,EMGs.13,EMGs.14,EMGs.15,EMGs.16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0665509,0.0410437,0.0179608,0.0450729,0.0669986,0.0569656,0.0533835,0.0501791,0.0330026,0.0140677,0.157943,0.103983,0.0484015,0.0657907,0.0645715,0.0602917
0.021,0.0345074,0.00808472,0.0527509,0.0725388,0.0724918,0.0591019,0.049111,0.0385825,0.061384,0.0125418,0.182051,0.0804843,0.0477911,0.0477853,0.0541956,0.0538831
0.022,0.0345074,0.0364661,0.105241,0.0581955,0.10423,0.0517776,0.0485007,0.0587241,0.0558908,0.0815115,0.152144,0.0743808,0.0728156,0.0529733,0.0572473,0.0682263
0.023,0.063194,0.0648474,0.108903,0.0386642,0.0676089,0.0688675,0.0463644,0.0523154,0.0461252,0.0607596,0.10942,0.0658359,0.0511481,0.0407663,0.0557214,0.0807385
0.024,0.0570905,0.145109,0.098222,0.0304245,0.0639468,0.0517776,0.0378195,0.0584189,0.0412424,0.0879202,0.0132892,0.0737704,0.0633551,0.0477853,0.0538904,0.0721936
0.025,0.0378644,0.161283,0.0652631,0.0499557,0.0450259,0.0603226,0.0469748,0.0535361,0.0445993,0.0592337,-0.0730756,0.0545444,0.0419928,0.0548044,0.0596887,0.064259
0.026,0.0644147,0.0767493,0.0979169,0.0133347,0.0129825,0.0600174,0.0494162,0.0596396,0.0369699,0.00155548,-0.0123456,0.0536288,0.0435187,0.0474802,0.0444299,0.0703625
0.027,0.0610577,-0.0404382,0.0948651,0.0392746,-0.000445251,0.064595,0.0460593,0.0495688,0.0424631,-0.0185861,0.0468585,0.0600375,0.0517584,0.062739,0.0490076,0.0673108
0.028,0.065025,-0.0163293,0.0561078,0.0392746,0.0102359,0.0716141,0.0536887,0.0599448,0.0433786,-0.0329294,0.0816486,0.0511874,0.038941,0.0828806,0.0557214,0.0834851
0.029,0.0381696,0.0321936,0.0158246,0.0603317,0.0361758,0.0664261,0.0512473,0.0745932,0.0522287,0.0305472,0.0984332,0.0566806,0.0300909,0.0529733,0.058468,0.0667004
0.03,0.0497662,0.0535559,-0.0143878,0.0658249,0.0331241,0.057576,0.0527731,0.0575034,0.0928171,0.0839529,0.0749347,0.0566806,0.0340582,0.0700632,0.0667078,0.062428
0.031,0.0564801,0.000455322,-0.0232379,0.0789474,0.0264102,0.0499466,0.0381247,0.0504843,0.0714548,0.0659476,0.02336,0.0630893,0.0300909,0.0630441,0.0496179,0.0636487
0.032,0.0573956,-0.0285364,-0.0513141,0.0679611,0.0355655,0.0533035,0.0500266,0.0501791,0.0668771,0.0574026,-0.0190594,0.0426425,0.0175787,0.0511423,0.0490076,0.0795178
0.033,0.0561749,-0.0416589,-0.0760333,0.0530075,0.0386172,0.0642899,0.0607077,0.0404135,0.0705392,0.0534354,0.0349567,0.0621738,0.0130011,0.0844064,0.0642664,0.0633435
0.034,0.0387799,-0.0080896,-0.0171344,0.0710129,0.0471622,0.0508621,0.0485007,0.0471274,0.038801,0.120269,0.0358722,0.052103,0.0697638,0.0456491,0.0627405,0.0718884
