Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,9.5141,1.59216,2.04112,-0.00180574,-0.118826,0.0191311,0.724682,-9.98009,-0.2588,-0.0498504,0.0286768,0.022438,-0.976773,9.81721,-0.485827,-0.0109842,0.00568659,-0.00702896,5.01385,-2.40129,8.13963,-0.0227356,0.0152621,0.00415524,-2.40428,9.65686,-1.13403,-0.0199601,0.0147725,0.00827901,4.60053,1.81068,8.8792,-0.0262205,0.0133935,0.0176527,-1.44308,-10.0555,-0.624897,0.0189418,0.0340748,-0.0362971
0.001,9.50819,1.59211,2.04279,-0.00181479,-0.118887,0.0194117,0.723976,-9.97234,-0.257448,-0.0498949,0.0286784,0.0225288,-0.978991,9.80885,-0.486187,-0.010972,0.00598877,-0.00711175,5.01044,-2.40163,8.13225,-0.0226088,0.01487,0.00398264,-2.40398,9.64973,-1.13401,-0.0197755,0.0146173,0.00814338,4.596,1.81303,8.87085,-0.0261303,0.0133326,0.0175847,-1.43913,-10.0454,-0.620298,0.0188127,0.0339301,-0.0363416
0.002,9.50265,1.59203,2.04448,-0.00181651,-0.118949,0.0196961,0.723363,-9.965,-0.256056,-0.0499472,0.0286821,0.022622,-0.981208,9.80086,-0.486619,-0.0109606,0.00628733,-0.00719816,5.00727,-2.40204,8.12524,-0.0224746,0.0144842,0.00381213,-2.40376,9.64302,-1.13404,-0.0195959,0.0144605,0.00800556,4.59168,1.81548,8.86288,-0.0260425,0.0132695,0.0175163,-1.43534,-10.0356,-0.615662,0.0186881,0.03377,-0.0363913
0.003,9.49744,1.59186,2.04613,-0.00180878,-0.119009,0.019982,0.722859,-9.95805,-0.254622,-0.0500076,0.0286877,0.0227168,-0.983379,9.79322,-0.487128,-0.0109502,0.00657808,-0.00728817,5.00433,-2.40246,8.11859,-0.0223316,0.0141101,0.00364594,-2.40361,9.63669,-1.1341,-0.0194241,0.0143028,0.00786615,4.58758,1.818,8.85527,-0.0259581,0.013204,0.0174478,-1.43175,-10.026,-0.611014,0.0185703,0.0335909,-0.0364464
0.004,9.49251,1.59155,2.04768,-0.00178945,-0.119064,0.0202671,0.72248,-9.95146,-0.253142,-0.0500768,0.0286951,0.0228124,-0.985458,9.78589,-0.487719,-0.0109408,0.00685682,-0.00738176,5.00161,-2.40285,8.1123,-0.0221786,0.0137532,0.0034863,-2.40348,9.63072,-1.13418,-0.0192629,0.0141449,0.00772575,4.5837,1.82056,8.84799,-0.0258782,0.0131357,0.0173794,-1.4284,-10.0167,-0.606377,0.0184614,0.0333894,-0.036507
0.005,9.48781,1.59107,2.04908,-0.00175667,-0.119112,0.0205483,0.72224,-9.94518,-0.251618,-0.0501548,0.0287039,0.0229081,-0.987413,9.77885,-0.488392,-0.0109327,0.00712013,-0.00747837,4.99909,-2.40317,8.10637,-0.0220152,0.0134174,0.00333498,-2.40335,9.62508,-1.13428,-0.019115,0.013988,0.00758599,4.58002,1.82313,8.84105,-0.0258036,0.0130645,0.017311,-1.42534,-10.0075,-0.601774,0.0183625,0.0331622,-0.0365732
0.006,9.48332,1.59043,2.05032,-0.00170932,-0.11915,0.0208205,0.722144,-9.93921,-0.250067,-0.0502402,0.0287125,0.0230036,-0.989243,9.77207,-0.489134,-0.010926,0.00736696,-0.00757587,4.99674,-2.40339,8.10074,-0.0218436,0.0131028,0.00319238,-2.40322,9.6197,-1.13436,-0.018983,0.0138337,0.0074513,4.57655,1.82568,8.83444,-0.0257347,0.0129905,0.017242,-1.42257,-9.9986,-0.597237,0.0182719,0.0329067,-0.036645
0.007,9.47904,1.58966,2.05144,-0.00164704,-0.119178,0.0210762,0.72219,-9.93353,-0.248514,-0.0503303,0.0287185,0.0230985,-0.990981,9.76555,-0.489918,-0.0109211,0.00759836,-0.00767069,4.99452,-2.40348,8.09539,-0.0216685,0.012806,0.00305763,-2.40308,9.61454,-1.13442,-0.018869,0.0136844,0.00732878,4.57326,1.8282,8.82813,-0.0256715,0.0129138,0.0171711,-1.42006,-9.98989,-0.592798,0.0181848,0.0326211,-0.0367224
0.008,9.47499,1.58881,2.05247,-0.00156964,-0.119197,0.0213075,0.722375,-9.92811,-0.246992,-0.050422,0.0287193,0.0231928,-0.992667,9.75929,-0.490713,-0.0109184,0.00781605,-0.0077588,4.99239,-2.40341,8.09025,-0.0214949,0.012522,0.00292949,-2.40293,9.60952,-1.13443,-0.0187753,0.0135426,0.00722636,4.57011,1.83068,8.82214,-0.0256139,0.0128348,0.0170966,-1.41777,-9.98143,-0.588493,0.0180961,0.0323038,-0.0368051
0.009,9.47116,1.58794,2.05346,-0.00147684,-0.119206,0.0215068,0.722695,-9.92294,-0.245532,-0.0505124,0.028712,0.0232864,-0.994342,9.75328,-0.49149,-0.0109183,0.0080217,-0.00783638,4.9903,-2.40316,8.08527,-0.0213282,0.0122467,0.00280683,-2.40277,9.60458,-1.13438,-0.0187041,0.0134109,0.00715159,4.5671,1.83311,8.81646,-0.0255617,0.0127539,0.0170171,-1.41567,-9.97325,-0.584357,0.0180005,0.0319529,-0.036893
