Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s
0,9.65689,1.62187,2.42118,-0.159147,-0.131297,-0.0269846,0.216087,-9.96332,-0.650553,-0.058412,0.00564808,0.0494027,-1.43932,9.7523,-0.635624,-0.0217212,-0.0369113,-0.0200017,5.04543,-1.97796,8.29495,0.00535757,0.0377615,-0.0547087,-2.90108,9.59892,-1.25078,-0.00115091,-0.0728019,0.0100348,4.13033,1.0628,9.24735,-0.0048308,-0.00943693,0.0222617,-1.47251,-9.98871,-1.50297,-0.0350026,0.0348796,0.011075
0.001,9.64601,1.6216,2.4185,-0.157694,-0.13028,-0.0272745,0.218529,-9.95619,-0.652134,-0.0585768,0.00526948,0.0487583,-1.43868,9.74495,-0.636572,-0.0216461,-0.0361709,-0.0199893,5.03889,-1.9763,8.28644,0.0053926,0.0378574,-0.0538132,-2.88971,9.5887,-1.2526,-0.000977434,-0.0722467,0.0100557,4.13011,1.06016,9.23949,-0.00499814,-0.00907682,0.0225555,-1.46999,-9.97793,-1.50181,-0.0350807,0.0336167,0.0115307
0.002,9.63568,1.62139,2.41583,-0.15621,-0.129249,-0.0275688,0.220975,-9.94947,-0.653788,-0.0587427,0.00487979,0.0481046,-1.4381,9.73797,-0.637614,-0.0215698,-0.0354022,-0.0199857,5.03269,-1.97479,8.27824,0.00541948,0.037953,-0.0529061,-2.87832,9.57886,-1.25442,-0.000794218,-0.0716655,0.0100787,4.12994,1.05761,9.232,-0.00515665,-0.00871719,0.0228448,-1.46756,-9.96756,-1.50078,-0.0351656,0.0323342,0.0119877
0.003,9.62595,1.62123,2.41316,-0.154698,-0.128207,-0.0278652,0.223395,-9.9431,-0.655504,-0.0589072,0.00447977,0.0474447,-1.43754,9.73131,-0.638754,-0.0214923,-0.0346043,-0.019993,5.02688,-1.97343,8.27036,0.00543553,0.0380466,-0.0519921,-2.86695,9.56938,-1.2562,-0.000600382,-0.0710553,0.010104,4.12973,1.05517,9.22487,-0.00530213,-0.00836163,0.0231248,-1.46526,-9.95757,-1.49991,-0.0352576,0.0310392,0.0124416
0.004,9.61685,1.62112,2.41046,-0.153159,-0.127159,-0.0281611,0.225761,-9.93707,-0.657272,-0.0590676,0.00407012,0.0467815,-1.437,9.72492,-0.639993,-0.0214135,-0.0337761,-0.0200132,5.02149,-1.97223,8.26277,0.00543806,0.0381361,-0.051076,-2.85565,9.56027,-1.2579,-0.000395018,-0.0704132,0.0101317,4.12941,1.05287,9.21807,-0.00543035,-0.00801374,0.0233909,-1.46311,-9.94799,-1.4992,-0.0353568,0.0297383,0.0128878
0.005,9.60843,1.62103,2.40771,-0.151599,-0.126107,-0.0284543,0.228045,-9.93131,-0.659078,-0.0592221,0.00365155,0.0461176,-1.43647,9.71877,-0.64133,-0.0213335,-0.0329171,-0.0200481,5.01658,-1.97121,8.25545,0.0054252,0.0382202,-0.0501619,-2.84445,9.5515,-1.25948,-0.000177475,-0.0697365,0.0101622,4.12891,1.05074,9.21158,-0.00553815,-0.00767702,0.0236399,-1.46111,-9.93878,-1.49868,-0.0354629,0.0284386,0.0133222
0.006,9.60066,1.62096,2.40496,-0.150021,-0.125054,-0.0287417,0.230225,-9.9258,-0.6609,-0.0593709,0.00322475,0.0454545,-1.43594,9.7128,-0.642758,-0.021253,-0.0320275,-0.0200981,5.01211,-1.97036,8.24838,0.00539755,0.0382989,-0.0492524,-2.83337,9.54308,-1.26092,5.21359e-005,-0.0690242,0.0101963,4.12821,1.04876,9.20537,-0.00562544,-0.00735458,0.0238727,-1.45925,-9.92996,-1.49835,-0.0355729,0.0271469,0.0137417
0.007,9.59352,1.62089,2.40224,-0.148433,-0.124002,-0.0290201,0.232281,-9.9205,-0.662708,-0.0595169,0.00279038,0.0447926,-1.43543,9.70699,-0.644262,-0.021173,-0.0311086,-0.0201628,5.00805,-1.96968,8.24151,0.00535794,0.0383735,-0.0483487,-2.82241,9.53498,-1.2622,0.000293002,-0.0682766,0.0102354,4.12734,1.04693,9.19941,-0.00569495,-0.00704923,0.0240945,-1.45751,-9.92153,-1.49821,-0.035682,0.0258701,0.0141442
0.008,9.58695,1.62084,2.39963,-0.146843,-0.122953,-0.0292863,0.234196,-9.91538,-0.664472,-0.0596631,0.00234909,0.0441322,-1.43494,9.70129,-0.645824,-0.0210946,-0.0301618,-0.0202414,5.00432,-1.96916,8.23479,0.00530987,0.0384456,-0.0474514,-2.81156,9.52719,-1.26333,0.00054411,-0.0674942,0.0102811,4.12634,1.04522,9.1937,-0.00575027,-0.0067637,0.0243116,-1.45584,-9.91346,-1.49827,-0.0357845,0.0246152,0.0145277
