Time,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.0,0.438391,9.71005,-1.0997,-0.0271014,0.0103592,-0.0136137,4.74531,3.53341,7.99693,-0.356467,-0.00657188,0.103813,-0.457409,9.78932,-1.13712,-0.00669395,0.0886989,-0.0291355,9.27733,0.417606,2.90559,0.0855987,0.0465505,0.0765016,-0.154416,-9.62696,-2.27063,-0.0572789,-0.121443,-0.023529,4.78645,-2.65914,8.1076,0.00134415,-0.0126559,-0.00651407,0.100149,-9.87997,-2.01127,-0.133095,-0.00776107,-0.01917
0.001,0.430669,9.68931,-1.0757,-0.0287267,0.0131617,-0.0166271,4.74572,3.54716,7.99906,-0.364233,-0.00923619,0.105058,-0.443518,9.7842,-1.15826,-0.00640859,0.0889484,-0.0290777,9.2841,0.420551,2.92695,0.0844619,0.0465611,0.0763316,-0.152042,-9.63174,-2.26097,-0.0577995,-0.121201,-0.0204613,4.79641,-2.644,8.10001,0.00128134,-0.009155,-0.0062509,0.0889961,-9.86564,-2.00855,-0.132745,-0.0117558,-0.0198855
0.002,0.422946,9.66857,-1.0517,-0.0303519,0.0159642,-0.0196405,4.74613,3.56091,8.00119,-0.371998,-0.0119005,0.106302,-0.429627,9.77909,-1.1794,-0.00612324,0.0891978,-0.0290198,9.29087,0.423496,2.9483,0.0833251,0.0465717,0.0761617,-0.149669,-9.63652,-2.2513,-0.05832,-0.12096,-0.0173936,4.80637,-2.62886,8.09242,0.00121853,-0.00565407,-0.00598772,0.077843,-9.85131,-2.00583,-0.132395,-0.0157505,-0.020601
0.003,0.415224,9.64783,-1.02771,-0.0319772,0.0187668,-0.0226538,4.74654,3.57466,8.00332,-0.379764,-0.0145648,0.107547,-0.415736,9.77397,-1.20054,-0.00583789,0.0894472,-0.0289619,9.29763,0.426441,2.96965,0.0821883,0.0465823,0.0759917,-0.147295,-9.6413,-2.24164,-0.0588405,-0.120718,-0.0143259,4.81633,-2.61371,8.08483,0.00115572,-0.00215314,-0.00572455,0.0666898,-9.83697,-2.00312,-0.132045,-0.0197452,-0.0213166
0.004,0.407502,9.6271,-1.00371,-0.0336025,0.0215693,-0.0256672,4.74695,3.58841,8.00545,-0.38753,-0.0172291,0.108792,-0.401845,9.76885,-1.22168,-0.00555253,0.0896966,-0.0289041,9.3044,0.429387,2.991,0.0810516,0.0465928,0.0758218,-0.144921,-9.64608,-2.23197,-0.059361,-0.120476,-0.0112582,4.82629,-2.59857,8.07723,0.00109292,0.00134779,-0.00546138,0.0555367,-9.82264,-2.0004,-0.131695,-0.0237399,-0.0220321
0.005,0.407214,9.62275,-0.996924,-0.032772,0.0218576,-0.0257993,4.74633,3.59687,7.99994,-0.395443,-0.01875,0.110078,-0.388641,9.76363,-1.2282,-0.00561896,0.0899335,-0.0300552,9.3029,0.431466,2.99233,0.0800414,0.0460545,0.0757082,-0.140888,-9.64531,-2.23581,-0.0597296,-0.119447,-0.00959342,4.80764,-2.58157,8.06606,0.0013293,0.00307231,-0.00587058,0.0433766,-9.80836,-2.0053,-0.131816,-0.0272616,-0.0229548
0.006,0.412873,9.63151,-1.00391,-0.0299769,0.0201344,-0.0236262,4.74487,3.60111,7.98831,-0.403474,-0.019356,0.111399,-0.375987,9.75832,-1.22303,-0.0059668,0.0901604,-0.0321735,9.29479,0.432852,2.97763,0.0791325,0.0450771,0.0756397,-0.135527,-9.64009,-2.25044,-0.0599767,-0.117787,-0.00905107,4.76611,-2.5631,8.05202,0.00180503,0.00337571,-0.00681768,0.0304108,-9.79412,-2.01631,-0.132313,-0.030405,-0.0240433
0.007,0.418532,9.64027,-1.0109,-0.0271818,0.0184113,-0.0214532,4.74342,3.60535,7.97667,-0.411505,-0.019962,0.112719,-0.363332,9.75301,-1.21786,-0.00631465,0.0903873,-0.0342918,9.28668,0.434238,2.96294,0.0782236,0.0440997,0.0755711,-0.130166,-9.63487,-2.26508,-0.0602237,-0.116127,-0.00850872,4.72457,-2.54462,8.03798,0.00228076,0.0036791,-0.00776478,0.017445,-9.77988,-2.02731,-0.13281,-0.0335485,-0.0251318
0.008,0.424192,9.64903,-1.01788,-0.0243867,0.0166882,-0.0192802,4.74196,3.60959,7.96504,-0.419535,-0.0205681,0.11404,-0.350677,9.74771,-1.21269,-0.00666249,0.0906142,-0.03641,9.27857,0.435624,2.94825,0.0773147,0.0431223,0.0755026,-0.124805,-9.62966,-2.27971,-0.0604708,-0.114468,-0.00796637,4.68304,-2.52614,8.02394,0.0027565,0.0039825,-0.00871187,0.00447916,-9.76564,-2.03831,-0.133307,-0.0366919,-0.0262203
0.009,0.428889,9.65621,-1.02557,-0.0217647,0.0155849,-0.0174259,4.7404,3.61265,7.95415,-0.427661,-0.0213178,0.115175,-0.337509,9.74335,-1.21091,-0.00690959,0.0906461,-0.0384847,9.27364,0.435364,2.93572,0.0763404,0.0421289,0.0755795,-0.121222,-9.62382,-2.29144,-0.0606642,-0.112857,-0.00732462,4.64906,-2.51582,8.01156,0.00320639,0.00414522,-0.00944811,-0.00705708,-9.75131,-2.0485,-0.133838,-0.0398959,-0.0272965
