Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0485455,0.0340247,0.0457318,0.0371384,0.0673038,0.0777176,0.0448386,0.0547568,0.0540598,0.0677786,0.0560138,0.0640048,0.0590826,0.0477853,0.0572473,0.0523572
0.021,0.0638043,0.0434851,0.0493939,0.0276779,0.053876,0.0557449,0.0350729,0.0538412,0.0540598,0.0577078,0.0502155,0.0484409,0.0291754,0.0538889,0.0548059,0.0578503
0.022,0.0467145,0.034635,0.0576337,0.0670456,0.0511295,0.0566605,0.0613181,0.0529257,0.0418527,0.0986014,0.0492999,0.0749912,0.0731207,0.0688425,0.0545007,0.0551038
0.023,0.0757062,0.0382971,0.0570233,0.0789474,0.0557071,0.0539139,0.0417868,0.102059,0.0589426,0.0784598,0.0410602,0.036539,0.0657965,0.0483957,0.0538904,0.0563245
0.024,0.0473248,0.0425696,0.0591595,0.0884079,0.0648624,0.0618485,0.0536887,0.0462119,0.0833566,0.050994,0.0627277,0.052103,0.0587775,0.0596872,0.0593835,0.0428967
0.025,0.0644147,0.0517249,0.0603803,0.0914597,0.0428897,0.052388,0.0561301,0.0684897,0.0375803,0.0586234,0.0535724,0.0557651,0.0957037,0.0776926,0.0670129,0.0609021
0.026,0.0747906,0.0761389,0.061601,0.0780319,0.0648624,0.0603226,0.0622336,0.0352255,0.0479562,0.0393973,0.075545,0.0548496,0.047486,0.0560251,0.030697,0.0496106
0.027,0.00307434,0.0776648,0.0689252,0.0490402,0.0438052,0.0587967,0.0610129,0.0535361,0.043989,0.0104056,0.061507,0.026163,0.0706793,0.0615182,0.0660974,0.0554089
0.028,0.0686871,0.0770544,0.0603803,0.0493454,0.0599796,0.0502518,0.042092,0.0687949,0.0497873,0.00552277,0.0785968,0.0649204,0.0627448,0.0621286,0.0471765,0.0566296
0.029,0.0436627,0.072782,0.0603803,0.0612473,0.0599796,0.057576,0.0506369,0.0486533,0.0546701,0.0134573,0.0660846,0.053934,0.0538947,0.0572458,0.0633508,0.0596814
0.03,0.0577008,0.05203,0.0780804,0.0527023,0.0450259,0.0612381,0.0298849,0.0538412,0.0421579,0.023223,0.0572345,0.0304355,0.0392462,0.0563303,0.0648767,0.05724
0.031,0.0641095,0.0480627,0.0362714,0.0377487,0.0514346,0.0569656,0.00638641,0.0584189,0.0635202,0.0433646,0.0868365,0.0173129,0.0679327,0.0517526,0.0438196,0.0615125
0.032,0.0363385,0.0178503,0.0606854,0.048735,0.0422794,0.0487259,0.0375143,0.0623862,0.0549753,0.0442801,0.0523517,0.0289096,0.0218512,0.054194,0.0511438,0.0630383
0.033,0.0515973,0.0389075,0.0609906,0.0783371,0.0447208,0.0545242,0.0500266,-0.00261627,0.0638254,0.0854788,0.0389239,0.0493564,0.0334479,0.0578561,0.0602991,0.0526624
0.034,0.0485455,0.0169348,0.0600751,0.0414108,0.0456363,0.0533035,0.0393454,0.0279013,0.0433786,0.128509,0.0782916,0.0630893,0.0395514,0.0572458,0.0425989,0.0645642
0.035,0.0497662,0.0373816,0.0362714,0.0554489,0.0676089,0.0673416,0.031716,0.0153891,0.0449045,0.0790701,0.0590656,0.0603427,0.0590826,0.0468698,0.0459558,0.0474744
0.036,0.0595319,0.0480627,0.0500043,0.0597214,0.0441104,0.057576,0.0408713,0.041329,0.08061,0.108062,0.0670001,0.0630893,0.0581671,0.0822702,0.0639612,0.0743298
0.037,0.0665509,0.0401282,0.0359662,0.0356125,0.0566226,0.0392654,0.059487,0.0440756,0.0445993,0.0989066,0.0773761,0.0795688,0.0703741,0.0694528,0.0456506,0.0645642
0.038,0.058006,0.0657629,0.0585492,0.0386642,0.0297672,0.059407,0.0839011,0.0306479,0.0583322,0.042449,0.0682208,0.0707187,0.0502325,0.0569406,0.0657922,0.0459485
0.039,0.0775372,0.0416541,0.0673993,0.0685715,0.0492984,0.067952,0.0381247,0.0739828,0.0845773,-0.00668427,0.0590656,0.059122,0.0664069,0.0560251,0.0511438,0.062428
0.04,0.0488507,0.0422644,0.0780804,0.0700973,0.0462466,0.0612381,0.0536887,0.0907675,0.0543649,-0.0115671,0.0749347,0.0633945,0.0523688,0.0709787,0.0508386,0.0605969
