Time,EMGs.RTibialisA,EMGs.2,EMGs.3,EMGs.4,EMGs.5,EMGs.6,EMGs.7,EMGs.8,EMGs.9,EMGs.10,EMGs.11,EMGs.12,EMGs.13,EMGs.14,EMGs.15,EMGs.16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0653302,0.0764441,0.0515302,0.102751,0.0419742,0.0832108,0.0906149,0.0666586,0.0742014,0.0342093,0.0575397,0.0475253,0.0801398,0.0386301,0.0602991,0.0508313
0.021,0.0451886,0.0532507,0.0323041,0.048735,0.0459415,0.0694778,0.0500266,0.0443808,0.0555856,0.0418387,0.0749347,0.0200595,0.049317,0.0172678,0.0587732,0.0477795
0.022,0.0503766,0.0749182,0.0359662,0.0389694,0.039838,0.0883987,0.0326315,0.0507895,0.0714548,0.0268851,0.0538776,0.0554599,0.0618292,0.0737253,0.0731165,0.0770764
0.023,0.0470197,0.0364661,0.0554974,0.076506,0.0645572,0.0963333,-0.00124298,0.0605551,0.0616891,0.0625906,0.0618121,0.0414218,0.0523688,0.0300851,0.0554163,0.0715832
0.024,0.0418317,0.0102209,0.0719769,0.0795578,0.0657779,0.0435379,0.019509,0.0657431,0.0299509,0.0522147,0.0373981,0.0481357,0.0694586,0.0416818,0.0770837,0.0709729
0.025,0.0351178,-0.033114,0.0487836,0.062468,0.0627261,0.0465897,0.0283591,0.055062,0.0485666,0.0375662,0.0639484,0.0597324,0.0523688,0.0505319,0.0850183,0.0633435
0.026,0.042442,-0.0294519,0.06862,0.0697922,0.0471622,0.0633743,0.0427023,0.0614706,0.0470407,0.085784,0.0746295,0.053934,0.0508429,0.0578561,0.0541956,0.0789075
0.027,0.0451886,-0.0373865,0.078996,0.0728439,0.0428897,0.0346878,0.00974335,0.062081,0.0473459,0.10501,0.0517413,0.0551547,0.042298,0.06457,0.0487024,0.0718884
0.028,0.0451886,-0.00137573,0.0661786,0.0331711,0.046857,0.0188187,0.0115744,0.0373618,0.035444,0.115081,0.0401447,0.0447787,0.0581671,0.0355783,0.0612146,0.0612073
0.029,0.0567853,0.0151038,0.0347455,0.0435471,0.0550967,0.0514725,0.0176779,0.0370566,0.012861,0.142852,0.045943,0.0795688,0.0587775,0.0612131,0.0660974,0.0645642
0.03,0.0775372,0.0157141,0.0490887,0.0472092,0.0599796,0.0578812,0.0365988,0.0590292,0.0626047,0.170318,0.0694415,0.0786533,0.049317,0.0715891,0.0416833,0.0612073
0.031,0.0747906,0.0471472,0.0646527,0.0337814,0.0480777,0.0386551,0.0451437,0.0321738,0.058027,0.167876,0.0682208,0.0624789,0.0456549,0.0569406,0.0487024,0.0407605
0.032,0.0662457,0.101163,0.0258954,0.0548386,0.062421,0.0331619,0.0301901,0.049874,0.0778635,0.131255,0.0483844,0.0688876,0.0444342,0.0651804,0.0569421,0.081654
0.033,0.0790631,0.149381,0.058244,0.0414108,0.0550967,0.0468948,0.071694,0.0657431,0.0851877,0.0851736,0.0642535,0.0691928,0.0657965,0.0609079,0.0578577,0.0743298
0.034,0.0622784,0.175626,0.0640424,0.0881027,0.0392276,0.0700882,0.0637595,0.0584189,0.0894601,0.0558768,0.0666949,0.046915,0.0624396,0.0602975,0.0572473,0.0587659
