Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
0,0.170866,9.98408,-0.70175,0.0321186,0.113367,-0.029232,0.568217,9.47096,-1.53814,0.0270974,0.0475694,-0.0785721,0.439478,-9.70067,-0.85503,-0.0341738,0.0844527,0.014975,4.24272,-0.820352,8.74019,0.0531661,0.0458808,-0.0150368,4.09405,1.47003,9.06444,-0.00106968,-0.0010625,0.00319719,7.37591,-1.16102,6.07995,0.1491,-0.158841,0.0433621
0.001,0.154724,9.96573,-0.7103,0.032532,0.112502,-0.0266397,0.583537,9.44761,-1.53969,0.0266935,0.0497783,-0.0797607,0.457184,-9.70126,-0.858182,-0.0336735,0.0829343,0.0162664,4.2097,-0.824653,8.74078,0.0530351,0.046156,-0.0166907,4.07043,1.46409,9.06245,-0.00467197,0.000850949,0.00485316,7.36738,-1.14541,6.03159,0.152646,-0.160375,0.0452032
0.002,0.138582,9.94739,-0.718849,0.0329453,0.111637,-0.0240474,0.598856,9.42425,-1.54124,0.0262896,0.0519871,-0.0809493,0.47489,-9.70185,-0.861334,-0.0331731,0.081416,0.0175578,4.17668,-0.828954,8.74137,0.0529042,0.0464313,-0.0183446,4.0468,1.45815,9.06046,-0.00827425,0.0027644,0.00650914,7.35885,-1.1298,5.98322,0.156192,-0.16191,0.0470442
0.003,0.12244,9.92904,-0.727398,0.0333586,0.110772,-0.0214551,0.614175,9.4009,-1.5428,0.0258858,0.0541959,-0.0821379,0.492595,-9.70243,-0.864486,-0.0326727,0.0798976,0.0188492,4.14367,-0.833255,8.74197,0.0527733,0.0467065,-0.0199985,4.02317,1.45222,9.05847,-0.0118765,0.00467785,0.00816511,7.35032,-1.11419,5.93486,0.159738,-0.163444,0.0488853
0.004,0.106298,9.9107,-0.735947,0.0337719,0.109907,-0.0188627,0.629494,9.37755,-1.54435,0.0254819,0.0564048,-0.0833265,0.510301,-9.70302,-0.867638,-0.0321724,0.0783793,0.0201406,4.11065,-0.837556,8.74256,0.0526424,0.0469817,-0.0216524,3.99954,1.44628,9.05647,-0.0154788,0.0065913,0.00982108,7.34179,-1.09858,5.88649,0.163283,-0.164978,0.0507264
0.005,0.0789205,9.89559,-0.742564,0.0330335,0.109605,-0.0166434,0.640837,9.36885,-1.5468,0.024566,0.0584565,-0.0840427,0.520286,-9.6889,-0.878841,-0.0311353,0.0759469,0.0217189,4.09643,-0.836604,8.73845,0.0534418,0.0472816,-0.0235125,3.99154,1.46676,9.0628,-0.0174775,0.00731354,0.00965321,7.34338,-1.08484,5.87174,0.166528,-0.165468,0.0521277
0.006,0.0425537,9.88309,-0.747634,0.0313739,0.109755,-0.0147223,0.649001,9.37186,-1.54996,0.0232404,0.0603825,-0.0843808,0.524095,-9.66303,-0.896483,-0.0296687,0.0727833,0.0235267,4.09726,-0.83145,8.73058,0.0549853,0.0476013,-0.0255374,3.99603,1.50839,9.07578,-0.0181933,0.0070828,0.00802626,7.35307,-1.0726,5.8839,0.169532,-0.165124,0.0531771
0.007,0.00618697,9.87059,-0.752705,0.0297142,0.109905,-0.0128013,0.657164,9.37487,-1.55313,0.0219148,0.0623086,-0.0847189,0.527903,-9.63715,-0.914125,-0.0282022,0.0696198,0.0253344,4.09809,-0.826295,8.72271,0.0565289,0.047921,-0.0275623,4.00053,1.55002,9.08876,-0.0189091,0.00685207,0.00639932,7.36276,-1.06035,5.89605,0.172536,-0.164779,0.0542264
0.008,-0.0301798,9.85808,-0.757776,0.0280545,0.110054,-0.0108803,0.665327,9.37789,-1.55629,0.0205892,0.0642346,-0.085057,0.531712,-9.61127,-0.931767,-0.0267356,0.0664562,0.0271422,4.09891,-0.821141,8.71484,0.0580724,0.0482407,-0.0295872,4.00503,1.59165,9.10174,-0.019625,0.00662134,0.00477237,7.37245,-1.0481,5.9082,0.175541,-0.164434,0.0552758
0.009,-0.0656495,9.84756,-0.762379,0.0268164,0.110142,-0.00901136,0.672536,9.38164,-1.56053,0.0194614,0.0660503,-0.085674,0.538734,-9.58956,-0.94675,-0.0254558,0.0635265,0.0287759,4.10065,-0.816092,8.70662,0.0596925,0.0485154,-0.0313646,4.00535,1.62928,9.11424,-0.0202774,0.00643927,0.00347074,7.3809,-1.03853,5.91819,0.178306,-0.164048,0.0567023
0.01,-0.0939426,9.85295,-0.763248,0.028951,0.109738,-0.00755869,0.672106,9.3913,-1.57339,0.019916,0.0669832,-0.088523,0.571461,-9.60118,-0.940461,-0.0256696,0.0624678,0.0290168,4.10968,-0.811884,8.69558,0.0619247,0.0484302,-0.0311612,3.97226,1.63501,9.12292,-0.0204229,0.00664653,0.00477165,7.37942,-1.05034,5.91083,0.179158,-0.163328,0.0611452
0.011,-0.122236,9.85833,-0.764117,0.0310855,0.109334,-0.00610601,0.671676,9.40097,-1.58624,0.0203706,0.0679161,-0.0913719,0.604189,-9.61279,-0.934171,-0.0258834,0.0614092,0.0292578,4.11872,-0.807676,8.68455,0.0641569,0.048345,-0.0309578,3.93916,1.64074,9.13161,-0.0205684,0.00685379,0.00607256,7.37794,-1.06215,5.90348,0.180011,-0.162609,0.0655881
0.012,-0.150529,9.86371,-0.764986,0.0332201,0.10893,-0.00465334,0.671245,9.41063,-1.5991,0.0208253,0.068849,-0.0942209,0.636916,-9.62441,-0.927882,-0.0260972,0.0603506,0.0294987,4.12775,-0.803468,8.67351,0.0663892,0.0482597,-0.0307544,3.90607,1.64647,9.14029,-0.020714,0.00706105,0.00737347,7.37646,-1.07395,5.89613,0.180864,-0.161889,0.0700311
0.013,-0.178822,9.8691,-0.765855,0.0353547,0.108525,-0.00320066,0.670815,9.4203,-1.61195,0.0212799,0.0697818,-0.0970698,0.669644,-9.63603,-0.921593,-0.026311,0.059292,0.0297397,4.13679,-0.799259,8.66247,0.0686214,0.0481745,-0.030551,3.87298,1.6522,9.14898,-0.0208595,0.00726831,0.00867438,7.37498,-1.08576,5.88877,0.181716,-0.161169,0.074474
0.014,-0.195037,9.86572,-0.774246,0.0368469,0.108027,-0.00282909,0.668538,9.4422,-1.60831,0.0208635,0.0705254,-0.0987577,0.698812,-9.65217,-0.933591,-0.0251279,0.0558727,0.0316844,4.12584,-0.798563,8.66292,0.0699205,0.0501659,-0.030512,3.85278,1.66199,9.15619,-0.0193928,0.00682884,0.0114395,7.38079,-1.08718,5.90307,0.186733,-0.161541,0.0779497
0.015,-0.205213,9.85798,-0.786398,0.0380179,0.10748,-0.00299807,0.665337,9.47023,-1.59642,0.0200114,0.0711742,-0.099865,0.7262,-9.67058,-0.954732,-0.0232464,0.0512731,0.0344811,4.10491,-0.799623,8.66911,0.0707531,0.0531957,-0.0305553,3.83903,1.67381,9.16266,-0.0171199,0.006066,0.0149368,7.39026,-1.0834,5.9282,0.193831,-0.162458,0.0809419
