Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0143658,0.074613,0.0496991,-0.00192413,0.0550967,0.103047,-0.115684,0.0318686,0.063215,0.0888358,0.0721881,0.0420322,0.0847174,0.0688425,0.180538,0.0422864
0.021,-0.00547058,0.0590491,0.0539716,-0.00314484,0.0560123,0.0945023,-0.0830301,0.0184409,0.0574167,0.0567923,0.0630328,0.031351,0.066712,0.0483957,0.190914,0.0288586
0.022,0.00673645,0.0712561,0.0432904,0.0194382,0.0511295,0.0966385,-0.051597,0.0224081,0.0452097,0.0320731,0.061507,0.0142612,0.0688483,0.0621286,0.256222,0.0535779
0.023,0.0351178,0.0498938,0.0457318,0.0215744,0.0605899,0.0780228,-0.00337921,0.0230185,0.0543649,0.037261,0.0843951,0.0276889,0.094483,0.0361887,0.243099,0.0218396
0.024,0.0369489,0.0517249,0.0509198,0.0118088,0.0483829,0.0868729,0.00943817,0.0214926,0.078779,0.0842581,0.0825641,0.0508823,0.059693,0.0358835,0.200375,0.0538831
0.025,0.0531232,0.0337195,0.0628217,0.0182175,0.0721866,0.0661209,0.0308005,0.0388876,0.0766428,0.0595389,0.085921,0.0609531,0.038941,0.0273386,0.119808,0.0361829
0.026,0.0577008,0.0810217,0.0597699,0.012114,0.0596744,0.0914505,0.0298849,0.00714935,0.0400217,0.0369559,0.0709674,0.0536288,0.0499274,0.0248972,0.0660974,0.0444226
0.027,0.0503766,0.0813269,0.0762494,-0.00192413,0.0639468,0.108235,0.0463644,0.0495688,0.0494821,0.0311575,0.0929401,0.0524081,0.0471808,-0.0242361,-0.0523108,0.0422864
0.028,0.0494611,0.0581335,0.0396283,0.0218796,0.0563174,0.069783,0.0463644,0.0202719,0.0549753,0.0360403,0.0746295,0.0414218,0.0557257,-0.0614676,-0.113956,0.0483899
0.029,0.054649,0.0749182,0.0542767,0.0325607,0.0550967,0.0777176,0.054299,0.0153891,0.0549753,0.0281058,0.0718829,0.0612582,0.054505,-0.0156912,-0.19025,0.041676
0.03,0.0326764,0.0437903,0.0673993,-0.0153519,0.0557071,0.0768021,0.0729147,0.0144736,0.0445993,0.0659476,0.0627277,0.0383701,0.0313116,-0.00745148,-0.157291,0.0648694
0.031,0.0558698,0.0559973,0.0481732,0.00997772,0.0737125,0.0841263,0.0835959,0.0462119,0.0598581,0.0863943,0.0804279,0.069498,0.038941,0.00353485,-0.157902,0.0511365
0.032,0.0534283,0.0465369,0.0213177,0.00753632,0.0825626,0.0807693,0.0951926,0.0263754,0.0473459,0.0888358,0.0554034,0.0511874,0.0419928,0.0017038,-0.101749,0.0724988
0.033,0.0616681,0.0883459,0.0371869,0.0203537,0.0874454,0.0505569,0.0741354,0.0474326,0.0845773,0.102263,0.0727985,0.0777377,0.0484015,0.0252023,-0.0404089,0.0544934
0.034,0.0421368,0.0593542,0.0493939,0.0136398,0.0740176,-0.00498505,0.114724,0.0227133,0.0830515,0.0949393,0.0721881,0.0585117,0.0413824,0.0148264,0.0151331,0.0657849
0.035,0.065025,0.0587439,0.047868,0.0292038,0.0938541,0.00722198,0.190713,0.0581137,0.0696237,0.109588,0.0526569,0.0627841,0.021546,0.0300851,0.0429041,0.0288586
0.036,0.058006,0.0526404,0.0573285,0.0282883,0.0801212,0.00844269,0.213906,0.0422446,0.0836618,0.0241385,0.0468585,0.053934,0.0148322,0.0172678,0.0322229,0.0456433
0.037,0.0601422,0.0672888,0.0597699,0.0154709,0.0834781,0.0188187,0.171181,0.0657431,0.0815256,0.0229178,0.0520465,0.0832309,0.026734,0.0505319,0.0419885,0.0462537
0.038,0.0638043,0.0590491,0.0454266,0.0160812,0.0785953,0.0127151,0.114113,0.0382773,0.0882394,0.0140677,0.0645587,0.0530185,-0.00622498,0.0129953,0.0654871,0.039845
0.039,0.0522076,0.069425,0.0612958,-0.00589142,0.0660831,0.0771072,0.0964133,0.0492636,0.0574167,0.0317679,0.0602863,0.0719394,0.054505,0.034968,0.0960046,0.0639539
0.04,0.0607526,0.0688147,0.0683148,0.0203537,0.0773746,0.103047,0.127846,0.051705,0.0738962,0.0384817,0.0453326,0.0582065,0.0517584,0.0343576,0.0874597,0.0609021
