Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0494611,0.0508093,0.0576337,0.0554489,0.0248843,0.0740555,0.0442282,0.0275961,0.0400217,0.0317679,0.0471637,0.0588168,0.0523688,0.0688425,0.0368005,0.0380139
0.021,0.0433575,0.045011,0.063432,0.0731491,0.0337344,0.0954178,0.036904,0.0285117,0.146528,0.00826935,0.0431964,0.0450839,0.0520636,0.06457,0.0221521,0.039845
0.022,0.0247418,0.0425696,0.0396283,0.0615524,0.0239688,0.0868729,0.0384299,0.0172202,0.128523,0.00277618,0.0386188,0.0423373,0.00720276,0.0328317,0.0377161,0.0361829
0.023,0.018028,0.0413489,0.0609906,0.0465988,0.00962555,0.0755814,0.0225607,0.00745453,0.143781,0.007659,0.0401447,0.0353183,0.0410773,0.0520578,0.0517542,0.024281
0.024,0.0439679,0.0563025,0.0796063,0.0658249,0.0453311,0.100911,0.0485007,0.018746,0.176435,0.00552277,0.0608966,0.0490512,0.0606085,0.0755563,0.0483972,0.0529675
0.025,0.0390851,0.0544714,0.0518353,0.0505661,0.0422794,0.111287,0.0530783,0.00501312,0.15782,-0.014924,0.0468585,0.0618686,0.0435187,0.0453439,0.0477869,0.0273328
0.026,0.0396954,0.0456213,0.0631268,0.0459885,0.0563174,0.0877884,0.0478903,-0.0224527,0.226484,0.007659,0.051131,0.0258578,0.0401617,0.0517526,0.063656,0.062428
0.027,0.0503766,0.067594,0.0759442,0.0398849,0.0337344,0.0914505,0.052468,-0.00597321,0.208479,0.014678,0.0587604,0.0536288,0.0679327,0.052363,0.0602991,0.0493054
0.028,0.0433575,0.0865149,0.0725873,0.0395798,0.0453311,0.0810745,0.0890891,-0.00719391,0.0980051,0.0287161,0.0517413,0.0585117,0.0581671,0.0584665,0.0651819,0.0483899
0.029,0.035423,0.024259,0.0567181,0.0438522,0.0441104,0.0804642,0.0341574,-0.0380167,-0.00911163,0.0158987,0.0630328,0.0447787,0.0572516,0.0532785,0.0529749,0.0435071
0.03,0.0573956,0.0505042,0.0661786,0.0459885,0.0370914,0.0945023,0.0643698,-0.00933014,0.0107248,0.0470267,0.0474689,0.0344028,0.0535895,0.0450388,0.091427,0.0627332
0.031,0.0525128,0.0505042,0.0750287,0.053923,0.0428897,0.080159,0.0527731,0.00989593,0.0549753,0.0659476,0.073714,0.0636996,0.0502325,0.0691476,0.0920373,0.0465588
0.032,0.0473248,0.0413489,0.0558026,0.0392746,0.0224429,0.0606277,0.0399558,-0.000785217,0.0531442,0.0516043,0.0145099,0.0585117,0.0477911,0.0725046,0.0407678,0.0218396
0.033,0.0479352,0.0480627,0.047868,0.0612473,0.0724918,0.0832108,0.0286642,-0.00780426,0.0412424,0.0876151,0.0624225,0.0603427,0.0386359,0.0789133,0.0499231,0.0691418
0.034,0.0515973,0.0389075,0.0533612,0.0600265,0.0615054,0.105489,0.019509,0.00684418,-0.111651,0.101043,0.0697467,0.0472202,0.024903,0.0786081,0.0404626,0.0517468
0.035,0.0296246,0.0538611,0.061601,0.0533127,0.0438052,0.0649002,0.0396506,-0.000480042,-0.12813,0.120574,0.0435016,0.0475253,0.0291754,0.0657907,0.0483972,0.0325208
0.036,0.0274884,0.0129675,0.028642,0.0408005,0.041669,0.0688675,0.0469748,-0.0129922,-0.0277274,0.0793753,0.056319,0.0667514,0.0285651,0.0520578,0.0490076,0.0389294
0.037,0.0482404,0.0538611,0.0554974,0.0719284,0.0584537,0.10854,0.0677267,0.0202719,0.01103,0.0967703,0.0590656,0.0682773,0.044129,0.0444284,0.0572473,0.0560193
0.038,0.040611,0.0300574,0.0487836,0.0600265,0.0544864,0.122273,0.0555197,-0.0123819,0.0229318,0.109283,0.0584552,0.0688876,0.0227667,0.0267282,0.0456506,0.0331311
0.039,0.0421368,0.0239539,0.0518353,0.0545334,0.0608951,0.113118,0.0781027,0.00592865,0.00889374,0.0995169,0.0596759,0.0386752,0.0343634,0.0520578,0.0337488,0.013905
0.04,0.0543439,0.0657629,0.0594647,0.0758957,0.079816,0.137227,0.076882,0.00592865,0.0552805,0.0818167,0.0752399,0.057291,0.0551154,0.0544992,0.0465662,0.041676
