Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.0,-0.503807,-9.82126,-1.00801,0.0167831,-0.137642,0.040644,0.481105,10.0828,-0.274767,0.0550644,-0.50146,0.0559109,5.49346,-0.961529,8.32185,0.19387,0.113466,-0.143772,0.0335579,9.99479,0.256784,0.0625341,-0.0471364,-0.152823,9.55406,0.350751,3.35308,0.115819,-0.0955838,-0.0793425,0.0,0.0,0.0,0.0,0.0,0.0,4.58911,4.4367,7.46165,0.0243489,-0.00348726,0.013845
0.001,-0.525737,-9.84227,-0.967847,0.0162253,-0.138745,0.0434395,0.512249,10.0684,-0.269244,0.0494075,-0.506418,0.0520351,5.43789,-1.09775,8.32292,0.18419,0.112243,-0.137013,-0.0627323,9.98909,0.235603,0.0635603,-0.044472,-0.152399,9.55239,0.357694,3.3629,0.114275,-0.0970215,-0.080301,0.0,0.0,0.0,0.0,0.0,0.0,4.59516,4.43598,7.45913,0.0251992,-0.00394312,0.0135913
0.002,-0.547668,-9.86328,-0.927688,0.0156674,-0.139849,0.046235,0.543394,10.054,-0.263721,0.0437507,-0.511376,0.0481593,5.38231,-1.23396,8.324,0.17451,0.111021,-0.130254,-0.159022,9.98339,0.214421,0.0645865,-0.0418076,-0.151974,9.55071,0.364637,3.37271,0.11273,-0.0984592,-0.0812595,0.0,0.0,0.0,0.0,0.0,0.0,4.60122,4.43526,7.45662,0.0260495,-0.00439898,0.0133376
0.003,-0.569598,-9.88429,-0.887528,0.0151096,-0.140952,0.0490304,0.574538,10.0396,-0.258198,0.0380938,-0.516334,0.0442835,5.32673,-1.37018,8.32507,0.164829,0.109798,-0.123494,-0.255313,9.97769,0.19324,0.0656127,-0.0391432,-0.15155,9.54903,0.37158,3.38253,0.111186,-0.099897,-0.082218,0.0,0.0,0.0,0.0,0.0,0.0,4.60727,4.43454,7.45411,0.0268998,-0.00485484,0.0130839
0.004,-0.591529,-9.9053,-0.847369,0.0145518,-0.142055,0.0518259,0.605682,10.0251,-0.252675,0.032437,-0.521292,0.0404076,5.27115,-1.5064,8.32614,0.155149,0.108575,-0.116735,-0.351603,9.97199,0.172058,0.0666389,-0.0364787,-0.151125,9.54736,0.378523,3.39234,0.109642,-0.101335,-0.0831765,0.0,0.0,0.0,0.0,0.0,0.0,4.61333,4.43382,7.45159,0.0277501,-0.0053107,0.0128302
0.005,-0.609835,-9.91532,-0.814362,0.0130925,-0.143294,0.0535258,0.640521,10.019,-0.261454,0.0298338,-0.52542,0.0378292,5.25433,-1.65134,8.30223,0.145719,0.107566,-0.108692,-0.450048,9.98096,0.162986,0.0681184,-0.0360022,-0.151454,9.54568,0.385466,3.40216,0.108097,-0.102772,-0.084135,0.0,0.0,0.0,0.0,0.0,0.0,4.62178,4.42848,7.45388,0.0285005,-0.00532885,0.0123758
0.006,-0.625243,-9.91654,-0.787076,0.010912,-0.144641,0.0543494,0.678315,10.0196,-0.281674,0.0296735,-0.528884,0.0362887,5.26851,-1.80325,8.25833,0.136488,0.106727,-0.0996212,-0.550218,10.0017,0.163602,0.0699606,-0.0372761,-0.152386,9.54401,0.39241,3.41198,0.106553,-0.10421,-0.0850935,0.0,0.0,0.0,0.0,0.0,0.0,4.63215,4.41945,7.46,0.0291708,-0.00499684,0.0117609
0.007,-0.640651,-9.91777,-0.759789,0.00873147,-0.145988,0.0551729,0.716109,10.0201,-0.301895,0.0295132,-0.532347,0.0347482,5.28268,-1.95516,8.21443,0.127258,0.105888,-0.0905506,-0.650387,10.0224,0.164217,0.0718028,-0.03855,-0.153318,9.54233,0.399353,3.42179,0.105009,-0.105648,-0.086052,0.0,0.0,0.0,0.0,0.0,0.0,4.64252,4.41042,7.46612,0.0298411,-0.00466483,0.011146
0.008,-0.656059,-9.91899,-0.732503,0.00655096,-0.147335,0.0559965,0.753903,10.0207,-0.322115,0.0293529,-0.535811,0.0332077,5.29686,-2.10708,8.17053,0.118027,0.105048,-0.0814801,-0.750557,10.0431,0.164833,0.0736449,-0.0398238,-0.154249,9.54065,0.406296,3.43161,0.103465,-0.107086,-0.0870105,0.0,0.0,0.0,0.0,0.0,0.0,4.65289,4.40139,7.47224,0.0305114,-0.00433283,0.0105311
0.009,-0.670616,-9.91924,-0.709297,0.00422546,-0.14871,0.0566167,0.79148,10.0187,-0.34781,0.0289041,-0.538745,0.0317724,5.31391,-2.254,8.12928,0.108157,0.103736,-0.0727739,-0.85033,10.0598,0.168886,0.075344,-0.0409616,-0.155114,9.53898,0.413239,3.44143,0.101921,-0.108523,-0.087969,0.0,0.0,0.0,0.0,0.0,0.0,4.66115,4.39403,7.4795,0.0311841,-0.00404941,0.00985946
