Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.0,8.40871,-0.421086,5.63468,-0.225793,0.0511155,0.175367,4.38139,3.2425,8.47513,-0.14115,0.115144,0.116113,5.65574,-6.15368,9.63364,1.07063,1.90436,-2.53891,0.261661,-10.7511,-3.13417,-0.261429,0.5388,-0.192845,-0.391626,-8.58334,-4.1848,-0.740993,-0.123792,-0.29118,3.03705,8.28473,-0.148162,0.139223,0.400285,-0.11322,0.0611715,8.72009,-3.41554,-0.45007,-0.815893,0.00122298
0.001,8.40139,-0.419234,5.64795,-0.240039,0.0481723,0.173646,4.38028,3.14523,8.48303,-0.14061,0.113973,0.111898,5.43407,-6.37537,9.25531,1.22954,1.86494,-2.56673,0.247386,-10.7971,-2.9743,-0.259335,0.548966,-0.193213,-0.340787,-8.72207,-4.13825,-0.728311,-0.110865,-0.251743,2.94517,8.42607,-0.0156085,0.136241,0.379597,-0.12278,0.09085,8.78668,-3.27053,-0.464283,-0.91019,0.000988452
0.002,8.39406,-0.417382,5.66122,-0.254284,0.045229,0.171924,4.37918,3.04796,8.49092,-0.14007,0.112802,0.107683,5.2124,-6.59705,8.87698,1.38845,1.82551,-2.59456,0.233111,-10.8432,-2.81444,-0.257242,0.559132,-0.19358,-0.289949,-8.86079,-4.09169,-0.715629,-0.0979391,-0.212307,2.85328,8.56741,0.116945,0.133259,0.358908,-0.13234,0.120528,8.85326,-3.12552,-0.478495,-1.00449,0.000753924
0.003,8.38674,-0.41553,5.6745,-0.26853,0.0422858,0.170203,4.37807,2.95068,8.49882,-0.13953,0.111632,0.103468,4.99074,-6.81874,8.49865,1.54737,1.78609,-2.62238,0.218837,-10.8892,-2.65457,-0.255148,0.569299,-0.193948,-0.239111,-8.99951,-4.04514,-0.702947,-0.0850128,-0.17287,2.76139,8.70875,0.249499,0.130277,0.33822,-0.1419,0.150207,8.91985,-2.98051,-0.492708,-1.09878,0.000519396
0.004,8.37942,-0.413678,5.68777,-0.282775,0.0393425,0.168481,4.37697,2.85341,8.50671,-0.13899,0.110461,0.0992526,4.76907,-7.04043,8.12032,1.70628,1.74666,-2.6502,0.204562,-10.9352,-2.4947,-0.253055,0.579465,-0.194316,-0.188272,-9.13823,-3.99859,-0.690266,-0.0720866,-0.133433,2.6695,8.85009,0.382053,0.127295,0.317531,-0.15146,0.179885,8.98644,-2.8355,-0.50692,-1.19308,0.000284868
0.005,8.37799,-0.403197,5.67706,-0.297042,0.0384966,0.167519,4.36911,2.80966,8.51446,-0.139649,0.104176,0.0946097,4.47737,-7.15419,7.78931,1.83502,1.70174,-2.63603,0.21947,-10.9754,-2.29202,-0.248714,0.574807,-0.195567,-0.0934014,-9.27685,-3.92584,-0.670986,-0.0671877,-0.0991541,2.60585,8.99517,0.472514,0.135504,0.273673,-0.155417,0.176393,9.09092,-2.73067,-0.520204,-1.27385,0.00115832
0.006,8.38129,-0.385813,5.64716,-0.311325,0.0393285,0.167164,4.35585,2.80872,8.52208,-0.141268,0.0938007,0.0896247,4.12963,-7.18162,7.49615,1.93963,1.65241,-2.58828,0.257724,-11.011,-2.05509,-0.242577,0.55829,-0.197524,0.0366951,-9.41537,-3.83214,-0.64643,-0.0687106,-0.0690025,2.56478,9.14325,0.529301,0.152667,0.211278,-0.154891,0.146364,9.2257,-2.65799,-0.532745,-1.34378,0.00291816
0.007,8.38459,-0.368428,5.61726,-0.325607,0.0401604,0.16681,4.34259,2.80778,8.5297,-0.142886,0.083425,0.0846397,3.7819,-7.20905,7.203,2.04424,1.60308,-2.54052,0.295977,-11.0466,-1.81816,-0.236439,0.541774,-0.199482,0.166792,-9.5539,-3.73844,-0.621873,-0.0702336,-0.0388508,2.52371,9.29134,0.586088,0.16983,0.148884,-0.154364,0.116335,9.36049,-2.5853,-0.545287,-1.41372,0.00467801
0.008,8.38788,-0.351044,5.58736,-0.33989,0.0409924,0.166455,4.32934,2.80684,8.53732,-0.144504,0.0730493,0.0796547,3.43417,-7.23647,6.90984,2.14885,1.55376,-2.49276,0.334231,-11.0822,-1.58123,-0.230301,0.525257,-0.201439,0.296888,-9.69243,-3.64474,-0.597316,-0.0717565,-0.00869912,2.48264,9.43942,0.642875,0.186992,0.0864893,-0.153838,0.086306,9.49528,-2.51262,-0.557828,-1.48366,0.00643785
0.009,8.39184,-0.337,5.55996,-0.354071,0.0422446,0.16557,4.31391,2.80411,8.54797,-0.145549,0.0630734,0.0745687,3.08864,-7.27994,6.62928,2.24582,1.50226,-2.4424,0.367107,-11.1151,-1.35787,-0.224472,0.508122,-0.203617,0.424551,-9.83047,-3.54508,-0.57204,-0.0745689,0.0205936,2.4431,9.58028,0.6902,0.205899,0.0218079,-0.151852,0.05527,9.6233,-2.44216,-0.569973,-1.55017,0.00852027
0.01,8.40112,-0.349684,5.5525,-0.367429,0.0468592,0.16044,4.28118,2.78703,8.58284,-0.142008,0.0562958,0.0686751,2.76068,-7.45172,6.44947,2.28169,1.43336,-2.37127,0.356961,-11.1266,-1.24305,-0.221111,0.486036,-0.207557,0.532746,-9.96459,-3.3977,-0.541017,-0.087696,0.0430151,2.41577,9.66332,0.661829,0.238758,-0.0611681,-0.138191,0.0161785,9.69721,-2.38952,-0.578944,-1.58926,0.0131833
