Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0671613,0.0801062,0.0591595,0.041716,0.0514346,0.139668,0.11747,0.0156943,0.04582,0.0271902,0.0465533,-0.0544034,0.0639655,0.0401559,0.0499231,0.0663953
0.021,0.0616681,0.0733923,0.078996,0.0505661,0.0557071,0.210164,0.0835959,0.0233237,0.0409372,0.0464163,0.0123737,-0.0165616,0.0612189,0.041987,0.0456506,0.0334363
0.022,0.0515973,0.0489783,0.0612958,0.0453781,0.0599796,0.24709,0.0729147,0.0315634,0.0482614,0.0412283,0.0227496,0.0273837,0.0621344,0.0380197,0.056637,0.0605969
0.023,0.0671613,0.0349402,0.0713666,0.0557541,0.0557071,0.188802,0.0506369,0.0266806,0.0290353,0.0464163,0.0294635,0.052103,0.0377203,0.0303903,0.0444299,0.0456433
0.024,0.0400006,0.0279211,0.0655682,0.0603317,0.0773746,0.154012,0.0442282,0.029122,0.0357492,0.0400076,0.073714,0.0447787,0.0575568,0.0407663,0.0523645,0.067616
0.025,0.0567853,0.0444006,0.0704511,0.0807785,0.0404483,0.0713089,0.0344626,0.0321738,0.056196,0.0516043,0.0883624,0.0380649,0.0538947,0.0425973,0.0395471,0.0569348
0.026,0.0534283,0.0511145,0.0649579,0.0533127,0.0502139,0.00905304,0.0179831,0.0303427,0.0397165,0.040618,0.0630328,0.0615634,0.0477911,0.0517526,0.0599939,0.0526624
0.027,0.0555646,0.0273108,0.0442059,0.0444626,0.0453311,-0.0596115,0.0234763,0.0428549,0.040632,0.0397025,0.0523517,0.00907318,0.0456549,0.057551,0.0496179,0.0343518
0.028,0.0531232,0.0334143,0.0472577,0.0475143,0.0645572,-0.053508,-0.0100931,0.0205771,0.0305612,0.0409232,0.0700519,0.0325717,0.0566412,0.0752512,0.0627405,0.0547986
0.029,0.0543439,0.050199,0.0554974,0.0615524,0.036481,0.0117996,-0.000327453,0.0541464,0.0638254,0.0387869,0.0679156,0.0426425,0.0468756,0.0578561,0.0490076,0.0465588
0.03,0.0497662,0.0367712,0.063432,0.0560593,0.036481,0.0780228,-0.0259622,0.0379721,0.0622995,0.0390921,0.063338,0.0249423,0.0410773,0.0563303,0.051449,0.0587659
0.031,0.052818,0.0495886,0.0649579,0.05728,0.0270206,0.110066,-0.0226053,0.0199667,0.0607736,0.0500784,0.0575397,0.0145663,0.0337531,0.0706735,0.0474817,0.0612073
0.032,0.0583112,0.0532507,0.0689252,0.0597214,0.0462466,0.109151,0.00516571,0.0562827,0.0677927,0.0531302,0.0740192,0.0176181,0.0450446,0.0569406,0.0450403,0.0645642
0.033,0.0534283,0.0456213,0.0597699,0.0456833,0.0279361,0.0850418,0.0451437,0.0541464,0.0415475,0.0418387,0.073714,0.0484409,0.0426032,0.0520578,0.0554163,0.0557141
0.034,0.0519025,0.0352454,0.0554974,0.0508713,0.0435001,0.0542191,0.0536887,0.0309531,0.051008,0.0525198,0.0486896,0.0557651,0.054505,0.0413766,0.0526697,0.0404553
0.035,0.0793683,0.0425696,0.0548871,0.0523972,0.0389224,0.040181,0.0552145,0.0520102,0.0497873,0.0534354,0.0416705,0.0603427,0.0630499,0.0502267,0.0520593,0.0496106
0.036,0.0549542,0.0410437,0.0448163,0.048735,0.0425845,0.0539139,0.0835959,0.0340048,0.035444,0.052825,0.0496051,0.0719394,0.0508429,0.0477853,0.0496179,0.041676
0.037,0.0570905,0.057218,0.0628217,0.0493454,0.0483829,0.0694778,0.0393454,0.0452963,0.0400217,0.0519095,0.061507,0.0600375,0.0468756,0.0422922,0.0551111,0.0313
0.038,0.04763,0.0492834,0.0521405,0.0505661,0.0508243,0.0768021,0.0411765,0.0456015,0.0397165,0.0506888,0.0276324,0.0524081,0.0584723,0.0410715,0.0517542,0.0297742
0.039,0.0567853,0.0471472,0.0597699,0.0600265,0.0459415,0.0847366,0.0637595,0.0538412,0.0366647,0.0464163,0.0602863,0.0975742,0.0517584,0.0532785,0.0483972,0.0554089
0.04,0.0390851,0.0563025,0.061601,0.0386642,0.0459415,0.0102737,0.0497214,0.0596396,0.0381906,0.0436697,0.061507,0.0560703,0.0581671,0.0563303,0.0767786,0.0459485
