Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.0,5.09052,-1.32228,8.05545,0.165187,0.0401189,-0.154888,0.311909,9.87426,-1.29769,-0.0882508,-0.271427,0.00719614,0.14269,-10.0977,-0.370986,-0.18245,-0.284017,-0.198763,7.5226,-0.660907,2.65373,0.148895,-0.00106301,0.106715,5.64989,0.26175,7.87432,0.261614,0.0115427,-0.0529835,1.20162,-9.09759,-2.76365,0.116904,-0.375618,0.116392,0.474659,9.48364,-2.8861,0.351957,-0.665491,0.135276
0.001,5.07881,-1.32782,8.05183,0.174393,0.0425761,-0.159417,0.287526,9.86997,-1.30144,-0.0940161,-0.281401,0.00785197,0.221749,-10.0766,-0.419218,-0.183351,-0.280668,-0.195922,7.53406,-0.727537,2.64985,0.154592,-0.000210439,0.107707,5.59981,0.349313,7.88472,0.259616,0.0109673,-0.0508914,1.14377,-9.14431,-2.73013,0.113479,-0.36374,0.114832,0.536095,9.46975,-2.85623,0.357282,-0.672985,0.136254
0.002,5.0671,-1.33336,8.04821,0.183599,0.0450333,-0.163947,0.263142,9.86568,-1.3052,-0.0997814,-0.291374,0.0085078,0.300809,-10.0554,-0.46745,-0.184253,-0.277319,-0.193081,7.54552,-0.794167,2.64597,0.16029,0.000642131,0.108698,5.54972,0.436877,7.89512,0.257619,0.0103918,-0.0487993,1.08593,-9.19104,-2.69661,0.110054,-0.351862,0.113272,0.597532,9.45586,-2.82636,0.362608,-0.68048,0.137231
0.003,5.0554,-1.33891,8.04459,0.192805,0.0474905,-0.168476,0.238758,9.86139,-1.30896,-0.105547,-0.301347,0.00916362,0.379869,-10.0342,-0.515682,-0.185154,-0.27397,-0.190241,7.55698,-0.860797,2.64209,0.165987,0.0014947,0.10969,5.49964,0.52444,7.90551,0.255621,0.00981632,-0.0467071,1.02808,-9.23776,-2.66309,0.106628,-0.339983,0.111711,0.658969,9.44197,-2.79648,0.367933,-0.687975,0.138209
0.004,5.04369,-1.34445,8.04098,0.202011,0.0499477,-0.173006,0.214374,9.85711,-1.31272,-0.111312,-0.31132,0.00981945,0.458929,-10.013,-0.563914,-0.186056,-0.270621,-0.1874,7.56844,-0.927427,2.63821,0.171685,0.00234727,0.110681,5.44955,0.612004,7.91591,0.253623,0.00924085,-0.044615,0.970232,-9.28448,-2.62957,0.103203,-0.328105,0.110151,0.720406,9.42808,-2.76661,0.373259,-0.695469,0.139187
0.005,5.03385,-1.35601,8.04031,0.212544,0.0524445,-0.177034,0.212139,9.8575,-1.31193,-0.115974,-0.321537,0.0103318,0.526791,-9.99515,-0.605429,-0.187066,-0.265234,-0.185671,7.58502,-0.989463,2.6293,0.178841,0.00312514,0.110874,5.41659,0.696626,7.93053,0.249432,0.00904285,-0.0443609,0.953262,-9.32004,-2.60517,0.100007,-0.317883,0.109267,0.754466,9.43078,-2.75721,0.378009,-0.701166,0.140812
0.006,5.02553,-1.37238,8.04202,0.224138,0.0549731,-0.180661,0.227623,9.86163,-1.3075,-0.119753,-0.331949,0.0107292,0.585695,-9.97996,-0.64157,-0.188163,-0.258217,-0.184832,7.6057,-1.04783,2.61637,0.187163,0.00384325,0.110428,5.39734,0.778894,7.94851,0.243485,0.00914683,-0.045577,0.968993,-9.34667,-2.58805,0.0969949,-0.308986,0.108924,0.766624,9.44677,-2.7642,0.382299,-0.705424,0.142955
0.007,5.0172,-1.38875,8.04372,0.235733,0.0575016,-0.184288,0.243107,9.86577,-1.30306,-0.123532,-0.342361,0.0111267,0.644598,-9.96478,-0.677712,-0.18926,-0.2512,-0.183993,7.62638,-1.10619,2.60344,0.195486,0.00456137,0.109983,5.37809,0.861163,7.9665,0.237538,0.0092508,-0.0467932,0.984725,-9.3733,-2.57094,0.0939826,-0.300089,0.10858,0.778783,9.46276,-2.77118,0.386588,-0.709681,0.145098
0.008,5.00887,-1.40511,8.04542,0.247328,0.0600301,-0.187915,0.258592,9.8699,-1.29863,-0.127311,-0.352772,0.0115242,0.703502,-9.9496,-0.713854,-0.190357,-0.244182,-0.183153,7.64705,-1.16455,2.59051,0.203809,0.00527948,0.109537,5.35883,0.943432,7.98448,0.231591,0.00935478,-0.0480094,1.00046,-9.39993,-2.55382,0.0909702,-0.291192,0.108237,0.790941,9.47875,-2.77817,0.390878,-0.713939,0.147241
0.009,5.0011,-1.4202,8.04669,0.258978,0.0625458,-0.191434,0.274698,9.87208,-1.29086,-0.131217,-0.363241,0.0116473,0.761464,-9.93678,-0.748239,-0.191484,-0.236319,-0.182258,7.67053,-1.21992,2.58048,0.211765,0.00642675,0.109154,5.3427,1.0191,8.00243,0.225646,0.00961593,-0.0489965,1.02067,-9.42433,-2.54034,0.0881342,-0.28259,0.108066,0.798899,9.49523,-2.78833,0.394891,-0.717505,0.149325
