Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.0,4.90758,-2.1903,8.03574,-0.0123074,0.00245533,-0.00443804,-0.076866,9.57177,-1.00179,-0.0523528,-0.00756731,-0.0256159,-0.58823,9.55911,1.09024,-0.0326843,-0.146725,-0.0162198,4.85007,1.43093,8.63344,-0.003195,0.00665904,0.0075951,-1.75737,-9.57096,-1.34795,-0.0484675,-0.005325,0.0351384,9.47408,-0.891401,2.27611,-0.0790399,0.00613713,-0.00265099,-0.110081,-9.88903,-1.52935,-0.0826581,0.0236125,0.0232475
0.001,4.91903,-2.21272,8.04912,-0.0115407,0.00187503,-0.00555336,-0.0787631,9.57293,-0.989067,-0.0550334,-0.00586467,-0.0265619,-0.579427,9.54766,1.09213,-0.0317054,-0.146736,-0.0162093,4.84887,1.42769,8.64037,-0.00375818,0.00633018,0.0063224,-1.7514,-9.57642,-1.33599,-0.0484686,-0.0060507,0.0342909,9.48473,-0.890808,2.2682,-0.0778324,0.00768338,-0.00359088,-0.109922,-9.88129,-1.54199,-0.0823474,0.0238443,0.0225744
0.002,4.93048,-2.23513,8.06249,-0.0107741,0.00129474,-0.00666867,-0.0806602,9.5741,-0.976348,-0.0577139,-0.00416202,-0.0275078,-0.570624,9.53621,1.09403,-0.0307266,-0.146746,-0.0161988,4.84766,1.42446,8.6473,-0.00432137,0.00600132,0.0050497,-1.74542,-9.58187,-1.32403,-0.0484698,-0.00677639,0.0334435,9.49538,-0.890215,2.2603,-0.076625,0.00922964,-0.00453077,-0.109763,-9.87355,-1.55463,-0.0820367,0.0240762,0.0219012
0.003,4.94194,-2.25755,8.07586,-0.0100074,0.00071445,-0.00778399,-0.0825573,9.57526,-0.963628,-0.0603945,-0.00245938,-0.0284537,-0.561822,9.52475,1.09592,-0.0297478,-0.146757,-0.0161883,4.84646,1.42122,8.65422,-0.00488455,0.00567246,0.003777,-1.73944,-9.58733,-1.31206,-0.048471,-0.00750209,0.0325961,9.50603,-0.889621,2.25239,-0.0754175,0.0107759,-0.00547066,-0.109604,-9.86581,-1.56727,-0.081726,0.024308,0.021228
0.004,4.95339,-2.27997,8.08924,-0.00924074,0.000134159,-0.0088993,-0.0844544,9.57643,-0.950909,-0.063075,-0.000756731,-0.0293996,-0.553019,9.5133,1.09782,-0.028769,-0.146767,-0.0161778,4.84525,1.41799,8.66115,-0.00544774,0.0053436,0.0025043,-1.73346,-9.59278,-1.3001,-0.0484721,-0.00822779,0.0317487,9.51668,-0.889028,2.24449,-0.0742101,0.0123222,-0.00641055,-0.109446,-9.85807,-1.57992,-0.0814153,0.0245399,0.0205549
0.005,4.96322,-2.28541,8.08454,-0.00906302,0.000616773,-0.00859834,-0.0800778,9.58675,-0.952301,-0.0637429,0.00015098,-0.029669,-0.5506,9.50946,1.1049,-0.0278754,-0.146422,-0.0160367,4.84552,1.41595,8.65748,-0.00605079,0.00535124,0.00236195,-1.72306,-9.58747,-1.29596,-0.0487412,-0.00949522,0.03128,9.51446,-0.882591,2.24689,-0.0736264,0.0123464,-0.00745477,-0.114562,-9.85686,-1.59047,-0.0808856,0.0255733,0.0195875
0.006,4.97174,-2.27728,8.06538,-0.00935645,0.00194971,-0.00716436,-0.0706822,9.6044,-0.964983,-0.0628008,0.000422745,-0.0293973,-0.553288,9.51171,1.11612,-0.0270502,-0.145793,-0.0157909,4.84697,1.41486,8.64533,-0.00668573,0.00562809,0.00312387,-1.70911,-9.57355,-1.29807,-0.0492246,-0.0111961,0.0311143,9.50196,-0.87148,2.25753,-0.0735417,0.0111531,-0.00858246,-0.123898,-9.86089,-1.59937,-0.0801805,0.0272481,0.0183847
0.007,4.98027,-2.26914,8.04622,-0.00964987,0.00328265,-0.00573038,-0.0612867,9.62206,-0.977664,-0.0618586,0.000694509,-0.0291255,-0.555976,9.51396,1.12734,-0.0262249,-0.145164,-0.0155452,4.84842,1.41378,8.63318,-0.00732067,0.00590494,0.0038858,-1.69516,-9.55962,-1.30018,-0.049708,-0.0128969,0.0309486,9.48945,-0.860368,2.26818,-0.073457,0.00995975,-0.00971015,-0.133233,-9.86492,-1.60826,-0.0794755,0.0289228,0.0171819
0.008,4.9888,-2.26101,8.02705,-0.0099433,0.00461559,-0.0042964,-0.0518911,9.63971,-0.990345,-0.0609165,0.000966274,-0.0288537,-0.558663,9.51621,1.13857,-0.0253996,-0.144535,-0.0152994,4.84987,1.41269,8.62103,-0.00795561,0.0061818,0.00464773,-1.68122,-9.5457,-1.30229,-0.0501914,-0.0145977,0.0307829,9.47695,-0.849257,2.27883,-0.0733723,0.00876642,-0.0108378,-0.142569,-9.86895,-1.61716,-0.0787705,0.0305975,0.0159791
0.009,4.99723,-2.25441,8.01027,-0.0103968,0.00579098,-0.00315916,-0.0435068,9.65466,-1.00266,-0.0599412,0.00137334,-0.0284779,-0.562789,9.51903,1.14766,-0.0245884,-0.143878,-0.0149038,4.85079,1.41176,8.61127,-0.0086253,0.00640031,0.00549611,-1.66738,-9.53533,-1.30428,-0.0506542,-0.0163038,0.0305181,9.46711,-0.838096,2.28935,-0.0728976,0.00769524,-0.0120209,-0.150338,-9.87552,-1.6241,-0.0780999,0.0320851,0.0150457
