Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.001,-0.795416,9.4969,-1.85648,0.0162767,0.0229387,-0.0777154,-1.8622,9.69312,-0.56254,-0.0465236,0.0491137,-0.0563102,0.632263,-9.8789,-0.805288,-0.0360331,-0.0948227,0.0373006,3.70636,3.09822,8.68309,-0.0215011,0.00398149,0.0151612,-0.865718,-9.7737,-0.244776,-0.0812031,-0.00593757,0.0317614,4.47482,-2.87934,8.106,0.0416554,0.0135473,-0.033228,4.47482,-2.87934,8.106,0.0416554,0.0135473,-0.033228
0.002,-0.801547,9.50013,-1.85005,0.0140616,0.0248996,-0.0787508,-1.85963,9.70164,-0.559795,-0.0461591,0.0475412,-0.0543381,0.635117,-9.88996,-0.811622,-0.0357379,-0.0925726,0.0376024,3.6993,3.09595,8.69676,-0.0222347,0.00423587,0.0154126,-0.870163,-9.76981,-0.234383,-0.0815374,-0.00472769,0.0316085,4.46719,-2.86635,8.10902,0.0406905,0.0111602,-0.031311,4.46719,-2.86635,8.10902,0.0406905,0.0111602,-0.031311
0.003,-0.807677,9.50337,-1.84362,0.0118466,0.0268605,-0.0797863,-1.85706,9.71015,-0.55705,-0.0457945,0.0459686,-0.0523659,0.637971,-9.90102,-0.817956,-0.0354427,-0.0903226,0.0379041,3.69224,3.09367,8.71044,-0.0229682,0.00449025,0.015664,-0.874608,-9.76592,-0.223991,-0.0818717,-0.00351781,0.0314555,4.45955,-2.85336,8.11204,0.0397255,0.00877306,-0.029394,4.45955,-2.85336,8.11204,0.0397255,0.00877306,-0.029394
0.004,-0.813807,9.5066,-1.83718,0.00963154,0.0288214,-0.0808217,-1.85449,9.71866,-0.554305,-0.0454299,0.044396,-0.0503937,0.640825,-9.91208,-0.82429,-0.0351475,-0.0880725,0.0382059,3.68518,3.0914,8.72412,-0.0237017,0.00474463,0.0159154,-0.879054,-9.76202,-0.213599,-0.082206,-0.00230793,0.0313025,4.45192,-2.84037,8.11506,0.0387606,0.00638594,-0.027477,4.45192,-2.84037,8.11506,0.0387606,0.00638594,-0.027477
0.005,-0.823119,9.50528,-1.83411,0.00777475,0.0297817,-0.0813824,-1.84491,9.72517,-0.549469,-0.0449997,0.0432937,-0.0495174,0.647768,-9.92817,-0.833094,-0.0350214,-0.0855006,0.0381218,3.67926,3.08682,8.73863,-0.0233751,0.00469371,0.0160077,-0.872934,-9.75837,-0.20437,-0.0818293,-0.00101147,0.0307553,4.45867,-2.8211,8.1224,0.0375373,0.00532983,-0.0266234,4.45867,-2.8211,8.1224,0.0375373,0.00532983,-0.0266234
0.006,-0.834977,9.5003,-1.83372,0.00620455,0.0299415,-0.0815633,-1.82971,9.73009,-0.542962,-0.0445169,0.0425676,-0.0495178,0.657982,-9.9483,-0.843876,-0.0350308,-0.0826712,0.0377289,3.67425,3.08039,8.75382,-0.0222004,0.00439856,0.0159726,-0.858363,-9.7549,-0.196074,-0.080884,0.000354259,0.0298928,4.47692,-2.79681,8.13318,0.0361072,0.00533853,-0.0266205,4.47692,-2.79681,8.13318,0.0361072,0.00533853,-0.0266205
0.007,-0.846834,9.49532,-1.83333,0.00463436,0.0301013,-0.0817443,-1.81451,9.735,-0.536454,-0.0440341,0.0418415,-0.0495183,0.668195,-9.96842,-0.854658,-0.0350402,-0.0798419,0.0373361,3.66925,3.07397,8.76901,-0.0210257,0.0041034,0.0159375,-0.843792,-9.75143,-0.187777,-0.0799386,0.00171999,0.0290303,4.49518,-2.77251,8.14397,0.0346771,0.00534723,-0.0266176,4.49518,-2.77251,8.14397,0.0346771,0.00534723,-0.0266176
0.008,-0.858692,9.49034,-1.83294,0.00306416,0.0302611,-0.0819252,-1.79931,9.73991,-0.529946,-0.0435514,0.0411154,-0.0495187,0.678409,-9.98854,-0.865439,-0.0350496,-0.0770125,0.0369432,3.66424,3.06754,8.7842,-0.019851,0.00380825,0.0159024,-0.829221,-9.74797,-0.17948,-0.0789932,0.00308571,0.0281678,4.51343,-2.74822,8.15476,0.033247,0.00535592,-0.0266147,4.51343,-2.74822,8.15476,0.033247,0.00535592,-0.0266147
0.009,-0.870128,9.48568,-1.83382,0.00152013,0.0306287,-0.0818975,-1.78442,9.74399,-0.524364,-0.0431098,0.0405517,-0.0495059,0.685091,-10.0052,-0.876578,-0.0352579,-0.0744419,0.0366112,3.66174,3.06327,8.79799,-0.0186723,0.0035858,0.0157634,-0.816428,-9.74746,-0.175857,-0.0782226,0.00432339,0.0276215,4.52928,-2.73075,8.16458,0.032029,0.0054389,-0.0265876,4.52928,-2.73075,8.16458,0.032029,0.0054389,-0.0265876
0.01,-0.878194,9.4835,-1.84489,0.000185413,0.0326586,-0.0802007,-1.77203,9.74136,-0.526191,-0.0429978,0.041287,-0.0493868,0.663525,-9.99461,-0.89057,-0.0370578,-0.0739407,0.0367662,3.67923,3.07618,8.80068,-0.0174624,0.00394496,0.0147933,-0.817862,-9.77059,-0.209626,-0.0788497,0.00453669,0.0296048,4.52589,-2.76783,8.16668,0.0325079,0.00611614,-0.0263674,4.52589,-2.76783,8.16668,0.0325079,0.00611614,-0.0263674
