Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0,4.70213,-3.04038,7.85794,-0.0756533,-0.0148909,0.0671141,1.54886,-9.4721,-2.63006,0.0658988,-0.169317,-0.0393106,-0.921403,9.19267,-2.91659,0.0245826,0.125758,-0.0413465,9.24711,1.04422,2.74042,0.159056,0.128142,0.0653655,-1.42463,-9.77869,-2.4633,-0.0300913,-0.0461808,-0.0194487,-0.914623,9.06269,-2.383,0.0127926,0.152731,-0.0969024,4.62348,3.49309,8.23419,-0.0146383,0.00426,0.0337369
0.001,4.70101,-3.03739,7.86003,-0.0762483,-0.0147799,0.0673287,1.52887,-9.48431,-2.64347,0.0678453,-0.176052,-0.0362702,-0.910052,9.18409,-2.92954,0.0230097,0.126847,-0.0435901,9.23364,1.03399,2.74534,0.158509,0.124766,0.0675063,-1.4162,-9.77275,-2.47596,-0.0286866,-0.0407242,-0.0186458,-0.886974,9.09647,-2.42158,0.0122329,0.141116,-0.0971382,4.62744,3.48829,8.23022,-0.0165013,0.00359869,0.0338141
0.002,4.69989,-3.0344,7.86211,-0.0768433,-0.014669,0.0675433,1.50888,-9.49652,-2.65688,0.0697918,-0.182788,-0.0332299,-0.898701,9.17551,-2.94249,0.0214367,0.127937,-0.0458337,9.22016,1.02376,2.75026,0.157962,0.121389,0.0696471,-1.40778,-9.7668,-2.48861,-0.0272819,-0.0352677,-0.0178429,-0.859325,9.13024,-2.46016,0.0116731,0.129501,-0.0973741,4.63141,3.48348,8.22626,-0.0183643,0.00293738,0.0338913
0.003,4.69877,-3.03141,7.8642,-0.0774384,-0.0145581,0.0677579,1.48889,-9.50873,-2.6703,0.0717383,-0.189524,-0.0301895,-0.887349,9.16693,-2.95543,0.0198637,0.129027,-0.0480774,9.20669,1.01352,2.75518,0.157415,0.118012,0.0717879,-1.39935,-9.76086,-2.50127,-0.0258772,-0.0298112,-0.0170399,-0.831676,9.16401,-2.49874,0.0111133,0.117886,-0.09761,4.63538,3.47868,8.22229,-0.0202273,0.00227607,0.0339685
0.004,4.69765,-3.02843,7.86628,-0.0780334,-0.0144472,0.0679725,1.4689,-9.52094,-2.68371,0.0736849,-0.19626,-0.0271492,-0.875998,9.15835,-2.96838,0.0182907,0.130117,-0.050321,9.19321,1.00329,2.7601,0.156867,0.114636,0.0739287,-1.39093,-9.75491,-2.51393,-0.0244725,-0.0243547,-0.016237,-0.804027,9.19778,-2.53732,0.0105536,0.106271,-0.0978458,4.63935,3.47387,8.21833,-0.0220903,0.00161476,0.0340457
0.005,4.69625,-3.03016,7.8671,-0.0806303,-0.0167144,0.0676694,1.4652,-9.51577,-2.70868,0.0760008,-0.199137,-0.024747,-0.870981,9.17474,-2.98809,0.0175227,0.128785,-0.0520484,9.18573,0.992788,2.75619,0.157616,0.111692,0.07636,-1.37846,-9.74077,-2.51768,-0.0228921,-0.0181851,-0.0169844,-0.777143,9.24198,-2.57791,0.0103479,0.0979745,-0.0968161,4.64331,3.47143,8.21643,-0.0231551,0.00199688,0.0350146
0.006,4.69462,-3.03567,7.86691,-0.0848287,-0.0208843,0.0669522,1.47453,-9.4967,-2.7429,0.0786122,-0.198927,-0.0228554,-0.871031,9.21111,-3.0132,0.0173986,0.125515,-0.0533629,9.18305,0.982073,2.74522,0.159402,0.109094,0.0790237,-1.36277,-9.72006,-2.5143,-0.0211711,-0.0114452,-0.018972,-0.75087,9.29452,-2.62013,0.0104256,0.092332,-0.0947739,4.64727,3.47087,8.21618,-0.0235812,0.00321375,0.0366969
0.007,4.693,-3.04117,7.86672,-0.089027,-0.0250541,0.0662351,1.48387,-9.47762,-2.77712,0.0812237,-0.198717,-0.0209639,-0.87108,9.24748,-3.03832,0.0172744,0.122245,-0.0546773,9.18036,0.971358,2.73424,0.161188,0.106496,0.0816873,-1.34707,-9.69935,-2.51092,-0.01945,-0.00470523,-0.0209597,-0.724597,9.34707,-2.66234,0.0105033,0.0866895,-0.0927318,4.65123,3.47031,8.21594,-0.0240074,0.00443061,0.0383792
0.008,4.69138,-3.04668,7.86653,-0.0932254,-0.0292239,0.0655179,1.4932,-9.45854,-2.81134,0.0838351,-0.198507,-0.0190723,-0.87113,9.28384,-3.06343,0.0171503,0.118976,-0.0559918,9.17768,0.960643,2.72327,0.162974,0.103899,0.084351,-1.33138,-9.67863,-2.50754,-0.017729,0.00203471,-0.0229473,-0.698323,9.39961,-2.70456,0.010581,0.081047,-0.0906896,4.65519,3.46975,8.21569,-0.0244335,0.00564747,0.0400615
0.009,4.69112,-3.04965,7.86863,-0.0970004,-0.0328752,0.0648239,1.50249,-9.43939,-2.84238,0.0859456,-0.198009,-0.0170201,-0.871521,9.31782,-3.08899,0.0173161,0.116043,-0.0568427,9.17647,0.952845,2.7136,0.164637,0.1011,0.0867344,-1.31876,-9.65644,-2.5049,-0.0161137,0.00869199,-0.0245468,-0.67459,9.44972,-2.74415,0.0106314,0.0755805,-0.0884485,4.65793,3.46814,8.21688,-0.0248995,0.00674349,0.041446
0.01,4.70174,-3.03228,7.88905,-0.0973881,-0.0323786,0.0643152,1.51151,-9.41961,-2.84795,0.0840484,-0.195215,-0.0136838,-0.874639,9.33262,-3.11811,0.0198007,0.115807,-0.053985,9.1871,0.96838,2.7143,0.165309,0.0966895,0.0868755,-1.33078,-9.62238,-2.50813,-0.0153444,0.0146879,-0.0230409,-0.671173,9.48032,-2.76281,0.0104645,0.0715226,-0.084616,4.65094,3.45821,8.22951,-0.0256837,0.00687267,0.0404487
0.011,4.71235,-3.01491,7.90947,-0.0977758,-0.0318821,0.0638065,1.52052,-9.39984,-2.85352,0.0821511,-0.192421,-0.0103475,-0.877756,9.34743,-3.14723,0.0222853,0.115571,-0.0511274,9.19772,0.983915,2.715,0.165981,0.0922794,0.0870167,-1.34279,-9.58831,-2.51136,-0.0145751,0.0206838,-0.0215349,-0.667755,9.51092,-2.78147,0.0102975,0.0674646,-0.0807836,4.64396,3.44827,8.24214,-0.026468,0.00700185,0.0394513
0.012,4.72297,-2.99754,7.92989,-0.0981635,-0.0313855,0.0632978,1.52954,-9.38006,-2.85909,0.0802539,-0.189626,-0.00701117,-0.880874,9.36223,-3.17635,0.0247699,0.115335,-0.0482697,9.20835,0.99945,2.71571,0.166653,0.0878692,0.0871578,-1.3548,-9.55425,-2.51458,-0.0138058,0.0266798,-0.020029,-0.664338,9.54152,-2.80013,0.0101305,0.0634067,-0.0769511,4.63697,3.43833,8.25477,-0.0272522,0.00713103,0.038454
0.013,4.73359,-2.98017,7.95031,-0.0985512,-0.0308889,0.0627891,1.53855,-9.36029,-2.86467,0.0783567,-0.186832,-0.00367485,-0.883991,9.37704,-3.20547,0.0272545,0.115099,-0.0454121,9.21898,1.01498,2.71641,0.167325,0.0834591,0.0872989,-1.36681,-9.52018,-2.51781,-0.0130364,0.0326757,-0.018523,-0.660921,9.57211,-2.81879,0.0099635,0.0593488,-0.0731186,4.62999,3.4284,8.2674,-0.0280365,0.00726022,0.0374567
0.014,4.72758,-2.99086,7.95335,-0.100613,-0.0302193,0.061895,1.54289,-9.36554,-2.88664,0.0785194,-0.183204,-0.00214571,-0.901546,9.35856,-3.22244,0.0266645,0.112589,-0.0450999,9.21995,1.03219,2.72416,0.167208,0.0800907,0.0890745,-1.38353,-9.50652,-2.51662,-0.0133644,0.0373399,-0.0175115,-0.671322,9.5858,-2.83074,0.0086164,0.0546384,-0.0687094,4.62885,3.42044,8.27281,-0.0280621,0.0068182,0.0372478
0.015,4.71326,-3.01558,7.94771,-0.103511,-0.0294631,0.0608082,1.5449,-9.3833,-2.91682,0.0797121,-0.17916,-0.00152016,-0.92632,9.32345,-3.23333,0.0245371,0.108944,-0.0460604,9.21609,1.05022,2.73542,0.166697,0.0772432,0.0916672,-1.40259,-9.50305,-2.51321,-0.0142411,0.0413382,-0.0167473,-0.688633,9.59102,-2.83934,0.00667923,0.0496019,-0.0640119,4.63063,3.41347,8.27461,-0.0277084,0.00609059,0.037433
0.016,4.69894,-3.0403,7.94206,-0.10641,-0.028707,0.0597215,1.5469,-9.40107,-2.947,0.0809047,-0.175115,-0.000894601,-0.951093,9.28833,-3.24422,0.0224097,0.105298,-0.047021,9.21223,1.06825,2.74669,0.166186,0.0743957,0.0942599,-1.42166,-9.49958,-2.50981,-0.0151178,0.0453365,-0.015983,-0.705944,9.59625,-2.84794,0.00474206,0.0445653,-0.0593143,4.63241,3.40651,8.27641,-0.0273547,0.00536298,0.0376182
0.017,4.68462,-3.06502,7.93642,-0.109309,-0.0279508,0.0586348,1.54891,-9.41883,-2.97717,0.0820974,-0.171071,-0.000269046,-0.975867,9.25321,-3.25511,0.0202824,0.101652,-0.0479815,9.20838,1.08628,2.75796,0.165674,0.0715482,0.0968527,-1.44073,-9.49611,-2.5064,-0.0159944,0.0493348,-0.0152187,-0.723255,9.60147,-2.85654,0.00280489,0.0395287,-0.0546168,4.63419,3.39954,8.2782,-0.027001,0.00463537,0.0378035
0.018,4.67381,-3.08872,7.93001,-0.111386,-0.0271244,0.0571667,1.5534,-9.43175,-2.99547,0.0830053,-0.167087,0.000420807,-0.991743,9.22687,-3.25978,0.0188059,0.0981616,-0.0485374,9.2021,1.09647,2.76896,0.165706,0.0683775,0.0991841,-1.45705,-9.49364,-2.50348,-0.0167477,0.0526446,-0.0149553,-0.734237,9.60193,-2.8596,0.000935659,0.0333955,-0.0501163,4.63303,3.3964,8.2804,-0.0268643,0.0041437,0.0378632
0.019,4.67529,-3.10887,7.9209,-0.110591,-0.0260519,0.0543639,1.56662,-9.42772,-2.97219,0.0829163,-0.163314,0.0013357,-0.976477,9.23122,-3.24268,0.0196077,0.0952152,-0.0476768,9.18735,1.07919,2.77902,0.167636,0.0640756,0.100601,-1.46379,-9.49464,-2.50226,-0.0170692,0.0535447,-0.0164448,-0.723069,9.58569,-2.84324,-0.000695785,0.0234238,-0.0463055,4.62157,3.40665,8.284,-0.0274867,0.00447782,0.0374832
0.02,4.67677,-3.12902,7.9118,-0.109795,-0.0249794,0.0515611,1.57984,-9.42369,-2.94891,0.0828274,-0.159542,0.0022506,-0.961211,9.23557,-3.22559,0.0204095,0.0922688,-0.0468162,9.1726,1.06191,2.78908,0.169566,0.0597737,0.102018,-1.47053,-9.49564,-2.50103,-0.0173906,0.0544448,-0.0179343,-0.711901,9.56944,-2.82689,-0.00232723,0.0134522,-0.0424948,4.61011,3.41691,8.28759,-0.0281092,0.00481194,0.0371033
0.021,4.67825,-3.14917,7.9027,-0.109,-0.0239069,0.0487584,1.59306,-9.41965,-2.92563,0.0827385,-0.15577,0.0031655,-0.945945,9.23992,-3.2085,0.0212113,0.0893223,-0.0459556,9.15785,1.04463,2.79914,0.171497,0.0554718,0.103435,-1.47727,-9.49664,-2.49981,-0.0177121,0.0553449,-0.0194239,-0.700733,9.5532,-2.81053,-0.00395867,0.00348051,-0.0386841,4.59865,3.42716,8.29118,-0.0287316,0.00514605,0.0367234
0.022,4.67973,-3.16932,7.8936,-0.108204,-0.0228344,0.0459556,1.60629,-9.41562,-2.90235,0.0826495,-0.151997,0.0040804,-0.930679,9.24427,-3.19141,0.0220131,0.0863759,-0.045095,9.1431,1.02735,2.80921,0.173427,0.0511699,0.104852,-1.48401,-9.49764,-2.49859,-0.0180336,0.056245,-0.0209134,-0.689565,9.53696,-2.79418,-0.00559012,-0.00649115,-0.0348734,4.58718,3.43742,8.29478,-0.029354,0.00548017,0.0363435
0.023,4.69546,-3.19386,7.88049,-0.108909,-0.0231148,0.0443574,1.64643,-9.40475,-2.89128,0.0805503,-0.149551,0.00461748,-0.956737,9.24057,-3.19676,0.0207791,0.0805809,-0.0432504,9.14408,1.01268,2.81255,0.174923,0.045216,0.104813,-1.49944,-9.49047,-2.49474,-0.0185273,0.0578526,-0.0193747,-0.681035,9.49848,-2.78365,-0.00662282,-0.0192929,-0.0336977,4.59035,3.44276,8.28746,-0.0304356,0.00458144,0.0370434
0.024,4.71526,-3.21965,7.86624,-0.110044,-0.0237817,0.0431035,1.69427,-9.39192,-2.88369,0.0778768,-0.147485,0.00504662,-0.994603,9.23458,-3.20852,0.0189634,0.0739721,-0.0411247,9.14955,0.998746,2.81397,0.176295,0.0387902,0.104358,-1.51736,-9.48097,-2.49013,-0.0190702,0.0596624,-0.0169708,-0.673259,9.45364,-2.77478,-0.00748446,-0.0329032,-0.0332748,4.59769,3.44671,8.27702,-0.0316483,0.00333047,0.0380519
0.025,4.73505,-3.24544,7.852,-0.111178,-0.0244485,0.0418495,1.74211,-9.37909,-2.87611,0.0752032,-0.145418,0.00547575,-1.03247,9.22859,-3.22028,0.0171478,0.0673632,-0.0389991,9.15502,0.984815,2.81539,0.177666,0.0323643,0.103902,-1.53528,-9.47146,-2.48552,-0.0196132,0.0614722,-0.0145669,-0.665483,9.40881,-2.76592,-0.0083461,-0.0465135,-0.0328519,4.60503,3.45065,8.26658,-0.032861,0.0020795,0.0390603
0.026,4.75485,-3.27124,7.83775,-0.112313,-0.0251154,0.0405955,1.78995,-9.36626,-2.86852,0.0725296,-0.143351,0.00590489,-1.07034,9.2226,-3.23204,0.0153321,0.0607543,-0.0368734,9.16049,0.970883,2.81681,0.179038,0.0259385,0.103447,-1.55319,-9.46196,-2.48092,-0.0201561,0.063282,-0.012163,-0.657707,9.36397,-2.75705,-0.00920773,-0.0601239,-0.0324291,4.61237,3.4546,8.25614,-0.0340737,0.000828527,0.0400687
0.027,4.77145,-3.29231,7.82317,-0.112224,-0.0255675,0.0399547,1.82999,-9.35247,-2.8493,0.071144,-0.141015,0.00673104,-1.11283,9.21609,-3.24318,0.0141789,0.0540154,-0.0345755,9.16556,0.955692,2.82031,0.180063,0.0198295,0.10269,-1.57635,-9.45714,-2.47925,-0.019964,0.0649903,-0.00981876,-0.64765,9.32054,-2.75148,-0.0102604,-0.0741956,-0.0318581,4.62272,3.45558,8.24701,-0.034738,0.000627286,0.040393
0.028,4.78166,-3.30393,7.80792,-0.109689,-0.0255901,0.0405404,1.85442,-9.33677,-2.8068,0.0723342,-0.138142,0.00835121,-1.16459,9.20852,-3.25306,0.0143505,0.0470163,-0.0319333,9.16984,0.937981,2.82796,0.180392,0.0143543,0.10133,-1.60999,-9.46167,-2.48345,-0.0183019,0.0664958,-0.00759381,-0.633028,9.27993,-2.75249,-0.011695,-0.0891902,-0.0309911,4.63907,3.45065,8.24052,-0.0343056,0.0025255,0.039349
0.029,4.79186,-3.31556,7.79267,-0.107154,-0.0256126,0.041126,1.87886,-9.32108,-2.7643,0.0735243,-0.135268,0.00997138,-1.21635,9.20095,-3.26294,0.014522,0.0400173,-0.0292911,9.17412,0.92027,2.8356,0.180722,0.00887904,0.09997,-1.64362,-9.46621,-2.48765,-0.0166399,0.0680013,-0.00536886,-0.618406,9.23932,-2.75349,-0.0131297,-0.104185,-0.030124,4.65543,3.44572,8.23402,-0.0338733,0.00442372,0.0383049
0.03,4.80207,-3.32719,7.77742,-0.104619,-0.0256351,0.0417117,1.90329,-9.30538,-2.7218,0.0747145,-0.132395,0.0115915,-1.26811,9.19338,-3.27282,0.0146936,0.0330182,-0.0266489,9.17841,0.902559,2.84325,0.181051,0.00340381,0.0986099,-1.67726,-9.47075,-2.49186,-0.0149778,0.0695067,-0.0031439,-0.603784,9.19872,-2.7545,-0.0145643,-0.119179,-0.029257,4.67179,3.44079,8.22752,-0.0334409,0.00632194,0.0372609
0.031,4.81228,-3.33881,7.76218,-0.102084,-0.0256577,0.0422973,1.92772,-9.28968,-2.6793,0.0759047,-0.129521,0.0132117,-1.31987,9.18581,-3.28271,0.0148652,0.0260192,-0.0240067,9.18269,0.884848,2.8509,0.181381,-0.00207142,0.0972498,-1.71089,-9.47528,-2.49606,-0.0133157,0.0710122,-0.000918951,-0.589163,9.1581,-2.75551,-0.0159989,-0.134174,-0.0283899,4.68815,3.43586,8.22103,-0.0330085,0.00822016,0.0362169
0.032,4.8255,-3.36343,7.75055,-0.0990194,-0.0258979,0.0398763,1.94351,-9.29174,-2.67991,0.0739021,-0.128001,0.0124572,-1.31165,9.17255,-3.28213,0.0121643,0.0181748,-0.0226084,9.18106,0.901804,2.85036,0.182303,-0.00693699,0.0957408,-1.71848,-9.47108,-2.47497,-0.0149573,0.0691051,-0.0014856,-0.60959,9.13027,-2.79416,-0.0151111,-0.14509,-0.0266829,4.67779,3.44953,8.21146,-0.0332536,0.00892279,0.0370173
0.033,4.83909,-3.38967,7.73937,-0.0958889,-0.0261653,0.0370794,1.95821,-9.29602,-2.6859,0.0715004,-0.12665,0.0114057,-1.29594,9.15859,-3.28024,0.00910444,0.0102246,-0.0213656,9.17869,0.923094,2.8488,0.183299,-0.0117263,0.0942132,-1.72282,-9.46579,-2.45071,-0.0170118,0.0667715,-0.00240121,-0.6344,9.10403,-2.83751,-0.013933,-0.155497,-0.0248709,4.66408,3.46553,8.20151,-0.0335833,0.00947597,0.0380482
0.034,4.85268,-3.41591,7.7282,-0.0927585,-0.0264326,0.0342825,1.97292,-9.30029,-2.6919,0.0690986,-0.125299,0.0103543,-1.28022,9.14462,-3.27835,0.00604453,0.00227451,-0.0201228,9.17632,0.944383,2.84724,0.184296,-0.0165157,0.0926856,-1.72716,-9.4605,-2.42646,-0.0190663,0.0644379,-0.00331681,-0.659209,9.07779,-2.88086,-0.0127548,-0.165903,-0.0230589,4.65038,3.48154,8.19156,-0.0339131,0.0100291,0.0390791
0.035,4.86628,-3.44215,7.71702,-0.089628,-0.0267,0.0314856,1.98762,-9.30457,-2.69789,0.0666969,-0.123948,0.00930293,-1.26451,9.13066,-3.27647,0.00298463,-0.00567561,-0.01888,9.17396,0.965673,2.84568,0.185292,-0.0213051,0.091158,-1.7315,-9.4552,-2.4022,-0.0211208,0.0621043,-0.00423242,-0.684018,9.05155,-2.92422,-0.0115767,-0.17631,-0.0212469,4.63668,3.49754,8.18161,-0.0342428,0.0105823,0.0401101
