Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0,-1.68607,-9.47013,-2.73273,-0.180456,0.0871067,0.0536468,8.47632,0.262744,4.81319,-0.0172285,-0.0173152,0.0496422,-1.54477,9.45991,-0.928029,-0.0670864,-0.246246,-0.0577264,2.01354,-9.35097,-1.84991,-0.156555,0.0283103,0.115821,4.39228,0.809897,8.66176,-0.0253024,0.00973106,-0.00554812,-1.23401,9.51175,-2.01495,-0.110114,-0.139289,-0.16486,3.73534,4.16012,8.25151,0.0179529,0.0237055,-0.00108143
0.001,-1.69588,-9.45863,-2.72473,-0.180939,0.0881867,0.0553903,8.48385,0.269212,4.7948,-0.0153341,-0.0200661,0.0510753,-1.55688,9.43801,-0.936678,-0.0642634,-0.252842,-0.0582187,2.03093,-9.33899,-1.85564,-0.155887,0.0306357,0.118311,4.39167,0.814845,8.64066,-0.0267215,0.00971016,-0.00462091,-1.22731,9.49934,-2.04288,-0.11048,-0.14112,-0.163807,3.74138,4.1085,8.23234,0.0168474,0.0225944,-0.00124286
0.002,-1.70568,-9.44714,-2.71672,-0.181423,0.0892667,0.0571339,8.49138,0.27568,4.77641,-0.0134397,-0.0228171,0.0525084,-1.56899,9.41611,-0.945327,-0.0614404,-0.259437,-0.058711,2.04832,-9.327,-1.86136,-0.15522,0.0329611,0.120801,4.39106,0.819794,8.61956,-0.0281405,0.00968926,-0.0036937,-1.2206,9.48693,-2.07081,-0.110845,-0.142952,-0.162755,3.74743,4.05688,8.21318,0.0157418,0.0214833,-0.00140429
0.003,-1.71549,-9.43565,-2.70872,-0.181906,0.0903466,0.0588774,8.49891,0.282148,4.75802,-0.0115454,-0.025568,0.0539414,-1.58109,9.3942,-0.953977,-0.0586174,-0.266033,-0.0592032,2.06571,-9.31502,-1.86708,-0.154552,0.0352865,0.123291,4.39045,0.824742,8.59846,-0.0295596,0.00966836,-0.00276649,-1.2139,9.47452,-2.09875,-0.111211,-0.144783,-0.161703,3.75347,4.00526,8.19401,0.0146363,0.0203722,-0.00156572
0.004,-1.72529,-9.42416,-2.70072,-0.182389,0.0914266,0.0606209,8.50644,0.288616,4.73962,-0.00965099,-0.028319,0.0553745,-1.5932,9.3723,-0.962626,-0.0557943,-0.272629,-0.0596955,2.0831,-9.30303,-1.8728,-0.153885,0.0376119,0.125782,4.38985,0.829691,8.57736,-0.0309787,0.00964746,-0.00183928,-1.2072,9.46211,-2.12668,-0.111576,-0.146615,-0.160651,3.75951,3.95363,8.17484,0.0135308,0.019261,-0.00172715
0.005,-1.73103,-9.42325,-2.68949,-0.182283,0.0914799,0.061674,8.51701,0.30082,4.72619,-0.00955555,-0.0313593,0.0561681,-1.59649,9.35709,-0.963229,-0.05435,-0.276632,-0.0582246,2.09615,-9.29953,-1.88288,-0.154311,0.0386151,0.127002,4.38652,0.845966,8.56504,-0.0333845,0.00917877,-0.0019678,-1.19663,9.46111,-2.12978,-0.112249,-0.148754,-0.162378,3.76478,3.91535,8.15933,0.0101455,0.0186178,-0.00317117
0.006,-1.73352,-9.43082,-2.67567,-0.181705,0.0907119,0.0621748,8.53001,0.317612,4.71673,-0.0108993,-0.034631,0.0564502,-1.59274,9.34723,-0.957394,-0.0540086,-0.278559,-0.0551831,2.10572,-9.30282,-1.89644,-0.155612,0.0385606,0.127208,4.38102,0.871303,8.55975,-0.0365798,0.00835185,-0.00294089,-1.18296,9.46925,-2.11303,-0.113168,-0.151139,-0.166328,3.76942,3.88774,8.14674,0.00493636,0.0183489,-0.00564127
0.007,-1.736,-9.43839,-2.66185,-0.181126,0.0899438,0.0626756,8.543,0.334404,4.70727,-0.012243,-0.0379028,0.0567322,-1.58898,9.33737,-0.951559,-0.0536672,-0.280486,-0.0521416,2.11529,-9.3061,-1.91001,-0.156914,0.038506,0.127413,4.37552,0.896639,8.55446,-0.0397751,0.00752493,-0.00391398,-1.16929,9.47738,-2.09627,-0.114087,-0.153524,-0.170278,3.77406,3.86014,8.13415,-0.000272748,0.01808,-0.00811136
0.008,-1.73849,-9.44595,-2.64804,-0.180548,0.0891758,0.0631764,8.556,0.351196,4.69781,-0.0135867,-0.0411746,0.0570143,-1.58523,9.32751,-0.945725,-0.0533258,-0.282414,-0.0491001,2.12486,-9.30939,-1.92357,-0.158215,0.0384515,0.127618,4.37002,0.921976,8.54916,-0.0429704,0.006698,-0.00488707,-1.15562,9.48552,-2.07951,-0.115006,-0.155909,-0.174228,3.77871,3.83253,8.12155,-0.00548185,0.0178111,-0.0105815
0.009,-1.74072,-9.4536,-2.63567,-0.179966,0.0884174,0.06333,8.56653,0.366037,4.68995,-0.0147981,-0.0441427,0.0573686,-1.57948,9.31902,-0.943158,-0.0527039,-0.283784,-0.0461747,2.13045,-9.31337,-1.93195,-0.159153,0.0383253,0.1278,4.36482,0.948186,8.54568,-0.0460169,0.00590314,-0.00560347,-1.14154,9.49018,-2.06574,-0.115804,-0.15779,-0.177692,3.7804,3.80653,8.10936,-0.0106035,0.0173014,-0.0130396
