Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z
0,9.00584,-0.636592,4.50377,-0.731439,-0.242938,-0.50986,-0.611129,10.4759,-3.75222,-0.334355,-1.07482,-1.06309,-4.67949,10.2799,-2.28412,0.679402,0.623273,1.29291,-3.15549,-9.49607,-2.24819,-0.0659142,-0.0209567,0.310948,4.66449,2.42892,8.69896,-0.107158,-0.0130565,0.025007,-0.981381,-10.0912,-0.517356,0.114392,-0.146043,0.188888,21.2075,-5.45098,5.4537,0.194189,0.751858,0.720662
0.001,8.99172,-0.633992,4.4801,-0.728851,-0.244431,-0.506521,-0.311994,10.4122,-3.74234,-0.315095,-1.09016,-1.06873,-4.56248,10.8511,-2.33325,0.62784,0.639251,1.24413,-3.15065,-9.56531,-2.20886,-0.0542005,-0.026804,0.315168,4.66001,2.37691,8.68527,-0.102335,-0.0130369,0.021497,-0.975172,-10.0863,-0.49403,0.115302,-0.147451,0.189281,20.6988,-5.51403,5.24668,0.198576,0.73019,0.716743
0.002,8.97761,-0.631392,4.45644,-0.726264,-0.245924,-0.503183,-0.0128593,10.3485,-3.73246,-0.295835,-1.1055,-1.07437,-4.44547,11.4224,-2.38239,0.576277,0.655229,1.19534,-3.14582,-9.63455,-2.16954,-0.0424869,-0.0326513,0.319388,4.65554,2.3249,8.67158,-0.0975112,-0.0130172,0.0179871,-0.968963,-10.0813,-0.470705,0.116212,-0.148859,0.189674,20.1902,-5.57707,5.03967,0.202963,0.708522,0.712825
0.003,8.96349,-0.628791,4.43277,-0.723677,-0.247417,-0.499845,0.286276,10.2847,-3.72258,-0.276575,-1.12084,-1.08001,-4.32845,11.9936,-2.43153,0.524714,0.671206,1.14656,-3.14099,-9.70379,-2.13021,-0.0307733,-0.0384985,0.323608,4.65106,2.27289,8.65789,-0.0926876,-0.0129976,0.0144771,-0.962754,-10.0763,-0.44738,0.117121,-0.150267,0.190067,19.6815,-5.64012,4.83265,0.207349,0.686854,0.708906
0.004,8.94938,-0.626191,4.40911,-0.72109,-0.24891,-0.496507,0.58541,10.221,-3.7127,-0.257315,-1.13618,-1.08566,-4.21144,12.5648,-2.48067,0.473151,0.687184,1.09777,-3.13616,-9.77303,-2.09089,-0.0190597,-0.0443458,0.327828,4.64658,2.22088,8.6442,-0.087864,-0.0129779,0.0109672,-0.956545,-10.0713,-0.424055,0.118031,-0.151675,0.19046,19.1729,-5.70317,4.62563,0.211736,0.665186,0.704987
0.005,8.93847,-0.632547,4.42326,-0.719864,-0.250818,-0.494276,0.874455,10.1538,-3.70032,-0.229259,-1.14799,-1.09068,-4.12852,12.9679,-2.63676,0.439672,0.706278,1.05558,-3.09661,-9.81767,-2.05222,-0.00568297,-0.049787,0.331124,4.64477,2.17668,8.63859,-0.0836691,-0.0126087,0.00764699,-0.949949,-10.0732,-0.419584,0.118644,-0.152322,0.190554,18.4168,-5.62591,4.42202,0.205726,0.647326,0.686916
0.006,8.93013,-0.646069,4.46766,-0.719726,-0.253058,-0.49293,1.15543,10.0838,-3.68594,-0.194166,-1.15696,-1.09521,-4.07287,13.2364,-2.8784,0.42066,0.727863,1.01865,-3.02928,-9.84264,-2.01409,0.00902418,-0.0549034,0.333681,4.6451,2.13873,8.63945,-0.0799769,-0.0119598,0.0044786,-0.943042,-10.0806,-0.430195,0.11902,-0.15236,0.190407,17.4628,-5.4364,4.22114,0.191398,0.632513,0.657524
0.007,8.92179,-0.659591,4.51206,-0.719588,-0.255298,-0.491585,1.4364,10.0138,-3.67157,-0.159073,-1.16593,-1.09974,-4.01723,13.5049,-3.12004,0.401648,0.749448,0.981727,-2.96195,-9.86761,-1.97596,0.0237313,-0.0600198,0.336239,4.64542,2.10078,8.6403,-0.0762848,-0.011311,0.00131021,-0.936135,-10.088,-0.440806,0.119396,-0.152397,0.19026,16.5088,-5.24688,4.02026,0.177071,0.617699,0.628131
0.008,8.91345,-0.673113,4.55646,-0.719451,-0.257537,-0.49024,1.71737,9.94372,-3.65719,-0.12398,-1.17491,-1.10426,-3.96159,13.7734,-3.36169,0.382635,0.771034,0.944802,-2.89461,-9.89258,-1.93783,0.0384385,-0.0651361,0.338796,4.64575,2.06283,8.64115,-0.0725927,-0.0106621,-0.00185819,-0.929227,-10.0954,-0.451417,0.119772,-0.152435,0.190113,15.5549,-5.05737,3.81937,0.162743,0.602885,0.598738
0.009,8.9075,-0.68307,4.5973,-0.719061,-0.259815,-0.488689,2.00365,9.87717,-3.64026,-0.0883844,-1.18351,-1.10828,-3.91894,14.0125,-3.59148,0.36405,0.794675,0.907359,-2.83316,-9.91886,-1.90094,0.0529529,-0.0700739,0.341462,4.64888,2.02907,8.64368,-0.0691487,-0.0101394,-0.00498433,-0.924413,-10.1019,-0.460808,0.120102,-0.152256,0.189857,14.6192,-4.83924,3.63466,0.146114,0.588707,0.571589
0.01,8.92069,-0.664502,4.6097,-0.716655,-0.262397,-0.48549,2.33235,9.83849,-3.60293,-0.0487715,-1.18918,-1.10821,-3.98028,14.016,-3.72647,0.348881,0.834759,0.865769,-2.81871,-9.95561,-1.87397,0.0659258,-0.0735835,0.344999,4.67451,2.02885,8.65957,-0.0676896,-0.0106264,-0.0077725,-0.936335,-10.1018,-0.460436,0.120066,-0.150334,0.188718,13.8297,-4.39216,3.57937,0.11107,0.579607,0.562387
0.011,8.93387,-0.645935,4.6221,-0.714249,-0.264978,-0.482291,2.66105,9.79981,-3.5656,-0.00915856,-1.19486,-1.10814,-4.04163,14.0194,-3.86146,0.333713,0.874842,0.82418,-2.80426,-9.99236,-1.847,0.0788986,-0.077093,0.348535,4.70013,2.02864,8.67546,-0.0662306,-0.0111134,-0.0105607,-0.948257,-10.1016,-0.460065,0.120029,-0.148412,0.18758,13.0403,-3.94507,3.52407,0.0760263,0.570508,0.553185
0.012,8.94706,-0.627367,4.63449,-0.711843,-0.26756,-0.479092,2.98975,9.76112,-3.52827,0.0304543,-1.20053,-1.10808,-4.10297,14.0229,-3.99646,0.318544,0.914926,0.782591,-2.78981,-10.0291,-1.82003,0.0918714,-0.0806026,0.352071,4.72575,2.02842,8.69136,-0.0647716,-0.0116004,-0.0133488,-0.96018,-10.1014,-0.459693,0.119992,-0.146491,0.186441,12.2509,-3.49799,3.46877,0.0409825,0.561408,0.543982
0.013,8.96024,-0.6088,4.64689,-0.709437,-0.270142,-0.475893,3.31845,9.72244,-3.49094,0.0700672,-1.2062,-1.10801,-4.16431,14.0264,-4.13145,0.303375,0.95501,0.741002,-2.77536,-10.0659,-1.79306,0.104844,-0.0841121,0.355608,4.75137,2.02821,8.70725,-0.0633125,-0.0120874,-0.016137,-0.972102,-10.1012,-0.459321,0.119956,-0.144569,0.185303,11.4614,-3.05091,3.41347,0.00593869,0.552309,0.53478
0.014,8.9399,-0.584737,4.63872,-0.707378,-0.26977,-0.474377,3.63632,9.71647,-3.41262,0.114604,-1.20624,-1.10622,-4.17701,13.9754,-4.16739,0.280253,0.997775,0.69821,-2.71932,-10.0974,-1.73418,0.114396,-0.0875381,0.355288,4.76222,2.04373,8.71692,-0.0611937,-0.0129864,-0.0182674,-0.964359,-10.0914,-0.460691,0.120612,-0.141645,0.185617,10.8898,-2.7041,3.65766,0.00857202,0.542949,0.552906
0.015,8.90279,-0.557926,4.62026,-0.705493,-0.267921,-0.473704,3.94878,9.72685,-3.31381,0.161604,-1.20346,-1.10357,-4.16539,13.8971,-4.15382,0.253155,1.04188,0.654817,-2.64249,-10.1263,-1.65933,0.122237,-0.0909223,0.35304,4.76567,2.06711,8.72348,-0.058745,-0.0140914,-0.0200688,-0.946784,-10.0768,-0.462932,0.121614,-0.13822,0.186657,10.427,-2.40743,4.05161,0.0300439,0.533458,0.584696
0.016,8.86568,-0.531116,4.6018,-0.703608,-0.266073,-0.473031,4.26124,9.73724,-3.215,0.208603,-1.20067,-1.10092,-4.15376,13.8188,-4.14025,0.226057,1.08599,0.611423,-2.56567,-10.1552,-1.58449,0.130078,-0.0943066,0.350791,4.76913,2.09049,8.73004,-0.0562963,-0.0151965,-0.0218703,-0.929209,-10.0622,-0.465174,0.122617,-0.134795,0.187697,9.96422,-2.11077,4.44556,0.0515158,0.523967,0.616485
0.017,8.82857,-0.504305,4.58335,-0.701723,-0.264224,-0.472358,4.57369,9.74762,-3.11619,0.255603,-1.19789,-1.09828,-4.14214,13.7405,-4.12667,0.198958,1.13009,0.56803,-2.48884,-10.1841,-1.50965,0.13792,-0.0976908,0.348543,4.77259,2.11388,8.7366,-0.0538476,-0.0163015,-0.0236717,-0.911633,-10.0476,-0.467415,0.123619,-0.13137,0.188737,9.50144,-1.8141,4.8395,0.0729877,0.514477,0.648275
0.018,8.79914,-0.485672,4.5753,-0.700004,-0.262105,-0.471353,4.88694,9.7673,-3.02166,0.298206,-1.19473,-1.09514,-4.066,13.6749,-4.07353,0.169441,1.16948,0.526683,-2.4153,-10.2076,-1.44977,0.145684,-0.101784,0.345697,4.77091,2.12987,8.73937,-0.0509125,-0.0178724,-0.0254027,-0.894106,-10.034,-0.473366,0.124653,-0.128291,0.189761,9.06786,-1.65017,5.25768,0.0996328,0.504964,0.679017
0.019,8.79659,-0.495657,4.60369,-0.698866,-0.259041,-0.469187,5.20296,9.81956,-2.94214,0.325425,-1.1902,-1.09029,-3.76405,13.6534,-3.88191,0.131456,1.19237,0.492499,-2.35327,-10.2123,-1.44226,0.153177,-0.108361,0.340757,4.75123,2.12001,8.72886,-0.0462753,-0.0210739,-0.0268871,-0.876749,-10.0237,-0.492303,0.125797,-0.126425,0.190724,8.73649,-1.9508,5.76068,0.144384,0.495374,0.706092
0.02,8.79404,-0.505643,4.63207,-0.697728,-0.255976,-0.467022,5.51898,9.87181,-2.86262,0.352644,-1.18568,-1.08544,-3.4621,13.6318,-3.69028,0.0934705,1.21525,0.458316,-2.29124,-10.2169,-1.43475,0.160671,-0.114938,0.335818,4.73156,2.11015,8.71834,-0.041638,-0.0242754,-0.0283714,-0.859391,-10.0134,-0.51124,0.126942,-0.124559,0.191688,8.40511,-2.25143,6.26367,0.189135,0.485784,0.733167
0.021,8.7915,-0.515629,4.66046,-0.69659,-0.252911,-0.464857,5.835,9.92407,-2.7831,0.379863,-1.18116,-1.08059,-3.16015,13.6103,-3.49866,0.0554853,1.23814,0.424132,-2.2292,-10.2216,-1.42724,0.168165,-0.121515,0.330879,4.71189,2.1003,8.70783,-0.0370007,-0.0274769,-0.0298557,-0.842034,-10.0032,-0.530178,0.128086,-0.122693,0.192652,8.07374,-2.55206,6.76667,0.233886,0.476193,0.760242
0.022,8.78895,-0.525614,4.68885,-0.695451,-0.249846,-0.462691,6.15102,9.97632,-2.70358,0.407082,-1.17664,-1.07574,-2.85821,13.5888,-3.30703,0.0175001,1.26102,0.389949,-2.16717,-10.2263,-1.41973,0.175658,-0.128091,0.325939,4.69222,2.09044,8.69732,-0.0323635,-0.0306784,-0.0313401,-0.824676,-9.99289,-0.549115,0.12923,-0.120827,0.193616,7.74237,-2.85269,7.26967,0.278637,0.466603,0.787317
0.023,8.79265,-0.529769,4.67327,-0.69444,-0.24748,-0.462008,6.43101,10.0648,-2.62587,0.424866,-1.16593,-1.06833,-2.37193,13.6437,-2.95791,-0.0181524,1.25761,0.376844,-2.10524,-10.225,-1.36402,0.180288,-0.132311,0.321251,4.68076,2.08964,8.67829,-0.0273837,-0.0334807,-0.0330666,-0.805876,-9.97567,-0.576068,0.129871,-0.117767,0.193585,7.33498,-3.35258,7.5652,0.290512,0.46244,0.788609
0.024,8.79813,-0.532257,4.64513,-0.693466,-0.245314,-0.461749,6.7007,10.1637,-2.54867,0.439954,-1.15347,-1.06019,-1.83299,13.7205,-2.56379,-0.0531386,1.24668,0.369762,-2.04334,-10.2221,-1.29453,0.184099,-0.135858,0.316635,4.67164,2.09143,8.65683,-0.022306,-0.0361688,-0.0348623,-0.786663,-9.95646,-0.605311,0.130369,-0.114366,0.193271,6.90586,-3.9094,7.80145,0.292993,0.459827,0.782533
0.025,8.80361,-0.534745,4.61698,-0.692491,-0.243148,-0.46149,6.9704,10.2625,-2.47147,0.455042,-1.141,-1.05204,-1.29405,13.7973,-2.16967,-0.0881247,1.23576,0.362681,-1.98144,-10.2191,-1.22505,0.187911,-0.139404,0.312019,4.66252,2.09323,8.63537,-0.0172284,-0.038857,-0.036658,-0.767451,-9.93724,-0.634554,0.130866,-0.110964,0.192956,6.47675,-4.46622,8.0377,0.295475,0.457214,0.776457
0.026,8.80909,-0.537233,4.58884,-0.691516,-0.240982,-0.46123,7.24009,10.3614,-2.39427,0.47013,-1.12854,-1.0439,-0.755115,13.874,-1.77554,-0.123111,1.22483,0.355599,-1.91954,-10.2162,-1.15556,0.191722,-0.142951,0.307403,4.65341,2.09502,8.61391,-0.0121507,-0.0415452,-0.0384537,-0.748238,-9.91803,-0.663797,0.131363,-0.107563,0.192641,6.04764,-5.02304,8.27395,0.297956,0.454601,0.770382
0.027,8.81972,-0.5388,4.57112,-0.689655,-0.238899,-0.460431,7.4574,10.4624,-2.32499,0.481629,-1.10879,-1.03572,-0.199334,13.9497,-1.41174,-0.153714,1.20348,0.358777,-1.83918,-10.2093,-1.10237,0.194542,-0.147837,0.301788,4.6469,2.09971,8.6074,-0.00758851,-0.0437416,-0.0403118,-0.738581,-9.90142,-0.690349,0.132362,-0.103733,0.192963,5.57982,-5.50131,8.44841,0.292904,0.451007,0.756508
0.028,8.84066,-0.538527,4.57425,-0.686021,-0.236981,-0.458551,7.56994,10.5679,-2.27153,0.485949,-1.07447,-1.02746,0.390132,14.0234,-1.10858,-0.17555,1.16129,0.382475,-1.72189,-10.1946,-1.08176,0.195381,-0.155401,0.294176,4.64562,2.11019,8.63079,-0.00405724,-0.0449542,-0.0422948,-0.748034,-9.89001,-0.71152,0.134364,-0.0990473,0.194559,5.03462,-5.82251,8.4993,0.272783,0.445454,0.727039
0.029,8.8616,-0.538253,4.57738,-0.682387,-0.235064,-0.456671,7.68248,10.6733,-2.21807,0.49027,-1.04015,-1.01921,0.979597,14.097,-0.805419,-0.197386,1.11909,0.406174,-1.60459,-10.1798,-1.06115,0.19622,-0.162966,0.286564,4.64434,2.12066,8.65418,-0.000525968,-0.0461669,-0.0442777,-0.757487,-9.8786,-0.732691,0.136366,-0.0943615,0.196154,4.48941,-6.1437,8.55019,0.252662,0.4399,0.697569
0.03,8.88253,-0.537979,4.58051,-0.678753,-0.233147,-0.45479,7.79502,10.7787,-2.16462,0.494591,-1.00584,-1.01095,1.56906,14.1706,-0.502257,-0.219222,1.0769,0.429872,-1.4873,-10.1651,-1.04055,0.197059,-0.170531,0.278952,4.64305,2.13114,8.67756,0.0030053,-0.0473796,-0.0462607,-0.766941,-9.8672,-0.753862,0.138368,-0.0896758,0.197749,3.9442,-6.4649,8.60108,0.232541,0.434346,0.6681
0.031,8.90347,-0.537705,4.58364,-0.675119,-0.23123,-0.45291,7.90757,10.8841,-2.11116,0.498912,-0.971523,-1.0027,2.15853,14.2442,-0.199095,-0.241058,1.0347,0.453571,-1.37,-10.1503,-1.01994,0.197898,-0.178095,0.27134,4.64177,2.14162,8.70095,0.00653657,-0.0485922,-0.0482436,-0.776394,-9.85579,-0.775033,0.140371,-0.08499,0.199345,3.399,-6.78609,8.65197,0.21242,0.428792,0.63863
0.032,8.92453,-0.51074,4.5791,-0.674101,-0.229571,-0.450879,7.9223,10.9763,-2.07225,0.486712,-0.923118,-0.996254,2.52784,14.2219,-0.141108,-0.240839,0.974725,0.49713,-1.33125,-10.138,-1.01153,0.195928,-0.188936,0.264035,4.65974,2.13848,8.70222,0.00740669,-0.0490857,-0.0491814,-0.777918,-9.88217,-0.781841,0.144479,-0.0800883,0.202469,3.01317,-6.85773,8.5845,0.201379,0.420583,0.601806
0.033,8.94561,-0.480438,4.5736,-0.67341,-0.227944,-0.448829,7.92481,11.0668,-2.03516,0.472447,-0.872952,-0.990034,2.86964,14.1876,-0.113769,-0.237863,0.912527,0.543172,-1.30231,-10.1259,-1.00464,0.193607,-0.200187,0.256768,4.68011,2.13364,8.70072,0.00794417,-0.0494893,-0.0499886,-0.778451,-9.91327,-0.786854,0.14885,-0.0751595,0.205785,2.64726,-6.89817,8.50224,0.191474,0.412043,0.564062
0.034,8.96669,-0.450136,4.5681,-0.672719,-0.226318,-0.446779,7.92731,11.1573,-1.99808,0.458182,-0.822785,-0.983815,3.21144,14.1534,-0.0864289,-0.234887,0.850329,0.589214,-1.27337,-10.1139,-0.997755,0.191285,-0.211438,0.249502,4.70049,2.12879,8.69922,0.00848165,-0.0498929,-0.0507958,-0.778984,-9.94438,-0.791866,0.153221,-0.0702307,0.209101,2.28135,-6.93861,8.41997,0.181569,0.403502,0.526318
