Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.0,-1.83556,9.54905,-1.76666,0.0142787,-0.078217,-0.0652202,-3.07784,-9.14485,-0.937976,0.034724,0.132654,-0.0210268,0.0846137,9.56328,-1.58984,0.11715,0.111422,-0.0664231,-1.13423,-9.92605,-0.741944,0.0265675,0.0213345,-0.00852,3.97489,-3.6144,8.05072,0.000964852,0.0151604,0.00887052,3.99939,2.53626,8.75852,-0.030885,-0.0356189,0.0240221,9.10344,0.593762,3.25267,0.135561,-0.0269287,-0.0719585
0.001,-1.87428,9.56187,-1.80124,0.017274,-0.074732,-0.0648768,-3.11696,-9.14994,-0.944981,0.0352596,0.129303,-0.0197432,0.0666542,9.57125,-1.59752,0.116876,0.114079,-0.0674296,-1.13009,-9.92719,-0.735539,0.0275381,0.0194104,-0.008998,3.98104,-3.62813,8.03279,0.000756423,0.0157969,0.0078678,3.99749,2.54989,8.75892,-0.0295251,-0.0345538,0.02385,9.13635,0.60321,3.26155,0.137413,-0.0281212,-0.0719738
0.002,-1.91299,9.57469,-1.83582,0.0202693,-0.0712469,-0.0645335,-3.15608,-9.15504,-0.951986,0.0357952,0.125952,-0.0184595,0.0486947,9.57921,-1.60519,0.116602,0.116736,-0.068436,-1.12594,-9.92834,-0.729133,0.0285087,0.0174862,-0.009476,3.98719,-3.64186,8.01485,0.000547994,0.0164335,0.00686509,3.99559,2.56353,8.75933,-0.0281651,-0.0334886,0.0236778,9.16927,0.612658,3.27043,0.139265,-0.0293137,-0.0719892
0.003,-1.9517,9.5875,-1.8704,0.0232646,-0.0677619,-0.0641901,-3.1952,-9.16013,-0.958991,0.0363308,0.122601,-0.0171759,0.0307351,9.58717,-1.61287,0.116329,0.119394,-0.0694424,-1.1218,-9.92948,-0.722728,0.0294793,0.0155621,-0.009954,3.99335,-3.65559,7.99692,0.000339566,0.01707,0.00586237,3.99368,2.57717,8.75974,-0.0268052,-0.0324235,0.0235057,9.20218,0.622106,3.27931,0.141116,-0.0305062,-0.0720046
0.004,-1.99042,9.60032,-1.90498,0.02626,-0.0642768,-0.0638467,-3.23432,-9.16523,-0.965996,0.0368664,0.119251,-0.0158923,0.0127756,9.59514,-1.62055,0.116055,0.122051,-0.0704488,-1.11765,-9.93063,-0.716323,0.0304499,0.013638,-0.010432,3.9995,-3.66932,7.97899,0.000131137,0.0177066,0.00485966,3.99178,2.5908,8.76014,-0.0254453,-0.0313584,0.0233336,9.2351,0.631554,3.28819,0.142968,-0.0316986,-0.07202
0.005,-2.03475,9.58819,-1.93576,0.0270241,-0.0591878,-0.0632848,-3.26078,-9.17665,-0.971856,0.0376728,0.115644,-0.0146081,-0.00844834,9.6075,-1.62886,0.114508,0.125836,-0.0715208,-1.13206,-9.92931,-0.714307,0.0303442,0.0131935,-0.00985139,3.9936,-3.65817,7.97763,-0.00113414,0.0189122,0.00387572,3.99289,2.5983,8.76026,-0.0243423,-0.0314251,0.0236221,9.25391,0.613954,3.26888,0.142132,-0.0326849,-0.072076
0.006,-2.08357,9.55611,-1.9635,0.0260032,-0.0528155,-0.062548,-3.27712,-9.19313,-0.976799,0.0386959,0.111834,-0.0133233,-0.0322838,9.6234,-1.63768,0.111942,0.130523,-0.0726452,-1.16132,-9.92603,-0.715802,0.0293776,0.0139328,-0.00842391,3.97804,-3.62714,7.98953,-0.00324489,0.0205732,0.00290681,3.99641,2.60089,8.76013,-0.0234448,-0.0323972,0.0242791,9.26145,0.574714,3.227,0.139146,-0.0335063,-0.0721644
0.007,-2.13239,9.52402,-1.99125,0.0249823,-0.0464432,-0.0618112,-3.29346,-9.20961,-0.981742,0.039719,0.108023,-0.0120385,-0.0561193,9.63929,-1.64649,0.109376,0.13521,-0.0737697,-1.19057,-9.92274,-0.717298,0.0284109,0.0146721,-0.00699642,3.96248,-3.5961,8.00143,-0.00535565,0.0222341,0.00193789,3.99993,2.60348,8.76001,-0.0225474,-0.0333693,0.0249361,9.26899,0.535475,3.18513,0.13616,-0.0343277,-0.0722529
0.008,-2.18121,9.49194,-2.01899,0.0239614,-0.040071,-0.0610745,-3.3098,-9.22609,-0.986685,0.040742,0.104213,-0.0107537,-0.0799548,9.65518,-1.65531,0.10681,0.139898,-0.0748941,-1.21982,-9.91946,-0.718793,0.0274442,0.0154113,-0.00556894,3.94692,-3.56506,8.01333,-0.0074664,0.0238951,0.000968978,4.00346,2.60607,8.75989,-0.0216499,-0.0343414,0.0255932,9.27653,0.496235,3.14326,0.133174,-0.0351491,-0.0723414
0.009,-2.2275,9.46412,-2.04465,0.0233405,-0.0339791,-0.060378,-3.32162,-9.24107,-0.992045,0.0417353,0.100322,-0.00986687,-0.104703,9.66846,-1.66311,0.104417,0.144118,-0.0758444,-1.24734,-9.9161,-0.723749,0.0265054,0.0162532,-0.00437443,3.93683,-3.53998,8.0256,-0.0090338,0.0249826,0.000314956,4.00571,2.60849,8.76013,-0.0208319,-0.0351736,0.0260152,9.28052,0.461384,3.10855,0.130917,-0.0358387,-0.0722493
0.01,-2.2535,9.4705,-2.05364,0.0259196,-0.0301303,-0.0600044,-3.2973,-9.24405,-1.00074,0.0424905,0.0957906,-0.0121634,-0.136749,9.66077,-1.66276,0.103408,0.144604,-0.0754012,-1.26098,-9.91208,-0.75639,0.0257898,0.0179153,-0.00504368,3.9704,-3.56252,8.04079,-0.0062543,0.0214825,0.00218007,3.99783,2.60953,8.7632,-0.0206492,-0.0348866,0.0245566,9.25618,0.461633,3.13117,0.134495,-0.0354741,-0.0707128
0.011,-2.27951,9.47688,-2.06263,0.0284986,-0.0262815,-0.0596307,-3.27298,-9.24704,-1.00943,0.0432457,0.0912589,-0.0144599,-0.168795,9.65309,-1.66242,0.102399,0.14509,-0.0749581,-1.27463,-9.90805,-0.789031,0.0250741,0.0195775,-0.00571293,4.00397,-3.58507,8.05598,-0.0034748,0.0179823,0.00404519,3.98994,2.61056,8.76627,-0.0204664,-0.0345996,0.0230981,9.23185,0.461882,3.15378,0.138074,-0.0351096,-0.0691764
0.012,-2.30551,9.48325,-2.07162,0.0310776,-0.0224326,-0.0592571,-3.24867,-9.25002,-1.01812,0.0440009,0.0867273,-0.0167564,-0.200841,9.6454,-1.66208,0.10139,0.145575,-0.074515,-1.28827,-9.90403,-0.821672,0.0243584,0.0212396,-0.00638217,4.03754,-3.60761,8.07118,-0.000695297,0.0144822,0.00591031,3.98206,2.6116,8.76934,-0.0202836,-0.0343126,0.0216396,9.20751,0.462131,3.17639,0.141653,-0.034745,-0.0676399
0.013,-2.33152,9.48963,-2.08061,0.0336566,-0.0185838,-0.0588835,-3.22435,-9.25301,-1.02682,0.0447561,0.0821957,-0.0190529,-0.232888,9.63772,-1.66174,0.100381,0.146061,-0.0740719,-1.30191,-9.90001,-0.854313,0.0236428,0.0229017,-0.00705142,4.07111,-3.63015,8.08637,0.0020842,0.0109821,0.00777543,3.97417,2.61264,8.77241,-0.0201009,-0.0340256,0.0201811,9.18317,0.462381,3.19901,0.145232,-0.0343805,-0.0661035
0.014,-2.35758,9.48712,-2.10288,0.0334582,-0.0142661,-0.0594004,-3.20367,-9.265,-1.02954,0.0439009,0.076485,-0.0212033,-0.272537,9.63927,-1.65787,0.0995169,0.145411,-0.0718594,-1.27313,-9.9047,-0.856237,0.0232483,0.0235887,-0.0061604,4.06474,-3.61929,8.06939,0.000491433,0.0105767,0.00937066,3.98382,2.61073,8.77472,-0.0215486,-0.0332803,0.0209056,9.18968,0.46075,3.2042,0.146666,-0.0360255,-0.0634051
0.015,-2.38368,9.48017,-2.13179,0.0318711,-0.00971386,-0.0603626,-3.18481,-9.28149,-1.02929,0.0422405,0.0701847,-0.0232807,-0.315988,9.64545,-1.65225,0.098726,0.144192,-0.0687622,-1.22313,-9.91373,-0.842802,0.0230145,0.0237882,-0.00448925,4.0384,-3.59172,8.03633,-0.00328747,0.0117188,0.0108309,4.00224,2.60735,8.77665,-0.0238117,-0.032306,0.0227216,9.21161,0.458178,3.20069,0.147028,-0.0386753,-0.0601257
0.016,-2.40977,9.47322,-2.16069,0.0302839,-0.00516164,-0.0613247,-3.16594,-9.29798,-1.02903,0.0405801,0.0638844,-0.025358,-0.359438,9.65162,-1.64662,0.097935,0.142973,-0.0656651,-1.17313,-9.92277,-0.829367,0.0227807,0.0239876,-0.00281809,4.01205,-3.56415,8.00327,-0.00706637,0.0128608,0.0122912,4.02066,2.60396,8.77858,-0.0260747,-0.0313316,0.0245377,9.23353,0.455607,3.19718,0.147391,-0.0413251,-0.0568464
0.017,-2.43587,9.46627,-2.1896,0.0286968,-0.000609428,-0.0622869,-3.14708,-9.31447,-1.02877,0.0389197,0.0575841,-0.0274354,-0.402889,9.6578,-1.64099,0.0971441,0.141754,-0.0625679,-1.12313,-9.93181,-0.815932,0.0225469,0.024187,-0.00114693,3.98571,-3.53657,7.9702,-0.0108453,0.0140028,0.0137515,4.03908,2.60058,8.78052,-0.0283377,-0.0303572,0.0263537,9.25546,0.453036,3.19366,0.147753,-0.0439749,-0.0535671
0.018,-2.45896,9.45881,-2.21328,0.0271415,0.00323958,-0.063214,-3.12988,-9.32646,-1.02892,0.0372252,0.0512643,-0.0292965,-0.441426,9.66034,-1.63618,0.09611,0.140195,-0.0592889,-1.08702,-9.93623,-0.806503,0.0223574,0.0241191,0.000363276,3.96721,-3.51445,7.94833,-0.0132013,0.0146273,0.01489,4.05586,2.59795,8.77999,-0.0305878,-0.0293933,0.0278278,9.2754,0.448932,3.18832,0.147577,-0.0459754,-0.0506124
0.019,-2.47156,9.44958,-2.21871,0.0256975,0.00462736,-0.0640181,-3.11847,-9.3227,-1.03046,0.0354113,0.0448763,-0.0304005,-0.462762,9.65018,-1.63424,0.0942252,0.137444,-0.0553735,-1.09954,-9.92449,-0.811096,0.0223232,0.0231152,0.00131017,3.97614,-3.51137,7.9656,-0.0105773,0.0134405,0.0149021,4.06692,2.59794,8.77085,-0.0327927,-0.0284657,0.028105,9.28839,0.439463,3.17659,0.145518,-0.0457031,-0.0487941
0.02,-2.48416,9.44034,-2.22413,0.0242536,0.00601514,-0.0648222,-3.10707,-9.31893,-1.032,0.0335974,0.0384883,-0.0315046,-0.484098,9.64001,-1.63229,0.0923404,0.134693,-0.0514581,-1.11205,-9.91276,-0.815689,0.022289,0.0221113,0.00225707,3.98507,-3.50829,7.98286,-0.00795332,0.0122536,0.0149142,4.07798,2.59792,8.76171,-0.0349976,-0.0275382,0.0283822,9.30137,0.429994,3.16485,0.143458,-0.0454308,-0.0469758
0.021,-2.49675,9.43111,-2.22956,0.0228097,0.00740292,-0.0656263,-3.09566,-9.31517,-1.03355,0.0317835,0.0321003,-0.0326087,-0.505435,9.62985,-1.63034,0.0904556,0.131942,-0.0475427,-1.12457,-9.90103,-0.820282,0.0222549,0.0211075,0.00320397,3.99401,-3.50521,8.00013,-0.00532932,0.0110667,0.0149263,4.08904,2.59791,8.75257,-0.0372025,-0.0266106,0.0286595,9.31436,0.420525,3.15312,0.141398,-0.0451585,-0.0451575
0.022,-2.50935,9.42188,-2.23498,0.0213657,0.0087907,-0.0664304,-3.08426,-9.31141,-1.03509,0.0299696,0.0257123,-0.0337128,-0.526771,9.61969,-1.62839,0.0885708,0.12919,-0.0436273,-1.13709,-9.88929,-0.824875,0.0222207,0.0201036,0.00415086,4.00294,-3.50213,8.0174,-0.00270532,0.00987989,0.0149384,4.1001,2.5979,8.74343,-0.0394075,-0.0256831,0.0289367,9.32734,0.411056,3.14138,0.139339,-0.0448863,-0.0433392
0.023,-2.52983,9.41521,-2.23259,0.0226626,0.00774457,-0.0687735,-3.08339,-9.30987,-1.03306,0.0274037,0.0203272,-0.0341076,-0.528435,9.62627,-1.61861,0.0875213,0.124814,-0.040885,-1.13893,-9.88215,-0.800803,0.0218351,0.0185275,0.00472735,4.04775,-3.52806,8.03662,-0.00194736,0.0103393,0.0156981,4.09455,2.59975,8.74591,-0.0394822,-0.024066,0.0280932,9.31431,0.449446,3.13591,0.138624,-0.0439008,-0.0412418
0.024,-2.55258,9.40928,-2.22797,0.0247425,0.00600304,-0.0715563,-3.08552,-9.30897,-1.03001,0.024623,0.0152286,-0.0342998,-0.524477,9.63765,-1.60658,0.0867104,0.119974,-0.0384779,-1.13772,-9.87631,-0.76854,0.021349,0.016788,0.005198,4.10282,-3.56229,8.05639,-0.00172256,0.011269,0.0166714,4.08425,2.60212,8.75172,-0.0389483,-0.0222519,0.0269296,9.29384,0.501509,3.13223,0.138293,-0.0427116,-0.0390646
0.025,-2.57532,9.40334,-2.22334,0.0268225,0.0042615,-0.0743391,-3.08765,-9.30806,-1.02696,0.0218422,0.01013,-0.034492,-0.520519,9.64902,-1.59455,0.0858995,0.115133,-0.0360708,-1.13651,-9.87047,-0.736277,0.020863,0.0150485,0.00566865,4.15789,-3.59651,8.07616,-0.00149775,0.0121987,0.0176447,4.07396,2.6045,8.75753,-0.0384144,-0.0204378,0.025766,9.27338,0.553573,3.12854,0.137963,-0.0415224,-0.0368874
