Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,1.32364,8.56491,-2.3683,0.0537778,-1.06646,-0.175188,-0.304541,-10.1763,-1.09653,0.175503,-0.3295,0.313534,5.05224,1.77507,8.50969,-0.351295,0.323019,0.0699228,7.64445,0.413385,7.67588,-0.371256,0.388669,0.517313,8.14848,-1.75876,4.54363,0.046544,-0.246917,-0.290898,0.41593,10.4407,-0.164828,0.0870151,-0.595605,-0.378885,2.16676,-9.80995,-1.27941,0.0736803,-0.32701,0.250604
0.001,1.25589,8.58747,-2.35515,0.0548572,-1.05807,-0.179434,-0.316828,-10.1834,-1.09228,0.178296,-0.335505,0.313918,5.04595,1.75944,8.53114,-0.34666,0.319354,0.0670111,7.25188,0.286543,7.91636,-0.363831,0.398551,0.51225,8.15351,-1.72435,4.55279,0.0516807,-0.25181,-0.289185,0.872334,10.3192,-0.246834,0.098757,-0.582682,-0.360124,2.16431,-9.77305,-1.26409,0.0780081,-0.339449,0.253807
0.002,1.18814,8.61003,-2.342,0.0559365,-1.04968,-0.183681,-0.329116,-10.1906,-1.08803,0.181088,-0.34151,0.314302,5.03965,1.74382,8.55258,-0.342025,0.315688,0.0640993,6.8593,0.159701,8.15683,-0.356406,0.408433,0.507187,8.15854,-1.68993,4.56195,0.0568175,-0.256702,-0.287472,1.32874,10.1978,-0.328839,0.110499,-0.569759,-0.341363,2.16187,-9.73615,-1.24878,0.0823359,-0.351888,0.25701
0.003,1.12039,8.6326,-2.32884,0.0570159,-1.04129,-0.187928,-0.341403,-10.1978,-1.08378,0.183881,-0.347515,0.314686,5.03335,1.72819,8.57403,-0.33739,0.312023,0.0611876,6.46673,0.0328589,8.3973,-0.348981,0.418315,0.502124,8.16356,-1.65552,4.57111,0.0619542,-0.261595,-0.285759,1.78514,10.0763,-0.410845,0.122241,-0.556837,-0.322603,2.15942,-9.69925,-1.23346,0.0866638,-0.364328,0.260213
0.004,1.05263,8.65516,-2.31569,0.0580953,-1.03291,-0.192174,-0.35369,-10.2049,-1.07953,0.186673,-0.35352,0.315069,5.02706,1.71256,8.59547,-0.332755,0.308358,0.0582758,6.07416,-0.0939831,8.63777,-0.341556,0.428196,0.497061,8.16859,-1.6211,4.58027,0.0670909,-0.266487,-0.284046,2.24155,9.95486,-0.49285,0.133983,-0.543914,-0.303842,2.15697,-9.66236,-1.21814,0.0909916,-0.376767,0.263416
0.005,0.97814,8.69043,-2.28288,0.0574361,-1.0234,-0.194661,-0.347302,-10.2017,-1.07052,0.188619,-0.357742,0.316152,5.02215,1.69324,8.61327,-0.328149,0.304419,0.0563624,5.7407,-0.28768,8.82396,-0.331672,0.43444,0.488874,8.17281,-1.60802,4.60245,0.0721385,-0.270933,-0.284702,2.65032,9.8052,-0.582357,0.147639,-0.527984,-0.283307,2.15536,-9.63073,-1.20944,0.0949161,-0.388849,0.265827
0.006,0.898252,8.73584,-2.23435,0.0553861,-1.01299,-0.195741,-0.325974,-10.1902,-1.05769,0.189887,-0.360537,0.317795,5.01834,1.67095,8.62816,-0.323566,0.300263,0.0552475,5.45453,-0.534862,8.96672,-0.319821,0.437771,0.478187,8.17637,-1.61201,4.63507,0.0771149,-0.275021,-0.287252,3.02098,9.63299,-0.677866,0.162827,-0.509647,-0.261353,2.15443,-9.60333,-1.20605,0.098518,-0.400645,0.267604
0.007,0.818364,8.78126,-2.18581,0.0533361,-1.00259,-0.19682,-0.304645,-10.1787,-1.04486,0.191156,-0.363333,0.319437,5.01453,1.64867,8.64306,-0.318983,0.296106,0.0541326,5.16836,-0.782044,9.10947,-0.30797,0.441103,0.467499,8.17993,-1.61601,4.66768,0.0820913,-0.279109,-0.289803,3.39164,9.46077,-0.773375,0.178014,-0.49131,-0.239399,2.15349,-9.57592,-1.20266,0.10212,-0.412441,0.269382
0.008,0.738476,8.82668,-2.13728,0.0512861,-0.992185,-0.1979,-0.283317,-10.1672,-1.03203,0.192424,-0.366128,0.321079,5.01073,1.62638,8.65795,-0.314399,0.29195,0.0530177,4.88219,-1.02923,9.25223,-0.296119,0.444435,0.456812,8.1835,-1.62,4.70029,0.0870677,-0.283198,-0.292354,3.7623,9.28855,-0.868884,0.193202,-0.472974,-0.217445,2.15256,-9.54852,-1.19926,0.105722,-0.424238,0.271159
0.009,0.659825,8.87267,-2.08569,0.0491204,-0.982149,-0.198704,-0.262722,-10.1551,-1.02067,0.193645,-0.368748,0.322717,5.00686,1.60801,8.67003,-0.310062,0.287911,0.0518791,4.6119,-1.28332,9.38894,-0.284264,0.447345,0.445975,8.18769,-1.62278,4.72814,0.0916687,-0.287145,-0.29456,4.12192,9.12553,-0.964639,0.207823,-0.454101,-0.195979,2.1537,-9.52471,-1.19661,0.109329,-0.436142,0.27298
0.01,0.591078,8.92324,-2.00967,0.046029,-0.975052,-0.197307,-0.247995,-10.1378,-1.02099,0.194492,-0.36996,0.324319,5.00255,1.62096,8.65969,-0.307688,0.28481,0.0505505,4.46862,-1.59275,9.47725,-0.272377,0.446872,0.433935,8.1969,-1.61591,4.71795,0.0932666,-0.289958,-0.294009,4.39329,9.03612,-1.06236,0.217913,-0.43094,-0.178426,2.17147,-9.52962,-1.19993,0.112974,-0.448914,0.275156
0.011,0.522331,8.97382,-1.93365,0.0429375,-0.967956,-0.195911,-0.233268,-10.1205,-1.02131,0.195338,-0.371172,0.325921,4.99824,1.63391,8.64934,-0.305315,0.281708,0.0492219,4.32535,-1.90218,9.56557,-0.260491,0.4464,0.421894,8.20611,-1.60904,4.70775,0.0948644,-0.292771,-0.293458,4.66465,8.94671,-1.16009,0.228003,-0.40778,-0.160872,2.18924,-9.53452,-1.20325,0.116619,-0.461685,0.277331
0.012,0.453584,9.02439,-1.85764,0.039846,-0.960859,-0.194514,-0.218542,-10.1032,-1.02163,0.196184,-0.372384,0.327523,4.99393,1.64686,8.63899,-0.302941,0.278607,0.0478934,4.18208,-2.21161,9.65388,-0.248605,0.445927,0.409854,8.21532,-1.60217,4.69756,0.0964623,-0.295584,-0.292907,4.93601,8.85731,-1.25782,0.238092,-0.384619,-0.143318,2.20701,-9.53943,-1.20657,0.120264,-0.474457,0.279506
0.013,0.384837,9.07497,-1.78162,0.0367546,-0.953762,-0.193117,-0.203815,-10.0859,-1.02195,0.19703,-0.373596,0.329125,4.98961,1.65981,8.62864,-0.300568,0.275506,0.0465648,4.03881,-2.52104,9.74219,-0.236718,0.445455,0.397814,8.22453,-1.59529,4.68736,0.0980602,-0.298397,-0.292355,5.20738,8.7679,-1.35554,0.248182,-0.361459,-0.125765,2.22478,-9.54434,-1.20989,0.12391,-0.487229,0.281682
0.014,0.32192,9.1371,-1.71973,0.0366127,-0.948149,-0.192652,-0.186954,-10.0648,-1.03178,0.197532,-0.373879,0.329893,4.99282,1.69301,8.63302,-0.297658,0.271773,0.0450196,3.96338,-2.78939,9.79584,-0.226405,0.443716,0.38229,8.21943,-1.57237,4.71735,0.099706,-0.30262,-0.290773,5.3955,8.65653,-1.45251,0.254581,-0.340258,-0.113536,2.25754,-9.52632,-1.20371,0.127607,-0.498689,0.284084
0.015,0.261919,9.205,-1.66491,0.0379456,-0.943277,-0.192652,-0.169025,-10.0419,-1.04638,0.197862,-0.373697,0.330243,4.99978,1.73635,8.64477,-0.29448,0.267724,0.043366,3.92189,-3.03719,9.83215,-0.216878,0.441345,0.365025,8.20716,-1.54143,4.76744,0.101376,-0.307548,-0.288676,5.542,8.53419,-1.54911,0.259136,-0.320037,-0.103969,2.2978,-9.49684,-1.19277,0.13133,-0.509494,0.286598
