Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.0,4.734,-5.01044,7.14732,-0.0312607,-0.0155993,0.00391091,-1.6596,9.36893,-2.13963,-0.0111513,0.0282287,0.0218013,-2.26825,9.4155,-1.85624,-0.016001,-0.0665183,0.0193882,-1.07981,-9.68452,-1.26661,0.0314109,0.0181026,-0.028755,5.64253,2.70454,7.23908,-0.077436,0.0293564,0.0518517,9.5555,0.0567672,0.930011,-0.0647699,-0.043665,0.0145686,-1.69472,-9.77932,-1.4738,0.000522137,0.0782257,0.00795641
0.001,4.72797,-5.02274,7.13689,-0.0324577,-0.0142354,0.00406219,-1.66015,9.36076,-2.14835,-0.0119998,0.0288348,0.0211952,-2.2505,9.39845,-1.89939,-0.0168502,-0.0688047,0.0199408,-1.07715,-9.6976,-1.25204,0.0318762,0.0182163,-0.0281449,5.65139,2.7256,7.23365,-0.0757035,0.0276774,0.052176,9.58808,0.0434844,0.904928,-0.0661975,-0.0443568,0.0141842,-1.69962,-9.7849,-1.44792,0.000150961,0.0761161,0.00684288
0.002,4.72195,-5.03504,7.12647,-0.0336548,-0.0128714,0.00421347,-1.66069,9.35258,-2.15707,-0.0128483,0.0294409,0.0205891,-2.23274,9.3814,-1.94254,-0.0176994,-0.0710911,0.0204933,-1.07449,-9.71069,-1.23748,0.0323415,0.0183301,-0.0275348,5.66025,2.74666,7.22823,-0.073971,0.0259983,0.0525003,9.62067,0.0302015,0.879844,-0.0676251,-0.0450487,0.0137998,-1.70452,-9.79048,-1.42205,-0.000220215,0.0740065,0.00572935
0.003,4.71592,-5.04734,7.11604,-0.0348518,-0.0115075,0.00436475,-1.66124,9.34441,-2.16579,-0.0136969,0.030047,0.019983,-2.21498,9.36435,-1.98569,-0.0185486,-0.0733775,0.0210459,-1.07183,-9.72377,-1.22292,0.0328068,0.0184438,-0.0269247,5.66911,2.76772,7.2228,-0.0722384,0.0243192,0.0528247,9.65326,0.0169187,0.854761,-0.0690527,-0.0457405,0.0134154,-1.70942,-9.79606,-1.39617,-0.000591391,0.071897,0.00461583
0.004,4.70989,-5.05964,7.10562,-0.0360489,-0.0101436,0.00451603,-1.66178,9.33623,-2.17451,-0.0145454,0.0306531,0.0193769,-2.19723,9.34731,-2.02885,-0.0193978,-0.0756638,0.0215985,-1.06917,-9.73685,-1.20836,0.0332721,0.0185575,-0.0263146,5.67797,2.78878,7.21737,-0.0705059,0.0226402,0.053149,9.68585,0.00363583,0.829678,-0.0704802,-0.0464324,0.0130309,-1.71432,-9.80164,-1.37029,-0.000962567,0.0697874,0.0035023
0.005,4.70925,-5.0637,7.10154,-0.0362839,-0.00985277,0.00469756,-1.66583,9.32702,-2.17236,-0.0145717,0.0313172,0.019001,-2.19089,9.33712,-2.03978,-0.0193551,-0.0764083,0.0225144,-1.06513,-9.74086,-1.20127,0.0326761,0.0189648,-0.0259932,5.68784,2.79776,7.22363,-0.0697047,0.0234828,0.0527548,9.69408,-0.0142017,0.830167,-0.0708863,-0.0464965,0.0128501,-1.71443,-9.79051,-1.36193,-0.00110667,0.0678787,0.00299689
0.006,4.71291,-5.06116,7.10254,-0.0357492,-0.0104204,0.00490331,-1.67267,9.31698,-2.16151,-0.0139404,0.0320276,0.0188091,-2.19369,9.33243,-2.02493,-0.0185989,-0.0759192,0.0237211,-1.05997,-9.73761,-1.20015,0.031231,0.0196068,-0.0259026,5.6985,2.79707,7.23923,-0.0696484,0.0263427,0.0517859,9.68283,-0.035683,0.851114,-0.0704753,-0.0460583,0.0128321,-1.71072,-9.766,-1.36759,-0.00106913,0.0661307,0.00297798
0.007,4.71657,-5.05863,7.10354,-0.0352146,-0.0109881,0.00510906,-1.67952,9.30695,-2.15066,-0.013309,0.0327381,0.0186172,-2.19649,9.32774,-2.01009,-0.0178427,-0.07543,0.0249277,-1.05482,-9.73436,-1.19903,0.029786,0.0202489,-0.025812,5.70916,2.79638,7.25483,-0.0695921,0.0292026,0.050817,9.67158,-0.0571642,0.872061,-0.0700641,-0.0456202,0.012814,-1.707,-9.7415,-1.37325,-0.00103158,0.0643827,0.00295908
0.008,4.72023,-5.05609,7.10454,-0.03468,-0.0115558,0.00531481,-1.68636,9.29691,-2.13981,-0.0126776,0.0334485,0.0184254,-2.19929,9.32305,-1.99525,-0.0170864,-0.0749409,0.0261344,-1.04967,-9.73111,-1.19791,0.0283409,0.020891,-0.0257214,5.71983,2.79569,7.27044,-0.0695358,0.0320625,0.0498481,9.66033,-0.0786455,0.893008,-0.0696531,-0.0451821,0.012796,-1.70328,-9.71699,-1.37891,-0.000994032,0.0626347,0.00294017
0.009,4.7253,-5.05357,7.10528,-0.0340685,-0.0122747,0.0055007,-1.69088,9.28802,-2.12774,-0.0120265,0.03408,0.0183435,-2.20149,9.31945,-1.97958,-0.0162765,-0.0742956,0.0271468,-1.04282,-9.72789,-1.19699,0.0269643,0.0213811,-0.0256498,5.72823,2.79169,7.28381,-0.0694158,0.0343843,0.0488862,9.65063,-0.097576,0.909358,-0.0691558,-0.0448693,0.0129885,-1.70013,-9.69442,-1.3867,-0.00102748,0.0609995,0.00283201
