Time,EMGs.RTibialisA,EMGs.2,EMGs.3,EMGs.4,EMGs.5,EMGs.6,EMGs.7,EMGs.8,EMGs.9,EMGs.10,EMGs.11,EMGs.12,EMGs.13,EMGs.14,EMGs.15,EMGs.16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0784528,0.074613,0.0292523,0.0713181,0.0502139,0.0649002,0.0216452,0.0602499,0.0452097,0.0384817,0.063338,0.0478305,0.0575568,0.0404611,0.0474817,0.081654
0.021,0.0534283,0.0865149,0.0762494,0.026152,0.0502139,0.045369,0.0405661,0.0553671,0.0568063,0.0400076,0.0386188,0.0630893,0.0325323,0.0618234,0.0377161,0.0532727
0.022,0.0699078,0.0917029,0.0771649,0.036528,0.0547916,0.0572708,0.0359885,0.0556723,0.0503976,0.0479422,0.0520465,0.0344028,0.0581671,0.0453439,0.0453455,0.0627332
0.023,0.0738751,0.0743079,0.0545819,0.041716,0.0541812,0.0215652,0.0616232,0.0324789,0.0571115,0.0659476,0.0538776,0.0414218,0.0453497,0.0639597,0.0612146,0.0566296
0.024,0.0531232,0.0428748,0.0521405,0.0646042,0.0532657,0.0639847,0.0475851,0.0599448,0.0461252,0.0674734,0.0474689,0.0475253,0.0404669,0.0648752,0.0575525,0.0700574
0.025,0.063194,0.0651526,0.0176556,0.0462936,0.0529605,0.0578812,0.0515524,0.0288168,0.0540598,0.0464163,0.0596759,0.0688876,0.0618292,0.0831857,0.0599939,0.072804
0.026,0.0540387,0.0944495,0.0353558,0.0124191,0.0431949,0.0520828,0.0485007,0.0401083,0.0485666,0.0400076,0.0474689,0.0566806,0.0435187,0.0517526,0.0401575,0.0474744
0.027,0.0634991,0.0834631,0.0469525,0.0484299,0.0718814,0.0426224,0.0475851,0.0684897,0.0690134,0.0119315,0.0697467,0.0337924,0.0661017,0.0612131,0.068844,0.0685315
0.028,0.0219952,0.0392126,0.0603803,0.0566696,0.0438052,0.0493362,0.049111,0.0559775,0.0470407,0.0439749,0.0715778,0.0151767,0.0471808,0.052363,0.0676233,0.0578503
0.029,0.0619733,0.0440955,0.0567181,0.0585007,0.0489932,0.0542191,0.0536887,0.0559775,0.061384,0.0482474,0.0572345,0.00815765,0.0728156,0.0499216,0.0725061,0.0477795
0.03,0.0497662,0.0669836,0.0542767,0.0755905,0.0532657,0.0542191,0.0533835,0.0599448,0.0449045,0.045806,0.0618121,0.00846283,0.0642706,0.0752512,0.0529749,0.0593762
0.031,0.0613629,0.0794958,0.0420697,0.0441574,0.0529605,0.0652054,0.0485007,0.0553671,0.0543649,0.00521759,0.0502155,0.0502719,0.0529791,0.0514474,0.0602991,0.0578503
0.032,0.0525128,0.0743079,0.0475629,0.0398849,0.0554019,0.0612381,0.0631491,0.0608603,0.0400217,-0.0210275,0.113082,0.0652255,0.0532843,0.0483957,0.0621301,0.0636487
0.033,0.0531232,0.0813269,0.0344403,0.059111,0.0550967,0.0630691,0.0619284,0.0538412,0.0552805,0.00643829,0.11888,0.0731601,0.0664069,0.0511423,0.0520593,0.0679211
0.034,0.0592267,0.0523352,0.0411542,0.0646042,0.0575381,0.0685623,0.0707785,0.0617758,0.078779,0.0329886,0.0596759,0.0768222,0.064881,0.06457,0.0578577,0.0615125
