Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s
0,9.44074,1.80876,2.00964,-0.169118,0.0484115,0.0232633,0.372739,-10.0621,-0.611945,-0.0637255,0.0396559,0.020355,-1.85616,9.68151,-0.714009,-0.00126293,-0.00344852,0.00394128,4.95249,-2.27192,8.22746,-0.00635309,0.00468902,-0.00937745,-2.36848,9.78293,-1.40385,0.00973573,-0.0441119,-0.00984508,4.12685,1.07278,9.23608,-0.00736342,-0.0226205,-0.00614884,-1.36824,-10.0384,-0.575059,-0.0365912,0.0984417,0.0320289
0.001,9.43228,1.80886,2.00761,-0.168582,0.047707,0.0230378,0.369145,-10.0531,-0.609835,-0.063491,0.0393132,0.0203084,-1.85417,9.6744,-0.713669,-0.00144997,-0.00322491,0.00408112,4.95193,-2.27252,8.21942,-0.00645368,0.00448841,-0.00951039,-2.3682,9.77063,-1.4028,0.00987151,-0.0430947,-0.00974023,4.12533,1.074,9.22562,-0.00736701,-0.0225988,-0.00602962,-1.37303,-10.0312,-0.576581,-0.0367573,0.0978082,0.0317422
0.002,9.42433,1.8091,2.00571,-0.168048,0.0469789,0.0228156,0.365544,-10.0445,-0.607621,-0.0632633,0.0389575,0.0202615,-1.85225,9.66771,-0.713331,-0.00164256,-0.00299696,0.00422232,4.95156,-2.27312,8.21171,-0.00654595,0.00428866,-0.00964043,-2.3681,9.75877,-1.40173,0.00999831,-0.0420653,-0.00964044,4.12404,1.07531,9.21551,-0.00737792,-0.022579,-0.00590865,-1.37794,-10.0244,-0.578133,-0.0369189,0.0971402,0.0314598
0.003,9.41692,1.80946,2.00394,-0.167518,0.0462269,0.0225994,0.361961,-10.0363,-0.605281,-0.0630452,0.0385878,0.0202143,-1.85042,9.66142,-0.712985,-0.00184029,-0.00276569,0.00436374,4.95133,-2.27366,8.20431,-0.0066265,0.00409194,-0.00976523,-2.36817,9.74737,-1.40061,0.0101121,-0.0410299,-0.00954791,4.12293,1.0767,9.20573,-0.00739791,-0.0225613,-0.00578653,-1.38292,-10.0181,-0.579695,-0.0370722,0.0964324,0.031185
0.004,9.41005,1.80994,2.00231,-0.166992,0.0454505,0.0223919,0.358423,-10.0286,-0.602795,-0.0628395,0.038203,0.0201667,-1.84866,9.6555,-0.712618,-0.00204272,-0.00253214,0.00450424,4.95118,-2.27408,8.19721,-0.00669187,0.00390045,-0.00988242,-2.36842,9.73646,-1.39942,0.0102088,-0.0399946,-0.00946487,4.12201,1.07816,9.19629,-0.00742879,-0.022546,-0.00566388,-1.38791,-10.0123,-0.581247,-0.0372135,0.0956799,0.0309213
0.005,9.40373,1.81052,2.00084,-0.166474,0.0446498,0.0221958,0.354953,-10.0213,-0.600157,-0.0626483,0.0378028,0.0201188,-1.84697,9.64993,-0.71222,-0.00224913,-0.0022973,0.00464241,4.95106,-2.27434,8.19039,-0.00673955,0.00371591,-0.00998996,-2.36884,9.72606,-1.39814,0.0102854,-0.0389651,-0.00939251,4.12125,1.07967,9.18716,-0.00747117,-0.0225334,-0.00554174,-1.39287,-10.007,-0.582771,-0.0373394,0.0948783,0.0306713
0.006,9.39796,1.81119,1.99952,-0.165968,0.0438254,0.0220138,0.351561,-10.0144,-0.597402,-0.0624712,0.0373877,0.0200713,-1.84535,9.64468,-0.711791,-0.00245801,-0.0020621,0.0047762,4.95089,-2.27441,8.18384,-0.0067696,0.00353881,-0.0100867,-2.36942,9.71616,-1.39679,0.0103413,-0.0379462,-0.00932903,4.12064,1.08122,9.17836,-0.00752232,-0.0225238,-0.00542242,-1.39778,-10.0021,-0.584259,-0.037448,0.0940267,0.030436
0.007,9.39272,1.81189,1.99836,-0.165476,0.0429786,0.0218489,0.348248,-10.0079,-0.594604,-0.0623059,0.0369597,0.020025,-1.84376,9.63977,-0.711333,-0.00266704,-0.00182737,0.00490292,4.95061,-2.27428,8.17753,-0.00678455,0.00336846,-0.0101722,-2.37016,9.70672,-1.39545,0.0103789,-0.0369418,-0.0092699,4.12019,1.08278,9.16987,-0.0075764,-0.0225177,-0.00530938,-1.40263,-9.9976,-0.585706,-0.0375384,0.0931268,0.0302147
0.008,9.38799,1.81257,1.99736,-0.165006,0.042111,0.0217039,0.345012,-10.0017,-0.591848,-0.062149,0.0365207,0.0199813,-1.8422,9.63518,-0.710855,-0.00287368,-0.00159396,0.00501968,4.95014,-2.27398,8.17145,-0.00678761,0.00320383,-0.0102464,-2.37105,9.69771,-1.39418,0.0104009,-0.0359554,-0.00920973,4.11992,1.08433,9.1617,-0.00762663,-0.0225156,-0.00520646,-1.4074,-9.99347,-0.587112,-0.0376104,0.0921811,0.0300062
