Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,9.0059,0.891467,3.38404,0.0494577,-0.00390644,0.0198564,-0.855097,-9.90501,-1.29627,0.035744,-0.00239237,0.0506699,-1.57034,9.70449,-0.341327,0.0313401,-0.00918465,-0.010419,5.14548,-1.22977,8.25743,-0.033768,0.00220283,-0.00455918,1.71966,10.1347,-0.941483,-0.0645819,-0.703816,-0.256653,4.68819,1.91493,8.79281,-0.0323931,-0.0124014,0.0603821,-2.55246,-9.83214,-0.452954,0.0348067,-0.132462,0.1135
0.001,9.01454,0.899781,3.38475,0.0490875,-0.00643971,0.0209621,-0.85295,-9.8987,-1.29546,0.0348259,-0.00356295,0.0503899,-1.57453,9.69315,-0.353689,0.0312016,-0.00985046,-0.0114147,5.14532,-1.24007,8.24795,-0.0325739,0.00276095,-0.00556348,1.69169,10.1183,-0.968811,-0.068042,-0.701178,-0.256377,4.68674,1.91064,8.78537,-0.0320891,-0.0121764,0.0602218,-2.55312,-9.82561,-0.449924,0.0343264,-0.133183,0.112732
0.002,9.02402,0.908356,3.38562,0.0487149,-0.00906315,0.0220941,-0.850756,-9.89278,-1.29469,0.0338767,-0.00475512,0.0501111,-1.57878,9.68227,-0.366421,0.0310548,-0.0105104,-0.012439,5.14539,-1.25063,8.2388,-0.031333,0.00334432,-0.00661308,1.66294,10.1022,-0.99673,-0.071505,-0.698358,-0.256121,4.68547,1.90646,8.77831,-0.0317756,-0.0119508,0.060062,-2.55383,-9.81955,-0.44689,0.0338366,-0.133947,0.111947
0.003,9.03427,0.917157,3.3866,0.0483417,-0.0117751,0.0232477,-0.848506,-9.88718,-1.29397,0.0328963,-0.00596269,0.0498356,-1.58303,9.67188,-0.37949,0.0308982,-0.011156,-0.0134892,5.14564,-1.26141,8.22998,-0.0300442,0.00395402,-0.00770986,1.63344,10.0862,-1.0251,-0.074935,-0.695318,-0.255887,4.68434,1.90242,8.77161,-0.0314522,-0.0117264,0.0599031,-2.55454,-9.81392,-0.443873,0.0333388,-0.134757,0.111145
0.004,9.04523,0.926152,3.38767,0.0479701,-0.0145743,0.0244185,-0.846189,-9.88185,-1.29327,0.031885,-0.0071795,0.0495656,-1.58723,9.66198,-0.392862,0.0307302,-0.0117785,-0.0145628,5.14601,-1.27235,8.22147,-0.0287061,0.00459117,-0.00885581,1.60323,10.0705,-1.05378,-0.078296,-0.692018,-0.255677,4.68331,1.89855,8.76525,-0.0311188,-0.011505,0.0597457,-2.55519,-9.8087,-0.440893,0.0328344,-0.135613,0.110326
0.005,9.05682,0.935305,3.38878,0.0476023,-0.017459,0.0256016,-0.843798,-9.87676,-1.29259,0.0308433,-0.00840027,0.0493024,-1.59131,9.65261,-0.406507,0.0305494,-0.0123701,-0.015657,5.14646,-1.28338,8.21329,-0.0273177,0.00525681,-0.0100524,1.57235,10.0549,-1.08264,-0.081553,-0.688423,-0.255495,4.68234,1.89487,8.75921,-0.0307753,-0.0112885,0.0595902,-2.55576,-9.80385,-0.437963,0.0323248,-0.136516,0.109491
0.006,9.069,0.94458,3.38988,0.0472421,-0.0204271,0.0267918,-0.841336,-9.87187,-1.29196,0.0297737,-0.00962199,0.0490462,-1.59522,9.64374,-0.420399,0.0303548,-0.0129246,-0.0167686,5.14694,-1.29444,8.20545,-0.025879,0.00595161,-0.0112998,1.54085,10.0395,-1.11156,-0.0846753,-0.684499,-0.255343,4.68141,1.8914,8.75349,-0.0304217,-0.011079,0.0594378,-2.55619,-9.79938,-0.435082,0.0318108,-0.137465,0.108641
0.007,9.08169,0.953939,3.39093,0.0468942,-0.023476,0.0279837,-0.838814,-9.8672,-1.29138,0.0286804,-0.0108438,0.0487954,-1.59893,9.63535,-0.43452,0.0301458,-0.0134379,-0.0178943,5.1474,-1.30548,8.19796,-0.0243908,0.00667594,-0.0125966,1.50882,10.0242,-1.14045,-0.087635,-0.680219,-0.255225,4.68051,1.88815,8.74806,-0.0300584,-0.010879,0.0592901,-2.55649,-9.79526,-0.43223,0.0312925,-0.138458,0.107776
0.008,9.09484,0.963342,3.39188,0.0465639,-0.0266026,0.0291714,-0.836243,-9.86277,-1.2909,0.027568,-0.0120656,0.0485482,-1.60239,9.62738,-0.44885,0.0299218,-0.0139062,-0.0190304,5.14781,-1.31644,8.19084,-0.0228543,0.0074301,-0.0139411,1.47635,10.0091,-1.16921,-0.0904057,-0.675557,-0.255142,4.67963,1.8851,8.74294,-0.0296859,-0.0106908,0.0591489,-2.55663,-9.7915,-0.429386,0.0307702,-0.139491,0.106897
0.009,9.10837,0.97275,3.39267,0.0462562,-0.0298045,0.0303492,-0.833637,-9.8586,-1.29053,0.0264411,-0.0132871,0.0483028,-1.60558,9.61979,-0.46337,0.0296822,-0.0143257,-0.0201735,5.14813,-1.32724,8.18411,-0.0212704,0.00821432,-0.0153318,1.44352,9.99401,-1.19775,-0.0929607,-0.670484,-0.2551,4.67876,1.88227,8.7381,-0.0293046,-0.0105168,0.0590159,-2.5566,-9.78809,-0.426527,0.0302439,-0.14056,0.106006
