Time,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.0,-0.615268,9.62867,-1.17802,0.0762123,0.100384,-0.0481189,4.97793,2.62683,8.37136,-0.240702,0.0130893,0.140122,-1.18609,9.5485,-1.60663,0.113755,0.105755,-0.25793,9.8322,-0.0022335,2.99625,-0.0322699,0.144091,-0.0399018,-2.11956,-9.59414,-2.28233,-0.0966422,0.00360906,0.170972,4.6164,-2.7016,8.04899,0.258613,-0.014854,-0.153458,-0.971737,-10.0921,-1.26244,0.0872956,0.101759,0.101347
0.001,-0.692743,9.60618,-1.14179,0.0806717,0.105483,-0.0496789,4.98519,2.61715,8.37155,-0.239283,0.0131986,0.13883,-1.18102,9.55997,-1.61012,0.111745,0.107691,-0.262372,9.82821,-0.00606573,3.00757,-0.0323247,0.150446,-0.0406935,-2.09652,-9.58102,-2.28825,-0.096337,-0.000868755,0.172486,4.6112,-2.65367,8.04323,0.251325,-0.0151162,-0.151299,-0.969489,-10.0663,-1.26754,0.0824232,0.101588,0.0984752
0.002,-0.770218,9.58369,-1.10555,0.0851311,0.110583,-0.0512389,4.99244,2.60747,8.37174,-0.237864,0.0133078,0.137538,-1.17596,9.57144,-1.61361,0.109735,0.109628,-0.266814,9.82422,-0.00989796,3.01888,-0.0323796,0.156801,-0.0414852,-2.07348,-9.5679,-2.29418,-0.0960318,-0.00534657,0.174,4.60599,-2.60574,8.03746,0.244038,-0.0153784,-0.149141,-0.967241,-10.0406,-1.27264,0.0775508,0.101417,0.0956037
0.003,-0.847693,9.5612,-1.06932,0.0895905,0.115682,-0.0527988,4.99969,2.59779,8.37193,-0.236445,0.013417,0.136247,-1.1709,9.58292,-1.6171,0.107724,0.111565,-0.271256,9.82024,-0.0137302,3.03019,-0.0324344,0.163156,-0.0422769,-2.05044,-9.55479,-2.30011,-0.0957266,-0.00982439,0.175513,4.60079,-2.55781,8.0317,0.23675,-0.0156407,-0.146982,-0.964993,-10.0148,-1.27774,0.0726783,0.101247,0.0927322
0.004,-0.925168,9.53871,-1.03309,0.0940499,0.120782,-0.0543588,5.00695,2.58811,8.37212,-0.235026,0.0135263,0.134955,-1.16583,9.59439,-1.6206,0.105714,0.113502,-0.275699,9.81625,-0.0175624,3.0415,-0.0324893,0.169511,-0.0430687,-2.0274,-9.54167,-2.30604,-0.0954214,-0.0143022,0.177027,4.59559,-2.50988,8.02593,0.229463,-0.0159029,-0.144823,-0.962745,-9.98904,-1.28284,0.0678059,0.101076,0.0898606
0.005,-0.960514,9.54472,-0.962117,0.0960298,0.12483,-0.0555232,5.01239,2.5807,8.37464,-0.232772,0.0131087,0.133587,-1.16125,9.58895,-1.62456,0.104782,0.115785,-0.28019,9.8277,-0.0161525,3.03964,-0.0335445,0.175821,-0.0440441,-1.99641,-9.54123,-2.29031,-0.0955636,-0.0185045,0.179004,4.63694,-2.44765,8.01742,0.225082,-0.0154604,-0.140831,-0.964828,-9.97058,-1.28157,0.0635148,0.100986,0.0866616
0.006,-0.962158,9.57351,-0.86335,0.096026,0.128037,-0.0563712,5.0164,2.57511,8.37903,-0.22985,0.0122698,0.132158,-1.15705,9.56999,-1.62891,0.104713,0.118345,-0.28472,9.85151,-0.0105488,3.02725,-0.0354,0.182094,-0.0451666,-1.95907,-9.55093,-2.25725,-0.0960636,-0.0224865,0.181352,4.71555,-2.37398,8.00672,0.223028,-0.0144541,-0.135371,-0.970377,-9.95798,-1.2752,0.0596887,0.100962,0.0832005
0.007,-0.963802,9.60231,-0.764584,0.0960222,0.131243,-0.0572192,5.0204,2.56951,8.38343,-0.226928,0.0114308,0.13073,-1.15285,9.55102,-1.63326,0.104643,0.120904,-0.28925,9.87532,-0.00494514,3.01486,-0.0372555,0.188367,-0.0462891,-1.92174,-9.56064,-2.22419,-0.0965637,-0.0264684,0.183699,4.79415,-2.30032,7.99602,0.220973,-0.0134477,-0.129911,-0.975926,-9.94538,-1.26883,0.0558626,0.100937,0.0797394
0.008,-0.965446,9.6311,-0.665817,0.0960184,0.13445,-0.0580672,5.0244,2.56392,8.38782,-0.224006,0.0105919,0.129301,-1.14865,9.53206,-1.63761,0.104574,0.123464,-0.293781,9.89913,0.000658527,3.00247,-0.039111,0.19464,-0.0474115,-1.8844,-9.57035,-2.19113,-0.0970638,-0.0304503,0.186047,4.87276,-2.22665,7.98531,0.218918,-0.0124414,-0.124451,-0.981475,-9.93277,-1.26246,0.0520365,0.100913,0.0762783
0.009,-0.960854,9.65351,-0.571238,0.0961292,0.137253,-0.058939,5.02641,2.55781,8.39272,-0.22129,0.00975973,0.127934,-1.14303,9.51411,-1.63991,0.10447,0.126139,-0.298181,9.91717,0.00878965,2.99099,-0.0407252,0.200996,-0.0483394,-1.8477,-9.57775,-2.16207,-0.0976695,-0.0342154,0.188493,4.95243,-2.15722,7.97493,0.217147,-0.0115245,-0.119326,-0.988938,-9.92353,-1.2554,0.0486836,0.100799,0.0729238
