Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0674664,0.0868201,0.0533612,0.0551437,0.0734073,0.0862625,0.0555197,0.0629965,0.0543649,0.0711356,0.0462482,0.0276889,0.0520636,0.0706735,0.0679285,0.0709729
0.021,0.0436627,0.0703406,0.0725873,0.0575851,0.0883609,0.0661209,0.0576559,0.0645224,0.0476511,0.0641165,0.0645587,0.0453891,0.0612189,0.0639597,0.0679285,0.0648694
0.022,0.0671613,0.0721716,0.0649579,0.0456833,0.0447208,0.0581863,0.0485007,0.0474326,0.0650461,0.0296317,0.0618121,0.0517978,0.0438239,0.0612131,0.0627405,0.0670056
0.023,0.0638043,0.0596594,0.0484784,0.0395798,0.0459415,0.0584915,0.0649802,0.0535361,0.0467355,-0.0011911,0.0544879,0.0691928,0.0551154,0.0569406,0.056637,0.0755505
0.024,0.0671613,0.0770544,0.0612958,0.0859665,0.0682193,0.0649002,0.0362936,0.0645224,0.0723703,0.0299368,0.0474689,0.0844516,0.0664069,0.0728098,0.0346643,0.0566296
0.025,0.0567853,0.0724768,0.051225,0.0249313,0.0691348,0.0816849,0.0402609,0.0581137,0.0565012,0.0308524,0.0523517,0.059122,0.0581671,0.0438181,0.0401575,0.0737195
0.026,0.0616681,0.0523352,0.063432,0.0560593,0.0441104,0.0505569,0.0597922,0.0388876,0.0589426,0.00308136,0.05815,0.0560703,0.0636603,0.0779977,0.0441248,0.0615125
0.027,0.040611,0.0617957,0.0594647,0.0392746,0.0639468,0.0706985,0.0710837,0.0492636,0.0503976,0.0659476,0.05815,0.0560703,0.0444342,0.0487009,0.0496179,0.0593762
0.028,0.0589215,0.0688147,0.0692303,0.0588058,0.0157291,0.0432327,0.0436179,0.0483481,0.0549753,0.0604544,0.0435016,0.0459995,0.0499274,0.0462595,0.0599939,0.0593762
0.029,0.0558698,0.0608801,0.0420697,0.0475143,0.0782901,0.0578812,0.049111,0.0718466,0.0726755,0.0525198,0.0557086,0.0527133,0.0599982,0.0728098,0.0483972,0.062428
0.03,0.0607526,0.0547766,0.0649579,0.0551437,0.0511295,0.0667313,0.0652853,0.0629965,0.0659616,0.0387869,0.0441119,0.0551547,0.0496222,0.0355783,0.0654871,0.0511365
0.031,0.052818,0.0428748,0.047868,0.0578903,0.0349551,0.0667313,0.0411765,0.041329,0.0647409,0.0088797,0.0566241,0.0459995,0.0621344,0.0526682,0.0560266,0.0670056
0.032,0.065025,0.0563025,0.0597699,0.0743698,0.0587589,0.0700882,0.0539938,0.0706259,0.0571115,0.0403128,0.051131,0.0493564,0.0499274,0.0664011,0.0660974,0.0575452
0.033,0.0692975,0.0526404,0.0619061,0.062468,0.0923282,0.0481155,0.0488058,0.0471274,0.0528391,0.0274954,0.0386188,0.0569858,0.0404669,0.0483957,0.0651819,0.0508313
0.034,0.0610577,0.0389075,0.0454266,0.0707077,0.0688296,0.0566605,0.0311057,0.039498,0.0714548,0.0592337,0.0670001,0.0640048,0.0538947,0.0847116,0.0737268,0.0599866
0.035,0.0552594,0.0291418,0.0588544,0.0615524,0.0450259,0.0472,0.0448386,0.0559775,0.0314767,0.0604544,0.0532672,0.0380649,0.0603033,0.0651804,0.0612146,0.064259
0.036,0.0610577,0.0285315,0.0677045,0.0716232,0.0441104,0.0395706,0.0384299,0.0315634,0.0574167,0.0537405,0.0666949,0.0514926,0.0599982,0.049006,0.048092,0.0444226
0.037,0.0619733,0.0230383,0.056413,0.0502609,0.0676089,0.0584915,0.071694,0.049874,0.0409372,0.0442801,0.0618121,0.0661411,0.0834967,0.0859323,0.058468,0.0581555
0.038,0.0601422,0.05203,0.073808,0.0203537,0.0563174,0.0557449,0.0726096,0.0443808,0.0461252,0.0525198,0.0602863,0.0511874,0.0462653,0.0532785,0.0633508,0.0898938
0.039,0.0445782,0.0508093,0.0426801,0.0475143,0.0358707,0.0694778,0.0494162,0.0581137,0.0696237,0.0564871,0.0627277,0.0597324,0.0557257,0.0618234,0.0633508,0.0660901
0.04,0.0534283,0.039823,0.0457318,0.0481247,0.0459415,0.0514725,0.0332419,0.0645224,0.0626047,0.0732718,0.0627277,0.0588168,0.0551154,0.0615182,0.0557214,0.0587659
