Time,EMGs.RTibialisA,EMGs.2,EMGs.3,EMGs.4,EMGs.5,EMGs.6,EMGs.7,EMGs.8,EMGs.9,EMGs.10,EMGs.11,EMGs.12,EMGs.13,EMGs.14,EMGs.15,EMGs.16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0403058,0.0566077,0.0698407,0.0301193,0.0212222,0.0710037,0.0390402,0.0629965,0.0317819,0.0412283,0.0715778,0.0649204,0.0505377,0.0514474,0.0422937,0.0615125
0.021,0.0577008,0.0462317,0.056413,0.0411057,0.0535709,0.0752762,0.0655905,0.0562827,0.0699289,0.0860892,0.0749347,0.0411166,0.0514532,0.0520578,0.0578577,0.0514417
0.022,0.0332867,0.0395178,0.0585492,0.0667404,0.0407535,0.0566605,0.043923,0.0471274,0.0595529,0.0766287,0.0660846,0.081705,0.0599982,0.0477853,0.058468,0.0633435
0.023,0.0589215,0.0477576,0.0612958,0.0752853,0.0279361,0.085347,0.0579611,0.0678793,0.0595529,0.0964651,0.0428912,0.0600375,0.0496222,0.057551,0.0602991,0.0587659
0.024,0.0634991,0.0410437,0.0390179,0.0453781,0.0666934,0.0435379,0.052468,0.0266806,0.0372751,0.0763235,0.0547931,0.0865878,0.0505377,0.0602975,0.0700647,0.0740247
0.025,0.0586163,0.046842,0.0677045,0.0267624,0.057233,0.0511673,0.0634543,0.0590292,0.0531442,0.0778494,0.0673053,0.0780429,0.0294806,0.0337473,0.0276453,0.0734143
0.026,0.0512921,0.0538611,0.0655682,0.0554489,0.029462,0.0630691,0.0509421,0.0614706,0.0552805,0.0671683,0.0630328,0.0948276,0.0191046,0.0630441,0.0587732,0.0758557
0.027,0.0601422,0.0575232,0.0631268,0.0322556,0.0505191,0.0484207,0.0719992,0.0462119,0.0391061,0.0415335,0.0676105,0.0496616,0.0505377,0.0285593,0.0847131,0.0712781
0.028,0.0750958,0.0630164,0.056413,0.0435471,0.0340396,0.0566605,0.0399558,0.0385825,0.058027,0.0558768,0.0770709,0.0575961,0.0438239,0.0615182,0.0557214,0.0544934
0.029,0.0790631,0.0630164,0.0548871,0.0636887,0.0679141,0.0883987,0.0732199,0.0471274,0.0500925,0.0924979,0.0404498,0.0386752,0.0245978,0.0285593,0.0328333,0.0605969
0.03,0.08242,0.0666785,0.0551923,0.0414108,0.0438052,0.0517776,0.0350729,0.0404135,0.063215,0.104705,0.0660846,0.0627841,0.0859381,0.076777,0.0630457,0.0691418
0.031,0.0699078,0.0566077,0.051225,0.0569748,0.0331241,0.0887039,0.0539938,0.0709311,0.0503976,0.0900565,0.051131,0.0536288,0.0557257,0.069758,0.0511438,0.0773816
0.032,0.0522076,0.0410437,0.0573285,0.0493454,0.0340396,0.0432327,0.0564352,0.0571982,0.0619943,0.106536,0.0743243,0.019144,0.0337531,0.0392404,0.0673181,0.0639539
0.033,0.070213,0.0517249,0.0689252,0.0588058,0.0599796,0.0688675,0.0643698,0.0483481,0.0824411,0.0216971,0.0773761,0.0249423,0.014527,0.0401559,0.0645715,0.0770764
0.034,0.0616681,0.0462317,0.0448163,0.0594162,0.0456363,0.057576,0.04728,0.0663535,0.073591,0.0305472,0.0670001,0.0289096,0.0657965,0.0606027,0.0581628,0.0740247
