Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
0,-0.529111,9.72284,-0.894229,-0.0548499,0.0106486,-0.0402053,0.233316,9.68446,-0.699433,-0.0131104,0.000256484,-0.00583938,0.617868,-9.70574,-1.22248,-0.0676093,0.0320287,0.0186979,3.83317,-0.0917733,8.856,-0.0151271,0.0047597,0.00930235,3.87135,1.07853,9.1459,-0.0213105,0.0114304,0.0173036,8.30198,-0.650423,5.37675,0.00607322,-0.0221568,0.0197794
0.001,-0.540348,9.74939,-0.85957,-0.0556881,0.0110809,-0.0400152,0.211101,9.68072,-0.718151,-0.0138352,0.0027811,-0.00489901,0.60867,-9.69672,-1.20309,-0.0645867,0.0299883,0.0176804,3.84197,-0.088069,8.84774,-0.0158538,0.00524418,0.00668628,3.87552,1.09532,9.1585,-0.0222806,0.0102823,0.0176108,8.30717,-0.646702,5.35414,0.00598533,-0.0218241,0.0190739
0.002,-0.551586,9.77594,-0.824911,-0.0565262,0.0115131,-0.039825,0.188886,9.67697,-0.736868,-0.0145601,0.00530572,-0.00395865,0.599472,-9.68771,-1.1837,-0.0615642,0.0279479,0.0166629,3.85076,-0.0843648,8.83948,-0.0165805,0.00572866,0.00407021,3.87969,1.11211,9.1711,-0.0232508,0.00913424,0.0179179,8.31236,-0.642981,5.33153,0.00589743,-0.0214914,0.0183683
0.003,-0.562823,9.80249,-0.790253,-0.0573643,0.0119453,-0.0396349,0.166671,9.67323,-0.755586,-0.015285,0.00783034,-0.00301828,0.590273,-9.6787,-1.16431,-0.0585417,0.0259074,0.0156454,3.85955,-0.0806606,8.83121,-0.0173072,0.00621314,0.00145414,3.88385,1.1289,9.1837,-0.0242209,0.00798615,0.018225,8.31755,-0.639261,5.30892,0.00580953,-0.0211587,0.0176627
0.004,-0.574061,9.82903,-0.755594,-0.0582025,0.0123776,-0.0394447,0.144457,9.66948,-0.774304,-0.0160098,0.010355,-0.00207791,0.581075,-9.66968,-1.14492,-0.0555192,0.023867,0.0146279,3.86835,-0.0769563,8.82295,-0.0180339,0.00669763,-0.00116193,3.88802,1.14569,9.1963,-0.025191,0.00683805,0.0185321,8.32273,-0.63554,5.28631,0.00572163,-0.020826,0.0169571
0.005,-0.583337,9.83876,-0.74553,-0.0584724,0.0111898,-0.0391301,0.131121,9.67044,-0.780827,-0.0167826,0.0112885,-0.00210738,0.591469,-9.67841,-1.14178,-0.0544394,0.0233915,0.0133758,3.883,-0.0738078,8.82394,-0.0185593,0.00758491,-0.0020272,3.89411,1.14788,9.21177,-0.0254373,0.00620243,0.0185245,8.31685,-0.639105,5.28243,0.00546849,-0.0208527,0.0159062
0.006,-0.591046,9.83501,-0.755141,-0.0582877,0.00870604,-0.0387158,0.124887,9.67517,-0.777594,-0.0175938,0.0109491,-0.00291271,0.617537,-9.70134,-1.15163,-0.0549138,0.0241679,0.011936,3.90233,-0.0711038,8.83233,-0.0189235,0.00879442,-0.00149183,3.90174,1.1384,9.22955,-0.0251046,0.00597681,0.018265,8.30211,-0.648498,5.29354,0.00508316,-0.021167,0.0145791
0.007,-0.598754,9.83127,-0.764752,-0.0581029,0.00622225,-0.0383016,0.118654,9.67991,-0.774361,-0.018405,0.0106097,-0.00371804,0.643604,-9.72428,-1.16148,-0.0553882,0.0249442,0.0104962,3.92166,-0.0683999,8.84073,-0.0192877,0.0100039,-0.000956463,3.90938,1.12891,9.24733,-0.0247718,0.00575118,0.0180056,8.28737,-0.657892,5.30464,0.00469782,-0.0214813,0.0132519
0.008,-0.606463,9.82753,-0.774363,-0.0579182,0.00373847,-0.0378873,0.112421,9.68464,-0.771129,-0.0192162,0.0102703,-0.00452336,0.669671,-9.74721,-1.17133,-0.0558626,0.0257206,0.00905635,3.94099,-0.0656959,8.84912,-0.0196519,0.0112135,-0.000421094,3.91701,1.11943,9.2651,-0.0244391,0.00552556,0.0177461,8.27263,-0.667285,5.31575,0.00431249,-0.0217956,0.0119248
0.009,-0.612583,9.8247,-0.785061,-0.0574775,0.00156395,-0.0373049,0.108439,9.68579,-0.769488,-0.020047,0.0100526,-0.00504545,0.689086,-9.77003,-1.17935,-0.0562627,0.0265952,0.00764049,3.95869,-0.0629629,8.85552,-0.0198595,0.0121845,8.62E-05,3.92313,1.1125,9.27909,-0.0240204,0.00540902,0.0174616,8.25957,-0.675595,5.32545,0.00405681,-0.0220424,0.0108156
0.01,-0.605996,9.82917,-0.804452,-0.0549891,0.00186346,-0.0353781,0.122464,9.65832,-0.780588,-0.0210352,0.0108082,-0.00330158,0.655276,-9.79199,-1.17269,-0.0560684,0.0282562,0.00641619,3.96342,-0.0599973,8.84597,-0.0188146,0.0112476,0.000369286,3.91717,1.12602,9.26278,-0.0229147,0.00616518,0.0169765,8.25992,-0.67524,5.32393,0.00483836,-0.0217495,0.0114499
0.011,-0.599408,9.83364,-0.823844,-0.0525007,0.00216297,-0.0334513,0.136489,9.63085,-0.791688,-0.0220235,0.0115638,-0.00155771,0.621466,-9.81396,-1.16604,-0.0558742,0.0299171,0.0051919,3.96814,-0.0570318,8.83641,-0.0177697,0.0103106,0.000652334,3.9112,1.13954,9.24647,-0.021809,0.00692135,0.0164915,8.26027,-0.674886,5.32241,0.00561992,-0.0214566,0.0120843
0.012,-0.592821,9.8381,-0.843235,-0.0500123,0.00246248,-0.0315244,0.150513,9.60338,-0.802788,-0.0230117,0.0123194,0.00018616,0.587655,-9.83592,-1.15938,-0.05568,0.0315781,0.0039676,3.97287,-0.0540662,8.82686,-0.0167248,0.00937369,0.000935381,3.90524,1.15306,9.23016,-0.0207033,0.00767751,0.0160064,8.26063,-0.674531,5.32089,0.00640147,-0.0211637,0.0127186
0.013,-0.586234,9.84257,-0.862627,-0.0475238,0.00276199,-0.0295976,0.164538,9.5759,-0.813887,-0.024,0.0130751,0.00193003,0.553845,-9.85789,-1.15273,-0.0554858,0.0332391,0.00274331,3.97759,-0.0511006,8.81731,-0.01568,0.00843676,0.00121843,3.89927,1.16658,9.21385,-0.0195976,0.00843368,0.0155213,8.26098,-0.674176,5.31937,0.00718303,-0.0208709,0.013353
0.014,-0.592857,9.84449,-0.856824,-0.0467458,0.00218642,-0.0262032,0.183919,9.56897,-0.815844,-0.0230544,0.0137092,0.00168408,0.528352,-9.86436,-1.15171,-0.0557258,0.0338358,0.00354823,3.98084,-0.045865,8.81872,-0.0149843,0.00861024,0.00139994,3.88729,1.16506,9.20535,-0.0188045,0.00830875,0.0150363,8.26182,-0.671135,5.29979,0.00883021,-0.0202024,0.0132762
0.015,-0.606086,9.84514,-0.838423,-0.0468228,0.0011733,-0.0220751,0.205978,9.5723,-0.81323,-0.0211419,0.0142825,0.000443209,0.507018,-9.8631,-1.15352,-0.056183,0.0339004,0.00536777,3.98336,-0.0394942,8.82561,-0.0144633,0.00933893,0.00153068,3.87229,1.15603,9.20076,-0.0181677,0.00774327,0.0145512,8.2629,-0.66675,5.27118,0.0109102,-0.0193462,0.0128438
0.016,-0.619314,9.84579,-0.820022,-0.0468999,0.000160181,-0.017947,0.228037,9.57563,-0.810615,-0.0192294,0.0148559,-0.000797657,0.485684,-9.86183,-1.15533,-0.0566402,0.0339651,0.0071873,3.98587,-0.0331235,8.83249,-0.0139424,0.0100676,0.00166142,3.8573,1.147,9.19616,-0.0175309,0.0071778,0.0140661,8.26398,-0.662366,5.24257,0.0129902,-0.01849,0.0124114
0.017,-0.632543,9.84645,-0.801621,-0.046977,-0.000852938,-0.013819,0.250096,9.57897,-0.808,-0.0173169,0.0154292,-0.00203852,0.464349,-9.86056,-1.15713,-0.0570974,0.0340297,0.00900684,3.98839,-0.0267527,8.83938,-0.0134214,0.0107963,0.00179216,3.84231,1.13797,9.19157,-0.0168941,0.00661232,0.013581,8.26506,-0.657981,5.21396,0.0150702,-0.0176337,0.0119791
0.018,-0.648146,9.84897,-0.787547,-0.0460992,-0.00197483,-0.0102265,0.264397,9.57736,-0.805142,-0.015768,0.015546,-0.00324856,0.452351,-9.85556,-1.15478,-0.0581902,0.0339751,0.0104859,3.99088,-0.0253939,8.84751,-0.0130043,0.0114759,0.00165351,3.83052,1.13213,9.18746,-0.0165508,0.00626004,0.013096,8.27131,-0.656098,5.1928,0.0165608,-0.0170438,0.0118445
0.019,-0.67206,9.85802,-0.78862,-0.0418796,-0.0034774,-0.0085088,0.251547,9.55846,-0.801429,-0.0154916,0.0140649,-0.00435071,0.473028,-9.83746,-1.13785,-0.0615075,0.033503,0.0107732,3.9933,-0.0415768,8.85997,-0.0129512,0.0119839,0.000572014,3.82993,1.13746,9.18504,-0.0172349,0.00665395,0.0126109,8.29563,-0.662972,5.19773,0.0159883,-0.0173859,0.012752
0.02,-0.695973,9.86707,-0.789692,-0.0376599,-0.00497998,-0.0067911,0.238697,9.53956,-0.797716,-0.0152152,0.0125838,-0.00545287,0.493706,-9.81936,-1.12093,-0.0648248,0.0330309,0.0110605,3.99571,-0.0577597,8.87243,-0.0128981,0.0124918,-0.000509484,3.82934,1.14279,9.18263,-0.017919,0.00704785,0.0121258,8.31996,-0.669846,5.20266,0.0154159,-0.017728,0.0136595
0.021,-0.719886,9.87613,-0.790764,-0.0334403,-0.00648255,-0.00507339,0.225848,9.52066,-0.794003,-0.0149388,0.0111026,-0.00655502,0.514383,-9.80126,-1.10401,-0.0681422,0.0325589,0.0113479,3.99813,-0.0739426,8.88489,-0.0128449,0.0129997,-0.00159098,3.82876,1.14812,9.18021,-0.0186031,0.00744175,0.0116407,8.34428,-0.67672,5.20758,0.0148434,-0.0180701,0.0145671
0.022,-0.7438,9.88518,-0.791836,-0.0292206,-0.00798513,-0.00335569,0.212998,9.50176,-0.790291,-0.0146625,0.00962153,-0.00765717,0.53506,-9.78316,-1.08709,-0.0714595,0.0320868,0.0116352,4.00055,-0.0901254,8.89735,-0.0127918,0.0135076,-0.00267248,3.82817,1.15345,9.1778,-0.0192872,0.00783565,0.0111557,8.36861,-0.683594,5.21251,0.0142709,-0.0184121,0.0154746
0.023,-0.742723,9.88426,-0.777748,-0.0247088,-0.00702679,0.000201292,0.218685,9.50383,-0.791579,-0.0142824,0.0102034,-0.00763634,0.550765,-9.76723,-1.11403,-0.0709353,0.0312332,0.0113303,3.97462,-0.101454,8.87658,-0.0124818,0.013958,-0.00165741,3.83543,1.13407,9.19409,-0.0203476,0.00756615,0.0126703,8.35488,-0.673895,5.22034,0.0143558,-0.0180064,0.0150134
0.024,-0.734506,9.88048,-0.759328,-0.0201136,-0.00536533,0.00428378,0.229668,9.51188,-0.794297,-0.0138726,0.0113748,-0.00729467,0.565049,-9.75192,-1.15351,-0.0693135,0.0302706,0.0108562,3.9406,-0.111396,8.84632,-0.0120983,0.014392,-4.33E-05,3.84492,1.10763,9.21571,-0.0215155,0.00710711,0.0147563,8.33028,-0.65946,5.229,0.0146286,-0.0173871,0.0141611
0.025,-0.726289,9.8767,-0.740909,-0.0155183,-0.00370388,0.00836628,0.240651,9.51993,-0.797014,-0.0134629,0.0125461,-0.00695299,0.579333,-9.73661,-1.19299,-0.0676918,0.029308,0.010382,3.90657,-0.121338,8.81606,-0.0117149,0.0148259,0.00157077,3.85442,1.08119,9.23734,-0.0226835,0.00664807,0.0168423,8.30567,-0.645026,5.23767,0.0149013,-0.0167677,0.0133087
0.026,-0.718072,9.87292,-0.72249,-0.0109231,-0.00204242,0.0124488,0.251634,9.52799,-0.799731,-0.0130532,0.0137175,-0.00661132,0.593617,-9.7213,-1.23246,-0.06607,0.0283454,0.0099079,3.87254,-0.13128,8.78581,-0.0113314,0.0152599,0.00318486,3.86391,1.05474,9.25897,-0.0238514,0.00618903,0.0189283,8.28107,-0.630591,5.24633,0.0151741,-0.0161484,0.0124564
0.027,-0.718672,9.86491,-0.711909,-0.00693261,-0.000850503,0.0161274,0.257364,9.5314,-0.798,-0.0127929,0.0147689,-0.00722389,0.606294,-9.70148,-1.24236,-0.0648252,0.0285792,0.00942881,3.84903,-0.12931,8.77398,-0.0109143,0.0146742,0.0038376,3.87117,1.04353,9.27164,-0.0242984,0.00617563,0.0206731,8.2675,-0.61846,5.24926,0.0155343,-0.0152778,0.0119273
0.028,-0.736907,9.84843,-0.717004,-0.00415161,-0.00059766,0.0189984,0.252588,9.52554,-0.787372,-0.0128317,0.0155804,-0.00974497,0.615758,-9.67263,-1.1931,-0.0643345,0.0312058,0.0089398,3.84653,-0.103516,8.79899,-0.0104298,0.0120493,0.00256761,3.87396,1.06277,9.26642,-0.0233035,0.00705351,0.0217356,8.276,-0.610934,5.24072,0.0160694,-0.0139046,0.0120445
