Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0625836,0.0379919,0.0518353,0.0609421,0.0685245,0.07314,0.071694,0.0495688,0.0577219,0.037261,0.0483844,0.0307407,-0.0101923,0.0496164,0.0465662,0.0627332
0.021,0.0680768,0.113981,0.0677045,0.0881027,0.0612003,0.0591019,0.0442282,0.0462119,0.0525339,0.116302,0.0718829,0.0441684,-0.056579,0.0709787,0.0523645,0.0367932
0.022,0.0665509,0.124662,0.0731976,0.0652145,0.0441104,0.0624588,0.0561301,0.0596396,0.0781686,0.0570975,0.0593707,0.0163974,-0.0297235,0.0709787,0.0606042,0.0654797
0.023,0.0616681,0.166471,0.073808,0.0743698,0.0584537,0.0734451,0.0555197,0.0584189,0.0732858,0.0439749,0.0856158,0.0350131,-0.0281976,0.076777,0.0685388,0.064259
0.024,0.080589,0.20004,0.0966962,0.0667404,0.0581485,0.0600174,0.0616232,0.00348724,0.0516183,0.0101004,0.0560138,0.0368442,-0.0178217,0.0734201,0.0560266,0.0667004
0.025,0.0644147,0.154874,0.0930341,0.0499557,0.057233,0.067952,0.0549094,0.0590292,0.0555856,0.0720511,0.0557086,0.0371494,-0.0483392,0.0706735,0.0660974,0.0654797
0.026,0.0656354,0.0352454,0.0680096,0.048735,0.0438052,0.0725296,0.0558249,0.062081,0.0452097,0.109893,0.0712726,0.0414218,-0.0458978,0.0682321,0.0453455,0.0734143
0.027,0.0503766,-0.0221277,0.0643475,0.076506,0.0566226,0.0649002,0.0509421,0.0590292,0.0577219,0.000334778,0.0544879,0.0524081,0.0435187,0.062739,0.0587732,0.0596814
0.028,0.0619733,-0.0621057,0.0432904,0.0844406,0.0682193,0.0557449,0.0506369,0.0629965,0.0705392,0.0116263,0.00352356,0.0383701,0.138428,0.0508371,0.035885,0.0633435
0.029,0.0555646,-0.00320679,-0.009505,0.086882,0.0691348,0.0597122,0.0573508,0.0520102,0.0449045,-0.0368967,0.0392291,0.0752963,0.197938,0.0664011,0.0456506,0.0615125
0.03,0.0885236,0.032804,0.0490887,0.0847458,0.0660831,0.062764,0.0356833,0.0562827,0.0629098,0.0775442,0.0569293,0.0624789,0.191529,0.0551096,0.0487024,0.0615125
0.031,0.0500714,0.0480627,0.0908978,0.0676559,0.0514346,0.0584915,0.0417868,0.0578085,0.0644357,0.172149,0.0673053,0.0658359,0.177186,0.0441232,0.0557214,0.0697522
0.032,0.0610577,0.0608801,0.11287,0.121672,0.0172549,0.0740555,0.0579611,0.0513998,0.066572,0.0934134,0.0618121,0.0566806,0.100587,0.0578561,0.0389368,0.0526624
0.033,0.0634991,0.0938391,0.0939496,0.115569,0.0163394,0.0752762,0.0198141,0.0660483,0.0571115,0.0619803,0.0792072,0.069498,0.000794067,0.0459543,0.0377161,0.0706677
0.034,0.0705182,0.147245,0.0466473,0.110075,0.0349551,0.0664261,0.0396506,0.0681845,0.0687082,0.0290213,0.0401447,0.0813998,-0.0190424,0.0758615,0.0535852,0.0679211
0.035,0.0656354,0.12222,0.0237592,0.0710129,0.0474673,0.0490311,0.0741354,0.0629965,0.0372751,0.0320731,0.0474689,0.0841464,0.0343634,0.0648752,0.0453455,0.0654797
0.036,0.0769269,0.0761389,0.00636414,0.0636887,0.0392276,0.0587967,0.0448386,0.0660483,0.0391061,0.101348,0.0785968,0.0707187,0.0398566,0.0584665,0.0578577,0.0737195
0.037,0.0549542,0.0648474,0.0466473,0.059111,0.0703555,0.0517776,0.0286642,0.0489584,0.0659616,0.161162,0.0572345,0.0737704,0.0606085,0.0636545,0.0441248,0.0587659
0.038,0.0616681,0.0413489,0.0524457,0.0197433,0.0575381,0.0755814,0.0576559,0.0785605,0.0586374,0.1221,0.0532672,0.0832309,0.0227667,0.0642648,0.0624353,0.0651746
0.039,0.0696027,-0.0364709,0.0661786,0.0664352,0.0422794,0.0502518,0.0414816,0.0648276,0.0867136,0.0570975,0.0489947,0.0762119,0.0374152,0.0664011,0.0523645,0.0657849
0.04,0.0506818,-0.0297571,0.0893719,0.0578903,0.036481,0.064595,0.0790183,0.0535361,0.08061,-0.077485,0.0679156,0.0768222,0.120423,0.0581613,0.0493127,0.0621228
