Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0488507,0.0202917,0.0402386,0.0508713,0.0215274,0.0581863,0.0494162,0.0269858,0.0177438,0.0494681,0.0319049,0.0472202,0.019715,0.0660959,0.0892908,0.00566528
0.021,0.0396954,0.0147986,0.0374921,0.034697,0.0377017,0.0572708,0.0396506,0.0358359,0.0461252,0.0485526,0.0474689,0.0582065,0.016358,0.0773874,0.0816614,0.0166516
0.022,0.0540387,0.0111365,0.0579388,0.0542282,0.0331241,0.0398758,0.0546042,0.0440756,0.0397165,0.0574026,0.063338,0.0560703,0.0401617,0.0633493,0.0624353,0.0029187
0.023,0.0387799,0.0288367,0.0454266,0.0371384,0.0496036,0.0478104,0.0478903,0.0544516,0.0296457,0.0689993,0.0361774,0.0701083,0.0627448,0.0691476,0.0651819,0.00139282
0.024,0.0732648,0.0541663,0.0548871,0.0450729,0.0297672,0.0429276,0.075051,0.027291,0.040632,0.12271,0.033736,0.06431,0.0310065,0.057551,0.0786096,0.001698
0.025,0.054649,0.0376868,0.0469525,0.0475143,0.0383121,0.0533035,0.038735,0.0489584,0.0546701,0.0809012,0.0496051,0.0618686,0.0328375,0.0511423,0.0694543,0.024281
0.026,0.0674664,0.0846838,0.0353558,0.0597214,0.0547916,0.0520828,0.0549094,0.0361411,0.0503976,0.0204764,0.0315997,0.0221957,0.0224615,0.0511423,0.0538904,0.0425916
0.027,0.037254,0.034635,0.0759442,0.0401901,0.0465518,0.0612381,0.0292746,0.0538412,0.0702341,0.00277618,0.0361774,0.0484409,0.0233771,0.0557199,0.0642664,0.0319104
0.028,0.0375592,0.0270056,0.0533612,0.062468,0.0187808,0.0536087,0.0243918,0.0581137,0.0555856,-0.000275574,0.040755,0.0603427,0.0310065,0.0343576,0.051449,0.0117688
0.029,0.0613629,0.0331091,0.0588544,0.0490402,0.0496036,0.0435379,0.0430075,0.0358359,0.0583322,0.0244437,0.0517413,0.0414218,0.0203253,0.0270334,0.0483972,-0.00471069
0.03,0.0500714,0.034635,0.0591595,0.0514816,0.031293,0.0487259,0.0399558,0.0532309,0.0647409,0.0726614,0.0422809,0.0331821,0.0377203,0.0386301,0.0593835,0.00627563
0.031,0.0384747,0.0489783,0.0262006,0.0566696,0.0380069,0.0572708,0.0433127,0.0370566,0.0378854,0.0693045,0.0315997,0.0340976,0.0624396,0.0398508,0.056637,0.0239758
0.032,0.0540387,0.0459265,0.0561078,0.0566696,0.0673038,0.0548294,0.0463644,0.0532309,0.038801,0.0992117,-0.014787,0.0579013,0.0566412,0.0352731,0.0624353,0.0419812
0.033,0.0583112,0.0505042,0.0680096,0.0548386,0.059064,0.0630691,0.0372092,0.0730673,0.0552805,0.0815115,-0.00135925,0.0493564,0.0624396,0.0331369,0.0816614,0.0233655
0.034,0.0509869,0.0505042,0.0713666,0.0612473,0.0377017,0.0655106,0.0326315,0.0578085,0.0607736,0.0604544,-0.00990418,0.0548496,0.089295,0.0313058,0.0535852,0.0221448
0.035,0.0451886,0.0529456,0.0695355,0.0600265,0.0328189,0.0490311,0.0457541,0.0593344,0.038801,0.0235281,-0.0257733,0.0368442,0.0444342,0.0383249,0.0453455,0.0523572
0.036,0.0409161,0.0486731,0.0689252,0.0533127,0.0370914,0.0566605,0.0793234,0.0684897,0.0281198,0.00979523,-0.00227478,0.0398959,0.0328375,0.0413766,0.0596887,0.041676
0.037,0.0503766,0.0453162,0.0652631,0.0566696,0.0267154,0.0615433,0.0478903,0.0532309,0.0381906,0.00826935,0.00565979,0.0402011,0.0310065,0.0310007,0.0804407,0.0236707
0.038,0.0409161,0.0413489,0.0332196,0.052092,0.0389224,0.0597122,0.0359885,0.0629965,0.0445993,0.0213919,0.0218341,0.052103,0.0282599,0.0230661,0.0639612,0.0361829
0.039,0.030235,0.062406,0.00575378,0.0603317,0.0236636,0.0252274,0.0466696,0.0349203,0.0619943,0.0274954,0.0154254,0.0649204,0.0426032,0.0310007,0.0880701,0.0477795
0.04,0.0342023,0.0819373,0.0371869,0.0453781,0.0343448,0.0560501,0.0463644,0.0358359,0.0616891,0.0183401,0.0154254,0.0508823,0.0401617,0.0377145,0.0712854,0.0361829
