Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0409161,0.0569128,0.0591595,-0.00314484,0.03465,0.019429,0.0341574,0.117928,0.0827463,0.018035,0.0596759,0.048746,0.0657965,0.0728098,-0.0220984,-0.0178333
0.021,0.0610577,0.0355505,0.086015,-0.0229813,0.0123721,0.0270584,0.0106589,0.0858847,0.0711496,0.0668631,0.0392291,0.0566806,0.0566412,0.0514474,-0.0156897,0.00566528
0.022,0.0274884,0.0416541,0.00544861,0.0102829,-0.013873,0.0325516,0.0100485,0.089852,0.0488718,0.0717459,0.0142047,0.0551547,0.0606085,0.0337473,-0.0382727,-0.0117297
0.023,0.0680768,0.0498938,0.0344403,-9.31E-05,-0.0541562,0.0291946,0.0237814,0.0553671,0.0186594,0.0567923,0.0132892,0.0722446,0.0465704,-0.00653595,-0.0391882,0.00383423
0.024,0.0473248,0.0312781,0.023454,0.0124191,-0.0804013,0.062764,-0.00154816,0.110909,0.0247629,0.0775442,-0.000748901,0.0579013,0.0429083,-0.00226349,-0.0358313,-0.0102039
0.025,0.0442731,0.0444006,0.0619061,0.0279831,-0.0401181,0.0273636,0.0253073,0.0800864,0.066572,0.0500784,-0.0248578,0.0545444,0.0624396,0.0258127,0.0276453,0.0230603
0.026,0.04763,0.0541663,0.0689252,0.0423264,-0.0099057,0.036824,0.0298849,0.112435,0.0595529,0.109588,-0.0178387,0.0484409,0.0364996,0.0355783,-0.0114172,0.0291638
0.027,0.0396954,0.0599646,0.0554974,0.00845184,-0.0324887,0.0237015,0.0570456,0.0947348,0.0522287,0.0308524,0.00504944,0.0707187,0.0706793,0.0346628,0.00689331,0.0444226
0.028,0.0766217,0.0736975,0.073808,0.0359177,0.0450259,0.0429276,0.0793234,0.0874106,0.0668771,-0.0335397,0.0425861,0.0517978,0.0654913,0.0670114,0.0398523,0.0245862
0.029,0.0708234,0.0505042,0.0567181,0.0398849,0.136274,0.0514725,0.0402609,0.107857,0.0696237,0.0107108,0.052962,0.0649204,0.0828864,0.0761667,0.0422937,0.0279431
0.03,0.0628888,0.0444006,0.035661,0.00784149,0.126203,0.0545242,0.0500266,0.0877158,0.0592477,0.040618,0.105147,0.0636996,0.0654913,0.0468698,0.0587732,0.0303845
0.031,0.0659406,0.0181555,0.0493939,0.131133,0.132001,0.0304153,0.0414816,0.0874106,0.0479562,0.0497733,0.111251,0.0514926,0.0712897,0.0438181,0.0377161,0.0227551
0.032,0.0332867,0.0410437,0.035661,0.100615,0.0367862,0.0340775,0.0533835,0.0629965,0.0381906,0.092803,0.114913,0.0398959,0.0416876,0.031611,0.0352747,0.0306897
0.033,0.0497662,0.00655884,0.046037,-0.0174881,0.0337344,0.0215652,0.0170676,0.0547568,0.0421579,0.0946341,0.123763,0.0344028,0.0508429,0.014216,0.0279504,0.0181775
0.034,0.0329816,0.0108313,0.0133832,-0.008638,0.0355655,0.0343826,0.0375143,0.0706259,0.0207956,0.0888358,0.147261,0.0612582,0.0337531,-0.0071463,0.0126917,0.0313
0.035,0.0400006,0.00289673,0.0277264,-0.079744,-0.024249,0.0496414,0.0549094,0.0468222,0.0522287,0.1044,0.138716,0.0600375,0.0349738,0.00506073,0.0438196,0.0309949
0.036,0.0461041,0.0343298,0.0704511,-0.117281,-0.0779599,0.0682571,0.0741354,0.0587241,0.0583322,0.0924979,0.0630328,0.0691928,0.0419928,0.0279489,0.0374109,0.0532727
0.037,0.0448834,0.0508093,0.0454266,-0.194185,-0.115497,0.0563553,0.0478903,0.0779501,0.0656564,0.115996,0.0566241,0.0560703,0.0432135,0.0499216,0.0517542,0.0615125
0.038,0.0595319,0.0477576,0.0783856,-0.170076,-0.00532806,0.0600174,0.0643698,0.0785605,0.0565012,0.0845633,0.040755,0.0588168,0.0487067,0.0429025,0.0248987,0.0734143
0.039,0.0351178,0.0959753,0.061601,0.0963425,0.223554,0.0783279,0.0552145,0.0944296,0.0491769,0.0870047,0.0795123,0.074686,0.0416876,0.0422922,0.0459558,0.0929456
0.04,0.0335919,0.0645422,0.0487836,0.153716,0.230573,0.0410965,0.0655905,0.0513998,0.061384,0.0610648,0.0758502,0.0594272,0.0737311,0.0361887,0.0554163,0.0663953
